keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Pac Sun,Torrance,3,3,21518 Hawthorne Blvd,CA,90503
Pac Sun,Brea,4,4,1050 Brea Mall,CA,92821
Pac Sun,Canoga Park,5,5,6600 Topanga Canyon Blvd.,CA,91303
Pac Sun,Westminster,6,6,1074 Westminster Mall,CA,92683
Pac Sun,Montclair,7,7,5032 Montclair Plaza Lane,CA,91763
Pac Sun,Thousand Oaks,9,9,432 W. Hillcrest,CA,91360
Pac Sun,Los Angeles,11,11,10800 West Pico Blvd.,CA,90064
Pac Sun,San Jose,13,13,925 Blossom Hill Road,CA,95123
Pac Sun,Concord,15,15,121 Sun Valley Mall,CA,94520
Pac Sun,Santa Clara,16,16,2855 Stevens Creek Blvd.,CA,95050
Pac Sun,San Rafael,20,20,5800 Northgate Dr.,CA,94903
Pac Sun,Santa Ana,21,21,2800 N. Main Street,CA,92705
Pac Sun,Lakewood,24,24,46 Lakewood Center Mall,CA,90714
Pac Sun,Bakersfield,26,26,2701 Ming Avenue,CA,93304
Pac Sun,Northridge,27,27,9301 Tampa Avenue,CA,91324
Pac Sun,Santa Rosa,28,28,1065 Santa Rosa Plaza,CA,95401
Pac Sun,Capitola,34,34,1855 41st Avenue,CA,95010
Pac Sun,Arcadia,37,37,400 S. Baldwin Avenue,CA,91006
Pac Sun,Paramus,39,39,1045 Garden State Plaza,NJ,7652
Pac Sun,Bellingham,41,41,1 Bellis Fair Parkway,WA,98226
Pac Sun,Palm Beach Gardens,44,44,3101 PGA Blvd.,FL,33410
Pac Sun,Modesto,47,47,3401 Dale Road,CA,95356
Pac Sun,Sacramento,49,49,1689 Arden Way,CA,95815
Pac Sun,Palm Desert,53,53,72-840 Hwy 111,CA,92260
Pac Sun,Phoenix,54,54,4550 E. Cactus Road,AZ,85032
Pac Sun,Las Vegas,55,55,4300 Meadows Lane,NV,89107
Pac Sun,Mesa,57,57,6555 E. Southern Avenue,AZ,85206
Pac Sun,San Mateo,58,58,460 Hillsdale Shopping Center,CA,94403
Pac Sun,Fresno,60,60,617 East Shaw Avenue,CA,93710
Pac Sun,Bellevue,61,61,238 Bellevue Square,WA,98004
Pac Sun,Danbury,64,64,7 Backus Avenue,CT,6810
Pac Sun,West Covina,65,65,376 Plaza Drive,CA,91790
Pac Sun,Moreno Valley,68,68,22500 Towngate Circle,CA,92553
Pac Sun,Cerritos,69,69,111 Los Cerritos Center,CA,90703
Pac Sun,Spokane,72,72,4750 N. Division,WA,99207
Pac Sun,Lawrenceville,73,73,246 Quaker Bridge Mall,NJ,8648
Pac Sun,Tacoma,75,75,4502 S. Steele,WA,98409
Pac Sun,Lynnwood,76,76,3000 184th Street SW,WA,98036
Pac Sun,Riverside,77,77,1277 Galleria at Tyler,CA,92503
Pac Sun,Rockaway,79,79,Rte 80 & Mt. Hope Ave.,NJ,7866
Pac Sun,Freehold,81,81,3710 Route 9,NJ,7728
Pac Sun,McLean,83,83,7924 L Tysons Corner Center,VA,22102
Pac Sun,Boca Raton,86,86,6000 W. Glades Road,FL,33431
Pac Sun,Glendale,87,87,7700-2058 Arrowhead Towne,AZ,85308
Pac Sun,Columbia,89,89,10300 Little Patuxent Parkway,MD,21044
Pac Sun,Wayne,90,90,1400 Willowbrook Mall,NJ,7470
Pac Sun,Garden City,92,92,630 Old Country Road,NY,11530
Pac Sun,Tucson,93,93,4500 N. Oracle Road,AZ,85705
Pac Sun,Buffalo,95,95,One Walden Galleria Drive,NY,14225
Pac Sun,Peabody,96,96,210 Andover Street,MA,1960
Pac Sun,Pittsburgh,99,99,301 South Hills Mall,PA,15241
Pac Sun,Kennesaw,101,101,400 Ernest W. Barrett Pkwy,GA,30144
Pac Sun,Burnsville,104,104,1093 Burnsville Center,MN,55306
Pac Sun,Sterling Heights,105,105,14600 Lakeside Circle,MI,48313
Pac Sun,Ann Arbor,106,106,338 Briarwood Circle,MI,48108
Pac Sun,Novi,107,107,27330 Novi Road,MI,48377
Pac Sun,Grand Rapids,108,108,3135 28th Street SE,MI,49512
Pac Sun,Bloomingdale,115,115,316 Stratford Square,IL,60108
Pac Sun,Syracuse,116,116,9508 Carousel Center,NY,13290
Pac Sun,Vernon Hills,117,117,626 Hawthorn Shopping Center,IL,60061
Pac Sun,Bridgewater,119,119,400 Commons Way,NJ,8807
Pac Sun,Deptford,121,121,1750 Deptford Center Road,NJ,8096
Pac Sun,Albany,123,123,#1 Crossgates Mall Road,NY,12203
Pac Sun,Alpharetta,124,124,2076 North Point Mall,GA,30022
Pac Sun,Aurora,125,125,2430 Fox Valley Center,IL,60504
Pac Sun,Natick,126,126,1245 Worcester Street,MA,1760
Pac Sun,Lake Grove,127,127,106 Smith Haven Mall,NY,11755
Pac Sun,White Plains,129,129,100 Main Street,NY,10601
Pac Sun,Okemos,131,131,1982 W. Grand River Avenue,MI,48864
Pac Sun,Willow Grove,132,132,2500 W. Moreland Road,PA,19090
Pac Sun,North Wales,133,133,203 Montgomery Mall,PA,19454
Pac Sun,Fairfax,134,134,11930-L Fair Oaks,VA,22033
Pac Sun,Rochester,135,135,720 Miracle Mile Drive,NY,14623
Pac Sun,Beavercreek,137,137,2727 Fairfield Commons,OH,45431
Pac Sun,Flint,138,138,3329 S. Linden Rd.,MI,48507
Pac Sun,Skokie,140,140,4999 Old Orchard Center,IL,60077
Pac Sun,Albuquerque,141,141,6600 Menaul Blvd NE,NM,87110
Pac Sun,Charleston,143,143,1031 Charleston Town Center,WV,25389
Pac Sun,Minnetonka,145,145,12315 Wayzata Blvd.,MN,55305
Pac Sun,Langhorne,148,148,129 Oxford Valley Mall,PA,19047
Pac Sun,Winston-Salem,149,149,3320 Silas Creek Parkway,NC,27103
