keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Papa Murphy's Take N Bake,Wasilla,AK001,AK001,1561 East Parks Hwy,AK,99654
Papa Murphy's Take N Bake,Anchorage,AK002,AK002,5668 Debarr Road,AK,99504
Papa Murphy's Take N Bake,Juneau,AK003,AK003,9108 Mendenhall Mall Road,AK,99801
Papa Murphy's Take N Bake,Soldotna,AK004,AK004,131A Ware House Drive,AK,99669
Papa Murphy's Take N Bake,Anchorage,AK005,AK005,2286 Abbott Road,AK,99507
Papa Murphy's Take N Bake,Fairbanks,AK006,AK006,930 Old Steese Hwy,AK,99701
Papa Murphy's Take N Bake,Eagle River,AK007,AK007,13331 Old Glenn Highway,AK,99577
Papa Murphy's Take N Bake,Anchorage,AK008,AK008,2203 West Dimond Boulevard,AK,99515
Papa Murphy's Take N Bake,Fairbanks,AK009,AK009,3637 Airport Way,AK,99709
Papa Murphy's Take N Bake,Anchorage,AK010,AK010,1231 West Northern Lights Blvd,AK,99503
Papa Murphy's Take N Bake,Anchorage,AK011,AK011,1501 Huffman Road,AK,99515
Papa Murphy's Take N Bake,Hartselle,AL002,AL002,701 Highway 31 South West,AL,35640
Papa Murphy's Take N Bake,Decatur,AL003,AL003,1406 Beltline Road SouthWest,AL,35601
Papa Murphy's Take N Bake,Madison,AL004,AL004,7830 US Highway 72 West,AL,35758
Papa Murphy's Take N Bake,Muscle Shoals,AL005,AL005,233 Avalon Avenue,AL,35661
Papa Murphy's Take N Bake,Athens,AL006,AL006,934 US Highway 72 East,AL,35611
Papa Murphy's Take N Bake,Homewood,AL007,AL007,437 Green Springs Highway,AL,35209
Papa Murphy's Take N Bake,Hoover,AL008,AL008,1580 Montgomery Highway,AL,35216
Papa Murphy's Take N Bake,Foley,AL009,AL009,2062 South McKenzie Street,AL,36535
Papa Murphy's Take N Bake,Cullman,AL010,AL010,1850 Cherokee Avenue SW,AL,35055
Papa Murphy's Take N Bake,Huntsville,AL011,AL011,11437 Memorial Parkway Southwest,AL,35803
Papa Murphy's Take N Bake,Huntsville,AL013,AL013,5000 Whitesburg Drive S,AL,35802
Papa Murphy's Take N Bake,Mobile,AL014,AL014,2370 Hillcrest Road,AL,36695
Papa Murphy's Take N Bake,Bentonville,AR002,AR002,201 SW 14th Street,AR,72712
Papa Murphy's Take N Bake,Springdale,AR004,AR004,2111 South Old Missouri Rd,AR,72764
Papa Murphy's Take N Bake,Fayetteville,AR009,AR009,3049 West 6th Street,AR,72704
Papa Murphy's Take N Bake,Russellville,AR012,AR012,420 North Arkansas Ave,AR,72801
Papa Murphy's Take N Bake,Rogers,AR015,AR015,2006 West Walnut Street,AR,72756
Papa Murphy's Take N Bake,Jacksonville,AR017,AR017,2050 John Harden Drive,AR,72076
Papa Murphy's Take N Bake,North Little Rock,AR018,AR018,7412 North Hills Blvd,AR,72116
Papa Murphy's Take N Bake,Fort Smith,AR025,AR025,2307 Zero Street,AR,72901
Papa Murphy's Take N Bake,Van Buren,AR026,AR026,2254 Fayetteville Road,AR,72956
Papa Murphy's Take N Bake,Fort Smith,AR027,AR027,7613 Rogers Ave,AR,72903
Papa Murphy's Take N Bake,Mountain Home,AR029,AR029,1013 Highway 62 East,AR,72653
Papa Murphy's Take N Bake,Hot Springs,AR030,AR030,1412 Higdon Ferry Road,AR,71913
Papa Murphy's Take N Bake,Little Rock,AR033,AR033,9120 Rodney Parham Road,AR,72205
Papa Murphy's Take N Bake,Phoenix,AZ001,AZ001,4025 East Chandler Blvd,AZ,85048
Papa Murphy's Take N Bake,Surprise,AZ002,AZ002,15557 West Bell Road,AZ,85374
Papa Murphy's Take N Bake,Chandler,AZ003,AZ003,3900 West Ray Road,AZ,85226
Papa Murphy's Take N Bake,Gilbert,AZ004,AZ004,1385 East Warner Road,AZ,85296
Papa Murphy's Take N Bake,Prescott,AZ006,AZ006,1333 Iron Springs Road,AZ,86301
Papa Murphy's Take N Bake,Apache Junction,AZ007,AZ007,2114 West Apache Trail,AZ,85220
Papa Murphy's Take N Bake,Avondale,AZ008,AZ008,1809 North Dysart Road,AZ,85323
Papa Murphy's Take N Bake,Cave Creek,AZ010,AZ010,29455 North Cave Creek Road,AZ,85331
Papa Murphy's Take N Bake,Phoenix,AZ011,AZ011,3230 East Union Hills,AZ,85050
Papa Murphy's Take N Bake,Kingman,AZ014,AZ014,3900 Stockton Hill Road,AZ,86409
Papa Murphy's Take N Bake,Sierra Vista,AZ017,AZ017,2373 East Fry Boulevard,AZ,85635
Papa Murphy's Take N Bake,Cottonwood,AZ020,AZ020,976 South Main Street,AZ,86326
Papa Murphy's Take N Bake,Tucson,AZ022,AZ022,7250 North La Cholla Boulevard,AZ,85741
Papa Murphy's Take N Bake,Tucson,AZ023,AZ023,4811 East Grant Road,AZ,85712
Papa Murphy's Take N Bake,Casa Grande,AZ025,AZ025,1485 East Florence Boulevard,AZ,85222
Papa Murphy's Take N Bake,Mesa,AZ026,AZ026,3550 East Southern Avenue,AZ,85204
Papa Murphy's Take N Bake,Lake Havasu City,AZ027,AZ027,2231 McCulloch Blvd. N,AZ,86403
Papa Murphy's Take N Bake,Tucson,AZ031,AZ031,7850 North Silverbell Road,AZ,85743
Papa Murphy's Take N Bake,Green Valley,AZ032,AZ032,1295 West Duval Mine Road,AZ,85614
Papa Murphy's Take N Bake,Yuma,AZ033,AZ033,2951 South Pacific Avenue,AZ,85365
Papa Murphy's Take N Bake,Goodyear,AZ034,AZ034,15570 West Van Buren Street,AZ,85338
Papa Murphy's Take N Bake,Flagstaff,AZ035,AZ035,2700 South Woodlands Village Boulevard,AZ,86001
Papa Murphy's Take N Bake,Oro Valley,AZ038,AZ038,10378 North La Canada Drive,AZ,85737
Papa Murphy's Take N Bake,Chandler,AZ039,AZ039,1020 East Ray Road,AZ,85225
Papa Murphy's Take N Bake,Tucson,AZ041,AZ041,7245 E Tanque Verde Road,AZ,85715
Papa Murphy's Take N Bake,Mesa,AZ042,AZ042,1242 East McKellips Road,AZ,85213
Papa Murphy's Take N Bake,Glendale,AZ043,AZ043,3780 West Happy Valley Road,AZ,85310
Papa Murphy's Take N Bake,Chandler,AZ044,AZ044,2820 South Alma School Road,AZ,85286
Papa Murphy's Take N Bake,Mesa,AZ045,AZ045,1229 South Power Road,AZ,85206
Papa Murphy's Take N Bake,Peoria,AZ047,AZ047,9015 West Union Hills Drive,AZ,85382
Papa Murphy's Take N Bake,Mesa,AZ049,AZ049,1955 West Baseline Road,AZ,85202
Papa Murphy's Take N Bake,Scottsdale,AZ050,AZ050,6339 East Greenway Road,AZ,85254
Papa Murphy's Take N Bake,Peoria,AZ052,AZ052,7465 West Cactus Road,AZ,85381
Papa Murphy's Take N Bake,Prescott Valley,AZ053,AZ053,3298 N Glassford Hill Rd,AZ,86314
Papa Murphy's Take N Bake,Bullhead City,AZ054,AZ054,4723 South Highway 95,AZ,86426
Papa Murphy's Take N Bake,Glendale,AZ057,AZ057,20020 North 59th Avenue,AZ,85308
Papa Murphy's Take N Bake,Queen Creek,AZ058,AZ058,23706 South Power Road,AZ,85142
Papa Murphy's Take N Bake,Maricopa,AZ059,AZ059,20928 North John Wayne Parkway,AZ,85139
Papa Murphy's Take N Bake,Glendale,AZ062,AZ062,5830 West Thunderbird Road,AZ,85306
Papa Murphy's Take N Bake,Glendale,AZ063,AZ063,5150 West Olive Avenue,AZ,85302
Papa Murphy's Take N Bake,Anthem,AZ066,AZ066,3655 West Anthem Way,AZ,85086
Papa Murphy's Take N Bake,Scottsdale,AZ067,AZ067,8912 East Via Linda,AZ,85258
Papa Murphy's Take N Bake,Tucson,AZ068,AZ068,1710 West Valencia Road,AZ,85746
Papa Murphy's Take N Bake,Chandler,AZ071,AZ071,1075 East Riggs Road,AZ,85249
Papa Murphy's Take N Bake,Tucson,AZ073,AZ073,2118 West Grant Road,AZ,85745
Papa Murphy's Take N Bake,Mesa,AZ078,AZ078,67 North Dobson Road,AZ,85201
Papa Murphy's Take N Bake,Petaluma,CA001,CA001,965 Lakeville Street,CA,94952
Papa Murphy's Take N Bake,Greenbrae,CA003,CA003,318 Bon Air Center,CA,94904-2416
Papa Murphy's Take N Bake,San Jose,CA005,CA005,1375 Blossom Hill Road,CA,95118
Papa Murphy's Take N Bake,Alameda,CA010,CA010,1929 Broadway,CA,94501
Papa Murphy's Take N Bake,Belmont,CA013,CA013,1602 El Camino Real,CA,94002
Papa Murphy's Take N Bake,Fortuna,CA014,CA014,709 South Fortuna Blvd.,CA,95540
Papa Murphy's Take N Bake,Arcata,CA015,CA015,686 F Street,CA,95521
Papa Murphy's Take N Bake,Willits,CA016,CA016,875 South Main Street,CA,95490
Papa Murphy's Take N Bake,Yreka,CA018,CA018,1818 Fort Jones Road,CA,96097
Papa Murphy's Take N Bake,Chico,CA019,CA019,1305 Mangrove Avenue,CA,95926
Papa Murphy's Take N Bake,Mckinleyville,CA020,CA020,2015 Central Avenue,CA,95519
Papa Murphy's Take N Bake,Red Bluff,CA021,CA021,845 South Main Street,CA,96080
Papa Murphy's Take N Bake,Fairfield,CA023,CA023,2350 North Texas Street,CA,94533
Papa Murphy's Take N Bake,Crescent City,CA024,CA024,617 M Street,CA,95531
Papa Murphy's Take N Bake,Santa Rosa,CA025,CA025,140 Calistoga Road,CA,95409
Papa Murphy's Take N Bake,Santa Rosa,CA026,CA026,2101 West College Avenue,CA,95401
Papa Murphy's Take N Bake,Susanville,CA027,CA027,1245 Main Street,CA,96130
Papa Murphy's Take N Bake,Davis,CA029,CA029,640 West Covell Blvd,CA,95616
Papa Murphy's Take N Bake,Scotts Valley,CA032,CA032,245 Mt. Hermon Road,CA,95066
Papa Murphy's Take N Bake,Napa,CA033,CA033,1800 Soscol Avenue,CA,94559
Papa Murphy's Take N Bake,Fort Bragg,CA034,CA034,179 Boatyard Drive,CA,95437
Papa Murphy's Take N Bake,Anderson,CA035,CA035,2621 Balls Ferry Road,CA,96007
Papa Murphy's Take N Bake,Yuba City,CA036,CA036,962 Gray Avenue,CA,95991
Papa Murphy's Take N Bake,Vallejo,CA038,CA038,746 Admiral Callaghan Lane,CA,94591
Papa Murphy's Take N Bake,Clayton,CA039,CA039,5433 Clayton Road,CA,94517
Papa Murphy's Take N Bake,Vacaville,CA040,CA040,3071 Alamo Drive,CA,95687
Papa Murphy's Take N Bake,Quincy,CA044,CA044,1750 East Main Street,CA,95971
Papa Murphy's Take N Bake,Redding,CA046,CA046,239 Lake Blvd.,CA,96003
Papa Murphy's Take N Bake,Eureka,CA047,CA047,407 Henderson Street,CA,95501
Papa Murphy's Take N Bake,Cameron Park,CA048,CA048,3440 Palmer Drive,CA,95682
Papa Murphy's Take N Bake,Chico,CA049,CA049,2485 Notre Dame Blvd.,CA,95928
Papa Murphy's Take N Bake,San Ramon,CA050,CA050,21001 San Ramon Valley Blvd,CA,94583
Papa Murphy's Take N Bake,Ukiah,CA051,CA051,1198 North State Street,CA,95482
Papa Murphy's Take N Bake,Rocklin,CA053,CA053,4819 Granite Drive,CA,95677
Papa Murphy's Take N Bake,Mount Shasta,CA054,CA054,432 North Mt Shasta Blvd,CA,96067
Papa Murphy's Take N Bake,Corning,CA055,CA055,2011 Solano Street,CA,96021
Papa Murphy's Take N Bake,San Jose,CA056,CA056,2984 Union Avenue,CA,95124
Papa Murphy's Take N Bake,Hollister,CA057,CA057,1740 Airline Highway,CA,95023
Papa Murphy's Take N Bake,Elk Grove,CA058,CA058,8559 Elk Grove Blvd.,CA,95624
Papa Murphy's Take N Bake,Orland,CA059,CA059,123 East Walker Street,CA,95963
Papa Murphy's Take N Bake,Manteca,CA060,CA060,552 North Main Street,CA,95336
Papa Murphy's Take N Bake,Windsor,CA061,CA061,8794 Lakewood Drive,CA,95492
Papa Murphy's Take N Bake,Tracy,CA063,CA063,1894 West 11th Street,CA,95376
Papa Murphy's Take N Bake,Placerville,CA064,CA064,65 Fair Lane,CA,95667
Papa Murphy's Take N Bake,Cotati,CA066,CA066,8005 Old Redwood Hwy.,CA,94931
Papa Murphy's Take N Bake,Sunnyvale,CA067,CA067,939 West El Camino Real,CA,94087
Papa Murphy's Take N Bake,Stockton,CA068,CA068,4663 Pacific Avenue,CA,95207
Papa Murphy's Take N Bake,Martinez,CA069,CA069,1155 Arnold Drive,CA,94553
Papa Murphy's Take N Bake,Woodland,CA070,CA070,13 Purity Plaza,CA,95695
Papa Murphy's Take N Bake,Sebastopol,CA071,CA071,7231 Healdsburg Avenue,CA,95472
Papa Murphy's Take N Bake,Grass Valley,CA072,CA072,12048 Nevada City Highway,CA,95945
Papa Murphy's Take N Bake,Modesto,CA073,CA073,2601 Oakdale Road,CA,95355
Papa Murphy's Take N Bake,Stockton,CA074,CA074,7824 Thornton Road,CA,95207
Papa Murphy's Take N Bake,Brentwood,CA075,CA075,1145 2nd Street,CA,94513
Papa Murphy's Take N Bake,Citrus Heights,CA076,CA076,7528 Greenback Lane,CA,95610
Papa Murphy's Take N Bake,Turlock,CA077,CA077,2926 Geer Road,CA,95382
Papa Murphy's Take N Bake,Antioch,CA078,CA078,3345 Deer Valley Road,CA,94531
Papa Murphy's Take N Bake,Gilroy,CA079,CA079,767 First Street,CA,95020
Papa Murphy's Take N Bake,Pacifica,CA080,CA080,330 Palmetto Avenue,CA,94044
Papa Murphy's Take N Bake,Sacramento,CA081,CA081,3291 Truxel Road,CA,95833
Papa Murphy's Take N Bake,Pittsburg,CA083,CA083,1315 Buchanan Drive,CA,94565
Papa Murphy's Take N Bake,Merced,CA084,CA084,220 East Yosemite Avenue,CA,95340
Papa Murphy's Take N Bake,Novato,CA085,CA085,922 Diablo Avenue,CA,94947
Papa Murphy's Take N Bake,Roseville,CA086,CA086,5020 Foothills Blvd.,CA,95747
Papa Murphy's Take N Bake,Salinas,CA088,CA088,1225 South Main Street,CA,93901
Papa Murphy's Take N Bake,Modesto,CA089,CA089,3900 Pelandale Avenue,CA,95356
Papa Murphy's Take N Bake,Suisun City,CA091,CA091,131 Sunset Avenue Suite D,CA,94585
Papa Murphy's Take N Bake,Grass Valley,CA092,CA092,151 West McKnight Way,CA,95949
Papa Murphy's Take N Bake,Sacramento,CA093,CA093,5412 Madison Avenue,CA,95841
Papa Murphy's Take N Bake,Redding,CA094,CA094,3361 Placer Street,CA,96001
Papa Murphy's Take N Bake,Sacramento,CA095,CA095,2805 Marconi Avenue,CA,95821
Papa Murphy's Take N Bake,Sacramento,CA096,CA096,4700 Mack Road,CA,95823
Papa Murphy's Take N Bake,Walnut Creek,CA097,CA097,2991 Ygnacio Valley Road,CA,94598
Papa Murphy's Take N Bake,Stockton,CA098,CA098,678 North Wilson Way,CA,95205
Papa Murphy's Take N Bake,Modesto,CA100,CA100,3430 Tully Road,CA,95350
Papa Murphy's Take N Bake,Orangevale,CA101,CA101,8821 Greenback Lane,CA,95662
Papa Murphy's Take N Bake,Madera,CA102,CA102,324 North Gateway Drive,CA,93637
Papa Murphy's Take N Bake,Clovis,CA103,CA103,619 Shaw Avenue,CA,93612
Papa Murphy's Take N Bake,Fresno,CA104,CA104,3140 West Shaw Avenue,CA,93711
Papa Murphy's Take N Bake,Fresno,CA105,CA105,5171 East Kings Canyon Road,CA,93727
Papa Murphy's Take N Bake,Reedley,CA106,CA106,803 East 11th Street,CA,93654
Papa Murphy's Take N Bake,Selma,CA107,CA107,2772 Whitson Avenue,CA,93662
Papa Murphy's Take N Bake,Sacramento,CA108,CA108,4424 Freeport Blvd,CA,95822
Papa Murphy's Take N Bake,Folsom,CA110,CA110,703 East Bidwell Street,CA,95630
Papa Murphy's Take N Bake,Sacramento,CA112,CA112,3557 Bradshaw Road,CA,95827
Papa Murphy's Take N Bake,Oakdale,CA113,CA113,1190 East F Street,CA,95361
Papa Murphy's Take N Bake,Modesto,CA114,CA114,1633 East Hatch Road,CA,95351
Papa Murphy's Take N Bake,Pleasanton,CA116,CA116,1991 Santa Rita Road,CA,94566
Papa Murphy's Take N Bake,Sacramento,CA118,CA118,7485 Rush River Drive,CA,95831
Papa Murphy's Take N Bake,Pinole,CA119,CA119,1502A Fitzgerald Drive,CA,94564
Papa Murphy's Take N Bake,Oroville,CA121,CA121,1751 Oro Dam Boulevard East,CA,95966
Papa Murphy's Take N Bake,Citrus Heights,CA122,CA122,6456 Antelope Road,CA,95621
Papa Murphy's Take N Bake,Elk Grove,CA123,CA123,4720 Laguna Blvd.,CA,95758
Papa Murphy's Take N Bake,Antelope,CA124,CA124,4320 Elverta Road,CA,95843
Papa Murphy's Take N Bake,Monterey,CA126,CA126,2440 Fremont Street,CA,93940
Papa Murphy's Take N Bake,Vacaville,CA127,CA127,781 East Monte Vista Avenue,CA,95688
Papa Murphy's Take N Bake,Hanford,CA128,CA128,375 North 11th Avenue,CA,93230
Papa Murphy's Take N Bake,Santa Rosa,CA129,CA129,1985 Mendocino Avenue,CA,95401
Papa Murphy's Take N Bake,Bakersfield,CA131,CA131,3705 Columbus Street,CA,93306
Papa Murphy's Take N Bake,Carmichael,CA134,CA134,6470 Fair Oaks Blvd.,CA,95608
Papa Murphy's Take N Bake,Sacramento,CA135,CA135,8364 Elk Grove Florin Road,CA,95829
Papa Murphy's Take N Bake,Sonora,CA136,CA136,1281 Sanguinetti Road,CA,95370
Papa Murphy's Take N Bake,Los Banos,CA138,CA138,611 Pacheco Blvd.,CA,93635
Papa Murphy's Take N Bake,Bakersfield,CA139,CA139,3404 Stine Road,CA,93309
Papa Murphy's Take N Bake,Roseville,CA142,CA142,9260 Sierra College Blvd,CA,95661
Papa Murphy's Take N Bake,Sacramento,CA143,CA143,8118 Gerber Road,CA,95828
Papa Murphy's Take N Bake,Alamo,CA146,CA146,3000 Danville Blvd.,CA,94507
Papa Murphy's Take N Bake,West Sacramento,CA147,CA147,1288 West Capitol Avenue,CA,95691
Papa Murphy's Take N Bake,Auburn,CA152,CA152,2566 Grass Valley Highway,CA,95603
Papa Murphy's Take N Bake,Livermore,CA154,CA154,2002 Portola Avenue,CA,94551
Papa Murphy's Take N Bake,Salinas,CA156,CA156,616 East Boronda Road,CA,93906
Papa Murphy's Take N Bake,Milpitas,CA158,CA158,119 North Milpitas Blvd.,CA,95035
Papa Murphy's Take N Bake,Sacramento,CA160,CA160,4340 Arden Way,CA,95864
Papa Murphy's Take N Bake,Lodi,CA163,CA163,2309 West Kettleman Lane,CA,95242
Papa Murphy's Take N Bake,Sacramento,CA164,CA164,5734 Folsom Boulelvard,CA,95819
Papa Murphy's Take N Bake,Bakersfield,CA169,CA169,13075 Rosedale Hwy,CA,93314
Papa Murphy's Take N Bake,Tulare,CA170,CA170,1582 Hillman Street,CA,93274
Papa Murphy's Take N Bake,Paradise,CA171,CA171,6026 Clark Road,CA,95969
Papa Murphy's Take N Bake,Gold River,CA172,CA172,2095 Golden Centre Lane,CA,95670
Papa Murphy's Take N Bake,Atwater,CA173,CA173,1860 Bellevue Road,CA,95301
Papa Murphy's Take N Bake,Jackson,CA174,CA174,777 South State Highway 49,CA,95642
Papa Murphy's Take N Bake,Fremont,CA175,CA175,5176 Mowry Avenue,CA,94538
Papa Murphy's Take N Bake,Lincoln,CA176,CA176,415 South State Highway 65,CA,95648
Papa Murphy's Take N Bake,Concord,CA182,CA182,2705 Clayton Road,CA,94519
Papa Murphy's Take N Bake,North Highlands,CA184,CA184,5901 Watt Avenue,CA,95660
Papa Murphy's Take N Bake,American Canyon,CA195,CA195,101 W American Canyon Rd,CA,94503
