keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Paradise Bakery and Cafe,Chandler,1,10000SANTA,"1075 W. Queen Creek Road, Suite 1",AZ,85248
Paradise Bakery and Cafe,Chandler,3,30000SANTA,"3111 W. Chandler Blvd., Suite FF-236",AZ,85226
Paradise Bakery and Cafe,Glendale,4,40000SANTA,"7700 W. Arrowhead Towne Center, Suite 2061",AZ,85308
Paradise Bakery and Cafe,Glendale,5,50000SANTA,20199 N. 67th Ave,AZ,85308
Paradise Bakery and Cafe,Mesa,6,60000SANTA,"3426 E. Baseline Road, Suite 113",AZ,85204
Paradise Bakery and Cafe,Mesa,7,70000SANTA,"6555 E. Southern Ave., Suite 2014",AZ,85206
Paradise Bakery and Cafe,Phoenix,10,100000SANTA,4550-118 E. Cactus Road,AZ,85032
Paradise Bakery and Cafe,Phoenix,11,110000SANTA,"21001 N. Tatum Blvd., Suite 48-1520",AZ,85050
Paradise Bakery and Cafe,Scottsdale,14,140000SANTA,"8777 N. Scottsdale Road, Suite 302",AZ,85253
Paradise Bakery and Cafe,Scottsdale,15,150000SANTA,7014-565. E. Camelback Road Suite 565,AZ,85251
Paradise Bakery and Cafe,Aspen,22,220000SANTA,320 S. Galena Street,CO,81611
Paradise Bakery and Cafe,Carmel,31,310000SANTA,"14550 Clay Terrace Blvd., Suite 100",IN,46032
Paradise Bakery and Cafe,Boston,32,320000SANTA,"800 Boylston St., Ste FC 10",MA,2199
Paradise Bakery and Cafe,Omaha,33,330000SANTA,"120 Regency Parkway, #156",NE,68114
Paradise Bakery and Cafe,Dallas,37,370000SANTA,"1201 Elm St., Ste LL 08",TX,75270
Paradise Bakery and Cafe,Frisco,39,390000SANTA,"2601 Preston Rd., Space 2054",TX,75034
Paradise Bakery and Cafe,Salt Lake City,41,410000SANTA,1010 E 2100 South,UT,84106
Paradise Bakery and Cafe,Omaha,43,430000SANTA,"17305 Davenport, Suite 101",NE,68118
Paradise Bakery and Cafe,Scottsdale,44,440000SANTA,"14884 N Pima Rd, Suite 101",AZ,85260
Paradise Bakery and Cafe,Sandy,46,460000SANTA,10431 South State Street,UT,84070
Paradise Bakery and Cafe,Tempe,53,530000SANTA,"2000 E. Rio Salado Parkway, Building 1 Suite 1143",AZ,85281
Paradise Bakery and Cafe,Chandler,54,540000SANTA,"2970 E. Germann Road, Shops C, #3",AZ,85249
Paradise Bakery and Cafe,Salt Lake City,56,560000SANTA,618 East 400 South,UT,84102
Paradise Bakery and Cafe,Cottonwood Heights,57,570000SANTA,1400 E Fort Union Boulevard,UT,84121
Paradise Bakery and Cafe,Indianapolis,59,590000SANTA,8540 Castleton Corner Dr.,IN,46250
Paradise Bakery and Cafe,Avondale,60,600000SANTA,"9995 W. McDowell Road, Suite 101",AZ,85392
Paradise Bakery and Cafe,Bountiful,61,610000SANTA,"Retail 5 & 6 Commons, 135 North 500 West",UT,84010
Paradise Bakery and Cafe,Chandler,63,630000SANTA,"940 N. 54th Street, Suite 100",AZ,85226
Paradise Bakery and Cafe,Surprise,64,640000SANTA,13959 W. Bell Road,AZ,85374
Paradise Bakery and Cafe,Phoenix,65,650000SANTA,"10625 N. Tatum Blvd., Suite 135",AZ,85028
Paradise Bakery and Cafe,Gilbert,66,660000SANTA,"2156 E. Williams Field Road, Building 12 Suite 101",AZ,85296
Paradise Bakery and Cafe,Peoria,67,670000SANTA,"9918 W. Happy Valley Road, Suite 200",AZ,85383
Paradise Bakery and Cafe,Chandler,68,680000SANTA,"2855 W. Ray Road, Suite 4",AZ,85224
Paradise Bakery and Cafe,Phoenix,69,690000SANTA,375 E. Bell Road,AZ,85022
Paradise Bakery and Cafe,Phoenix,70,700000SANTA,"2370 W. Happy Valley Road, Shops D Suite 1069",AZ,85085
Paradise Bakery and Cafe,Queen Creek,71,710000SANTA,"21202 S. Ellsworth Loop Road, Suite 100",AZ,85142
Paradise Bakery and Cafe,Indianapolis,72,720000SANTA,"111 Monument Circle, Suite 100",IN,46204
Paradise Bakery and Cafe,Phoenix,74,740000SANTA,"7000 E. Mayo Blvd., Building 8 Suite 1032",AZ,85054
Paradise Bakery and Cafe,Mesa,75,750000SANTA,"1946 S. Signal Butte Road, Suite 109",AZ,85209
Paradise Bakery and Cafe,Tucson,76,760000SANTA,"845 N. Park Avenue, Suite 125",AZ,85719
Paradise Bakery and Cafe,Indianapolis,78,780000SANTA,"9510 N. Meridian Street, Suite A",IN,46260
Paradise Bakery and Cafe,Dallas,81,810000SANTA,13710 Dallas Parkway,TX,75240
Paradise Bakery and Cafe,Phoenix,82,820000SANTA,2502 E. Camelback Road #119,AZ,85016
Paradise Bakery and Cafe,Goodyear,83,830000SANTA,"15479 W. McDowell Road, Shops D",AZ,85338
Paradise Bakery and Cafe,Phoenix,84,840000SANTA,3200 Sky Harbor Blvd. Suite F2,AZ,85034
Paradise Bakery and Cafe,Noblesville,85,850000SANTA,"13230 Harrell Parkway, Suite 400",IN,46060
Paradise Bakery and Cafe,Phoenix,86,860000SANTA,1125 E. Glendale Ave.,AZ,85020
Paradise Bakery and Cafe,Phoenix,87,870000SANTA,3400 E. Sky Harbor Boulevard,AZ,85034
Paradise Bakery and Cafe,American Fork,88,880000SANTA,562 W. Main Street,UT,84003
Paradise Bakery and Cafe,Dallas,90,900000SANTA,2101 Cedar Springs Road,TX,75201
Paradise Bakery and Cafe,Plano,93,930000SANTA,"8240 Preston Road, Suite 100",TX,75024
Paradise Bakery and Cafe,Allen,95,950000SANTA,"190 E Stacy Road, Suite 500",TX,75002
Paradise Bakery and Cafe,Mesa,96,960000SANTA,6033 S. Sossaman Road,AZ,85212
Paradise Bakery and Cafe,Scottsdale,98,980000SANTA,7145 E. Indian School Road,AZ,85251
Paradise Bakery and Cafe,Tempe,99,990000SANTA,1825 E. Guadalupe Road,AZ,85283
Paradise Bakery and Cafe,St. George,100,1000000SANTA,231 Red Cliffs Drive,UT,84790
Paradise Bakery and Cafe,Peoria,104,1040000SANTA,7635 W. Bell Road,AZ,85382
Paradise Bakery and Cafe,Logan,107,1070000SANTA,1300 N. Main Street,UT,84341
