Keywords,city,store_number,store_number,address,state,zip_code
Publix,Clermont,3403,3403 #03403 #3403,4311 S Highway 27,FL,34711
Publix,The Villages,4,4 #04 #4,8780 SE 165th Mulberry Ln,FL,32162-5861
Publix,Wesley Chapel,6,6 #06 #6,1920 County Road 581,FL,33544-9262
Publix,Miami,10,10 #010 #10,8341 W Flagler St,FL,33144-2029
Publix,Lakeland,11,11 #011 #11,1617 US Highway 98 S,FL,33801-6585
Publix,Pembroke Pines,12,12 #012 #12,600 N University Dr,FL,33024-6731
Publix,Clermont,15,15 #015 #15,250 Citrus Tower Blvd,FL,34711-2790
Publix,Irmo,17,17 #017 #17,7320 Broad River Rd,SC,29063-9656
Publix,Jacksonville,19,19 #019 #19,731 Duval Station Rd Ste 4,FL,32218-0804
Publix,Weston,21,21 #021 #21,2465 Glades Cir,FL,33327-2204
Publix,Sarasota,22,22 #022 #22,5100 Clark Rd,FL,34233-3226
Publix,Greenacres,23,23 #023 #23,6790 Forest Hill Blvd,FL,33413-3351
Publix,Miami,24,24 #024 #24,10201 Hammocks Blvd Ste 111,FL,33196-3780
Publix,Cumming,26,26 #026 #26,1735 Buford Hwy,GA,30041-1266
Publix,Clermont,27,27 #027 #27,13900 County Road 455,FL,34711-9052
Publix,Saint Petersburg,28,28 #028 #28,250 3rd St S,FL,33701-4235
Publix,Aventura,30,30 #030 #30,2952 Aventura Blvd,FL,33180-3103
Publix,Doral,31,31 #031 #31,9755 NW 41st St,FL,33178-2381
Publix,Naples,32,32 #032 #32,4370 Thomasson Dr,FL,34112-6725
Publix,Marietta,33,33 #033 #33,3605 Sandy Plains Rd Ste 200,GA,30066-3066
Publix,Simpsonville,35,35 #035 #35,2700 Woodruff Rd,SC,29681-4804
Publix,Madeira Beach,37,37 #037 #37,662 150th Ave,FL,33708-2812
Publix,Canton,42,42 #042 #42,12424 Cumming Hwy,GA,30115-7778
Publix,Miami,44,44 #044 #44,7805 SW 40th St,FL,33155-3547
Publix,Decatur,45,45 #045 #45,1605 Beltline Rd SW,AL,35601-5591
Publix,North Miami,46,46 #046 #46,12850 Biscayne Blvd,FL,33181-2007
Publix,Cumming,49,49 #049 #49,3480 Keith Bridge Rd,GA,30041-5568
Publix,West Palm Beach,50,50 #050 #50,828 Southern Blvd,FL,33405-2530
Publix,Coral Gables,51,51 #051 #51,1500 S Douglas Rd,FL,33134-4108
Publix,Hollywood,53,53 #053 #53,5211 Sheridan St,FL,33021-3344
Publix,Miami,54,54 #054 #54,311 SW 7th St,FL,33130-2917
Publix,Palm Springs,55,55 #055 #55,1700 S Congress Ave,FL,33461-2140
Publix,Lighthouse Point,56,56 #056 #56,3700 N Federal Hwy,FL,33064-6610
Publix,Fort Myers,59,59 #059 #59,6900 Daniels Pkwy Ste 19,FL,33912-1586
Publix,Ocala,61,61 #061 #61,3450 E Silver Springs Blvd,FL,34470-6406
Publix,Winter Springs,62,62 #062 #62,1160 E State Road 434,FL,32708-2715
Publix,Sarasota,63,63 #063 #63,935 N Beneva Rd Ste 101,FL,34232-1399
Publix,Sunny Isles Beach,66,66 #066 #66,18330 Collins Ave,FL,33160-2429
Publix,Columbia,67,67 #067 #67,2800 Rosewood Dr,SC,29205-3412
Publix,Miami,69,69 #069 #69,13820 SW 88th St,FL,33186-1304
Publix,Fort Lauderdale,70,70 #070 #70,3400 N Federal Hwy,FL,33306-1036
Publix,Saint Petersburg,71,71 #071 #71,3501 49th St N,FL,33710-2149
Publix,Boca Raton,72,72 #072 #72,1968 NE 5th Ave,FL,33431-7702
Publix,Surfside,73,73 #073 #73,9400 Harding Ave,FL,33154-2804
Publix,Lilburn,74,74 #074 #74,375 Rockbridge Rd NW,GA,30047-8225
Publix,Tuscaloosa,75,75 #075 #75,4851 Rice Mine Rd NE Ste 200,AL,35406-3571
Publix,Palm Coast,77,77 #077 #77,298 Palm Coast Pkwy NE,FL,32137-8217
Publix,Sebring,78,78 #078 #78,2824 US Highway 27 S,FL,33870-5050
Publix,North Miami Beach,80,80 #080 #80,850 N Miami Beach Blvd,FL,33162-3701
Publix,Coral Gables,84,84 #084 #84,2551 S Le Jeune Rd,FL,33134-5805
Publix,Roswell,86,86 #086 #86,4401 Shallowford Rd,GA,30075-3193
Publix,Hollywood,88,88 #088 #88,1735 E Young Cir,FL,33020-6824
Publix,Miami Beach,91,91 #091 #91,1045 Dade Blvd,FL,33139-1509
Publix,Stockbridge,92,92 #092 #92,250 E Atlanta Rd,GA,30281-3414
Publix,Coral Gables,94,94 #094 #94,1401 Monza Ave,FL,33146-3117
Publix,Seminole,95,95 #095 #95,10801 Starkey Rd Ste 200,FL,33777-1161
Publix,Lake Wales,97,97 #097 #97,23965 Hwy 27,FL,33859-7812
Publix,Largo,98,98 #098 #98,12022 Indian Rocks Rd,FL,33774-3215
Publix,Saint Augustine,99,99 #099 #99,125 Jenkins St,FL,32086-5167
Publix,New Port Richey,102,102 #0102 #102,9850 Little Rd,FL,34654-3470
Publix,Seffner,103,103 #0103 #103,11782 E Dr Martin Luther King Jr Blvd,FL,33584-4923
Publix,Clearwater,104,104 #0104 #104,200 Island Way,FL,33767-2228
Publix,Cocoa Beach,107,107 #0107 #107,2067 N Atlantic Ave,FL,32931-3312
Publix,Braselton,108,108 #0108 #108,2095 Highway 211 NW,GA,30517-3402
Publix,Pinellas Park,111,111 #0111 #111,7333 Park Blvd N,FL,33781-2922
Publix,Miami,112,112 #0112 #112,9420 SW 56th St,FL,33165-6422
Publix,Wilton Manors,114,114 #0114 #114,100 W Oakland Park Blvd,FL,33311-2522
Publix,Okeechobee,118,118 #0118 #118,3551 US Highway 441 S,FL,34974-6247
