Keywords,city, Agg store_number,store_number,address,state,zip_code
RaceTrac,Watkinsville,51,000051 000000000051 051 51 RACETRAC051 RACETRAC51 ,7921 Macon Hwy.,GA,30677
RaceTrac,Kennesaw,52,000052 000000000052 052 52 RACETRAC052 RACETRAC52 ,1625 Old Highway 41,GA,30152
RaceTrac,Mableton,53,000053 000000000053 053 53 RACETRAC053 RACETRAC53 ,5350 Floyd Road,GA,30126-2216
RaceTrac,Snellville,55,000055 000000000055 055 55 RACETRAC055 RACETRAC55 ,3840 Stone Mountain Hwy.,GA,30039
RaceTrac,N. Lauderdale,57,000057 000000000057 057 57 RACETRAC057 RACETRAC57 ,7350 West McNab Road,FL,33068
RaceTrac,Crystal River,59,000059 000000000059 059 59 RACETRAC059 RACETRAC59 ,1030 S.E. US Hwy. 19,FL,34428
RaceTrac,Kissimmee,62,000062 000000000062 062 62 RACETRAC062 RACETRAC62 ,901 E. Vine Street,FL,34744
RaceTrac,Stuart,63,000063 000000000063 063 63 RACETRAC063 RACETRAC63 ,1755 NW Federal Hwy.,FL,34994
RaceTrac,Addison,64,000064 000000000064 064 64 RACETRAC064 RACETRAC64 ,15196 Marsh Lane,TX,75001
RaceTrac,Burleson,68,000068 000000000068 068 68 RACETRAC068 RACETRAC68 ,775 NE Alsbury Blvd.,TX,76028
RaceTrac,Baton Rouge,69,000069 000000000069 069 69 RACETRAC069 RACETRAC69 ,2330 O'Neal Lane,LA,70816
RaceTrac,McDonough,72,000072 000000000072 072 72 RACETRAC072 RACETRAC72 ,1320 Hwy. 20 W,GA,30253
RaceTrac,Grand Prairie,73,000073 000000000073 073 73 RACETRAC073 RACETRAC73 ,1525 N. Belt Line Rd.,TX,75050
RaceTrac,Jefferson,74,000074 000000000074 074 74 RACETRAC074 RACETRAC74 ,4752 Highway 129 North,GA,30549
RaceTrac,Canton,75,000075 000000000075 075 75 RACETRAC075 RACETRAC75 ,9665 Knox Bridge Hwy.,GA,30114
RaceTrac,Hiram,76,000076 000000000076 076 76 RACETRAC076 RACETRAC76 ,5882 Wendy Bagwell Parkway,GA,30141
RaceTrac,Carrollton,77,000077 000000000077 077 77 RACETRAC077 RACETRAC77 ,4788 N. Josey Lane,TX,75010
RaceTrac,Marietta,78,000078 000000000078 078 78 RACETRAC078 RACETRAC78 ,2491 Macland Rd. SW,GA,30064
RaceTrac,Murphy,79,000079 000000000079 079 79 RACETRAC079 RACETRAC79 ,401 E. FM 544,TX,75094
RaceTrac,Woodstock,80,000080 000000000080 080 80 RACETRAC080 RACETRAC80 ,7499 Hwy. 92,GA,30189
RaceTrac,Jacksonville,81,000081 000000000081 081 81 RACETRAC081 RACETRAC81 ,8240 Merrill Rd.,FL,32277
RaceTrac,Lake Wales,82,000082 000000000082 082 82 RACETRAC082 RACETRAC82 ,24224 U.S. Hwy. 27,FL,33859
RaceTrac,Hammond,84,000084 000000000084 084 84 RACETRAC084 RACETRAC84 ,3090 Hwy. 190 W,LA,70401
