keywords,city,Agg store_number,store_number,address,state,zip_code
Ralphs,La Crescenta,70300001,70300001,2675 Foothill Blvd,CA,91214
Ralphs,Laguna Beach,70300004,70300004,700 S Coast Hwy,CA,92651
Ralphs,Duarte,70300005,70300005,1193 Huntington Dr,CA,91010
Ralphs,Encino,70300006,70300006,17840 Ventura Blvd,CA,91316
Ralphs,Orange,70300008,70300008,1435 W Chapman Ave,CA,92868
Ralphs,Westlake Village,70300009,70300009,3963 E Thousand Oaks Blvd,CA,91362
Ralphs,Goleta,70300010,70300010,5170 Hollister Ave,CA,93111
Ralphs,Rancho Cucamonga,70300013,70300013,7369 Milliken Ave,CA,91730
Ralphs,San Clemente,70300015,70300015,638 Camino De Los Mares,CA,92673
Ralphs,Los Angeles,70300016,70300016,670 S Western Ave,CA,90005
Ralphs,Sun Valley,70300017,70300017,8325 Laurel Canyon Blvd,CA,91352
Ralphs,Santa Ana,70300018,70300018,2741 W Macarthur Blvd,CA,92704
Ralphs,San Diego,70300019,70300019,11875 Carmel Mountain Rd,CA,92128
Ralphs,Huntington Beach,70300020,70300020,10081 Adams Ave,CA,92646
Ralphs,South Pasadena,70300021,70300021,1745 Garfield Ave,CA,91030
Ralphs,Los Angeles,70300022,70300022,645 W 9Th St,CA,90015
Ralphs,Agoura,70300026,70300026,5727 Kanan Rd,CA,91301
Ralphs,Palm Desert,70300027,70300027,74884 Country Club Dr,CA,92260
Ralphs,Los Angeles,70300032,70300032,3410 W 3Rd St,CA,90020
Ralphs,Costa Mesa,70300033,70300033,380 E 17Th St,CA,92627
Ralphs,Laguna Niguel,70300034,70300034,27871 La Paz Rd,CA,92677
Ralphs,Los Angeles,70300039,70300039,260 S La Brea Ave,CA,90036
Ralphs,Pico Rivera,70300040,70300040,9320 Slauson Ave,CA,90660
Ralphs,Arcadia,70300041,70300041,211 E Foothill Blvd,CA,91006
Ralphs,Los Angeles,70300044,70300044,12057 Wilshire Blvd,CA,90025
Ralphs,Corona,70300045,70300045,12660 Limonite Ave,CA,92880
Ralphs,Van Nuys,70300047,70300047,7221 Woodman Ave,CA,91405
Ralphs,Los Angeles,70300048,70300048,3300 W Slauson Ave,CA,90043
Ralphs,Sunland,70300049,70300049,10455 Sunland Blvd,CA,91040
Ralphs,San Diego,70300051,70300051,1030 University Ave,CA,92103
Ralphs,Simi Valley,70300052,70300052,2726 E Los Angeles Ave,CA,93065
Ralphs,Temple City,70300053,70300053,9470 Las Tunas Dr,CA,91780
Ralphs,Oceanside,70300054,70300054,101 Old Grove Rd,CA,92057
Ralphs,La Canada,70300055,70300055,521 Foothill Blvd,CA,91011
Ralphs,North Hollywood,70300056,70300056,10900 Magnolia Blvd,CA,91601
Ralphs,El Cajon,70300057,70300057,2652 Jamacha Rd,CA,92019
Ralphs,Long Beach,70300058,70300058,3380 N Los Coyotes Diagonal,CA,90808
Ralphs,Fountain Valley,70300059,70300059,18405 Brookhurst St,CA,92708
Ralphs,Glendale,70300060,70300060,1416 E Colorado St,CA,91205
Ralphs,Port Hueneme,70300062,70300062,615 W Channel Islands Blvd,CA,93041
Ralphs,Van Nuys,70300063,70300063,12921 Magnolia Blvd,CA,91423
Ralphs,Whittier,70300064,70300064,14919 Whittier Blvd,CA,90605
Ralphs,Fullerton,70300067,70300067,3330 Yorba Linda Blvd,CA,92831
Ralphs,Villa Park,70300068,70300068,17801 Santiago Blvd,CA,92861
Ralphs,Woodland Hills,70300070,70300070,20060 Ventura Blvd,CA,91364
Ralphs,Garden Grove,70300071,70300071,12051 Euclid St,CA,92840
Ralphs,Fullerton,70300072,70300072,1121 N Harbor Blvd,CA,92832
Ralphs,Long Beach,70300073,70300073,5760 E 7Th St,CA,90803
Ralphs,Chula Vista,70300075,70300075,780 Otay Lakes Rd,CA,91910
Ralphs,Mission Viejo,70300076,70300076,25104 Marguerite Pkwy,CA,92692
Ralphs,San Diego,70300077,70300077,5680 Mission Center Rd,CA,92108
Ralphs,Rancho Santa Margarita,70300078,70300078,31481 Santa Margarita Pkwy.,CA,92688
Ralphs,Lake Forest,70300079,70300079,21751 Lake Forest Dr,CA,92630
Ralphs,Irvine,70300080,70300080,17605 Harvard Ave,CA,92614
Ralphs,Woodland Hills,70300081,70300081,21909 Ventura Blvd,CA,91364
Ralphs,Cerritos,70300083,70300083,13321 South St,CA,90703
Ralphs,Castaic,70300084,70300084,29675 The Old Rd,CA,91384
Ralphs,Bellflower,70300085,70300085,16123 Bellflower Blvd,CA,90706
Ralphs,Culver City,70300086,70300086,3827 Culver Ctr,CA,90232
Ralphs,San Pedro,70300087,70300087,1050 N Western Ave,CA,90732
Ralphs,Torrance,70300088,70300088,5035 Pacific Coast Hwy,CA,90505
Ralphs,Escondido,70300090,70300090,2417 E Valley Pkwy,CA,92027
Ralphs,Monterey Park,70300095,70300095,2230 S Atlantic Blvd,CA,91754
Ralphs,Pasadena,70300096,70300096,160 N Lake Ave,CA,91101
Ralphs,Glendale,70300097,70300097,1200 N Central Ave,CA,91202
Ralphs,Riverside,70300098,70300098,3350 La Sierra Ave,CA,92503
Ralphs,Foothill Ranch,70300099,70300099,26751 Portola Pkwy,CA,92610
Ralphs,West Hollywood,70300100,70300100,7257 W Sunset Blvd,CA,90046
Ralphs,San Diego,70300105,70300105,10525 4S Commons Dr,CA,92127
Ralphs,La Jolla,70300108,70300108,8657 Villa La Jolla Dr,CA,92037
Ralphs,Oceanside,70300109,70300109,1702 Oceanside Blvd,CA,92054
Ralphs,Torrance,70300110,70300110,3455 Sepulveda Blvd,CA,90505
Ralphs,Gardena,70300111,70300111,2201 W Redondo Beach Blvd,CA,90247
Ralphs,Fontana,70300113,70300113,16225 Sierra Lakes Pkwy,CA,92336
Ralphs,Buena Park,70300115,70300115,6080 Ball Rd,CA,90620
Ralphs,Anaheim,70300116,70300116,2030 E Lincoln Ave,CA,92806
Ralphs,Mission Viejo,70300117,70300117,27730 Santa Margarita Pkwy,CA,92691
Ralphs,Murrieta,70300118,70300118,23801 Washington Ave,CA,92562
Ralphs,Redondo Beach,70300120,70300120,1413 Hawthorne Blvd,CA,90278
Ralphs,San Diego,70300123,70300123,101 G St,CA,92101
Ralphs,Northridge,70300127,70300127,19781 Rinaldi St,CA,91326
Ralphs,Huntington Beach,70300131,70300131,5241 Warner Ave,CA,92649
Ralphs,Torrance,70300132,70300132,1770 W Carson St,CA,90501
Ralphs,Studio City,70300133,70300133,10901 Ventura Blvd,CA,91604
Ralphs,Glendale,70300134,70300134,211 N Glendale Ave,CA,91206
Ralphs,Anaheim,70300135,70300135,711 S Weir Canyon Rd,CA,92808
Ralphs,Corona,70300136,70300136,2661 Green River Rd,CA,92882
Ralphs,Oceanside,70300138,70300138,3533 Cannon Rd,CA,92056
Ralphs,Tustin,70300139,70300139,13321 Jamboree Rd,CA,92782
Ralphs,Menifee,70300140,70300140,30125 Antelope Rd,CA,92584
Ralphs,Riverside,70300144,70300144,6155 Magnolia Ave,CA,92506
Ralphs,Riverside,70300145,70300145,315 E Alessandro Blvd,CA,92508
Ralphs,Valencia,70300147,70300147,27760 Mcbean Pkwy,CA,91354
Ralphs,Orange,70300148,70300148,2620 E Chapman Ave,CA,92869
Ralphs,Irvine,70300154,70300154,5345 Alton Pkwy,CA,92604
Ralphs,Los Angeles,70300156,70300156,10309 W Olympic Blvd,CA,90064
Ralphs,San Diego,70300159,70300159,3011 Alta View Dr,CA,92139
Ralphs,Indio,70300160,70300160,49908 Jefferson St,CA,92201
Ralphs,Irvine,70300161,70300161,14400 Culver Dr,CA,92604
Ralphs,Whittier,70300162,70300162,8510 Painter Ave,CA,90602
Ralphs,San Juan Capistrano,70300163,70300163,31874 Del Obispo St,CA,92675
Ralphs,Lakewood,70300165,70300165,5951 Del Amo Blvd,CA,90713
Ralphs,Manhattan Beach,70300166,70300166,2700 N Sepulveda Blvd,CA,90266
Ralphs,San Diego,70300167,70300167,3455 Del Mar Heights Rd,CA,92130
Ralphs,Encinitas,70300168,70300168,125 N El Camino Real,CA,92024
Ralphs,Glendora,70300171,70300171,655 S Grand Ave,CA,91740
Ralphs,Norwalk,70300172,70300172,11541 Rosecrans Ave,CA,90650
Ralphs,Downey,70300173,70300173,9200 Lakewood Blvd,CA,90240
Ralphs,Carlsbad,70300175,70300175,7140 Avenida Encinas,CA,92011
Ralphs,Long Beach,70300178,70300178,6290 E Pacific Coast Hwy,CA,90803
Ralphs,Indian Wells,70300179,70300179,74895 Highway 111,CA,92210
Ralphs,Palm Springs,70300181,70300181,1733 E Palm Canyon Dr,CA,92264
Ralphs,Los Angeles,70300185,70300185,5245 W Centinela Ave,CA,90045
Ralphs,Long Beach,70300186,70300186,1930 N Lakewood Blvd,CA,90815
Ralphs,Tustin,70300187,70300187,1114 Irvine Blvd,CA,92780
Ralphs,Dana Point,70300188,70300188,24871 Del Prado,CA,92629
Ralphs,Van Nuys,70300189,70300189,17250 Saticoy St,CA,91406
Ralphs,Oxnard,70300190,70300190,3443 Saviers Rd,CA,93033
Ralphs,Brea,70300192,70300192,305 W Imperial Hwy,CA,92821
Ralphs,Burbank,70300193,70300193,25 E Alameda Ave,CA,91502
Ralphs,La Quinta,70300195,70300195,50929 Washington St,CA,92253
Ralphs,Long Beach,70300196,70300196,2250 E Carson St,CA,90807
Ralphs,Los Angeles,70300198,70300198,9616 W Pico Blvd,CA,90035
Ralphs,Alhambra,70300199,70300199,345 E Main St,CA,91801
Ralphs,San Diego,70300201,70300201,3345 Sports Arena Blvd,CA,92110
Ralphs,Hermosa Beach,70300202,70300202,1100 Pacific Coast Hwy,CA,90254
Ralphs,Calabasas,70300205,70300205,4754 Commons Way,CA,91302
Ralphs,Los Angeles,70300206,70300206,5429 Hollywood Blvd,CA,90027
Ralphs,San Diego,70300207,70300207,4315 Mission Blvd,CA,92109
Ralphs,Los Angeles,70300209,70300209,8824 S Sepulveda Blvd,CA,90045
Ralphs,Los Angeles,70300210,70300210,11727 W Olympic Blvd,CA,90064
Ralphs,San Diego,70300212,70300212,1666 Rosecrans,CA,92106
Ralphs,West Hills,70300213,70300213,22915 Victory Blvd,CA,91307
Ralphs,Encino,70300219,70300219,16325 Ventura Blvd,CA,91436
Ralphs,San Diego,70300220,70300220,6670 Montezuma Rd,CA,92115
Ralphs,San Clemente,70300221,70300221,903 El Camino Real,CA,92672
Ralphs,Sherman Oaks,70300222,70300222,14049 Ventura Blvd.,CA,91423
Ralphs,Laguna Hills,70300223,70300223,25539 Paseo De Valencia,CA,92653
Ralphs,Mission Viejo,70300224,70300224,26911 Trabuco Rd,CA,92691
Ralphs,Cypress,70300233,70300233,4033 Ball Rd,CA,90630
Ralphs,Chula Vista,70300235,70300235,659 E Palomar St,CA,91911
Ralphs,Whittier,70300245,70300245,11825 Whittier Blvd,CA,90601
Ralphs,Lakewood,70300250,70300250,20137 Pioneer Blvd,CA,90715
Ralphs,Long Beach,70300251,70300251,2930 E 4Th St,CA,90814
Ralphs,Carson,70300256,70300256,650 E Carson St,CA,90745
Ralphs,Torrance,70300262,70300262,17500 Crenshaw Blvd,CA,90504
Ralphs,Compton,70300265,70300265,280 E Compton Blvd,CA,90220
Ralphs,Los Angeles,70300266,70300266,11922 S Vermont Ave,CA,90044
Ralphs,Hawthorne,70300269,70300269,11873 Hawthorne Blvd,CA,90250
Ralphs,Los Osos,70300271,70300271,1240 Los Osos Valley Rd,CA,93402
Ralphs,Los Angeles,70300274,70300274,1730 W Manchester Ave,CA,90047
Ralphs,Inglewood,70300277,70300277,950 N La Brea Ave,CA,90302
Ralphs,Los Angeles,70300278,70300278,8701 Lincoln Blvd,CA,90045
Ralphs,Marina Del Rey,70300279,70300279,4700 Admiralty Way,CA,90292
Ralphs,Marina Del Rey,70300280,70300280,4311 Lincoln Blvd,CA,90292
Ralphs,Venice,70300281,70300281,910 Lincoln Blvd,CA,90291
Ralphs,Los Angeles,70300283,70300283,5080 Rodeo Rd,CA,90016
Ralphs,Culver City,70300284,70300284,10772 Jefferson Blvd,CA,90230
Ralphs,San Clemente,70300287,70300287,811 Avenida Talega,CA,92673
Ralphs,Lake Forest,70300288,70300288,23716 El Toro Rd,CA,92630
Ralphs,Los Angeles,70300289,70300289,5601 Wilshire Blvd,CA,90036
Ralphs,Los Angeles,70300291,70300291,4760 W Pico Blvd,CA,90019
Ralphs,Santa Monica,70300292,70300292,1644 Cloverfield Blvd,CA,90404
Ralphs,West Hollywood,70300293,70300293,1233 N La Brea Ave,CA,90038
Ralphs,Los Angeles,70300294,70300294,2600 S Vermont Ave,CA,90007
Ralphs,Downey,70300295,70300295,8626 Firestone Blvd,CA,90241
Ralphs,Anaheim,70300296,70300296,915 S Brookhurst St,CA,92804
Ralphs,Santa Clarita,70300297,70300297,24860 Orchard Village Rd,CA,91355
Ralphs,Oceanside,70300298,70300298,4251 Oceanside Blvd,CA,92056
Ralphs,Irvine,70300299,70300299,6300 Irvine Blvd,CA,92620
Ralphs,Seal Beach,70300604,70300604,12470 Seal Beach Blvd,CA,90740
Ralphs,Riverside,70300609,70300609,5225 Canyon Crest Dr,CA,92507
Ralphs,Palm Springs,70300611,70300611,425 S Sunrise Way Ste A,CA,92262
Ralphs,Chino,70300615,70300615,12835 Mountain Ave,CA,91710
