keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Red Lobster,Tallahassee,17,#17 017 17 US000017,2583 North Monroe St,FL,32303
Red Lobster,Saint Petersburg,19,#19 019 19 US000019,6151 34th Street,FL,33714
Red Lobster,Sarasota,24,#24 024 24 US000024,6747 S Tamiami Trail,FL,34231
Red Lobster,Bradenton,27,#27 027 27 US000027,5711 14th Street West,FL,34207
Red Lobster,Tampa,28,#28 028 28 US000028,2625 East Busch Blvd.,FL,33612
Red Lobster,Fort Lauderdale,29,#29 029 29 US000029,5950 N Federal Hwy,FL,33308
Red Lobster,West Palm Beach,33,#33 033 33 US000033,2201 Palm Beach Lakes Blvd.,FL,33409
Red Lobster,Albany,34,#34 034 34 US000034,2403 N. Slappey Blvd.,GA,31701
Red Lobster,Columbus,35,#35 035 35 US000035,1425 13th Street,GA,31901
Red Lobster,Athens,36,#36 036 36 US000036,1956 W. Broad Street,GA,30606
Red Lobster,Miamisburg,38,#38 038 38 US000038,8200 Springboro Pike,OH,45342
Red Lobster,Pensacola,39,#39 039 39 US000039,5110 N 9th Ave,FL,32504
Red Lobster,Mobile,40,#40 040 40 US000040,3941 Airport Blvd.,AL,36608
Red Lobster,Madison,45,#45 045 45 US000045,1814 Gallatin Pike N,TN,37115
Red Lobster,Vestavia Hills,46,#46 046 46 US000046,1030 Montgomery Highway-S.,AL,35216
Red Lobster,Knoxville,47,#47 047 47 US000047,8040 Kingston Pike,TN,37919
Red Lobster,Macon,48,#48 048 48 US000048,2077 Riverside Drive,GA,31204
Red Lobster,Decatur,49,#49 049 49 US000049,2522 Candler Rd,GA,30032
Red Lobster,Jonesboro,55,#55 055 55 US000055,6550 Tara Blvd,GA,30236
Red Lobster,Saint Louis,56,#56 056 56 US000056,5733 S. Lindbergh Blvd.,MO,63123
Red Lobster,Evansville,58,#58 058 58 US000058,4605 Bellemeade Ave,IN,47714
Red Lobster,Independence,60,#60 060 60 US000060,4328 Noland Rd,MO,64055
Red Lobster,Bridgeton,61,#61 061 61 US000061,12235 Saint Charles Rock Rd,MO,63044
Red Lobster,Springfield,63,#63 063 63 US000063,2141 S. Glenstone Ave,MO,65804
Red Lobster,Terre Haute,70,#70 070 70 US000070,3407 South U.S. Hwy 41,IN,47802
Red Lobster,Daytona,71,#71 071 71 US000071,2625 West International Speedway,FL,32114
Red Lobster,Merritt Island,75,#75 075 75 US000075,215 E Merritt Island Causeway,FL,32952
Red Lobster,Fort Wayne,76,#76 076 76 US000076,4825 Coldwater Road,IN,46825
Red Lobster,Fort Myers,79,#79 079 79 US000079,3801 Cleveland Ave,FL,33901
Red Lobster,Columbus,81,#81 081 81 US000081,2147 S. Hamilton Road,OH,43232
Red Lobster,Indianapolis,82,#82 082 82 US000082,690 East Thompson Road,IN,46227
Red Lobster,Kissimmee,83,#83 083 83 US000083,4010 West Vine Street,FL,34741
Red Lobster,Tucker,91,#91 091 91 US000091,3937 Lavista Road,GA,30084
Red Lobster,Austin,95,#95 095 95 US000095,109 W. Anderson Lane,TX,78752
Red Lobster,Indianapolis,97,#97 097 97 US000097,1752 N. Shadeland Ave,IN,46219
Red Lobster,Orlando,108,#108 0108 108 US0000108,5936 International Drive,FL,32819
Red Lobster,Toledo,109,#109 0109 109 US0000109,4990 Monroe St,OH,43623
Red Lobster,Cincinnati,110,#110 0110 110 US0000110,3564 Springdale Road,OH,45251
Red Lobster,Crestwood,112,#112 0112 112 US0000112,9838 Watson Road,MO,63126
Red Lobster,Omaha,115,#115 0115 115 US0000115,330 S. 72nd Street,NE,68114
Red Lobster,Parma,116,#116 0116 116 US0000116,7607 Day Drive,OH,44129
Red Lobster,Aurora,118,#118 0118 118 US0000118,10854 East Alameda Avenue,CO,80012
Red Lobster,Wheat Ridge,119,#119 0119 119 US0000119,4455 Wadsworth Blvd,CO,80033
Red Lobster,Canton,121,#121 0121 121 US0000121,4600 Belden Village Ave,OH,44718
Red Lobster,Maumee,122,#122 0122 122 US0000122,1422 Reynolds Road,OH,43537
Red Lobster,Dearborn Heights,124,#124 0124 124 US0000124,6850 Telegraph Road,MI,48127
Red Lobster,Westland,125,#125 0125 125 US0000125,5774 North Wayne Road,MI,48185
Red Lobster,Cuyahoga Falls,126,#126 0126 126 US0000126,1090 Graham Road,OH,44224
Red Lobster,Kentwood,129,#129 0129 129 US0000129,3920 28th Street. S.E.,MI,49512
Red Lobster,Bloomington,130,#130 0130 130 US0000130,714 Eldorado Road,IL,61704
Red Lobster,Madison Heights,131,#131 0131 131 US0000131,101 W.12 Mile Road,MI,48071
Red Lobster,Warren,132,#132 0132 132 US0000132,25901 Hoover Road,MI,48089
Red Lobster,Davenport,133,#133 0133 133 US0000133,3420 East Kimberly Road,IA,52807
Red Lobster,Muncie,136,#136 0136 136 US0000136,223 West McGalliard Road,IN,47303
Red Lobster,San Antonio,137,#137 0137 137 US0000137,8210 I-H 35 North,TX,78239
Red Lobster,Matteson,139,#139 0139 139 US0000139,3915 Westt 211th Street,IL,60443
Red Lobster,Suitland,142,#142 0142 142 US0000142,5051 Auth Road,MD,20746
Red Lobster,Greenfield,146,#146 0146 146 US0000146,4645 South 76th Street,WI,53220
Red Lobster,Wauwatosa,150,#150 0150 150 US0000150,2801 North Mayfair Road,WI,53222
Red Lobster,Portage,152,#152 0152 152 US0000152,6535 S Westnedge Avenue,MI,49081
Red Lobster,Virginia Beach,153,#153 0153 153 US0000153,709 Independence Blvd.,VA,23455
Red Lobster,Roseville,154,#154 0154 154 US0000154,2330 Prior Avenue,MN,55113
Red Lobster,Ashwaubenon,155,#155 0155 155 US0000155,1251 Lombardi Access Road,WI,54304
Red Lobster,Golden Valley,157,#157 0157 157 US0000157,8900 Golden Valley Road,MN,55427
