keywords,city,Agg store_number,store_number,address,state,zip_code
Rite Aid,Baltimore,104,#104 104 0104 0104Q05 #104Q05 104Q05,238 McMechen Street,MD,21217
Rite Aid,Kenmore,107,#107 107 0107 0107Q05 #107Q05 107Q05,654 Colvin Avenue,NY,14217
Rite Aid,Man,112,#112 112 0112 0112Q05 #112Q05 112Q05,260 Huff Creek Highway,WV,25635
Rite Aid,Pineville,113,#113 113 0113 0113Q05 #113Q05 113Q05,PO Box 570,WV,24874
Rite Aid,Erwin,114,#114 114 0114 0114Q05 #114Q05 114Q05,1252 North Main Street,TN,37650
Rite Aid,Millville,116,#116 116 0116 0116Q05 #116Q05 116Q05,907 North High Street,NJ,8332
Rite Aid,Centerville,119,#119 119 0119 0119Q05 #119Q05 119Q05,898 South Main Street,OH,45458
Rite Aid,Rainelle,121,#121 121 0121 0121Q05 #121Q05 121Q05,200 Kanawha Avenue,WV,25962
Rite Aid,Willingboro,135,#135 135 0135 0135Q05 #135Q05 135Q05,217 Sunset Road,NJ,8046
Rite Aid,Eleanor,141,#141 141 0141 0141Q05 #141Q05 141Q05,PO Box 298,WV,25070
Rite Aid,Hillsboro,142,#142 142 0142 0142Q05 #142Q05 142Q05,421 North High Street,OH,45133
Rite Aid,Philadelphia,145,#145 145 0145 0145Q05 #145Q05 145Q05,5694 Rising Sun Avenue Ste 11,PA,19120
Rite Aid,Waynesboro,148,#148 148 0148 0148Q05 #148Q05 148Q05,101 Rosser Avenue,VA,22980
Rite Aid,Bayonne,149,#149 149 0149 0149Q05 #149Q05 149Q05,1097 Broadway,NJ,7002
Rite Aid,Lancaster,151,#151 151 0151 0151Q05 #151Q05 151Q05,154 Pleasant Retreat Drive,KY,40444
Rite Aid,Middletown,155,#155 155 0155 0155Q05 #155Q05 155Q05,96 Dolson Avenue,NY,10940
Rite Aid,Middletown,156,#156 156 0156 0156Q05 #156Q05 156Q05,1 Fitzgerald Drive,NY,10940
Rite Aid,New Windsor,159,#159 159 0159 0159Q05 #159Q05 159Q05,393 Windsor Highway,NY,12553
Rite Aid,Newburgh,160,#160 160 0160 0160Q05 #160Q05 160Q05,59 North Plank Road #2,NY,12550
Rite Aid,Catskill,161,#161 161 0161 0161Q05 #161Q05 161Q05,226 West Bridge Street,NY,12414
Rite Aid,Albany,162,#162 162 0162 0162Q05 #162Q05 162Q05,444-A Broadway,NY,12204
Rite Aid,Warrensburg,164,#164 164 0164 0164Q05 #164Q05 164Q05,3864 Main Street,NY,12885
Rite Aid,East Stroudsburg,170,#170 170 0170 0170Q05 #170Q05 170Q05,128 N Courtland Street,PA,18301
Rite Aid,New Castle,172,#172 172 0172 0172Q05 #172Q05 172Q05,2034 New Castle Avenue,DE,19720
Rite Aid,Glenville,173,#173 173 0173 0173Q05 #173Q05 173Q05,902 North Lewis Street,WV,26351
Rite Aid,Philadelphia,174,#174 174 0174 0174Q05 #174Q05 174Q05,1628-36 Chestnut Street,PA,19103
Rite Aid,Woodlyn,180,#180 180 0180 0180Q05 #180Q05 180Q05,1300 West Macdade Boulevard,PA,19094
Rite Aid,Lansdale,183,#183 183 0183 0183Q05 #183Q05 183Q05,10 West Main Street,PA,19446
Rite Aid,Souderton,185,#185 185 0185 0185Q05 #185Q05 185Q05,741 Route 113,PA,18964
Rite Aid,New Britain,186,#186 186 0186 0186Q05 #186Q05 186Q05,Route 202,PA,18901
Rite Aid,Huntingdon Valley,188,#188 188 0188 0188Q05 #188Q05 188Q05,785 Huntingdon Pike,PA,19006
Rite Aid,Spencerport,189,#189 189 0189 0189Q05 #189Q05 189Q05,23 Slayton Avenue,NY,14559
Rite Aid,Franklin,190,#190 190 0190 0190Q05 #190Q05 190Q05,951 Central Street,NH,3235
Rite Aid,Hubbard,193,#193 193 0193 0193Q05 #193Q05 193Q05,147 West Liberty Street,OH,44425
Rite Aid,Youngstown,195,#195 195 0195 0195Q05 #195Q05 195Q05,3527 Canfield Road,OH,44511
Rite Aid,East Hartford,198,#198 198 0198 0198Q05 #198Q05 198Q05,329 Ellington Road,CT,6108
Rite Aid,Pearisburg,199,#199 199 0199 0199Q05 #199Q05 199Q05,121 North Main St.,VA,24134
Rite Aid,Lebanon,200,#200 200 0200 0200Q05 #200Q05 200Q05,1130 Cumberland Street,PA,17042
Rite Aid,Shamokin,205,#205 205 0205 0205Q05 #205Q05 205Q05,26 West Independence Street,PA,17872
Rite Aid,Shenandoah,208,#208 208 0208 0208Q05 #208Q05 208Q05,15 South Main Street,PA,17976
Rite Aid,Jeannette,210,#210 210 0210 0210Q05 #210Q05 210Q05,621 Clay Avenue,PA,15644
Rite Aid,Erie,213,#213 213 0213 0213Q05 #213Q05 213Q05,2715 Parade Street,PA,16504
Rite Aid,Moscow,216,#216 216 0216 0216Q05 #216Q05 216Q05,PO Box 658,PA,18444
Rite Aid,Nanticoke,218,#218 218 0218 0218Q05 #218Q05 218Q05,5 East Main Street,PA,18634
Rite Aid,Denville,219,#219 219 0219 0219Q05 #219Q05 219Q05,123 East Main Street Suite 16,NJ,7834
Rite Aid,Belvidere,220,#220 220 0220 0220Q05 #220Q05 220Q05,2 Upper Sarepta Road,NJ,7823
Rite Aid,Frackville,223,#223 223 0223 0223Q05 #223Q05 223Q05,452 South Lehigh Avenue,PA,17931
Rite Aid,Philadelphia,225,#225 225 0225 0225Q05 #225Q05 225Q05,5612 N. Fifth Street,PA,19120
Rite Aid,Philadelphia,226,#226 226 0226 0226Q05 #226Q05 226Q05,338 East Allegheny Avenue,PA,19134
Rite Aid,Honesdale,229,#229 229 0229 0229Q05 #229Q05 229Q05,1184 Texas Palmyra Highway,PA,18431
Rite Aid,Greencastle,230,#230 230 0230 0230Q05 #230Q05 230Q05,200 North Antrim Way,PA,17225
Rite Aid,Fayetteville,232,#232 232 0232 0232Q05 #232Q05 232Q05,5035 Lincoln Way East,PA,17222
Rite Aid,Huntingdon,233,#233 233 0233 0233Q05 #233Q05 233Q05,9635 William Penn Highway,PA,16652
Rite Aid,Clementon,236,#236 236 0236 0236Q05 #236Q05 236Q05,1360 Blackwood Clementon Rd.,NJ,8021
Rite Aid,Wharton,237,#237 237 0237 0237Q05 #237Q05 237Q05,350 North Main Street,NJ,7885
Rite Aid,Bergenfield,238,#238 238 0238 0238Q05 #238Q05 238Q05,10 Portland Avenue,NJ,7621
Rite Aid,Philadelphia,242,#242 242 0242 0242Q05 #242Q05 242Q05,730-32 Market Street,PA,19106
Rite Aid,Lebanon,245,#245 245 0245 0245Q05 #245Q05 245Q05,2 Cumberland Street,PA,17042
Rite Aid,Hershey,246,#246 246 0246 0246Q05 #246Q05 246Q05,337 West Chocolate Avenue,PA,17033
Rite Aid,Marion,256,#256 256 0256 0256Q05 #256Q05 256Q05,1081 Mount Vernon Avenue,OH,43302
Rite Aid,Liberty,257,#257 257 0257 0257Q05 #257Q05 257Q05,1934 State Route 52,NY,12754
Rite Aid,Elmira,260,#260 260 0260 0260Q05 #260Q05 260Q05,1000 Pennsylvania Avenue,NY,14904
Rite Aid,Greensburg,263,#263 263 0263 0263Q05 #263Q05 263Q05,685 North Main Street,PA,15601
Rite Aid,Indiana,264,#264 264 0264 0264Q05 #264Q05 264Q05,375 Philadelphia Street,PA,15701
Rite Aid,Pittsburgh,268,#268 268 0268 0268Q05 #268Q05 268Q05,5504 Walnut Street,PA,15232
Rite Aid,Pittsburgh,269,#269 269 0269 0269Q05 #269Q05 269Q05,230 Hays Avenue,PA,15210
Rite Aid,Pittsburgh,272,#272 272 0272 0272Q05 #272Q05 272Q05,209 Atwood Street,PA,15213
Rite Aid,Pittsburgh,273,#273 273 0273 0273Q05 #273Q05 273Q05,2300 Jane Street,PA,15203
Rite Aid,Pittsburgh,274,#274 274 0274 0274Q05 #274Q05 274Q05,1700 Murray Avenue,PA,15217
Rite Aid,Marion,277,#277 277 0277 0277Q05 #277Q05 277Q05,332 South Main Street,OH,43302
Rite Aid,Westminster,278,#278 278 0278 0278Q05 #278Q05 278Q05,537 Jermor Lane,MD,21157
Rite Aid,Ravenswood,280,#280 280 0280 0280Q05 #280Q05 280Q05,406 Washington Street,WV,26164
Rite Aid,Richwood,284,#284 284 0284 0284Q05 #284Q05 284Q05,8 Cherry River Plaza,WV,26261
Rite Aid,Castleton,285,#285 285 0285 0285Q05 #285Q05 285Q05,1645 Columbia Turnpike,NY,12033
Rite Aid,Hinton,286,#286 286 0286 0286Q05 #286Q05 286Q05,513 Stokes Drive,WV,25951
Rite Aid,Frostburg,287,#287 287 0287 0287Q05 #287Q05 287Q05,101 Bishop Murphy Drive,MD,21532
Rite Aid,Shillington,290,#290 290 0290 0290Q05 #290Q05 290Q05,500 East Lancaster Avenue,PA,19607
Rite Aid,Quakertown,291,#291 291 0291 0291Q05 #291Q05 291Q05,345 West Broad Street,PA,18951
Rite Aid,Warminster,293,#293 293 0293 0293Q05 #293Q05 293Q05,599 York Road,PA,18974
Rite Aid,Charleston,294,#294 294 0294 0294Q05 #294Q05 294Q05,6401 Sissonville Drive,WV,25312
Rite Aid,Louisa,295,#295 295 0295 0295Q05 #295Q05 295Q05,4311 Highway 2565,KY,41230
Rite Aid,Brattleboro,297,#297 297 0297 0297Q05 #297Q05 297Q05,896 Putney Road Suite 25,VT,5301
Rite Aid,Ellicott City,314,#314 314 0314 0314Q05 #314Q05 314Q05,9150 Baltimore National Pike,MD,21042
Rite Aid,Baltimore,318,#318 318 0318 0318Q05 #318Q05 318Q05,9708 Belair Road,MD,21236
Rite Aid,Berlin,319,#319 319 0319 0319Q05 #319Q05 319Q05,10119 Old Ocean City Blvd.,MD,21811
Rite Aid,Oxford,321,#321 321 0321 0321Q05 #321Q05 321Q05,455 North 3rd Street,PA,19363
Rite Aid,Baltimore,324,#324 324 0324 0324Q05 #324Q05 324Q05,140 Back River Neck Rd.,MD,21221
Rite Aid,Baltimore,326,#326 326 0326 0326Q05 #326Q05 326Q05,301 West Lexington Street,MD,21201
Rite Aid,Baltimore,334,#334 334 0334 0334Q05 #334Q05 334Q05,711 West 40th Street,MD,21211
Rite Aid,Baltimore,336,#336 336 0336 0336Q05 #336Q05 336Q05,3133 Greenmount Avenue,MD,21218
Rite Aid,Baltimore,337,#337 337 0337 0337Q05 #337Q05 337Q05,3935-37 Erdman Avenue,MD,21213
Rite Aid,Baltimore,339,#339 339 0339 0339Q05 #339Q05 339Q05,29-31 Shipping Place,MD,21222
Rite Aid,Westminster,347,#347 347 0347 0347Q05 #347Q05 347Q05,"250 Englar Road, Ste 22",MD,21157
Rite Aid,Baltimore,349,#349 349 0349 0349Q05 #349Q05 349Q05,4380 Park Heights Ave.,MD,21215
Rite Aid,Baltimore,350,#350 350 0350 0350Q05 #350Q05 350Q05,3425 Belair Road,MD,21213
Rite Aid,Baltimore,352,#352 352 0352 0352Q05 #352Q05 352Q05,3700 Falls Road,MD,21211
Rite Aid,Baltimore,354,#354 354 0354 0354Q05 #354Q05 354Q05,2043 Mondawmin Mall,MD,21215
Rite Aid,Baltimore,355,#355 355 0355 0355Q05 #355Q05 355Q05,125 East Baltimore Street,MD,21202
Rite Aid,Baltimore,356,#356 356 0356 0356Q05 #356Q05 356Q05,3804 Liberty Heights Avenue,MD,21215
Rite Aid,Baltimore,362,#362 362 0362 0362Q05 #362Q05 362Q05,4600 West Northern Parkway,MD,21215
Rite Aid,Elkton,365,#365 365 0365 0365Q05 #365Q05 365Q05,728 East Pulaski Highway,MD,21921
Rite Aid,Baltimore,366,#366 366 0366 0366Q05 #366Q05 366Q05,2497 Frederick Avenue,MD,21223
Rite Aid,Baltimore,367,#367 367 0367 0367Q05 #367Q05 367Q05,4214 Frankford Avenue,MD,21206
Rite Aid,Baltimore,368,#368 368 0368 0368Q05 #368Q05 368Q05,1538-42 Havenwood Road,MD,21218
Rite Aid,Baltimore,369,#369 369 0369 0369Q05 #369Q05 369Q05,7651 Harford Road,MD,21234
Rite Aid,Baltimore,372,#372 372 0372 0372Q05 #372Q05 372Q05,6838 Loch Raven Boulevard,MD,21286
Rite Aid,Baltimore,373,#373 373 0373 0373Q05 #373Q05 373Q05,1340 Eastern Boulevard,MD,21221
Rite Aid,Baltimore,374,#374 374 0374 0374Q05 #374Q05 374Q05,5624 Baltimore National Pk,MD,21228
Rite Aid,Arbutus,377,#377 377 0377 0377Q05 #377Q05 377Q05,4733 Westland Boulevard,MD,21227
Rite Aid,Baltimore,381,#381 381 0381 0381Q05 #381Q05 381Q05,1762 Merritt Blvd.,MD,21222
Rite Aid,Reisterstown,382,#382 382 0382 0382Q05 #382Q05 382Q05,11917-19 Reisterstown Rd,MD,21136
Rite Aid,Baltimore,383,#383 383 0383 0383Q05 #383Q05 383Q05,4339 Ebenezer Road,MD,21236
Rite Aid,Ellicott City,384,#384 384 0384 0384Q05 #384Q05 384Q05,8601 Baltimore National Pike,MD,21043
Rite Aid,Baltimore,385,#385 385 0385 0385Q05 #385Q05 385Q05,5804 Ritchie Highway,MD,21225
Rite Aid,Severna Park,386,#386 386 0386 0386Q05 #386Q05 386Q05,25 Jones Station Road West,MD,21146
Rite Aid,Randallstown,390,#390 390 0390 0390Q05 #390Q05 390Q05,8634 Liberty Road,MD,21133
Rite Aid,Lutherville,391,#391 391 0391 0391Q05 #391Q05 391Q05,1411 York Road,MD,21093
Rite Aid,Cockeysville,392,#392 392 0392 0392Q05 #392Q05 392Q05,122 Cranbrook Road,MD,21030
Rite Aid,Milford,406,#406 406 0406 0406Q05 #406Q05 406Q05,86 Elm Street,NH,3055
Rite Aid,New Brunswick,407,#407 407 0407 0407Q05 #407Q05 407Q05,366 George Street,NJ,8901
