Keywords,city,Agg store_number,store_number,address,state,zip_code
Sheetz,Altoona,7,00007 000007 0007 007 07 7,5706 6th Ave,PA,16602
Sheetz,Huntingdon,10,000010 0000010 00010 0010 010 10,1330 Moore St,PA,16652
Sheetz,Altoona,11,000011 0000011 00011 0011 011 11,1230 14th Ave,PA,16601
Sheetz,Altoona,14,000014 0000014 00014 0014 014 14,3315 Beale Ave,PA,16601
Sheetz,Tyrone,15,000015 0000015 00015 0015 015 15,1400 Logan Ave,PA,16686
Sheetz,Indiana,19,000019 0000019 00019 0019 019 19,768 Wayne Ave,PA,15701
Sheetz,Johnstown,21,000021 0000021 00021 0021 021 21,490 Central Ave,PA,15902
Sheetz,Johnstown,22,000022 0000022 00022 0022 022 22,208 Haynes St,PA,15901
Sheetz,Everett,23,000023 0000023 00023 0023 023 23,11 W Main St,PA,15537
Sheetz,Windber,27,000027 0000027 00027 0027 027 27,1500 Graham Ave,PA,15963
Sheetz,Bedford,28,000028 0000028 00028 0028 028 28,9402 Lincoln Hwy,PA,15522
Sheetz,Blairsville,29,000029 0000029 00029 0029 029 29,5 E Market St,PA,15717
Sheetz,Indiana,31,000031 0000031 00031 0031 031 31,380 Philadelphia St,PA,15701
Sheetz,Mcconnellsburg,32,000032 0000032 00032 0032 032 32,720 Lincoln Way E,PA,17233
Sheetz,Altoona,33,000033 0000033 00033 0033 033 33,718 Bellwood Rd,PA,16601
Sheetz,Altoona,34,000034 0000034 00034 0034 034 34,1701 7th Ave,PA,16602
Sheetz,Duncansville,35,000035 0000035 00035 0035 035 35,1371 Plank Rd,PA,16635
Sheetz,Altoona,38,000038 0000038 00038 0038 038 38,405 East 25th Ave,PA,16601
Sheetz,Mount Union,40,000040 0000040 00040 0040 040 40,201 N Jefferson St,PA,17066
Sheetz,Cumberland,41,000041 0000041 00041 0041 041 41,2045 Bedford St,MD,21502
Sheetz,Hancock,43,000043 0000043 00043 0043 043 43,192 W Main St,MD,21750
Sheetz,Ebensburg,45,000045 0000045 00045 0045 045 45,948 W High St,PA,15931
Sheetz,Cresaptown,46,000046 0000046 00046 0046 046 46,14606 Mcmullen Hwy Sw,MD,21502
Sheetz,Nanty Glo,48,000048 0000048 00048 0048 048 48,115 Pace St,PA,15943
Sheetz,Portage,49,000049 0000049 00049 0049 049 49,101 Main St,PA,15946
Sheetz,Cumberland,51,000051 0000051 00051 0051 051 51,210 Greene St,MD,21502
Sheetz,Patton,52,000052 0000052 00052 0052 052 52,304 Magee Ave,PA,16668
Sheetz,Northern Cambria,55,000055 0000055 00055 0055 055 55,4025 Crawford Ave,PA,15714
Sheetz,Somerset,57,000057 0000057 00057 0057 057 57,457 E Main St,PA,15501
Sheetz,Clarion,58,000058 0000058 00058 0058 058 58,1281 E Main St,PA,16214
Sheetz,Latrobe,59,000059 0000059 00059 0059 059 59,2853 Ligonier St,PA,15650
Sheetz,Somerset,60,000060 0000060 00060 0060 060 60,118 S Rosina Ave,PA,15501
Sheetz,Clymer,61,000061 0000061 00061 0061 061 61,825 Franklin St,PA,15728
Sheetz,Frostburg,62,000062 0000062 00062 0062 062 62,10601 New Georges Creek Rd Sw,MD,21532
Sheetz,Dubois,63,000063 0000063 00063 0063 063 63,701 E Dubois Ave,PA,15801
Sheetz,Philipsburg,64,000064 0000064 00064 0064 064 64,808 N Front St,PA,16866
Sheetz,Johnstown,65,000065 0000065 00065 0065 065 65,1000 Broad St,PA,15906
Sheetz,Brookville,66,000066 0000066 00066 0066 066 66,300 W Main St,PA,15825
Sheetz,Williamsport,68,000068 0000068 00068 0068 068 68,100 E Potomac St,MD,21795
Sheetz,Chambersburg,69,000069 0000069 00069 0069 069 69,1 Monticello Ct,PA,17201
Sheetz,Shippensburg,70,000070 0000070 00070 0070 070 70,359 E King St,PA,17257
Sheetz,Youngwood,72,000072 0000072 00072 0072 072 72,301 N 3rd St,PA,15697
Sheetz,Clearfield,73,000073 0000073 00073 0073 073 73,101 Nichols St,PA,16830
Sheetz,Hagerstown,74,000074 0000074 00074 0074 074 74,700 Potomac Ave,MD,21740
Sheetz,Slippery Rock,75,000075 0000075 00075 0075 075 75,107 Franklin St,PA,16057
Sheetz,Chambersburg,76,000076 0000076 00076 0076 076 76,1315 Lincoln Way E,PA,17201
Sheetz,Punxsutawney,79,000079 0000079 00079 0079 079 79,100 Elk Run Ave,PA,15767
