keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Smart & Final,Long Beach,301,301XXXXXXX 301XXXXXXXX,1755 Ximeno Avenue,CA,90815
Smart & Final,Glendale,304,304XXXXXXX 304XXXXXXXX,210 N. Verdugo Road.,CA,91206
Smart & Final,Rancho Palos Verdes,306,306XXXXXXX 306XXXXXXXX,28500 S. Western Ave.,CA,90275
Smart & Final,Pomona,308,308XXXXXXX 308XXXXXXXX,160 West Willow St.,CA,91768
Smart & Final,Whittier,309,309XXXXXXX 309XXXXXXXX,11460 E. Washington Bl.,CA,90606
Smart & Final,Los Angeles,310,310XXXXXXX 310XXXXXXXX,1216 Compton Ave,CA,90021
Smart & Final,Bellflower,311,311XXXXXXX 311XXXXXXXX,15930 Bellflower Blvd,CA,90706
Smart & Final,Anaheim,313,313XXXXXXX 313XXXXXXXX,630 N. Euclid Street,CA,92801
Smart & Final,Monrovia,314,314XXXXXXX 314XXXXXXXX,266 E. Huntington Drive,CA,91016
Smart & Final,W. Los Angeles,315,315XXXXXXX 315XXXXXXXX,12210 Santa Monica Blvd.,CA,90025
Smart & Final,Riverside,316,316XXXXXXX 316XXXXXXXX,3310 Vine Street,CA,92507
Smart & Final,Redlands,318,318XXXXXXX 318XXXXXXXX,1720 W.Redlands Bl,CA,92373
Smart & Final,Bell,319,319XXXXXXX 319XXXXXXXX,5029 E. Florence Ave,CA,90201
Smart & Final,Daly City,320,320XXXXXXX 320XXXXXXXX,6967 Mission Blvd,CA,94014
Smart & Final,Alhambra,321,321XXXXXXX 321XXXXXXXX,725 E. Main Street,CA,91801
Smart & Final,Redondo Beach,322,322XXXXXXX 322XXXXXXXX,332 S. Pacific Coast Hwy.,CA,90277
Smart & Final,Woodland Hills,324,324XXXXXXX 324XXXXXXXX,22631 Ventura Blvd,CA,91364
Smart & Final,Norwalk,325,325XXXXXXX 325XXXXXXXX,10935 Firestone Blvd.,CA,90650
Smart & Final,Bakersfield,326,326XXXXXXX 326XXXXXXXX,1725 Golden State Avenue,CA,93301
Smart & Final,Sunnyvale,327,327XXXXXXX 327XXXXXXXX,1265 S. Mary Ave.,CA,94087
Smart & Final,Fresno,328,328XXXXXXX 328XXXXXXXX,631 H Street,CA,93721
Smart & Final,Fresno,329,329XXXXXXX 329XXXXXXXX,5700 N. Blackstone Ave.,CA,93710
Smart & Final,Los Angeles,330,330XXXXXXX 330XXXXXXXX,10113 Venice Blvd.,CA,90034
Smart & Final,Banning,331,331XXXXXXX 331XXXXXXXX,2971 W. Ramsey Street,CA,92220
Smart & Final,Venice,332,332XXXXXXX 332XXXXXXXX,604 Lincoln Blvd.,CA,90291
Smart & Final,Lynwood,333,333XXXXXXX 333XXXXXXXX,10833 Long Beach Blvd.,CA,90262
Smart & Final,San Bernardino,335,335XXXXXXX 335XXXXXXXX,332 W. Baseline,CA,92410
Smart & Final,Santa Maria,336,336XXXXXXX 336XXXXXXXX,1721 South Broadway,CA,93454
Smart & Final,Los Angeles,337,337XXXXXXX 337XXXXXXXX,8137 S. Vermont St.,CA,90044
Smart & Final,Vallejo,338,338XXXXXXX 338XXXXXXXX,3901 Sonoma Blvd.,CA,94589
Smart & Final,Corona,340,340XXXXXXX 340XXXXXXXX,760 N. Main Street,CA,92880
Smart & Final,Los Angeles,341,341XXXXXXX 341XXXXXXXX,1125 E. El Segundo Blvd.,CA,90059
Smart & Final,Oxnard,342,342XXXXXXX 342XXXXXXXX,2059 N. Oxnard Blvd.,CA,93036
Smart & Final,Blythe,343,343XXXXXXX 343XXXXXXXX,301 N. Main Street,CA,92225
Smart & Final,Bakersfield,344,344XXXXXXX 344XXXXXXXX,3400 White Lane,CA,93309
Smart & Final,Los Angeles,345,345XXXXXXX 345XXXXXXXX,2308 E. 4th Street,CA,90033
Smart & Final,National City,347,347XXXXXXX 347XXXXXXXX,1220 Plaza Blvd.,CA,91950
Smart & Final,Torrance,348,348XXXXXXX 348XXXXXXXX,21600 S. Vermont Ave,CA,90502
Smart & Final,Van Nuys,349,349XXXXXXX 349XXXXXXXX,7815 Van Nuys Blvd,CA,91402
