keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Smoothie King,Metairie,1,#01 #1 1NT,7215 Veterans Memorial Blvd.,LA,70003
Smoothie King,Metairie,2,#02 #2 2NT,3400 Houma Blvd.,LA,70006
Smoothie King,New Orleans,3,#03 #3 3NT,"1000 S. Clearview Pkwy., Suite 1004",LA,70123
Smoothie King,New Orleans,4,#04 #4 4NT,"6600 Franklin Ave., #A-11",LA,70122
Smoothie King,New Orleans,5,#05 #5 5NT,"5300 Tchoupitoulas St., #D-4",LA,70115
Smoothie King,Kenner,6,#06 #6 6NT,"4041 William-s Blvd., Ste. 4-A",LA,70065
Smoothie King,Gretna,7,#07 #7 7NT,900-A Terry Parkway,LA,70056
Smoothie King,Slidell,9,#09 #9 9NT,533 Gause Blvd,LA,70458
Smoothie King,Metairie,10,#010 #10 10NT,909 Veterans Blvd.,LA,70005
Smoothie King,Destrehan,11,#011 #11 11NT,"12519 Airline Highway, Ste I",LA,70047
Smoothie King,Hammond,13,#013 #13 13NT,404 West University Ave.,LA,70401
Smoothie King,Metairie,14,#014 #14 14NT,"2222 Clearview Pkwy., Ste. G",LA,70001
Smoothie King,New Orleans,15,#015 #15 15NT,6221 S. Claiborne Ave.,LA,70125
Smoothie King,Lake Charles,16,#016 #16 16NT,4300 Ryan St.,LA,70605
Smoothie King,Lafayette,19,#019 #19 19NT,3619 am-bassador Caffery Pkwy,LA,70503
Smoothie King,Chalmette,20,#020 #20 20NT,3366 Paris Rd.,LA,70043
Smoothie King,Mandeville,22,#022 #22 22NT,1830 North Causeway Approach,LA,70471
Smoothie King,Marrero,23,#023 #23 23NT,1991-B Barataria Blvd.,LA,70072
Smoothie King,Houston,24,#024 #24 24NT,4509 FM 1960 West,TX,77069
Smoothie King,New Orleans,25,#025 #25 25NT,3865 General DeGaulle Dr. Ste. B,LA,70114
Smoothie King,River Ridge,27,#027 #27 27NT,"9605 Jefferson Hwy., #C-1",LA,70123
Smoothie King,LaPlace,28,#028 #28 28NT,1506 West Airline Hwy,LA,70068
Smoothie King,Baton Rouge,29,#029 #29 29NT,5727 Essen Lane Ste. D-2,LA,70810
Smoothie King,Houston,30,#030 #30 30NT,5410 Kirby,TX,77005
Smoothie King,New Orleans,31,#031 #31 31NT,8050 Crowder Blvd.,LA,70127
Smoothie King,Houma,32,#032 #32 32NT,1052 W Tunnel Blvd,LA,70364
Smoothie King,Houston,33,#033 #33 33NT,5300 Richmond Ave.,TX,77056
Smoothie King,Houston,40,#040 #40 40NT,12513-B Westheimer,TX,77077
Smoothie King,Miami Beach,42,#042 #42 42NT,1525 Alton Rd.,FL,33139
Smoothie King,Atlanta,45,#045 #45 45NT,1270 West Paces Ferry Road NW,GA,30324
Smoothie King,Luling,46,#046 #46 46NT,"12715 Hwy. 90, Ste. 100",LA,70070
Smoothie King,Jackson,53,#053 #53 53NT,6392- E  Ridgewood Ct.,MS,39211
Smoothie King,Sugar Land,56,#056 #56 56NT,3303 South Hwy 6  Ste. A,TX,77478
