keywords,city,Agg store_number,store_number,address,state,zip_code
Sonic Drive-In,ITALY,5631,#5631 5631 5631VISTA,1020 DALE EVANS DRIVE,TX,76651
Sonic Drive-In,ARDMORE,1003,#1003 1003 1003VISTA,1101 GRAND AVENUE,OK,73401
Sonic Drive-In,ABBEVILLE,1004,#1004 1004 1004VISTA,522 VETERAN MEMORIAL DRIVE,LA,70510
Sonic Drive-In,AVONDALE,1006,#1006 1006 1006VISTA,601 N. CENTRAL,AZ,85323
Sonic Drive-In,ATHENS,1008,#1008 1008 1008VISTA,1809 DECATUR PIKE,TN,37303
Sonic Drive-In,BLYTHEVILLE,1010,#1010 1010 1010VISTA,711 NORTH 6TH STREET,AR,72315
Sonic Drive-In,BOSSIER CITY,1012,#1012 1012 1012VISTA,3057 E TEXAS,LA,71111
Sonic Drive-In,BAYTOWN,1013,#1013 1013 1013VISTA,3916 GARTH ROAD,TX,77521-3106
Sonic Drive-In,BIXBY,1014,#1014 1014 1014VISTA,15098 S. MEMORIAL,OK,74008
Sonic Drive-In,BERRYVILLE,1015,#1015 1015 1015VISTA,411 W. TRIMBLE STREET,AR,72616
Sonic Drive-In,BREAUX BRIDGE,1016,#1016 1016 1016VISTA,901 REESE STREET,LA,70517
Sonic Drive-In,BEAUMONT,1017,#1017 1017 1017VISTA,8320 COLLEGE STREET,TX,77707
Sonic Drive-In,BETHANY,1021,#1021 1021 1021VISTA,7000 N.W. 39TH EXPWY,OK,73008
Sonic Drive-In,BURLINGTON,1022,#1022 1022 1022VISTA,1105 N. FOURTH,KS,66839
Sonic Drive-In,BROKEN ARROW,1025,#1025 1025 1025VISTA,6115 S. GARNETT,OK,74012
Sonic Drive-In,BLYTHEVILLE,1026,#1026 1026 1026VISTA,1010 E. MAIN,AR,72315
Sonic Drive-In,BENTONVILLE,1028,#1028 1028 1028VISTA,208 S WALTON BLVD,AR,72712
Sonic Drive-In,BAKERSFIELD,1029,#1029 1029 1029VISTA,1227 OLIVE DRIVE,CA,93308
Sonic Drive-In,BENTONVILLE,1030,#1030 1030 1030VISTA,2502 S.E. 14TH STREET,AR,72712
Sonic Drive-In,CROWLEY,1031,#1031 1031 1031VISTA,2121 NORTH PARKERSON AVENUE,LA,70526
Sonic Drive-In,CHILLICOTHE,1032,#1032 1032 1032VISTA,1002 WASHINGTON STREET,MO,64601
Sonic Drive-In,CATOOSA,1033,#1033 1033 1033VISTA,19305 E. ADMIRAL PLACE,OK,74015
Sonic Drive-In,CHANDLER,1034,#1034 1034 1034VISTA,816 E. FIRST STREET,OK,74834
Sonic Drive-In,CROWLEY,1035,#1035 1035 1035VISTA,105 NORTH CROWLEY ROAD,TX,76036
Sonic Drive-In,CALHOUN,1036,#1036 1036 1036VISTA,716 S. WALL STREET,GA,30701
Sonic Drive-In,CABOT,1038,#1038 1038 1038VISTA,224 S. SECOND,AR,72023
Sonic Drive-In,CAMERON,1043,#1043 1043 1043VISTA,815 N. WALNUT,MO,64429
Sonic Drive-In,CALLAWAY,1045,#1045 1045 1045VISTA,238 N. TYNDALL PARKWAY,FL,32404-6432
