keywords,city,Agg store_number,store_number,address,state,zip_code
Staples,brighton,1,00101X 01 001 0001,1660 Soldiers Field Road,MA,2135
Staples,woburn,2,00102X 02 002 0002,335 Washington Street,MA,1801
Staples,providence,3,00103X 03 003 0003,555 North Main Street,RI,2904
Staples,portchester,4,00104X 04 004 0004,515 Boston Post Road,NY,10573
Staples,yonkers,5,00105X 05 005 0005,465 Tuckahoe Road,NY,10710
Staples,natick,8,00108X 08 008 0008,881 Worcester Road,MA,1760
Staples,springfield,9,00109X 09 009 0009,155 Route 22 East,NJ,7081
Staples,totowa,12,001012X 012 0012 00012,545 US Highway 46,NJ,7511
Staples,moorestown,13,001013X 013 0013 00013,1181 Nixon Drive,NJ,8057
Staples,stratford,18,001018X 018 0018 00018,955 Ferry Blvd at Main St.,CT,6614
Staples,milltown,19,001019X 019 0019 00019,396 Ryders Lane,NJ,8850
Staples,norwalk,22,001022X 022 0022 00022,654 Main Ave,CT,6851
Staples,alexandria,24,001024X 024 0024 00024,7708 Richmond Highway,VA,22306
Staples,bensalem,25,001025X 025 0025 00025,2329 Street Rd,PA,19020
Staples,rockville,26,001026X 026 0026 00026,11503 B Rockville Pike,MD,20852
Staples,springfield,27,001027X 027 0027 00027,6731 Frontier Dr. ,VA,22150
Staples,kenwood,28,001028X 028 0028 00028,7800 Montgomery Road,OH,45236
Staples,columbus,30,001030X 030 0030 00030,1666 E. Dublin-Granville Rd,OH,43229
Staples,columbus,31,001031X 031 0031 00031,4505 Kenny Road,OH,43220
Staples,marlton,33,001033X 033 0033 00033,701 W Route 70,NJ,8053
Staples,cincinnati,34,001034X 034 0034 00034,12050 Princeton Pike,OH,45246
Staples,randolph,35,001035X 035 0035 00035,140 Route 10 West,NJ,7869
Staples,waltham,36,001036X 036 0036 00036,800 Lexington Street,MA,2451
Staples,freeport,37,001037X 037 0037 00037,160 East Sunrise Highway,NY,11520
Staples,newington,38,001038X 038 0038 00038,3174 Berlin Turnpike,CT,6111
Staples,paramus,39,001039X 039 0039 00039,557 Route 17 South,NJ,7652
Staples,hicksville,40,001040X 040 0040 00040,442 S Oyster Bay Road,NY,11801
Staples,watchung,45,001045X 045 0045 00045,1515 Route 22 West,NJ,7069
Staples,springfield,46,001046X 046 0046 00046,751 Sproul Road,PA,19064
Staples,salem,47,001047X 047 0047 00047,176 South Broadway,NH,3079
Staples,norwalk,48,001048X 048 0048 00048,420 - 440 Westport Avenue,CT,6851
Staples,florence,49,001049X 049 0049 00049,7659 Mall Road,KY,41042
Staples,saugus,51,001051X 051 0051 00051,444 Broadway (Route 1),MA,1906
Staples,stamford,54,001054X 054 0054 00054,2299 Summer St.,CT,6905
Staples,orange,55,001055X 055 0055 00055,330 South Main Street,CA,92868
Staples,elmsford,56,001056X 056 0056 00056,339 Tarrytown Road,NY,10523
Staples,seekonk,57,001057X 057 0057 00057,179 Highland Ave,MA,2771
Staples,shrewsbury,59,001059X 059 0059 00059,571 Boston Turnpike,MA,1545
Staples,nashua,61,001061X 061 0061 00061,252 Daniel Webster Hwy. ,NH,3060
Staples,deptford,62,001062X 062 0062 00062,1907 Deptford Center Road,NJ,8096
Staples,boston,63,001063X 063 0063 00063,1 Washington Mall,MA,2108
Staples,jamaica,65,001065X 065 0065 00065,91 - 30 Van Wyck Expressway,NY,11418
Staples,exton,66,001066X 066 0066 00066,105 E. Swedesford Rd.,PA,19341
Staples,rochester,71,001071X 071 0071 00071,1100 Jefferson Rd Suite 12,NY,14623
Staples,cerritos,72,001072X 072 0072 00072,10820 Alondra Blvd.,CA,90703
Staples,irondequoit,74,001074X 074 0074 00074,1115 East Ridge Road,NY,14621
Staples,livingston,75,001075X 075 0075 00075,506 W. Mt. Pleasant Ave.,NJ,7039
Staples,iselin,77,001077X 077 0077 00077,801 Route 1 and Green St.,NJ,8830
Staples,whitehall,79,001079X 079 0079 00079,2180 MacArthur Road,PA,18052
Staples,boston,83,001083X 083 0083 00083,401 Park Drive ,MA,2215
Staples,philadelphia,84,001084X 084 0084 00084,1300 South Columbus Blvd.,PA,19147
Staples,pikesville,85,001085X 085 0085 00085,1340 - 1354 Reistertown Rd,MD,21208
Staples,lancaster,88,001088X 088 0088 00088,44620 Valley Central Way,CA,93536
Staples,cincinnati,89,001089X 089 0089 00089,1400 Reading Road,OH,45202
Staples,torrance,90,001090X 090 0090 00090,2748 Pacific Coast Highway,CA,90505
Staples,orange,91,001091X 091 0091 00091,100 Boston Post Road,CT,6477
Staples,cypress,93,001093X 093 0093 00093,6816 E. Katella Rd,CA,90630
