Keywords,city,Agg store_number,store_number,address,state,zip_code
Stop And Shop,Brookline,1,1 #1 #01 #001,28 Harrison Street,NY,10801
Stop And Shop,Framingham,3,3 #3 #03 #003,25 Waterfront Place,NY,10573
Stop And Shop,Roslindale,4,4 #4 #04 #004,5716 Broadway,NY,10463
Stop And Shop,Peabody,5,5 #5 #05 #005,691 Co Op City Boulevard,NY,10475
Stop And Shop,Natick,6,6 #6 #06 #006,1710 Avenue Y,NY,11235
Stop And Shop,Mansfield,7,7 #7 #07 #007,1009 Flatbush Avenue,NY,11226
Stop And Shop,Framingham,8,8 #8 #08 #008,64-66 Myrtle Avenue,NY,11385
Stop And Shop,Holyoke,9,9 #9 #09 #009,74-17 Grand Avenue,NY,11378
Stop And Shop,Revere,11,11 #11 #011 #0011,34-51 48th Street,NY,11104
Stop And Shop,Sandwich,12,12 #12 #012 #0012,8101 Jericho Turnpike,NY,11797
Stop And Shop,Pembroke,14,14 #14 #014 #0014,2795 Richmond Avenue,NY,10314
Stop And Shop,Swampscott,15,15 #15 #015 #0015,271 Main Street,NY,12561
Stop And Shop,Quincy,17,17 #17 #017 #0017,1328 Beekman Road,NY,12533
Stop And Shop,Dorchester,18,18 #18 #018 #0018,1831 East Main Street,NY,10566
Stop And Shop,Westborough,19,19 #19 #019 #0019,111 Vredenburg Avenue,NY,10704
Stop And Shop,Quincy,20,20 #20 #020 #0020,475 State Route 17M,NY,10950
Stop And Shop,Pittsfield,21,21 #21 #021 #0021,60 Brotherhood Plaza Drive,NY,10992
Stop And Shop,South Yarmouth,22,22 #22 #022 #0022,3126 Jericho Turnpike,NY,11731
Stop And Shop,Norwell,28,28 #28 #028 #0028,32 South Middletown Road,NY,10954
Stop And Shop,Holyoke,30,30 #30 #030 #0030,1429 Route 300,NY,12550
Stop And Shop,Beverly,32,32 #32 #032 #0032,2425 Palmer Avenue,NY,10801
Stop And Shop,Stoughton,33,33 #33 #033 #0033,390 Broadway,NY,10522
Stop And Shop,Hingham,35,35 #35 #035 #0035,420 White Plains Road,NY,10709
Stop And Shop,Chicopee,36,36 #36 #036 #0036,1581 US Highway 202,NY,10970
Stop And Shop,Worcester,37,37 #37 #037 #0037,6726 Route 9,NY,12572
Stop And Shop,Raynham,38,38 #38 #038 #0038,24926 Northern Boulevard,NY,11362
Stop And Shop,Stoneham,39,39 #39 #039 #0039,8989 Union Turnpike,NY,11385
Stop And Shop,Milford,40,40 #40 #040 #0040,59 Burnett Boulevard,NY,12603
Stop And Shop,Revere,43,43 #43 #043 #0043,95 Old Country Road,NY,11514
Stop And Shop,Walpole,44,44 #44 #044 #0044,177 Forest Avenue,NY,11542
Stop And Shop,Greenfield,45,45 #45 #045 #0045,425 Portion Road,NY,11779
Stop And Shop,Watertown,49,49 #49 #049 #0049,55 Motor Avenue,NY,11735
Stop And Shop,South Boston,53,53 #53 #053 #0053,65 Shore Road,NY,11050
Stop And Shop,Abington,54,54 #54 #054 #0054,2450 Jerusalem Avenue,NY,11710
Stop And Shop,Brockton,55,55 #55 #055 #0055,191 Montauk Highway,NY,11782
Stop And Shop,Grafton,57,57 #57 #057 #0057,351 Merrick Road,NY,11701
Stop And Shop,East Longmeadow,61,61 #61 #061 #0061,2525 Hempstead Turnpike,NY,11554
Stop And Shop,Malden,62,62 #62 #062 #0062,260 Pond Path,NY,11720
Stop And Shop,Orleans,64,64 #64 #064 #0064,385 Route 25A,NY,11764
Stop And Shop,Marstons Mills,66,66 #66 #066 #0066,3750 Hempstead Turnpike,NY,11756
Stop And Shop,Lynn,67,67 #67 #067 #0067,132 Fulton Avenue,NY,11550
Stop And Shop,New Bedford,70,70 #70 #070 #0070,421 Commack Road,NY,11729
Stop And Shop,Fall River,71,71 #71 #071 #0071,454 Fort Salonga Road,NY,11768
Stop And Shop,Westfield,72,72 #72 #072 #0072,530 West Old Country Road,NY,11801
Stop And Shop,Seekonk,73,73 #73 #073 #0073,291 West Main Street,NY,11787
Stop And Shop,Jamaica Plain,75,75 #75 #075 #0075,2650 Sunrise Highway,NY,11730
Stop And Shop,Worcester,79,79 #79 #079 #0079,2350 North Ocean Avenue,NY,11738
Stop And Shop,East Springfield,80,80 #80 #080 #0080,57-01 Sunrise Highway,NY,11741
Stop And Shop,Beverly,81,81 #81 #081 #0081,575 West Montauk Highway,NY,11704
Stop And Shop,Halifax,82,82 #82 #082 #0082,70-20 Rockaway Beach Blvd.,NY,11692
Stop And Shop,Worcester,85,85 #85 #085 #0085,3999 Albany Post Road,NY,12538
Stop And Shop,Mashpee,87,87 #87 #087 #0087,295 Pine Hollow Road,NY,11771
Stop And Shop,Bedford,88,88 #88 #088 #0088,653 Hillside Avenue,NY,11040
Stop And Shop,Allston,89,89 #89 #089 #0089,158 Route 25A,NY,11733
Stop And Shop,Nantucket,90,90 #90 #090 #0090,2160 South Merrick Mall,NY,11566
Stop And Shop,Shrewsbury,91,91 #91 #091 #0091,3577 Long Beach Road,NY,11572
Stop And Shop,North Andover,92,92 #92 #092 #0092,275 Middle Country Road,NY,11727
Stop And Shop,Danvers,93,93 #93 #093 #0093,2754 Hylan Boulevard,NY,10306
Stop And Shop,West Springfield,94,94 #94 #094 #0094,248 East Sunrise Highway,NY,11520
Stop And Shop,Hadley,95,95 #95 #095 #0095,1615 Old Country Road,NY,11901
Stop And Shop,Woburn,96,96 #96 #096 #0096,1326 West Boston Post Road,NY,10538
Stop And Shop,New Bedford,98,98 #98 #098 #0098,240 East Sandford Boulevard,NY,10550
Stop And Shop,Kingston,402,402 #402 #0402 #00402,670 North Broadway,NY,10603
Stop And Shop,Springfield,404,404 #404 #0404 #00404,1730 Veterans Memorial Highway,NY,11749
Stop And Shop,Hyannis,406,406 #406 #0406 #00406,180 North Main Street,NY,10956
Stop And Shop,Saugus,407,407 #407 #0407 #00407,2540 South Road,NY,12601
Stop And Shop,Gloucester,410,410 #410 #0410 #00410,610 White Plains Rd,NY,10591
Stop And Shop,Boston,412,412 #412 #0412 #00412,999 Montauk Hwy,NY,11967
Stop And Shop,Hyde Park,413,413 #413 #0413 #00413,1441 Richmond Ave ,NY,10314
Stop And Shop,Brockton,415,415 #415 #0415 #00415,4343 Amboy Road,NY,10312
Stop And Shop,Dedham,416,416 #416 #0416 #00416,194 West Montauk Highway,NY,11946
Stop And Shop,Norwood,418,418 #418 #0418 #00418,50 Cherry Valley Road,NY,11552
Stop And Shop,Somerset,421,421 #421 #0421 #00421,400 Union Blvd,NY,11795
Stop And Shop,Edgartown,422,422 #422 #0422 #00422,465 Atlantic Avenue,NY,11572
Stop And Shop,Vineyard Haven,423,423 #423 #0423 #00423,155 Harvard Street,MA,2446
Stop And Shop,East Falmouth,425,425 #425 #0425 #00425,235 Old Connecticut Path,MA,1701
Stop And Shop,Fairhaven,427,427 #427 #0427 #00427,950 American Legion Highway,MA,2136
Stop And Shop,Dorchester,429,429 #429 #0429 #00429,19 Howley Street,MA,1960
Stop And Shop,Bellingham,430,430 #430 #0430 #00430,829 Worcester Street,MA,1760
Stop And Shop,Attleboro,432,432 #432 #0432 #00432,377 Chauncy Street,MA,2048
Stop And Shop,Medford,433,433 #433 #0433 #00433,19 Temple Street,MA,1702
Stop And Shop,Gardner,434,434 #434 #0434 #00434,28 Lincoln Street,MA,1040
Stop And Shop,Belchertown,435,435 #435 #0435 #00435,40 Furlong Drive,MA,2151
Stop And Shop,Attleboro,443,443 #443 #0443 #00443,65 Route 6A,MA,2563
Stop And Shop,Whitman,444,444 #444 #0444 #00444,North River Plaza,MA,2359
Stop And Shop,Watertown,446,446 #446 #0446 #00446,450 Paradise Road,MA,1907
Stop And Shop,Springfield,454,454 #454 #0454 #00454,495 Southern Artery,MA,2169
Stop And Shop,Winchester,455,455 #455 #0455 #00455,545 Freeport Street,MA,2122
Stop And Shop,Pittsfield,458,458 #458 #0458 #00458,290 Turnpike Road,MA,1581
Stop And Shop,Roxbury,459,459 #459 #0459 #00459,65 Newport Avenue,MA,2170
Stop And Shop,Acton,460,460 #460 #0460 #00460,Dan Fox Drive,MA,1201
Stop And Shop,South Dennis,461,461 #461 #0461 #00461,55 Long Pond Drive,MA,2664
Stop And Shop,Plainville,462,462 #462 #0462 #00462,468 Washington Street,MA,2061
Stop And Shop,Plymouth,469,469 #469 #0469 #00469,2265 Northampton Street,MA,1040
Stop And Shop,Sandwich,470,470 #470 #0470 #00470,37 Enon Street,MA,1915
Stop And Shop,Andover,471,471 #471 #0471 #00471,278 Washington Street,MA,2072
Stop And Shop,Franklin,472,472 #472 #0472 #00472,400 Lincoln Street,MA,2043
Stop And Shop,Fall River,473,473 #473 #0473 #00473,672 Memorial Drive,MA,1020
Stop And Shop,East Wareham,474,474 #474 #0474 #00474,545 Lincoln Street,MA,1605
Stop And Shop,Harwich,475,475 #475 #0475 #00475,36 New State Highway,MA,2767
Stop And Shop,Braintree,478,478 #478 #0478 #00478,259 Main Street,MA,2180
Stop And Shop,Chelmsford,480,480 #480 #0480 #00480,196 East Main Street,MA,1757
Stop And Shop,Sturbridge,481,481 #481 #0481 #00481,540 Squire Road,MA,2151
Stop And Shop,Cohasset,482,482 #482 #0482 #00482,565 Main Street,MA,2081
Stop And Shop,Manomet,484,484 #484 #0484 #00484,89 French King Highway,MA,1301
Stop And Shop,E.Weymouth,487,487 #487 #0487 #00487,700 Pleasant Street,MA,2472
Stop And Shop,Reading,488,488 #488 #0488 #00488,713 East Broadway,MA,2127
Stop And Shop,Hudson,489,489 #489 #0489 #00489,375 Centre Avenue,MA,2351
Stop And Shop,North Attleboro,490,490 #490 #0490 #00490,932 North Montello Street,MA,2301
Stop And Shop,Lexington,491,491 #491 #0491 #00491,100 Worcester Street,MA,1519
Stop And Shop,Everett,492,492 #492 #0492 #00492,470 North Main Street,MA,1028
Stop And Shop,Dartmouth,493,493 #493 #0493 #00493,99 Charles Street,MA,2148
Stop And Shop,Foxboro,494,494 #494 #0494 #00494,24 Route 6a,MA,2653
Stop And Shop,Methuen,496,496 #496 #0496 #00496,3900 Falmouth Road,MA,2648
Stop And Shop,Westborough,497,497 #497 #0497 #00497,35 Washington Street,MA,1904
Stop And Shop,Somerville,498,498 #498 #0498 #00498,1001 King's Highway,MA,2745
Stop And Shop,Amesbury,499,499 #499 #0499 #00499,501 Rodman Street,MA,2721
Stop And Shop,New Rochelle,500,500 #500 #0500 #00500,57 Main Street,MA,1085
Stop And Shop,White Plains,501,501 #501 #0501 #00501,1045 Fallriver Avenue,MA,2771
Stop And Shop,Port Chester,502,502 #502 #0502 #00502,301 Centre Street,MA,2130
Stop And Shop,Bronx,503,503 #503 #0503 #00503,949 Grafton Street,MA,1604
Stop And Shop,Bronx,504,504 #504 #0504 #00504,1277 Liberty Street,MA,1104
Stop And Shop,Brooklyn,505,505 #505 #0505 #00505,224 Elliott Street,MA,1915
Stop And Shop,Brooklyn,506,506 #506 #0506 #00506,341 Plymouth Street,MA,2338
Stop And Shop,Glendale,508,508 #508 #0508 #00508,940 West Boylston Street,MA,1606
Stop And Shop,Maspeth,509,509 #509 #0509 #00509,39 Nathan Ellis Hwy,MA,2649
Stop And Shop,Long Island City,510,510 #510 #0510 #00510,337 Great Road,MA,1730
Stop And Shop,Woodbury,511,511 #511 #0511 #00511,60 Everett Street,MA,2135
Stop And Shop,Staten Island,512,512 #512 #0512 #00512,31 Sparks Avenue,MA,2554
