Keywords,city,Agg store_number,store_number,address,state,zip_code
SUBWAY,Penn Yan,56566,0056566X 00056566X 05056566X 56566X 056566X,232 Lake Street,NY,14527
SUBWAY,Penn Yan,56566,0056566X 00056566X 05056566X 56566X 056566X,232 Lake Street,NY,14527
SUBWAY,Penn Yan,56566,0056566X 00056566X 05056566X 56566X 056566X,232 Lake Street,NY,14527
SUBWAY,Penn Yan,56566,0056566X 00056566X 05056566X 56566X 056566X,232 Lake Street,NY,14527
SUBWAY,Penn Yan,56566,0056566X 00056566X 05056566X 56566X 056566X,232 Lake Street,NY,14527
SUBWAY,Penn Yan,56566,0056566X 00056566X 05056566X 56566X 056566X,232 Lake Street,NY,14527
SUBWAY,Troy,57009,0057009X 00057009X 05057009X 57009X 057009X,511 South Brundidge Sreet,AL,36081
SUBWAY,Troy,57009,0057009X 00057009X 05057009X 57009X 057009X,511 South Brundidge Sreet,AL,36081
SUBWAY,Troy,57009,0057009X 00057009X 05057009X 57009X 057009X,511 South Brundidge Sreet,AL,36081
SUBWAY,Pembroke Pines,57516,0057516X 00057516X 05057516X 57516X 057516X,12381 Pembroke Rd.,FL,33027
SUBWAY,Pembroke Pines,57516,0057516X 00057516X 05057516X 57516X 057516X,12381 Pembroke Rd.,FL,33027
SUBWAY,West Haven,1,001X 0001X 0501X 1X 01X,417 Orange Ave,CT,6516
SUBWAY,Stratford,2,002X 0002X 0502X 2X 02X,1345 Barnum Ave,CT,6615
SUBWAY,Bridgeport,4,004X 0004X 0504X 4X 04X,1739 E Main St,CT,6610
SUBWAY,New Haven,5,005X 0005X 0505X 5X 05X,865 Whalley Ave,CT,6515
SUBWAY,Milford,6,006X 0006X 0506X 6X 06X,1 River St,CT,6460
SUBWAY,Bridgeport,8,008X 0008X 0508X 8X 08X,944 Madison Ave,CT,6606
SUBWAY,Bridgeport,12,0012X 00012X 05012X 12X 012X,3811 Main St,CT,6606
SUBWAY,Shelton,14,0014X 00014X 05014X 14X 014X,462 Howe Ave,CT,6484
SUBWAY,Waterbury,16,0016X 00016X 05016X 16X 016X,756 Lakewood Rd,CT,6708
SUBWAY,Meriden,20,0020X 00020X 05020X 20X 020X,511 West Main St,CT,6450
SUBWAY,West Haven,22,0022X 00022X 05022X 22X 022X,232 Captain Thomas Boulevard,CT,6516
SUBWAY,Staten Island,23,0023X 00023X 05023X 23X 023X,1724 Victory Blvd,NY,10314
SUBWAY,Houston,24,0024X 00024X 05024X 24X 024X,13127 Veterans Memorial Dr,TX,77014
SUBWAY,Branford,28,0028X 00028X 05028X 28X 028X,470 East Main St,CT,6405
SUBWAY,Bristol,31,0031X 00031X 05031X 31X 031X,45 North Main Street,CT,6010
SUBWAY,New London,36,0036X 00036X 05036X 36X 036X,2 Bank St,CT,6320
SUBWAY,Ansonia,43,0043X 00043X 05043X 43X 043X,36 Pershing Dr,CT,6401
SUBWAY,Naugatuck,45,0045X 00045X 05045X 45X 045X,928 Waterbury Road,CT,6770
SUBWAY,Baltimore,57,0057X 00057X 05057X 57X 057X,37 E 25th St,MD,21218
SUBWAY,Gales Ferry,63,0063X 00063X 05063X 63X 063X,1641 Rt 12,CT,6335
SUBWAY,Poughkeepsie,73,0073X 00073X 05073X 73X 073X,21 Burnett Blvd,NY,12603
SUBWAY,Atlanta,76,0076X 00076X 05076X 76X 076X,2289-B North Druid Hills Rd,GA,30329
SUBWAY,New London,89,0089X 00089X 05089X 89X 089X,375 Colman St,CT,6320
SUBWAY,Staten Island,90,0090X 00090X 05090X 90X 090X,597 Bay St,NY,10304
SUBWAY,Brookfield,94,0094X 00094X 05094X 94X 094X,814 Federal Rd,CT,6804
SUBWAY,Middletown,98,0098X 00098X 05098X 98X 098X,170-2 Main Street,CT,6457
SUBWAY,Danbury,99,0099X 00099X 05099X 99X 099X,317 Main St,CT,6810
SUBWAY,Gainesville,110,00110X 000110X 050110X 110X 0110X,1005 W University Avenue,FL,32611
SUBWAY,Seymour,112,00112X 000112X 050112X 112X 0112X,78 Bank St,CT,6483
SUBWAY,Stuart,115,00115X 000115X 050115X 115X 0115X,839 S Federal Hwy,FL,34994
SUBWAY,Chapel Hill,137,00137X 000137X 050137X 137X 0137X,122 East Franklin Street,NC,27514
SUBWAY,Guilford,143,00143X 000143X 050143X 143X 0143X,934 Boston Post Rd,CT,6437
SUBWAY,Orlando,145,00145X 000145X 050145X 145X 0145X,2008 E Colonial Dr,FL,32803
SUBWAY,Northampton,147,00147X 000147X 050147X 147X 0147X,90 King St,MA,1060
SUBWAY,Atlanta,148,00148X 000148X 050148X 148X 0148X,1825 Piedmont Rd NE,GA,30324
SUBWAY,Albany,149,00149X 000149X 050149X 149X 0149X,324 Central Ave,NY,12206
SUBWAY,Gainesville,154,00154X 000154X 050154X 154X 0154X,3316 SW 35th Blvd,FL,32608
SUBWAY,Atlanta,157,00157X 000157X 050157X 157X 0157X,1001 Piedmont Ave NE,GA,30309
SUBWAY,Sunrise,160,00160X 000160X 050160X 160X 0160X,8081 W Oakland Park Blvd,FL,33351
SUBWAY,Fort Lauderdale,161,00161X 000161X 050161X 161X 0161X,201 E Sunrise Blvd,FL,33304
SUBWAY,Oakland Park,166,00166X 000166X 050166X 166X 0166X,3347A N Federal Hwy,FL,33306
SUBWAY,Orlando,173,00173X 000173X 050173X 173X 0173X,4618 S. Kirkman Rd.,FL,32811
SUBWAY,Newark,176,00176X 000176X 050176X 176X 0176X,150 S 30th St,OH,43055
SUBWAY,Winter Park,177,00177X 000177X 050177X 177X 0177X,646 S Orlando Ave,FL,32789
SUBWAY,Bridgeport,188,00188X 000188X 050188X 188X 0188X,2835 Fairfield Ave,CT,6605
SUBWAY,Tampa,192,00192X 000192X 050192X 192X 0192X,4411 N Armenia Ave,FL,33603
SUBWAY,Columbus,194,00194X 000194X 050194X 194X 0194X,1952 N High Street,OH,43201
SUBWAY,Newark,196,00196X 000196X 050196X 196X 0196X,335 Mount Vernon Rd,OH,43055
SUBWAY,Columbus,197,00197X 000197X 050197X 197X 0197X,5701 Cleveland Ave,OH,43229
SUBWAY,Fort Lauderdale,200,00200X 000200X 050200X 200X 0200X,4911 N Andrews Ave,FL,33309
SUBWAY,Pittsburgh,201,00201X 000201X 050201X 201X 0201X,3707 Forbes Ave,PA,15213
SUBWAY,Altamonte Springs,206,00206X 000206X 050206X 206X 0206X,995 N. State Road 434,FL,32714
SUBWAY,Cromwell,207,00207X 000207X 050207X 207X 0207X,51 Shunpike Rd,CT,6416
SUBWAY,Orlando,213,00213X 000213X 050213X 213X 0213X,8839 Conroy Windermere Rd,FL,32835
SUBWAY,Des Plaines,218,00218X 000218X 050218X 218X 0218X,877 S Elmhurst Rd,IL,60016
SUBWAY,Kingston,224,00224X 000224X 050224X 224X 0224X,867 Ulster Ave,NY,12401
SUBWAY,Hyde Park,227,00227X 000227X 050227X 227X 0227X,493 Albany Post Rd,NY,12538
SUBWAY,Tampa,229,00229X 000229X 050229X 229X 0229X,4408 W Hillsborough Ave,FL,33614
SUBWAY,Westminster,230,00230X 000230X 050230X 230X 0230X,14920 Beach Blvd,CA,92683
SUBWAY,Portland,232,00232X 000232X 050232X 232X 0232X,8952 SW Barbur Blvd,OR,97219
SUBWAY,Nashville,233,00233X 000233X 050233X 233X 0233X,3010 Dickerson Rd,TN,37207
SUBWAY,Orlando,234,00234X 000234X 050234X 234X 0234X,573 N Semoran Blvd,FL,32807
