keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Sweetbay Supermarket,Venice,1703,#1703,458 Venice By-Pass,FL,34285
Sweetbay Supermarket,Bonita Springs,1707,#1707,8951 Bonita Beach Rd SE #595,FL,34135
Sweetbay Supermarket,Bradenton,1708,#1708,5805 Manatee Ave,FL,34209
Sweetbay Supermarket,Sarasota,1710,#1710,1325 S.Tamiami Trail,FL,34239
Sweetbay Supermarket,Tampa,1717,#1717,2525 North Dale Mabry,FL,33607
Sweetbay Supermarket,Saint Petersburg,1723,#1723,2139 34Th N,FL,33713
Sweetbay Supermarket,South Pasadena,1724,#1724,6851 Gulfport Blvd,FL,33707
Sweetbay Supermarket,Tampa,1725,#1725,15692 North Dale Mabry,FL,33618
Sweetbay Supermarket,Tampa,1726,#1726,13508 N. Florida Ave,FL,33613
Sweetbay Supermarket,Tampa,1728,#1728,4317 Gandy Blvd,FL,33611
Sweetbay Supermarket,Bradenton,1729,#1729,2501 Cortez Rd West,FL,34207
Sweetbay Supermarket,Crystal River,1733,#1733,1651 S E Hwy 19,FL,34429
Sweetbay Supermarket,Tampa,1734,#1734,8775 Temple Terr Hwy,FL,33637
Sweetbay Supermarket,Palm Harbor,1737,#1737,1360 Tampa Road,FL,34683
Sweetbay Supermarket,Venice,1741,#1741,1254 Jacaranda,FL,34292
Sweetbay Supermarket,New Port Richey,1744,#1744,6400 Massachusetts,FL,34653
Sweetbay Supermarket,Tampa,1745,#1745,7095 W Waters Ave,FL,33634
Sweetbay Supermarket,Tampa,1748,#1748,2100 W Swann Ave,FL,33606
Sweetbay Supermarket,Plant City,1749,#1749,205 W Alexander St,FL,33566
Sweetbay Supermarket,Ocala,1751,#1751,7131 U.S. 441,FL,34475
Sweetbay Supermarket,Englewood,1753,#1753,1951 S Mccall Rd,FL,34223
Sweetbay Supermarket,Temple Terrace,1755,#1755,8837 N 56Th St,FL,33617
Sweetbay Supermarket,Saint Petersburg,1756,#1756,3327 Dr Martin Luther King Jr St N,FL,33704
Sweetbay Supermarket,Ruskin,1761,#1761,1023 N Tamiami Trail,FL,33570
Sweetbay Supermarket,Inverness,1763,#1763,1202 West Main St,FL,34450
Sweetbay Supermarket,Saint Petersburg,1764,#1764,7491 4Th Street Nort,FL,33702
Sweetbay Supermarket,Palmetto,1765,#1765,515 7Th Street West,FL,34221
Sweetbay Supermarket,Tampa,1768,#1768,4056 Fiesta Plaza,FL,33607
Sweetbay Supermarket,Clearwater,1775,#1775,2519 Mcmullen Booth,FL,33761
Sweetbay Supermarket,Seffner,1779,#1779,750 W Dr Martin Luther King Jr Blvd,FL,33584
Sweetbay Supermarket,Largo,1783,#1783,2460 E Bay Drive,FL,33771
Sweetbay Supermarket,Gainesville,1786,#1786,2002 S W 34Th Street,FL,32608
Sweetbay Supermarket,New Port Richey,1787,#1787,9101 Little Rd,FL,34652
Sweetbay Supermarket,Tampa,1789,#1789,2770 Fowler Ave,FL,33612
Sweetbay Supermarket,Wauchula,1791,#1791,1133 Us Hwy 17 South,FL,33873
Sweetbay Supermarket,Sebring,1792,#1792,3250 Us 27 South,FL,33870
Sweetbay Supermarket,Dunnellon,1795,#1795,11352 N Williams St,FL,34432
Sweetbay Supermarket,Belleview,1797,#1797,11310 Se Hwy 301,FL,34420
Sweetbay Supermarket,Dade City,1798,#1798,12530 U.S. 301,FL,33523
Sweetbay Supermarket,Tampa,1838,#1838,805 E Dr Martin Luth,FL,33603
