Keywords,city,store_number,store_number,address,state,zip_code
T-Mobile,Erie,1,1 #1,654 Millcreek Mall Ste 165,PA,16565-0603
T-Mobile,San Antonio,2,2 #2,5238 De Zavala Rd,TX,78249
T-Mobile,Humacao,3,3 #3,Hwy 53 & Rt. 3 F-10,PR,791
T-Mobile,KIRKWOOD,4,4 #4,1230 S KIRKWOOD RD,MO,63122-7253
T-Mobile,Chicago,5,5 #5,6466 N Sheridan Rd,IL,60626
T-Mobile,CANOGA PARK,6,6 #6,8225 TOPANGA CANYON BLVD STE C-4,CA,91304-3854
T-Mobile,Saint Louis,7,7 #7,3196 Telegraph Rd,MO,63125-5500
T-Mobile,Corona,8,8 #8,1312 E Ontario Ave Ste 104,CA,92881
T-Mobile,Waldorf,9,9 #9,11110 Mall Cir Ste L06,MD,20603-4803
T-Mobile,Trenton,10,10 #10,50 E State St,NJ,08608-1715
T-Mobile,GASTONIA,11,11 #11,246 N NEW HOPE RD STE 238,NC,28054-4977
T-Mobile,WOOD VILLAGE,12,12 #12,2705 NE 238TH DR STE F,OR,97060-9603
T-Mobile,Jacksonville,13,13 #13,6020 Merrill Rd,FL,32277-3427
T-Mobile,Edina,14,14 #14,6815 York Ave S,MN,55435
T-Mobile,SALEM,15,15 #15,99 Rockingham Park Blvd KI-08,NH,3079
T-Mobile,BROOKLYN,16,16 #16,3013 CHURCH AVE,NY,11226-4209
T-Mobile,SAN ANTONIO,17,17 #17,9355 CULEBRA RD,TX,78251-2826
T-Mobile,WATERBURY,18,18 #18,495 UNION ST STE 2162,CT,06706-1283
T-Mobile,LOMBARD,19,19 #19,157 YORKTOWN CTR STE A,IL,60148-5533
T-Mobile,JACKSONVILLE,20,20 #20,11111 SAN JOSE BLVD STE 26,FL,32223-7274
T-Mobile,Louisville,21,21 #21,4251 Towne Center Dr,KY,40241
T-Mobile,AUSTIN,22,22 #22,2901 S CAPITAL OF TEXAS HWY SPC KL-15,TX,78746-8101
T-Mobile,Chicago Ridge,23,23 #23,444 CHICAGO RIDGE MALL SPC 9045,IL,60415
T-Mobile,STOCKTON,24,24 #24,5308 PACIFIC AVE STE 20B,CA,95207-5635
T-Mobile,Edison,25,25 #25,100 Menlo Park Ste 2540,NJ,8837
T-Mobile,TULSA,26,26 #26,11317 E 31ST ST,OK,74146-1906
T-Mobile,RENO,27,27 #27,5115 MAE ANNE,NV,89523-1856
T-Mobile,Charlotte,28,28 #28,4651 South Blvd,NC,28209-2843
T-Mobile,ORLANDO,30,30 #30,275 S CHICKASAW TRL,FL,32825-3504
T-Mobile,CALUMET CITY,31,31 #31,1757 RIVER OAKS DR,IL,60409-5003
T-Mobile,Harrisville,32,32 #32,380 E 525 North,UT,84404-3785
T-Mobile,SANDY,33,33 #33,9312 VILLAGE SHOP DR,UT,84094-7719
T-Mobile,EL PASO,34,34 #34,8401 GATEWAY BLVD W Cart 35,TX,79925-5668
T-Mobile,Denver,35,35 #35,3160 Federal Blvd,CO,80211
T-Mobile,Tucson,36,36 #36,4811 E Grant Rd,AZ,85712-2771
T-Mobile,Torrance,37,37 #37,1251 W Carson ST,CA,90502-2009
T-Mobile,JERSEY CITY,38,38 #38,911 BERGEN AVE,NJ,07306-4317
T-Mobile,WOODBURN,39,39 #39,1001 N ARNEY RD STE 418,OR,97071-8451
T-Mobile,MESA,40,40 #40,1445 W Southern Ave Ste 2062,AZ,85202-4803
T-Mobile,EAU CLAIRE,41,41 #41,4800 Golf Road,WI,54701-8914
T-Mobile,BLOOMINGTON,42,42 #42,60 E BROADWAY SPC N-382,MN,55425-5510
T-Mobile,NORTH RICHLAND HILLS,43,43 #43,5198 RUFE SNOW DR STE 129,TX,76180-6656
T-Mobile,ROCHELLE PARK,44,44 #44,60 ESSEX ST,NJ,07662-4306
T-Mobile,STERLING HEIGHTS,45,45 #45,13947 LAKESIDE CIR,MI,48313-1319
T-Mobile,PHILADELPHIA,46,46 #46,1431 ARCH ST,PA,19102-1507
T-Mobile,CHICAGO,47,47 #47,5823 S KEDZIE AVE,IL,60629-3212
T-Mobile,ALBUQUERQUE,48,48 #48,9231 COORS BLVD NW R4,NM,87114-4064
T-Mobile,Philadelphia,49,49 #49,180 W Girard Ave,PA,19123-1660
T-Mobile,WEST NEW YORK,50,50 #50,6604 BERGENLINE AVE,NJ,07093-1719
T-Mobile,TUCSON,51,51 #51,4631 N ORACLE RD,AZ,85705-1784
T-Mobile,BALTIMORE,52,52 #52,200 E PRATT ST STE 2030,MD,21202-6152
T-Mobile,TAMPA,53,53 #53,221 WESTSHORE PLZ,FL,33609-1810
T-Mobile,Bohemia,54,54 #54,4509 Sunrise Hwy,NY,11716-4602
T-Mobile,Matthews,55,55 #55,3114 Fincher Farm Rd Ste 200,NC,28105-5464
T-Mobile,Coral Gables,56,56 #56,280 Alhambra Cir,FL,33134-5104
T-Mobile,BUFORD,57,57 #57,3333 BUFORD DR STE 2083B,GA,30519-4969
T-Mobile,Auburn,59,59 #59,1452 Opelika Rd Ste F,AL,36830
T-Mobile,Las Vegas,60,60 #60,111 N Nellis Blvd,NV,89110-5320
T-Mobile,Brooklyn,61,61 #61,517 Fulton St,NY,11201
T-Mobile,GAINESVILLE,62,62 #62,6419 W NEWBERRY RD STE H0004,FL,32605-4365
T-Mobile,Brooklyn,63,63 #63,76 Court Street,NY,11201
T-Mobile,Los Angeles,64,64 #64,6064 W Olympic Blvd,CA,90036
T-Mobile,Chicago,65,65 #65,1639 North Milwaukee Avenue,IL,60647
T-Mobile,Austin,66,66 #66,4700 W Guadalupe St Ste 1,TX,78751
T-Mobile,Mesa,67,67 #67,1920 S Stapley Drive Suite 111,AZ,85204
T-Mobile,North Las Vegas,68,68 #68,3820 W Lake Mead Blvd Ste 110,NV,89032
T-Mobile,Clinton,69,69 #69,1819 W 1800 N,UT,84015
T-Mobile,South Jordan,70,70 #70,11507 S Pkwy Plaza Dr Ste 100,UT,84095
T-Mobile,Clovis,71,71 #71,1330 Shaw Ave Ste 101,CA,93612
T-Mobile,Kalamazoo,72,72 #72,302 N Drake Rd,MI,49009
T-Mobile,DeSoto,73,73 #73,851 N I 35 E Ste 101,TX,75115-4806
T-Mobile,Rego Park,74,74 #74,61-01 Junction Blvd,NY,11374
T-Mobile,BROOKLYN,75,75 #75,436 MYRTLE AVE,NY,11205-2402
T-Mobile,HIALEAH,76,76 #76,410 HIALEAH DR,FL,33010-5347
T-Mobile,BROOKLYN,77,77 #77,1566 FLATBUSH AVE,NY,11210-3030
T-Mobile,AURORA,78,78 #78,797 PEORIA ST STE C,CO,80011-8265
T-Mobile,AURORA,79,79 #79,16900 E ILIFF AVE STE B,CO,80013-1518
T-Mobile,ATLANTA,80,80 #80,2489 VILLAGE CREEK LNDG SE STE A,GA,30316-3285
T-Mobile,FREDERICK,81,81 #81,5500 BUCKEYSTOWN PIKE,MD,21703-8331
T-Mobile,Hamden,82,82 #82,1225 Dixwell Ave Ste 1A,CT,06514-4136
T-Mobile,Jacksonville,83,83 #83,2261 Edgewood Ave W,FL,32209-2554
T-Mobile,HILLSIDE,84,84 #84,1112 LIBERTY AVE,NJ,07205-2103
T-Mobile,PHARR,85,85 #85,1300 S CAGE BLVD STE A,TX,78577-6293
T-Mobile,WEST MILWAUKEE,86,86 #86,1403 S MILLER PKWY STE B,WI,53214-3649
T-Mobile,Northridge,87,87 #87,9301 Tampa Ave,CA,91324
T-Mobile,CENTERVILLE,88,88 #88,1087 S MAIN ST,OH,45458-3840
T-Mobile,BERKLEY,89,89 #89,27861 WOODWARD AVE,MI,48072-0907
T-Mobile,MESQUITE,90,90 #90,2232 TOWN EAST MALL,TX,75150-4131
T-Mobile,MACHESNEY PARK,91,91 #91,1405 W LANE RD STE D,IL,61115-1660
T-Mobile,GOODYEAR,92,92 #92,831 S COTTON LN,AZ,85338-4637
T-Mobile,SPRINGFIELD,93,93 #93,1655 BOSTON RD STE 144,MA,01129-1148
T-Mobile,Greensboro,94,94 #94,2103 Pyramid Village Blvd,NC,27405-5140
T-Mobile,DALLAS,95,95 #95,13251 MONTFORT DR,TX,75240-5114
T-Mobile,Deptford,96,96 #96,1750 Deptford Center Rd STE 7737,NJ,8096
T-Mobile,RICHARDSON,97,97 #97,524 W BELT LINE RD STE 15,TX,75080-6312
T-Mobile,PHOENIX,98,98 #98,2330 W HAPPY VALLEY RD,AZ,85085-8505
T-Mobile,PINELLAS PARK,99,99 #99,7253 PARK BLVD N STE D,FL,33781-2920
T-Mobile,NORTH ARLINGTON,100,100 #100,571 RIDGE RD,NJ,07031-4823
T-Mobile,CHICAGO,101,101 #101,6342 N CICERO AVE,IL,60646-4422
T-Mobile,NASHVILLE,102,102 #102,5759 NOLENSVILLE PIKE STE 70,TN,37211-6423
T-Mobile,BURLINGAME,103,103 #103,1847 EL CAMINO REAL,CA,94010-3220
T-Mobile,SPRINGFIELD,104,104 #104,4120 S CAMPBELL AVE,MO,65807-5310
T-Mobile,Hammond,105,105 #105,2802 W Thomas St,LA,70401-2841
T-Mobile,RIDGEWOOD,106,106 #106,1611 PALMETTO ST,NY,11385-2729
T-Mobile,WOODRIDGE,107,107 #107,1001 75TH ST STE 189B,IL,60517-2659
T-Mobile,LAWTON,108,108 #108,200 SW C AVE STE 14,OK,73501-4600
T-Mobile,GLENDALE,109,109 #109,9524 W CAMELBACK RD STE C170,AZ,85305-3110
T-Mobile,APACHE JUNCTION,110,110 #110,10749 E APACHE TRAIL,AZ,85220
T-Mobile,TAMPA,111,111 #111,130 S WESTSHORE BLVD STE B,FL,33609-2539
T-Mobile,GRAND PRAIRIE,112,112 #112,433 E PIONEER PKWY,TX,75051-4944
T-Mobile,YUBA CITY,113,113 #113,1185 COLUSA AVE STE R,CA,95991-3633
T-Mobile,ARLINGTON,114,114 #114,1100 S HAYES ST STE KG2,VA,22202-4907
T-Mobile,Pittsburgh,115,115 #115,2613 E Carson St Ste B-102,PA,15203-5109
T-Mobile,WEST PALM BEACH,116,116 #116,940 S MILITARY TRL STE 3,FL,33415-3982
T-Mobile,CINCINNATI,117,117 #117,5457 N BEND RD STE 100-104,OH,45247-7620
T-Mobile,KNOXVILLE,118,118 #118,10940 PARKSIDE DR STE 5,TN,37934-1958
T-Mobile,El Paso,119,119 #119,5610 N Desert Blvd Ste B6,TX,79912-1657
T-Mobile,Akron,120,120 #120,1 N Hawkins Ave,OH,44313-6409
T-Mobile,SAN GERMAN,121,121 #121,301 AVE CASTRO PEREZ STE W11,PR,683
T-Mobile,GLENDALE,122,122 #122,7708 W BELL RD STE 102,AZ,85308-8695
T-Mobile,MARION,123,123 #123,2211 E HIGHWAY 76,SC,29571-6354
T-Mobile,CALUMET CITY,124,124 #124,96 RIVER OAKS CENTER DR APT T27,IL,60409-5504
T-Mobile,NORTH RIVERSIDE,125,125 #125,7501 W CERMAK RD,IL,60546-1438
T-Mobile,READING,126,126 #126,3050 NORTH 5TH STREET HWY,PA,19605-2473
T-Mobile,NEW YORK,127,127 #127,716 3RD AVE,NY,10017-4012
T-Mobile,ST GEORGE,128,128 #128,1091 N BLUFF ST STE 106,UT,84770-5525
T-Mobile,Logan,129,129 #129,970 S Highway 89 Ste 150,UT,84321-6897
T-Mobile,LAREDO,130,130 #130,7609 MCPHERSON RD,TX,78041-6552
T-Mobile,CHALMETTE,131,131 #131,8700 W JUDGE PEREZ DR STE U,LA,70043-1860
T-Mobile,PASADENA,132,132 #132,1271 N LAKE AVE STE 22,CA,91104-2855
T-Mobile,ARVADA,133,133 #133,12318 W 64TH AVE,CO,80004-4016
T-Mobile,RALEIGH,134,134 #134,3695 NEW BERN AVE,NC,27610-1232
T-Mobile,ORLANDO,135,135 #135,5422 N ORANGE BLOSSOM TRAIL,FL,32810-1001
T-Mobile,EDGEWATER,136,136 #136,1921 SHERIDAN BLVD,CO,80214-1325
T-Mobile,CHARLOTTE,137,137 #137,9030 ALBEMARLE RD STE A,NC,28227-2620
T-Mobile,Thousand Oaks,138,138 #138,186 W Hillcrest Dr Ste 42,CA,91360-4209
T-Mobile,CHICAGO,139,139 #139,2620 N Narrangansett Ave Ste B5,IL,60639-1030
T-Mobile,REDMOND,140,140 #140,7521 166th Ave NE,WA,98052-7811
T-Mobile,EDINBURG,141,141 #141,1708 W UNIVERSITY DR STE A,TX,78539-2848
T-Mobile,ROSENBERG,142,142 #142,5192 AVENUE H,TX,77471-2014
T-Mobile,CHULA VISTA,143,143 #143,2305 Otay Lakes Rd,CA,91915-1157
T-Mobile,Bronx,144,144 #144,7 E Fordham Rd,NY,10468
T-Mobile,Dederland,145,145 #145,3704 Highway 365,TX,77627-7836
T-Mobile,Nogales,146,146 #146,351 W Mariposa Rd,AZ,85621-1044
T-Mobile,Norfolk,147,147 #147,880 N Military Hwy Ste 1083,VA,23502-3716
T-Mobile,Downey,148,148 #148,9400 Firestone Blvd,CA,90241
T-Mobile,North Riverside,149,149 #149,2312 South Harlem Ave,IL,60546
T-Mobile,PHOENIX,150,150 #150,7510 W MCDOWELL RD STE 102,AZ,85035
T-Mobile,Webster,151,151 #151,599 W Bay Area Blvd ste B,TX,77598-2803
T-Mobile,Inglewood,152,152 #152,6806 S La Cienega Blvd,CA,90302
T-Mobile,Westworth Village,153,153 #153,532 State Hwy 183,TX,76114
T-Mobile,HARLINGEN,154,154 #154,2000 S EXPRESSWAY 83,TX,78552-5950
T-Mobile,West Palm Beach,155,155 #155,1960 Okeechobee Blvd,FL,33409
