Keywords,city,Agg store_number,store_number,address,state,zip_code
Taco Bell,Riverside,1335,#01335 001335 1335 #1335 #001335 01335,1420 University Ave,CA,92507
Taco Bell,Dallas,1556,#01556 001556 1556 #1556 #001556 01556,9820 Walnut Hill Ln,TX,75238
Taco Bell,Houston,2434,#02434 002434 2434 #2434 #002434 02434,10906 Scarsdale Blvd #B,TX,77089
Taco Bell,Osage Beach,2460,#02460 002460 2460 #2460 #002460 02460,3554 Osage Beach Pkwy,MO,65065
Taco Bell,Sylvania,2744,#02744 002744 2744 #2744 #002744 02744,5844 Alexis Rd,OH,43560
Taco Bell,Independence,2818,#02818 002818 2818 #2818 #002818 02818,11020 E 23rd St S,MO,64052
Taco Bell,Los Angeles,2930,#02930 002930 2930 #2930 #002930 02930,2718 S Figueroa St,CA,90007
Taco Bell,Metairie,2983,#02983 002983 2983 #2983 #002983 02983,3840 Veterans Memorial Blvd,LA,70002
Taco Bell,Los Angeles,3108,#03108 003108 3108 #3108 #003108 03108,103 S Rampart Blvd,CA,90057
Taco Bell,Asheboro,3399,#03399 003399 3399 #3399 #003399 03399,625 W Dixie Dr,NC,27205
Taco Bell,Topeka,4120,#04120 004120 4120 #4120 #004120 04120,1560 S.w. Wanamaker Rd,KS,66604
Taco Bell,Dundee,4298,#04298 004298 4298 #4298 #004298 04298,537 Tecumseh St,MI,48131
Taco Bell,McAlester,4461,#04461 004461 4461 #4461 #004461 04461,508 S George Nigh Expy,OK,74501
Taco Bell,Merced,4758,#04758 004758 4758 #4758 #004758 04758,1440 Martin Luther King Jr Way,CA,95340
Taco Bell,Columbia,4947,#04947 004947 4947 #4947 #004947 04947,220 Business Loop 70 E,MO,65203
Taco Bell,Albany,16630,#016630 0016630 16630 #16630 #0016630 016630,1835 Pacific Blvd SW,OR,97321
Taco Bell,Albany,17559,#017559 0017559 17559 #17559 #0017559 017559,200 Airport Rd SE,OR,97322
Taco Bell,Garland,23748,#023748 0023748 23748 #23748 #0023748 023748,3178 Lavon Dr.,TX,75040
Taco Bell,Bakersfield,24402,#024402 0024402 24402 #24402 #0024402 024402,3300 Buena Vista Rd,CA,93311
Taco Bell,Sequim,24432,#024432 0024432 24432 #24432 #0024432 024432,11 Lee Chatfield Way,WA,98382
Taco Bell,Phoenix,24462,#024462 0024462 24462 #24462 #0024462 024462,34906 N Valley Parkway,AZ,85086
Taco Bell,Queen Creek,24478,#024478 0024478 24478 #24478 #0024478 024478,18510 E Rittenhouse Rd,AZ,85142
Taco Bell,Toledo,24598,#024598 0024598 24598 #24598 #0024598 024598,7246 West Central Ave.,OH,43617
Taco Bell,El Paso,25849,#025849 0025849 25849 #25849 #0025849 025849,12230 Montana Ave.,TX,79938
Taco Bell,Stillwater,26022,#026022 0026022 26022 #26022 #0026022 026022,821 N Perkins,OK,74075
Taco Bell,Madras,26037,#026037 0026037 26037 #26037 #0026037 026037,44 SW 5th St,OR,97741
Taco Bell,Willis,26047,#026047 0026047 26047 #26047 #0026047 026047,803 W Montgomery St,TX,77378
Taco Bell,Berkley,26084,#026084 0026084 26084 #26084 #0026084 026084,2220 Collidge Hwy.,MI,48072
Taco Bell,Washington,26244,#026244 0026244 26244 #26244 #0026244 026244,65891 Van Dyke,MI,48095
Taco Bell,Mobile,26246,#026246 0026246 26246 #26246 #0026246 026246,3843 Airport Blvd,AL,36608
Taco Bell,North Royalton,26277,#026277 0026277 26277 #26277 #0026277 026277,6447 North Royalton Rd,OH,44133
Taco Bell,Greenville,26333,#026333 0026333 26333 #26333 #0026333 026333,1991 Stantonsburg Rd,NC,27834
Taco Bell,Hazard,26338,#026338 0026338 26338 #26338 #0026338 026338,137 Village Lane,KY,41701
Taco Bell,Arlington,26381,#026381 0026381 26381 #26381 #0026381 026381,8110 Matlock Rd,TX,76002
Taco Bell,Tucson,26387,#026387 0026387 26387 #26387 #0026387 026387,1720 W. Speedway Blvd,AZ,85745
Taco Bell,Houston,26435,#026435 0026435 26435 #26435 #0026435 026435,12351 FM 1960 West,TX,77065
Taco Bell,Lambertville,26441,#026441 0026441 26441 #26441 #0026441 026441,3240 W Sterns Rd,MI,48144
Taco Bell,Bellevue,26580,#026580 0026580 26580 #26580 #0026580 026580,1365 E Main St,OH,44811
Taco Bell,Carrollton,26659,#026659 0026659 26659 #26659 #0026659 026659,3420 E Hebron Parkway,TX,75010
Taco Bell,Lenoir,26708,#026708 0026708 26708 #26708 #0026708 026708,160 Blowing Rock Blvd,NC,28645
Taco Bell,El Paso,26718,#026718 0026718 26718 #26718 #0026718 026718,7410 Remcon Cir,TX,79912
Taco Bell,Winchester,26722,#026722 0026722 26722 #26722 #0026722 026722,951 E Greenville Pike,IN,47394
Taco Bell,Sacramento,26727,#026727 0026727 26727 #26727 #0026727 026727,8170 Gerber Rd,CA,95828
Taco Bell,Colorado Springs,26777,#026777 0026777 26777 #26777 #0026777 026777,390 N Union Blvd,CO,80909
Taco Bell,The Woodlands,26787,#026787 0026787 26787 #26787 #0026787 026787,9945 Six Pines Dr,TX,77380
Taco Bell,Salinas,26831,#026831 0026831 26831 #26831 #0026831 026831,1597 N Sanborn Rd,CA,93905
Taco Bell,Mount Pleasant,26832,#026832 0026832 26832 #26832 #0026832 026832,1143 S Mission St,MI,48858
Taco Bell,Whiteville,26845,#026845 0026845 26845 #26845 #0026845 026845,1712 S. JK Powell Blvd.,NC,28472
Taco Bell,Baton Rouge,26916,#026916 0026916 26916 #26916 #0026916 026916,4220 Burbank Dr,LA,70808
Taco Bell,Crowley,27051,#027051 0027051 27051 #27051 #0027051 027051,1008 S Crowley Rd,TX,76036
Taco Bell,Powhatan,C324001,#0C324001 00C324001 C324001 #C324001 #00C324001 0C324001,1793A Southcreek One,VA,23139
Taco Bell,Seattle,E720399,#0E720399 00E720399 E720399 #E720399 #00E720399 0E720399,9401 Rainier Ave. S,WA,98118
Taco Bell,Kansas City,G135017,#0G135017 00G135017 G135017 #G135017 #00G135017 0G135017,635 S 7th St,KS,66105
Taco Bell,Ramsey,K250010,#0K250010 00K250010 K250010 #K250010 #00K250010 0K250010,1246 Route 17,NJ,7446
Taco Bell,Richmond,Y053118,#0Y053118 00Y053118 Y053118 #Y053118 #00Y053118 0Y053118,4504 Jefferson Davis Hwy,VA,23234
Taco Bell,Long Beach,2,#02 002 2 #2 #002 02,1822 Santa Fe,CA,90810
Taco Bell,San Diego,15,#015 0015 15 #15 #0015 015,6104 University Ave,CA,92115
Taco Bell,San Gabriel,17,#017 0017 17 #17 #0017 017,1518 S San Gabriel,CA,91776
Taco Bell,Pomona,24,#024 0024 24 #24 #0024 024,2204 N Garey,CA,91767
Taco Bell,Scottsdale,31,#031 0031 31 #31 #0031 031,7847 E Mc Dowell Rd,AZ,85257
Taco Bell,Long Beach,48,#048 0048 48 #48 #0048 048,2500 E Pacific Coast Hwy,CA,90804
Taco Bell,Phoenix,57,#057 0057 57 #57 #0057 057,3502 W Van Buren,AZ,85009
Taco Bell,Burbank,71,#071 0071 71 #71 #0071 071,1115 N San Fernando Blvd,CA,91504
Taco Bell,Phoenix,81,#081 0081 81 #81 #0081 081,2450 E Indian School Rd,AZ,85016
Taco Bell,Lawndale,84,#084 0084 84 #84 #0084 084,16901 Hawthorne Blvd,CA,90260
Taco Bell,North Hollywood,86,#086 0086 86 #86 #0086 086,5958 Lankershim Blvd,CA,91601
