keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Talbots,Hingham,3,3 #3 #03 #003,164 North Street,MA,2043
Talbots,Duxbury,4,4 #4 #04 #004,447 Washington St.,MA,2332
Talbots,Lenox,5,5 #5 #05 #005,46 Walker Street,MA,1240
Talbots,Hamden,6,6 #6 #06 #006,3490 Whitney Avenue,CT,6518
Talbots,Canton,7,7 #7 #07 #007,"110 Albany Turnpike, Suite 1000",CT,6019
Talbots,Acton,8,8 #8 #08 #008,149 Great Road,MA,1720
Talbots,South Hamilton,9,9 #9 #09 #009,31 Bay Road Route 1A,MA,1982
Talbots,Mashpee,10,10 #10 #010 #0010,23 Steeple Street,MA,2649
Talbots,Ridgefield,11,11 #11 #011 #0011,107 Danbury Road,CT,6877
Talbots,Westport,12,12 #12 #012 #0012,165 Main Street,CT,6880
Talbots,Boston,13,13 #13 #013 #0013,500 Boylston Street,MA,2116
Talbots,Wellesley,14,14 #14 #014 #0014,50 Central Street,MA,2482
Talbots,Chappaqua,18,18 #18 #018 #0018,400 King Street,NY,10514
Talbots,Wilmington,19,19 #19 #019 #0019,3801 Kennett Pike,DE,19807
Talbots,Chevy Chase,20,20 #20 #020 #0020,5320 Western Place,MD,20815
Talbots,Baltimore,21,21 #21 #021 #0021,50 Village Square,MD,21210
Talbots,Cherry Hill,22,22 #22 #022 #0022,957 Haddonfield Road,NJ,8002
Talbots,Morristown,23,23 #23 #023 #0023,1001 Mount Kemble Avenue,NJ,7960
Talbots,Newport,24,24 #24 #024 #0024,162 Bellevue Avenue,RI,2840
Talbots,Essex,25,25 #25 #025 #0025,1 Essex Square,CT,6426
Talbots,Pittsford,26,26 #26 #026 #0026,66 Monroe Avenue,NY,14534
Talbots,Lyndhurst,30,30 #30 #030 #0030,25225 Cedar Road,OH,44124
Talbots,Sewickley,31,31 #31 #031 #0031,400 Broad Street,PA,15143
Talbots,Cincinnati,33,33 #33 #033 #0033,2669 Edmondson Road,OH,45209
Talbots,Pittsburgh,34,34 #34 #034 #0034,5428 Walnut Street,PA,15232
Talbots,Alexandria,35,35 #35 #035 #0035,601 North Washington St,VA,22314
Talbots,Scarsdale,37,37 #37 #037 #0037,696 White Plains Road,NY,10583
Talbots,McLean,38,38 #38 #038 #0038,8022 Tysons Corner Center,VA,22102
Talbots,Short Hills,40,40 #40 #040 #0040,Kennedy Blvd.,NJ,7078
Talbots,Stamford,41,41 #41 #041 #0041,100 Greyrock Pl.,CT,6901
Talbots,Deer Park,45,45 #45 #045 #0045,20530 N. Rand Road,IL,60010
Talbots,Lake Forest,47,47 #47 #047 #0047,247 East Market Square,IL,60045
Talbots,Paramus,48,48 #48 #048 #0048,Routes 4 & 17,NJ,7652
Talbots,North Bethesda,49,49 #49 #049 #0049,11301 Rockville Pike,MD,20895
Talbots,Troy,52,52 #52 #052 #0052,2801 West Big Beaver Road,MI,48084
Talbots,Westlake,53,53 #53 #053 #0053,140 Main Street,OH,44145
Talbots,Novi,55,55 #55 #055 #0055,27242 Novi Road,MI,48377
Talbots,Ridgewood,57,57 #57 #057 #0057,17 South Walnut Street,NJ,7450
Talbots,Indianapolis,58,58 #58 #058 #0058,49 West Maryland Street,IN,46204
Talbots,Indianapolis,59,59 #59 #059 #0059,8702 Keystone Crossing,IN,46240
Talbots,Atlanta,60,60 #60 #060 #0060,2391 Peachtree Road NE,GA,30305
Talbots,Mt. Laurel,62,62 #62 #062 #0062,4120 Dearborn Circle,NJ,8054
Talbots,Grosse Pointe,63,63 #63 #063 #0063,17015 Kercheval Street,MI,48230
Talbots,Ann Arbor,64,64 #64 #064 #0064,272 Briarwood Circle,MI,48108
Talbots,Bellevue,67,67 #67 #067 #0067,2062 Bellevue Square Way NE,WA,98004
Talbots,Dayton,68,68 #68 #068 #0068,2524 Far Hills Avenue,OH,45419
Talbots,Upper Arlington,70,70 #70 #070 #0070,1711 West Lane Ave,OH,43221
Talbots,Springfield,72,72 #72 #072 #0072,6825 Bland Street,VA,22150
Talbots,Albany,73,73 #73 #073 #0073,5 Metro Park Drive,NY,12205
Talbots,Park Ridge,74,74 #74 #074 #0074,575 Busse Highway,IL,60068
Talbots,Corte Madera,81,81 #81 #081 #0081,1500 Redwood Highway,CA,94925
Talbots,Lexington,82,82 #82 #082 #0082,3615 Nicholasville Road,KY,40503
Talbots,Atlanta,83,83 #83 #083 #0083,4300 Paces Ferry Road,GA,30339
Talbots,Shrewsbury,84,84 #84 #084 #0084,641 Route 35,NJ,7702
Talbots,Towson,85,85 #85 #085 #0085,825 Dulaney Valley Road,MD,21204
Talbots,Madison,86,86 #86 #086 #0086,7815 Mineral Point Road,WI,53717
Talbots,Worthington,87,87 #87 #087 #0087,125 Worthington Mall,OH,43085
Talbots,Oak Brook,88,88 #88 #088 #0088,148 Oakbrook Center,IL,60523
Talbots,Walnut Creek,91,91 #91 #091 #0091,1201 South Main Street,CA,94596
Talbots,New York,92,92 #92 #092 #0092,1251-1255 Third Avenue,NY,10021
Talbots,Charlottesville,93,93 #93 #093 #0093,1027 Emmet Street,VA,22901
Talbots,Naperville,98,98 #98 #098 #0098,217 South Main Street,IL,60540
Talbots,Virginia Beach,99,99 #99 #099 #0099,1860 Laskin Road La Promenade,VA,23454
Talbots,Wayzata,101,101 #101 #0101 #00101,619 East Lake Street,MN,55391
Talbots,Louisville,102,102 #102 #0102 #00102,194 North Hurstbourne Lane,KY,40222
Talbots,Dallas,103,103 #103 #0103 #00103,8687 N. Central Expressway,TX,75225
Talbots,San Antonio,104,104 #104 #0104 #00104,7400 San Pedro Avenue,TX,78216
Talbots,Kansas City,108,108 #108 #0108 #00108,239 West 47th Street,MO,64112
Talbots,Plano,109,109 #109 #0109 #00109,1900 Preston Road,TX,75093
Talbots,Costa Mesa,110,110 #110 #0110 #00110,3333 Bear Street,CA,92626
Talbots,Williamsville,112,112 #112 #0112 #00112,5501 Main Street,NY,14221
Talbots,Raleigh,113,113 #113 #0113 #00113,438 Woodburn Road,NC,27605
Talbots,Winston-Salem,114,114 #114 #0114 #00114,280 S. Stratford Center,NC,27103
Talbots,Santa Barbara,115,115 #115 #0115 #00115,110 South Hope Avenue,CA,93105
Talbots,Chapel Hill,116,116 #116 #0116 #00116,1800 E. Franklin Street,NC,27514
Talbots,Springfield,117,117 #117 #0117 #00117,1100 Baltimore Pike,PA,19064
Talbots,Fort Worth,118,118 #118 #0118 #00118,1540 South University Drive,TX,76107
Talbots,Memphis,122,122 #122 #0122 #00122,408 Grove Park Road South,TN,38117
Talbots,Pasadena,123,123 #123 #0123 #00123,497 South Lake Avenue,CA,91101
Talbots,Nashville,124,124 #124 #0124 #00124,4119 Hillsboro Road,TN,37215
Talbots,Austin,126,126 #126 #0126 #00126,9722 Great Hills Trail,TX,78759
Talbots,Charlotte,127,127 #127 #0127 #00127,6401 Morrison Boulevard,NC,28211
Talbots,Fayetteville,129,129 #129 #0129 #00129,98 Maple Drive,NY,13066
Talbots,Annapolis,131,131 #131 #0131 #00131,1910 Towne Centre Boulevard,MD,21401
Talbots,Knoxville,132,132 #132 #0132 #00132,5614 Kingston Pike,TN,37919
Talbots,Knoxville,132,132 #132 #0132 #00132,5614 Kingston Pike,TN,37919
Talbots,Burlington,134,134 #134 #0134 #00134,1125 Burlington Mall,MA,1803
Talbots,Mount Lebanon,136,136 #136 #0136 #00136,1500 Washington Road,PA,15228
Talbots,Greenville,137,137 #137 #0137 #00137,2222 Augusta Street,SC,29605
Talbots,Saint Louis,138,138 #138 #0138 #00138,39 Plaza Frontenac,MO,63131
Talbots,Bridgewater,139,139 #139 #0139 #00139,400 Commons Way,NJ,8807
Talbots,Chesterfield,142,142 #142 #0142 #00142,1580 Clarkson Road,MO,63017
Talbots,Glendale,143,143 #143 #0143 #00143,5695 North Centerpark Way,WI,53217
Talbots,Cincinnati,144,144 #144 #0144 #00144,7875 Montgomery Road,OH,45236
Talbots,Omaha,146,146 #146 #0146 #00146,10343 Pacific Street,NE,68114
Talbots,Oklahoma City,147,147 #147 #0147 #00147,2125 NW Expressway,OK,73112
Talbots,New York,148,148 #148 #0148 #00148,525 Madison Avenue (Between 53rd & 54th St),NY,10022
Talbots,Edina,149,149 #149 #0149 #00149,3936 West 50th Street,MN,55424
Talbots,Rolling Hills Estates,150,150 #150 #0150 #00150,550 Deep Valley Dr,CA,90274
Talbots,Germantown,151,151 #151 #0151 #00151,2055 West Street,TN,38138
Talbots,Winter Park,155,155 #155 #0155 #00155,180 Park Avenue North,FL,32789
Talbots,Columbia,156,156 #156 #0156 #00156,4809 Forest Drive,SC,29206
Talbots,Grand Rapids,157,157 #157 #0157 #00157,1862 Breton Road,MI,49506
Talbots,Murray,158,158 #158 #0158 #00158,194 East Winchester Street,UT,84107
Talbots,La Jolla,159,159 #159 #0159 #00159,7817 Girard Avenue,CA,92037
Talbots,Houston,160,160 #160 #0160 #00160,5135 West Alabama,TX,77056
Talbots,Saint Paul,163,163 #163 #0163 #00163,665 South Cleveland Avenue,MN,55116
Talbots,Sacramento,165,165 #165 #0165 #00165,581 591 Pavilions Lane,CA,95825
Talbots,Rochester,167,167 #167 #0167 #00167,111 South Broadway,MN,55904
Talbots,Reston,168,168 #168 #0168 #00168,11888 Market Street,VA,20190
Talbots,Houston,172,172 #172 #0172 #00172,2028 West Gray,TX,77019
Talbots,Philadelphia,173,173 #173 #0173 #00173,1719-1721 Walnut Street,PA,19103
Talbots,Denver,174,174 #174 #0174 #00174,3000 East 1st Avenue,CO,80206
Talbots,South Burlington,208,208 #208 #0208 #00208,41 IDX Drive,VT,5403
Talbots,Clive,209,209 #209 #0209 #00209,9739 University Avenue,IA,50325
Talbots,Okemos,210,210 #210 #0210 #00210,5050 Marsh Road,MI,48864
Talbots,Springfield,211,211 #211 #0211 #00211,2800 Plaza Drive,IL,62704
Talbots,Tulsa,212,212 #212 #0212 #00212,1930 Utica Square,OK,74114
Talbots,Savannah,213,213 #213 #0213 #00213,5525 Abercorn Street Abercorn Walk,GA,31405
Talbots,Chattanooga,216,216 #216 #0216 #00216,2121 Hamilton Place Boulevard,TN,37421
Talbots,Brea,218,218 #218 #0218 #00218,1114 Brea Mall,CA,92821
Talbots,Charleston,219,219 #219 #0219 #00219,2011 Charleston Town Center,WV,25389
Talbots,Brookfield,220,220 #220 #0220 #00220,18000 W. Bluemound Road,WI,53045
Talbots,Lancaster,221,221 #221 #0221 #00221,1647 Manheim Pike,PA,17601
Talbots,Scottsdale,222,222 #222 #0222 #00222,7014 East Camelback Road,AZ,85251
Talbots,Overland Park,223,223 #223 #0223 #00223,4709 West 119th Street Hawthorne Plaza,KS,66209
Talbots,Augusta,224,224 #224 #0224 #00224,491 A Highland Avenue,GA,30909
Talbots,Albany,225,225 #225 #0225 #00225,1475 Western Avenue,NY,12203
Talbots,Newark,228,228 #228 #0228 #00228,458 Christiana Mall,DE,19702
Talbots,Camp Hill,230,230 #230 #0230 #00230,3214 Trindle Road,PA,17011
Talbots,Ft. Wayne,231,231 #231 #0231 #00231,4130 Jefferson Boulevard,IN,46804
Talbots,Boise,232,232 #232 #0232 #00232,356 North Milwaukee Street,ID,83704
Talbots,Mobile,233,233 #233 #0233 #00233,9 Du Rhu Drive,AL,36608
Talbots,Doylestown,234,234 #234 #0234 #00234,100 South Main Street,PA,18901
Talbots,Jackson,235,235 #235 #0235 #00235,172 Highland Village,MS,39211
Talbots,Fairlawn,237,237 #237 #0237 #00237,2955 West Market Street,OH,44333
Talbots,Portage,239,239 #239 #0239 #00239,6762 South Westnedge Avenue The Carillion Centre,MI,49002
Talbots,Wichita,240,240 #240 #0240 #00240,2132 N. Rock Road,KS,67206
Talbots,Tallahassee,241,241 #241 #0241 #00241,1333 Market Street,FL,32312
Talbots,Appleton,242,242 #242 #0242 #00242,4301 W. Wisconsin Avenue,WI,54915
Talbots,Clarks Summit,244,244 #244 #0244 #00244,501 South State Street,PA,18411
Talbots,Glastonbury,246,246 #246 #0246 #00246,140 Glastonbury Boulevard,CT,6033
Talbots,Cedar Rapids,247,247 #247 #0247 #00247,4444 1st Avenue NE,IA,52402
Talbots,Huntsville,248,248 #248 #0248 #00248,3030 South Memorial Parkway,AL,35801
Talbots,Davenport,249,249 #249 #0249 #00249,320 W Kimberly Road,IA,52806
Talbots,Asheville,251,251 #251 #0251 #00251,10 Brook Street,NC,28803
Talbots,Shreveport,252,252 #252 #0252 #00252,6535 Youree Drive,LA,71105
Talbots,Peoria,253,253 #253 #0253 #00253,4633 North University,IL,61614
Talbots,Evansville,254,254 #254 #0254 #00254,800 North Green River Road,IN,47715
Talbots,Fresno,255,255 #255 #0255 #00255,680 West Shaw Avenue,CA,93704
Talbots,Bethlehem,256,256 #256 #0256 #00256,3303 Bath Pike,PA,18017
Talbots,Miami,259,259 #259 #0259 #00259,7685 North Kendall Drive,FL,33156
Talbots,Macon,260,260 #260 #0260 #00260,5080 Riverside Drive,GA,31210
Talbots,Jacksonville,261,261 #261 #0261 #00261,10311 Big Tree Lane,FL,32257
Talbots,Cranston,262,262 #262 #0262 #00262,27-29 Hillside Road,RI,2920
Talbots,El Paso,263,263 #263 #0263 #00263,720 Sunland Park Drive,TX,79912
Talbots,Wheaton,264,264 #264 #0264 #00264,391 Town Square,IL,60187
Talbots,Lincoln,265,265 #265 #0265 #00265,2910 East Pinelake Rd,NE,68516
Talbots,Upper Montclair,266,266 #266 #0266 #00266,574 Valley Road,NJ,7043
Talbots,Boardman,267,267 #267 #0267 #00267,813 Boardman Poland Road,OH,44512
Talbots,Erie,268,268 #268 #0268 #00268,3330 West 26th Street,PA,16506
Talbots,Cockeysville,273,273 #273 #0273 #00273,10265 York Road,MD,21030
Talbots,San Leandro,276,276 #276 #0276 #00276,1235 Marina Boulevard,CA,94577
Talbots,Lexington,277,277 #277 #0277 #00277,1895 Vendor Way,KY,40509
Talbots,Baton Rouge,280,280 #280 #0280 #00280,7455 Corporate Boulevard,LA,70809
Talbots,Livonia,282,282 #282 #0282 #00282,37584 West Six Mile Road,MI,48152
Talbots,Bakersfield,283,283 #283 #0283 #00283,9000 Ming Avenue,CA,93311
Talbots,Rockford,284,284 #284 #0284 #00284,7160 Harrison Ave,IL,61112
Talbots,Sea Girt,285,285 #285 #0285 #00285,2150 Highway 35,NJ,8750
Talbots,Toledo,286,286 #286 #0286 #00286,5001 Monroe Street,OH,43623
Talbots,Roanoke,289,289 #289 #0289 #00289,4702 Starkey Rd. Southwest,VA,24014
Talbots,Bloomington,290,290 #290 #0290 #00290,1515 East Empire Boulevard,IL,61701
Talbots,Dallas,291,291 #291 #0291 #00291,13350 North Dallas Parkway,TX,75240
Talbots,Columbia,292,292 #292 #0292 #00292,10300 Little Patuxent Parkway,MD,21044
Talbots,Vestal,293,293 #293 #0293 #00293,4777 Vestal Parkway East,NY,13850
Talbots,Reno,294,294 #294 #0294 #00294,13935 South Virginia Street,NV,89511
Talbots,Naples,295,295 #295 #0295 #00295,5555 Tamiami Trail North,FL,34108
Talbots,Topeka,296,296 #296 #0296 #00296,1717 SW Wanamaker Road,KS,66604
Talbots,Spartanburg,297,297 #297 #0297 #00297,551 East Main Street,SC,29302
Talbots,Tucson,298,298 #298 #0298 #00298,2905 East Skyline Drive,AZ,85718
Talbots,Columbus,299,299 #299 #0299 #00299,6401 Whitesville Road,GA,31904
Talbots,Southbury,300,300 #300 #0300 #00300,108 Main Street North,CT,6488
Talbots,Ithaca,301,301 #301 #0301 #00301,903 Hanshaw Road,NY,14850
Talbots,West Lafayette,302,302 #302 #0302 #00302,500 Sagamore Parkway West,IN,47906
Talbots,Lafayette,305,305 #305 #0305 #00305,5725 Johnston Street,LA,70503
Talbots,Fayetteville,307,307 #307 #0307 #00307,108 N. McPherson Church Road,NC,28303
Talbots,Beavercreek,309,309 #309 #0309 #00309,4414 Cedar Park Drive,OH,45440
Talbots,Wilmington,310,310 #310 #0310 #00310,3607 Oleander Drive,NC,28403
Talbots,Beaumont,312,312 #312 #0312 #00312,408 Dowlen Road,TX,77706
Talbots,Pensacola,315,315 #315 #0315 #00315,4411 Bayou Boulevard,FL,32503
