Keywords,city,store_number,Agg store_number,address,state,zip_code
Target,Milwaukee,57,57 0000057 000057,8501 W Brown Deer Rd,WI,53224-2112
Target,Fort Collins,79,79 0000079 000079,105 W Troutman Pkwy,CO,80525-3038
Target,Wichita Falls,80,80 0000080 000080,4317 Kemp Blvd,TX,76308-3717
Target,Lubbock,83,83 0000083 000083,7302 University Ave,TX,79423-1423
Target,Carrollton,84,84 0000084 000084,2620 N Josey Ln,TX,75007-5516
Target,Minot,85,85 0000085 000085,2400 10th St SW,ND,58701-2013
Target,Wichita,92,92 0000092 000092,301 S Towne East Mall Dr,KS,67207-1022
Target,Grand Junction,93,93 0000093 000093,2424 Highway 6 and 50,CO,81505-1109
Target,Anderson,107,107 00000107 0000107,5501 S Scatterfield Rd,IN,46013-3140
Target,Kokomo,111,111 00000111 0000111,1037 S Reed Rd,IN,46902-1929
Target,Louisville,120,120 00000120 0000120,9070 Dixie Hwy,KY,40258-1007
Target,Madison,144,144 00000144 0000144,2050 Gallatin Rd N,TN,37115-2002
Target,Knoxville,151,151 00000151 0000151,8040 Ray Mears Blvd,TN,37919-5457
Target,Racine,152,152 00000152 0000152,5300 Durand Ave,WI,53406-5056
Target,Colorado Springs,154,154 00000154 0000154,5240 N Academy Blvd,CO,80918-4004
Target,Beaumont,158,158 00000158 0000158,5850 Eastex Fwy,TX,77708-4824
Target,North Little Rock,162,162 00000162 0000162,4000 McCain Blvd,AR,72116-8039
Target,Casper,164,164 00000164 0000164,401 SE Wyoming Blvd,WY,82609-4219
Target,Alexandria,167,167 00000167 0000167,2206 Memorial Dr,LA,71301-3611
Target,Billings,171,171 00000171 0000171,2601 Central Ave,MT,59102-6652
Target,Abilene,219,219 00000219 0000219,3710 Ridgemont Dr,TX,79606-2726
Target,Amarillo,221,221 00000221 0000221,8201 I-40 W,TX,79121-1104
Target,Cheyenne,224,224 00000224 0000224,1708 Dell Range Blvd,WY,82009-4945
Target,Great Falls,253,253 00000253 0000253,2000 10th Ave S,MT,59405-2753
Target,San Angelo,254,254 00000254 0000254,4235 Sunset Dr,TX,76904-5653
Target,Aliso Viejo,259,259 00000259 0000259,26932 La Paz Rd,CA,92656-3038
Target,Las Vegas,264,264 00000264 0000264,1200 S Nellis Blvd,NV,89104-5752
Target,Roseville,267,267 00000267 0000267,1925 Douglas Blvd,CA,95661-3834
Target,Victorville,276,276 00000276 0000276,15321 Palmdale Rd,CA,92392-2403
Target,Dearborn,279,279 00000279 0000279,15901 Ford Rd,MI,48126-2800
Target,San Bernardino,297,297 00000297 0000297,2380 Sterling Ave,CA,92404-4624
Target,Mountain View,322,322 00000322 0000322,555 Showers Dr,CA,94040-1432
Target,Pittsburg,332,332 00000332 0000332,4301 Century Blvd,CA,94565-7101
Target,Saginaw,347,347 00000347 0000347,2772 Tittabawassee Rd,MI,48604-9433
Target,Flint,350,350 00000350 0000350,G3515 Miller Rd,MI,48507-1273
Target,Battle Creek,610,610 00000610 0000610,5700 Beckley Rd,MI,49015-4184
Target,Boise,617,617 00000617 0000617,633 N Milwaukee St,ID,83704-9139
Target,Pueblo,618,618 00000618 0000618,3300 Dillon Dr,CO,81008-1040
Target,Toledo,622,622 00000622 0000622,817 W Alexis Rd,OH,43612-4303
Target,Toledo,623,623 00000623 0000623,5225 Monroe St,OH,43623-3139
Target,Holland,624,624 00000624 0000624,1465 E Mall Dr,OH,43528-9490
Target,Kelso,628,628 00000628 0000628,205 Three Rivers Dr,WA,98626-3127
Target,Flint,629,629 00000629 0000629,3701 Lapeer Rd,MI,48503-4598
