keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Things Remembered,STEUBENVILLE,11,#11 011,100 MALL DRIVE,OH,43952
Things Remembered,GASTONIA,69,#69 069,246 NORTH  NEW HOPE ROAD,NC,28054
Things Remembered,HARRISBURG,90,#90 090,ROUTE 22 & COLONIAL RD SPC 13,PA,17109
Things Remembered,STOCKTON,91,#91 091,4950 PACIFIC AVE SPC 217,CA,95207
Things Remembered,GRANDVILLE,93,#93 093,3700 RIVERTOWN PKWY SW SPC1204,MI,49418
Things Remembered,BUFORD,94,#94 094,3333 BUFORD DR SPC 2033,GA,30519
Things Remembered,HOUSTON,96,#96 096,1000 WEST OAKS MALL SPC 236,TX,77082
Things Remembered,VENTURA,98,#98 098,3301 EAST MAIN ST. SPC 1030,CA,93003
Things Remembered,YOUNGSTOWN,100,#100 0100,7401 MARKET ST. SP 343,OH,44512
Things Remembered,SCOTT AFB,101,#101 0101,207 W WINTERS ST BLDG 1981,IL,62225
Things Remembered,HOMEWOOD,102,#102 0102,719 BROOKWOOD VILLAGE MALL,AL,35209
Things Remembered,DEPTFORD,103,#103 0103,1750 DEPTFORD CENTER RD 1220,NJ,8096
Things Remembered,SAN BRUNO,104,#104 0104,1150 EL CAMINO REAL SPC 250,CA,94066
Things Remembered,QUANTICO,105,#105 0105,BLDG 3500 RUSSELL RD,VA,22134
Things Remembered,KEESLER AFB,106,#106 0106,506 LARCHER BLVD,MS,39534
Things Remembered,JOHNSON CITY,107,#107 0107,601-635 HARRY L DR STE 75,NY,13790
Things Remembered,NORTH OLMSTED,109,#109 0109,572 GREAT NORTHERN MALL,OH,44070
Things Remembered,HERMITAGE,111,#111 0111,3413 EAST STATE STREET,PA,16148
Things Remembered,UNIONTOWN,112,#112 0112,1368 MALL RUN ROAD SPC. K-3,PA,15401
Things Remembered,SCRANTON,113,#113 0113,100 VIEWMONT MALL BOX 75,PA,18508
Things Remembered,WILKES-BARRE,114,#114 0114,17 WYOMING VALLEY MALL,PA,18702
Things Remembered,PARAMUS,115,#115 0115,ONE GARDEN STATE PLAZA STE T13,NJ,7652
Things Remembered,DULLES,116,#116 0116,21100 DULLES TN CRLE 187,VA,20166
Things Remembered,ALTOONA,119,#119 0119,5580 GOODS LN STE 1057,PA,16602
Things Remembered,MORROW,120,#120 0120,1235 SOUTHLAKE MALL,GA,30260
Things Remembered,FORT WAYNE,127,#127 0127,4201 COLDWATER ROAD #G-01,IN,46805
Things Remembered,CHAMPAIGN,128,#128 0128,"2000 NORTH NEIL STREET, SPC 3505",IL,61820
Things Remembered,CHESTERFIELD,129,#129 0129,154 CHESTERFIELD MALL,MO,63017
Things Remembered,AURORA,130,#130 0130,14200 EAST ALAMEDA AVENUE,CO,80012
Things Remembered,SANDUSKY,132,#132 0132,4314 MILAN RD SPC K-4,OH,44870
Things Remembered,WHITEHALL,138,#138 0138,240 LEHIGH VALLEY MALL,PA,18052
Things Remembered,LAWRENCEVILLE,139,#139 0139,249 QUAKER BRIDGE MALL,NJ,8648
Things Remembered,RANCHO CUCAMONGA,140,#140 0140,12511 NORTH MAIN STREET,CA,91739
Things Remembered,GREENSBURG,141,#141 0141,ROUTE 30 EAST,PA,15601
Things Remembered,SIMI VALLEY,143,#143 0143,1555 SIMI TOWN CENTER WAY,CA,93065
Things Remembered,TOWSON,145,#145 0145,825 DULANEY VALLEY ROAD,MD,21204
Things Remembered,FLORENCE,146,#146 0146,2152 FLORENCE MALL,KY,41042
Things Remembered,FORT WORTH,147,#147 0147,1872 GREEN OAKS BOULEVARD,TX,76116
Things Remembered,LUBBOCK,148,#148 0148,6002 SLIDE RD B06 BOX 68334,TX,79414
Things Remembered,EAST BRUNSWICK,149,#149 0149,755 STATE ROUTE 18,NJ,8816
Things Remembered,BURNSVILLE,150,#150 0150,2011 BURNSVILLE CENTER,MN,55306
Things Remembered,CAMP HILL,151,#151 0151,3489 CAPITAL CITY MALL,PA,17011
Things Remembered,TOMS RIVER,152,#152 0152,"1201 HOOPER AVE, SP 1083",NJ,8753
Things Remembered,MERRILLVILLE,154,#154 0154,2257 SOUTHLAKE MALL,IN,46410
Things Remembered,LEOMINSTER,155,#155 0155,COMMERCIAL ROAD SPC. K-2,MA,1453
Things Remembered,MEDIA,158,#158 0158,1067 W BALTIMORE PIKE SPC 257,PA,19063
Things Remembered,SPRINGFIELD,161,#161 0161,2501 W WABASH AVE SPC C05A,IL,62704
Things Remembered,LANCASTER,162,#162 0162,624 PARK CITY CTR,PA,17601
Things Remembered,STATE COLLEGE,163,#163 0163,2901 E COLLEGE AVE STE 645,PA,16801
Things Remembered,ORLAND PARK,164,#164 0164,156 ORLAND SQUARE,IL,60462
Things Remembered,CHARLOTTE,165,#165 0165,6801 NORTHLAKE MALL DRIVE,NC,28216
Things Remembered,ORLANDO,167,#167 0167,"3279 EAST COLONIAL DRIVE, D-56",FL,32803
Things Remembered,OGDEN,168,#168 0168,3651 WALL AVE,UT,84405
Things Remembered,TULSA,170,#170 0170,"7021 SO. MEMORIAL AVE, STE 182",OK,74133
Things Remembered,OKOLONA,172,#172 0172,4801/A-224 OUTERLOOP ROAD,KY,40219
Things Remembered,PEMBROKE PINES,173,#173 0173,11401 PINES BLVD STE 105,FL,33026
Things Remembered,COLUMBUS,174,#174 0174,4034 THE STRAND WEST,OH,43219
Things Remembered,AURORA,176,#176 0176,2080 FOX VALLEY CENTER,IL,60505
Things Remembered,MILFORD,178,#178 0178,1201 BOSTON POST ROAD,CT,6460
Things Remembered,BLOOMINGTON,179,#179 0179,290 EAST BROADWAY,MN,55425
Things Remembered,TROY,181,#181 0181,424 W 14 MILE ROAD,MI,48083
Things Remembered,LITHONIA,182,#182 0182,2929 TURNER HILL RD STE 1050,GA,30038
Things Remembered,MARTINSBURG,185,#185 0185,800 FOXCROFT AVE SPC 228,WV,25401
Things Remembered,BENSALEM,186,#186 0186,US RTE NO 1&PENN TPKE SPC 811K,PA,19020
Things Remembered,PARAMUS,187,#187 0187,1655 PARAMUS PARK,NJ,7652
Things Remembered,FORT GRATIOT,188,#188 0188,4350 24TH AVE.,MI,48059
Things Remembered,RIVERSIDE,189,#189 0189,2280 GALLERIA AT TYLER,CA,92503
Things Remembered,WOODBRIDGE,191,#191 0191,462 WOODBRIDGE CTR DR,NJ,7095
Things Remembered,WELLINGTON,193,#193 0193,10300 W. FOREST HILL BLVD,FL,33414
Things Remembered,BALTIMORE,196,#196 0196,6901 SECURITY BLVD,MD,21244
Things Remembered,MARION,198,#198 0198,3000 WEST DEYOUNG ST SPC 274,IL,62959
Things Remembered,SAN ANTONIO,199,#199 0199,6301 NORTHWEST LOOP 410,TX,78238
Things Remembered,EDEN PRAIRIE,200,#200 0200,8251 FLYING CLOUD DR #2200A,MN,55344
Things Remembered,LA CROSSE,202,#202 0202,3800 HIGHWAY 16,WI,54601
Things Remembered,SIOUX FALLS,203,#203 0203,1760 W EMPIRE MALL,SD,57106
Things Remembered,RALEIGH,204,#204 0204,5959 TRIANGLE TOWN BLVD,NC,27616
