Keywords,city,Agg store_number,store_number,address,state,zip_code
Time Warner,Banning,1,1-TWCABLE,"300 S. Highland Springs Rd, #10b",CA,92220
Time Warner,Palm Desert,3,3-TWCABLE,"44-425 Town Center Way, #h",CA,92260
Time Warner,Waco,4,4-TWCABLE,215 Factory Dr.,TX,76710
Time Warner,Temple,5,5-TWCABLE,3034 South 31st Street,TX,76502
Time Warner,Temple,6,6-TWCABLE,1314 West Adams,TX,76504
Time Warner,Waco,10,10-TWCABLE,105 Hewitt Drive,TX,76712
Time Warner,Belton,12,12-TWCABLE,525 N. Main,TX,76513
Time Warner,Killeen,16,16-TWCABLE,2200 W Central Texas Expy,TX,76549
Time Warner,Harker Heights,18,18-TWCABLE,305 Millers Crossing,TX,76548
Time Warner,Waco,21,21-TWCABLE,810 La Salle,TX,76706
Time Warner,Waco,23,23-TWCABLE,1025 N Valley Mills Dr,TX,76710
Time Warner,Kent,28,28-TWCABLE,1848 State Rt. 59,OH,44240
Time Warner,Norwalk,34,34-TWCABLE,29 East Main St.,OH,44857
Time Warner,Warren,38,38-TWCABLE,4352 Youngstown Rd. Se,OH,44484
Time Warner,Coachella,43,43-TWCABLE,51-508 Harrison,CA,92236
Time Warner,Palm Desert,44,44-TWCABLE,42-335 Washington,CA,92260
Time Warner,Indio,47,47-TWCABLE,"81-557 Dr. Carreon Blvd., #c-7",CA,92201
Time Warner,Cincinnati,62,62-TWCABLE,4601 Eastgate Blvd. #816,OH,45245
Time Warner,Cincinnati,63,63-TWCABLE,3268 Highland Ave.,OH,45213
Time Warner,Cincinnati,64,64-TWCABLE,3290 Westbourne Dr.,OH,45248
Time Warner,Hillsboro,65,65-TWCABLE,848 S. High Street,OH,45133
Time Warner,Franklin,67,67-TWCABLE,3589 Dixie Highway,OH,45005
Time Warner,Charlotte,173,173-TWCABLE,3140 W Arrowood Rd,NC,28273
Time Warner,Charlotte,174,174-TWCABLE,316 E. Morehead St,NC,28202
Time Warner,Albemarle,179,179-TWCABLE,2403 Us Hwy 52 North,NC,28001
Time Warner,Gastonia,180,180-TWCABLE,2125 Union Rd,NC,28054
Time Warner,Kannapolis,184,184-TWCABLE,1730 S Cannon Blvd,NC,28083
Time Warner,Monroe,185,185-TWCABLE,1490 Walkup Ave,NC,28110
Time Warner,Rockingham,186,186-TWCABLE,349 County Home Rd,NC,28379
