keywords,city,Aggdata Store Number,store_number,address,state,zip_code,,,,,,,
Tops Friendly,Niagara Falls,9,#9 #09,1000 Portage Road,NY,14301,,,,,,,
Tops Friendly,Lockport,21,#21 #021,5827 South Transit,NY,14094,,,,,,,
Tops Friendly,Niagara Falls,22,#22 #022,7200 Niagara Falls Blvd.,NY,14304,,,,,,,
Tops Friendly,Lockport,38,#38 #038,3949 Lockport/Olcott Rd.,NY,14094,,,,,,,
Tops Friendly,Amherst,41,#41 #041,3980 Maple Road,NY,14226,,,,,,,
Tops Friendly,Amherst,42,#42 #042,3500 Main Street,NY,14226,,,,,,,
Tops Friendly,Cheektowaga,44,#44 #044,3870 Harlem Road,NY,14215,,,,,,,
Tops Friendly,West Seneca,49,#49 #049,355 Orchard Park Road,NY,14224,,,,,,,
Tops Friendly,West Seneca,50,#50 #050,315 Orchard Park Rd.,NY,14224,,,,,,,
Tops Friendly,DeWitt,54,#54 #054,4600 East Genesee St.,NY,13234,,,,,,,
Tops Friendly,Rochester,55,#55 #055,211 N. Winton Rd,NY,14610,,,,,,,
Tops Friendly,Lancaster,58,#58 #058,470 Aurora St.,NY,14086,,,,,,,
Tops Friendly,Lewiston,59,#59 #059,805 Cayuga Street,NY,14092,,,,,,,
Tops Friendly,Buffalo,66,#66 #066,1989 Seneca Street,NY,14210,,,,,,,
Tops Friendly,North Boston,70,#70 #070,7375 Boston State Road,NY,14110,,,,,,,
Tops Friendly,Orchard Park,108,#108 #0108,3201 Southwestern Blvd,NY,14127,,,,,,,
Tops Friendly,Buffalo,113,#113 #0113,425 Niagara Street,NY,14201,,,,,,,
Tops Friendly,Depew,114,#114 #0114,5175 Broadway,NY,14043,,,,,,,
Tops Friendly,Lewiston,115,#115 #0115,906 Center Street,NY,14092,,,,,,,
Tops Friendly,East Aurora,118,#118 #0118,65 Grey Street,NY,14052,,,,,,,
Tops Friendly,Grand Island,119,#119 #0119,2140 Grand Island Blvd.,NY,14072,,,,,,,
Tops Friendly,Town of Niagara,130,#130 #0130,4235 Military Road,NY,14305,,,,,,,
Tops Friendly,Cheektowaga,131,#131 #0131,700 Thruway Plaza Dr,NY,14225,,,,,,,
Tops Friendly,Cheektowaga,202,#202 #0202,3865 Union Road,NY,14225,,,,,,,
Tops Friendly,Olean,206,#206 #0206,2401 W. State Street,NY,14760,,,,,,,
Tops Friendly,Amherst,207,#207 #0207,3035 Niagara Falls Blvd.,NY,14228,,,,,,,
Tops Friendly,Jamestown,209,#209 #0209,2000 Washington Street,NY,14701,,,,,,,
Tops Friendly,Buffalo,210,#210 #0210,345 Amherst Street,NY,14207,,,,,,,
Tops Friendly,West Seneca,212,#212 #0212,800 Harlem Rd,NY,14224,,,,,,,
Tops Friendly,Buffalo,213,#213 #0213,1460 South Park Avenue,NY,14220,,,,,,,
