keywords,city,Agg store_number,store_number,address,state,zip_code
Toys R US,CAMARILLO,5749,#5749,CAMARILLO OUTLETS 900 CAMARILLO CENTER,CA,93010
Toys R US,OXFORD,7287,#7287,QUINTARD MALL 700 QUINTARD DRIVE,AL,36203
Toys R US,CEDAR HILL,7808,#7808,428 E. FM 1382,TX,75104
Toys R US,PEARLAND,5508,#5508,PEARLAND TOWN CENTER 11200 BROADWAY STREET,TX,77584
Toys R US,MIAMI,5514,#5514,MIRACLE MARKETPLACE 3301 CORAL WAY,FL,33145
Toys R US,ZANESVILLE,5521,#5521,COLONY SQUARE MALL 3575 MAPLE AVENUE,OH,43701
Toys R US,GREENDALE,5543,#5543,SOUTHRIDGE MALL 5300 SOUTH 76TH STREET,WI,53129
Toys R US,KAHULUI,5544,#5544,QUEEN KA'AHUMANU CENTER 275 W. KA'AHUMANU AVE,HI,96732
Toys R US,MIAMI,5571,#5571,SHOPS AT MIDTOWN MIAMI 3401 N. MIAMI AVE,FL,33127
Toys R US,GARLAND,5573,#5573,320 WINE CUP WAY,TX,75040
Toys R US,UPLAND,5579,#5579,1295 EAST 19TH ST,CA,91784
Toys R US,VAN NUYS,5602,#5602,16040 SHERMAN WAY,CA,91406
Toys R US,BURBANK,5603,#5603,683 NORTH VICTORY BOULEVARD,CA,91502
Toys R US,WEST COVINA,5604,#5604,960 LAKES DRIVE,CA,91790
Toys R US,BAKERSFIELD,5605,#5605,3792 MING AVENUE,CA,93309
Toys R US,LAS VEGAS,5607,#5607,4550 MEADOWS LANE,NV,89107
Toys R US,LAS VEGAS,5609,#5609,4000 S. MARYLAND PARKWY,NV,89119
Toys R US,WOODLAND HILLS,5610,#5610,6245 TOPANGA CANYON BLV,CA,91367
Toys R US,RIVERSIDE,5611,#5611,10391 MAGNOLIA AVENUE,CA,92505
Toys R US,VENTURA,5613,#5613,2975 JOHNSON DRIVE,CA,93004
Toys R US,CITY OF INDUSTRY,5614,#5614,1600 S. AZUSA AVENUE,CA,91716
Toys R US,LANCASTER,5615,#5615,1335 WEST AVENUE K,CA,93534
Toys R US,LOS ANGELES,5616,#5616,1833 LA CIENEGA BOULEVARD,CA,90035
Toys R US,THOUSAND OAKS,5617,#5617,179 N. MOORPARK ROAD,CA,91360
Toys R US,RIVERSIDE,5618,#5618,2550 CANYON SPRINGS PKW SUITE J,CA,92507
