Keywords,city, agg store_number,store_number,address,state,zip_code
Urban Outfitters,Philadelphia,1,1 #0001 #001 #1 0001 00001,110 South 36th St.,PA,19104-3211
Urban Outfitters,Cambridge,2,2 #0002 #002 0002 0002 00002,11 J.F.Kennedy St.,MA,02138-4908
Urban Outfitters,Philadelphia,3,3 #0003 #003 00003 0003 00003,1627 Walnut St.,PA,19103-5402
Urban Outfitters,New York,4,4 #0004 #004 4 0004 00004,628 Broadway,NY,10012-2679
Urban Outfitters,Washington,5,5 #0005 #005 5 0005 00005,"3111 M St., N.W.",DC,20007-3705
Urban Outfitters,New York,6,6 #0006 #006 6 0006 00006,374 Ave. of Americas,NY,10011-8402
Urban Outfitters,Madison,7,7 #0007 #007 7 0007 00007,604 State St.,WI,53703-1016
Urban Outfitters,Ann Arbor,8,8 #0008 #008 8 0008 00008,231 S. State St.,MI,48104-2006
Urban Outfitters,Boston,9,9 #0009 #009 9 0009 00009,361 Newbury St.,MA,02115-2738
Urban Outfitters,Minneapolis,10,10 #00010 #0010 10 00010 000010,3006 Hennepin Ave. S,MN,55408-2614
Urban Outfitters,New York,11,11 #00011 #0011 11 00011 000011,999 3rd Avenue,NY,10022-1207
Urban Outfitters,Seattle,12,12 #00012 #0012 12 00012 000012,"401 Broadway East, #101",WA,98102-5078
Urban Outfitters,Berkeley,13,13 #00013 #0013 13 00013 000013,2590 Bancroft Way,CA,94704-1713
Urban Outfitters,Santa Monica,14,14 #00014 #0014 14 00014 000014,1440 Third St. Promenade,CA,90401-1713
Urban Outfitters,San Francisco,15,15 #00015 #0015 15 00015 000015,80 Powell St.,CA,94102-2816
Urban Outfitters,Costa Mesa,16,16 #00016 #0016 16 00016 000016,2930 Bristol St.,CA,92626-7901
Urban Outfitters,Chicago,17,17 #00017 #0017 17 00017 000017,2352 North Clark St.,IL,60614-3423
Urban Outfitters,Pasadena,18,18 #00018 #0018 18 00018 000018,139 West Colorado Blvd.,CA,91105-1924
Urban Outfitters,Chicago,19,19 #00019 #0019 19 00019 000019,935 North Rush St.,IL,60611-1422
Urban Outfitters,Portland,20,20 #00020 #0020 20 00020 000020,2320 N.W. Westover Rd.,OR,97210-3533
Urban Outfitters,Austin,21,21 #00021 #0021 21 00021 000021,2406 Guadalupe St.,TX,78705-4809
Urban Outfitters,Tempe,22,22 #00022 #0022 22 00022 000022,545 South Mill Ave.,AZ,85281-3619
Urban Outfitters,Houston,23,23 #00023 #0023 23 00023 000023,2501 University Blvd.,TX,77005-3228
Urban Outfitters,Montreal,24,24 #00024 #0024 24 00024 000024,1246 Ste. Catherine St. W.,QC,H3G -1P1
Urban Outfitters,Toronto,25,25 #00025 #0025 25 00025 000025,235 Yonge St.,ON,M5B -1N8
Urban Outfitters,Miami Beach,26,26 #00026 #0026 26 00026 000026,653 Collins Ave.,FL,33139-6213
Urban Outfitters,San Diego,27,27 #00027 #0027 27 00027 000027,665 Fifth Ave.,CA,92101-6915
Urban Outfitters,Boulder,28,28 #00028 #0028 28 00028 000028,934 Pearl St.,CO,80302-5125
Urban Outfitters,Bloomington,29,29 #00029 #0029 29 00029 000029,530 E. Kirkwood Ave.,IN,47408-4059
Urban Outfitters,Columbus,30,30 #00030 #0030 30 00030 000030,1782 N. High St.,OH,43201-1144
Urban Outfitters,New York,31,31 #00031 #0031 31 00031 000031,162 2nd Avenue,NY,10003-5754
Urban Outfitters,Los Angeles,32,32 #00032 #0032 32 00032 000032,7650 Melrose Avenue,CA,90046-7301
Urban Outfitters,Burlington,33,33 #00033 #0033 33 00033 000033,25 Church St.,VT,05401-4417
Urban Outfitters,E. Lansing,34,34 #00034 #0034 34 00034 000034,119 E. Grand River Avenue,MI,48823-4385
Urban Outfitters,Lawrence,35,35 #00035 #0035 35 00035 000035,1013 Massachusetts St.,KS,66044-2923
Urban Outfitters,Miami,36,36 #00036 #0036 36 00036 000036,7535 N. Kendall Drive,FL,33156
Urban Outfitters,Seattle,37,37 #00037 #0037 37 00037 000037,1507 5th Avenue,WA,98101-1603
Urban Outfitters,Tucson,38,38 #00038 #0038 38 00038 000038,901 E. University Blvd.,AZ,85719-5040
Urban Outfitters,New York,39,39 #00039 #0039 39 00039 000039,"2081 Broadway, at 72nd St.",NY,10023-2804
Urban Outfitters,Providence,40,40 #00040 #0040 40 00040 000040,285 Thayer St.,RI,02906-1524
Urban Outfitters,Santa Barbara,41,41 #00041 #0041 41 00041 000041,624 State St.,CA,93101-3302
Urban Outfitters,Evanston,42,42 #00042 #0042 42 00042 000042,921 Church St.,IL,60201-3125
Urban Outfitters,Dallas,43,43 #00043 #0043 43 00043 000043,"5331 East Mockingbird Lane, S.190",TX,75206-5107
Urban Outfitters,New Haven,44,44 #00044 #0044 44 00044 000044,43 Broadway,CT,06511-3411
Urban Outfitters,Cincinnati,45,45 #00045 #0045 45 00045 000045,2510 Ohio Avenue,OH,45219-1519
Urban Outfitters,New York,46,46 #00046 #0046 46 00046 000046,526 Avenue of the Americas,NY,10011-8405
Urban Outfitters,King of Prussia,48,48 #00048 #0048 48 00048 000048,640 W. DeKalb Pike,PA,19406-2960
Urban Outfitters,Atlanta,49,49 #00049 #0049 49 00049 000049,"3393 Peachtree Rd. N.E., #2241 A",GA,30326-1109
Urban Outfitters,Orlando,50,50 #00050 #0050 50 00050 000050,"4200 Conroy Rd., #250",FL,32839-2406
