keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Valero Energy,SAN BERNARDINO,2,2 #2,2735 DEL ROSA AVE,CA,92404-4406
Valero Energy,DULUTH,203,203 #203,1932 PLEASANT HILL RD,GA,30096-4626
Valero Energy,DULUTH,207,207 #207,1670 PLEASANT HILL RD,GA,30096-4620
Valero Energy,WICHITA,544,544 #544,2849 13TH ST N,KS,67203-1820
Valero Energy,GAINESVILLE,1002,1002 #1002,4310 SE HAWTHORNE RD,FL,32601-1788
Valero Energy,STARKE,1013,1013 #1013,2158 N TEMPLE AVE,FL,32091-1967
Valero Energy,ZELLWOOD,1063,1063 #1063,2691 ORANGE BLOSSOM TR,FL,32798
Valero Energy,JACKSONVILLE,1084,1084 #1084,11985 BEACH BLVD.,FL,32216-6624
Valero Energy,GAINESVILLE,1102,1102 #1102,5708 NW 34TH ST,FL,32601-1788
Valero Energy,ALACHUA,1119,1119 #1119,16130 NW US 441 #10,FL,32615-6394
Valero Energy,JACKSONVILLE,1132,1132 #1132,9750 OLD ST. AUGUSTINE RD,FL,32217-7574
Valero Energy,JACKSONVILLE,1137,1137 #1137,12743 ATLANTIC BLVD.,FL,32225-3117
Valero Energy,GAINESVILLE,1138,1138 #1138,4234 SW 20TH AVE,FL,32608-4206
Valero Energy,JACKSONVILLE,1148,1148 #1148,4152 OLD MIDDLEBURG RD,FL,32210-4619
Valero Energy,BALDWIN,1150,1150 #1150,1081 US HWY 301 S,FL,32234-3601
Valero Energy,JACKSONVILLE,1158,1158 #1158,1005 S EDGEWOOD AVE.,FL,32205-5342
Valero Energy,JACKSONVILLE,1159,1159 #1159,1765 JONES ROAD,FL,32220-1426
Valero Energy,ST AUGUSTINE,1169,1169 #1169,351 A1A BEACH BLVD,FL,32084-5945
Valero Energy,JACKSONVILLE,1174,1174 #1174,9615 HICKSCHER DR,FL,32226-2428
Valero Energy,ST AUGUSTINE,1176,1176 #1176,8880 A1A SCENIC AND HISTORIC,FL,32084-8515
Valero Energy,Williston,1181,1181 #1181,553 N Main St,FL,32696-2140
Valero Energy,JACKSONVILLE BEACH,1187,1187 #1187,1601 PENMAN ROAD,FL,32250-3745
Valero Energy,JACKSONVILLE,1195,1195 #1195,4525 SUNBEAM RD,FL,32217-6111
Valero Energy,JACKSONVILLE,1208,1208 #1208,5408 MAIN STREET,FL,32208-5326
Valero Energy,JACKSONVILLE,1212,1212 #1212,14801 NORMANDY BLVD,FL,32221-2406
Valero Energy,JACKSONVILLE,1215,1215 #1215,9901 NEW KINGS RD,FL,32219-2407
Valero Energy,ORLANDO,1227,1227 #1227,18359 E COLONIAL DR,FL,32820-2972
Valero Energy,FLAGLER BEACH,1229,1229 #1229,6125 SR-100,FL,32137
Valero Energy,PALM COAST,1230,1230 #1230,1500 PALM COAST PKWY NW,FL,32137-4710
Valero Energy,DELTONA,1234,1234 #1234,2910 HOWLAND BLVD,FL,32725-2901
Valero Energy,OCALA,1237,1237 #1237,3232 W SILVER SPRINGS BLVD,FL,34475-5648
Valero Energy,ORLANDO,1240,1240 #1240,2438 SHADER ROAD,FL,32804-2737
Valero Energy,JACKSONVILLE,1253,1253 #1253,5001 HECKSCHER DR,FL,32226-3047
Valero Energy,DELTONA,1256,1256 #1256,1712 DOYLE ROAD,FL,32738-8547
Valero Energy,JACKSONVILLE,1257,1257 #1257,721 S CHAFFEE RD,FL,32221-1105
Valero Energy,HILLIARD,1262,1262 #1262,551726 US HWY 1,FL,32046-8820
Valero Energy,DELTONA,1263,1263 #1263,1380 HOWLAND BLVD,FL,32738-9765
Valero Energy,PALM COAST,1265,1265 #1265,1201 PALM HARBOR PKWY,FL,32137-8063
Valero Energy,ST AUGUSTINE,1268,1268 #1268,1710 SR 207,FL,32086-9370
Valero Energy,DEBARY,1269,1269 #1269,312 DIRKSEN DRIVE,FL,32725-2901
Valero Energy,JACKSONVILLE,1270,1270 #1270,10100 GRANITE PLACE,FL,32226
Valero Energy,DELTONA,1273,1273 #1273,2798 ELKCAM BLVD,FL,32738-9765
Valero Energy,ORLANDO,1276,1276 #1276,808 N CHICKASAW TRAIL,FL,32825-3320
Valero Energy,PALM COAST,1278,1278 #1278,5484 N OCEANSHORE BLVD,FL,32137-3216
Valero Energy,GREEN COVE SPRINGS,1285,1285 #1285,2816 HENLEY ROAD,FL,32043-9581
Valero Energy,CRYSTAL RIVER,1286,1286 #1286,7985 N CITRUS AVE,FL,34428-6944
Valero Energy,JACKSONVILLE,1287,1287 #1287,14641 DUVAL ROAD,FL,32218-2483
Valero Energy,APOPKA,1288,1288 #1288,1500 N WEKIWA SPRINGS RD,FL,32712-2527
Valero Energy,MELBOURNE,1291,1291 #1291,7290 GEORGE T EDWARD DR,FL,32940-6610
Valero Energy,GAINESVILLE,1302,1302 #1302,3901 SW ARCHER RD,FL,32608-2341
Valero Energy,GAINESVILLE,1424,1424 #1424,3838 N MAIN ST,FL,32601-2335
Valero Energy,JACKSONVILLE,1430,1430 #1430,13957 MAIN ST N,FL,32218-1659
Valero Energy,ORMOND BEACH,2574,2574 #2574,1520 W STATE RD 40,FL,32174-8298
Valero Energy,ST AUGUSTINE,2576,2576 #2576,1115 A1A BEACH BLVD,FL,32084
Valero Energy,Meridian,3388,3388 #3388,1408 Roebuck,MS,39301-6658
Valero Energy,New Augusta,3390,3390 #3390,403 Highway 98 W,MS,39462-9784
Valero Energy,SANDERSVILLE,3391,3391 #3391,101 South Front Street,MS,39477-3117
Valero Energy,BILOXI,3458,3458 #3458,1000 CEDAR LAKE RD,MS,39530
Valero Energy,Jackson,3738,3738 #3738,1264 High Street,MS,39202-3513
Valero Energy,Vicksburg,3739,3739 #3739,3060 Indiana Ave,MS,39180-4355
Valero Energy,Slidell,3741,3741 #3741,350 Voters Road,LA,70461-3520
Valero Energy,Jackson,3742,3742 #3742,7442 Siwell Road,MS,39208-9723
Valero Energy,Madison,3743,3743 #3743,1860 Main Street,MS,39110-8338
Valero Energy,Slidell,3744,3744 #3744,101 Brown Switch Road,LA,70459-3520
Valero Energy,Clinton,3746,3746 #3746,549 Highway 80 West,MS,39056-4193
Valero Energy,Flowood,3747,3747 #3747,2675 Lakeland Drive,MS,39232-9516
Valero Energy,Pearl,3748,3748 #3748,461 South Pearson Rd,MS,39208-5904
Valero Energy,Flowood,3749,3749 #3749,690 Grants Ferry Rd,MS,39232-6842
Valero Energy,Vicksburg,3750,3750 #3750,3326 Clay Street,MS,39180-3424
Valero Energy,Clinton,3751,3751 #3751,550 Springridge Rd,MS,39056-5639
Valero Energy,DIAMONDHEAD,3752,3752 #3752,100 NORTHEAST INTERCHANGE,MS,39525-3358
Valero Energy,Vicksburg,3753,3753 #3753,4460 Clay Street,MS,39183-3442
Valero Energy,GULFPORT,3755,3755 #3755,11305 THREE RIVERS RD.,MS,39506-4278
Valero Energy,OCEAN SPRINGS,3757,3757 #3757,8000 TUCKER RD,MS,39564-9130
Valero Energy,MOSS POINT,3758,3758 #3758,7100 HWY. 63,MS,39563-9526
Valero Energy,Florence,3759,3759 #3759,3104 Hwy 49,MS,39073-9404
Valero Energy,GULFPORT,3760,3760 #3760,10406 HWY. 49,MS,39506-4100
Valero Energy,Pearl,3761,3761 #3761,251 Airport Road,MS,39208-6657
Valero Energy,COVINGTON,3763,3763 #3763,69290 HWY. 21,LA,70433-7214
Valero Energy,Mandeville,3764,3764 #3764,4115 Hwy 59,LA,70471-1962
Valero Energy,Brandon,3766,3766 #3766,2145 Hwy 18,MS,39042-2430
Valero Energy,Bossier City,3770,3770 #3770,4006 Barksdale Blvd,LA,71112-3902
Valero Energy,BOSSIER CITY,3771,3771 #3771,2651 BENTON RD,LA,71111-2307
Valero Energy,Shreveport,3772,3772 #3772,5112 Monkhouse Drive,LA,71109-6510
Valero Energy,Shreveport,3773,3773 #3773,1901 North Market,LA,71107-5213
Valero Energy,Shreveport,3776,3776 #3776,5725 Hearne,LA,71108-3615
Valero Energy,DOTHAN,3829,3829 #3829,4970 MONTGOMERY HWY,AL,36303-1596
Valero Energy,Hattiesburg,3845,3845 #3845,103 Campbell Loop,MS,39402-3036
Valero Energy,JACKSONVILLE,3849,3849 #3849,10550 SAN JOSE BLVD,FL,32223-6209
Valero Energy,DESTIN,3851,3851 #3851,34920 EMERALD COAST PKWY.,FL,32541-3402
Valero Energy,NICEVILLE,3852,3852 #3852,4563 HWY. 20 EAST,FL,32578-9702
Valero Energy,Brandon,3859,3859 #3859,2166 Hwy 18,MS,39042-2431
Valero Energy,NAPLES,3860,3860 #3860,4025 PINE RIDGE RD,FL,34119-4002
Valero Energy,Marks,3865,3865 #3865,217 Martin Luther King Dr,MS,38646-1102
Valero Energy,BATESVILLE,3866,3866 #3866,696 SR-6,MS,38606
Valero Energy,Eupora,3867,3867 #3867,788 Veteran's Memorial Blvd,MS,39744-2073
Valero Energy,CHATTAHOOCHEE,3889,3889 #3889,2 E WASHINGTON ST,FL,32324-1541
Valero Energy,BAINBRIDGE,3892,3892 #3892,2011 E SHOTWELL ST,GA,39819-8404
Valero Energy,CAMILLA,3893,3893 #3893,301 US HIGHWAY 19 S,GA,31730-6300
Valero Energy,BAINBRIDGE,3895,3895 #3895,401 N BROAD ST,GA,39817-3607
Valero Energy,COLQUITT,3896,3896 #3896,359 S FOURTH ST,GA,39837-4124
Valero Energy,CRAWFORDVILLE,3898,3898 #3898,3180 COASTAL HWY,FL,32326-4284
Valero Energy,TALLAHASSEE,3900,3900 #3900,3433 CRAWFORDVILLE RD,FL,32303-0139
Valero Energy,DAWSON,3903,3903 #3903,742 N MAIN ST,GA,39842
Valero Energy,ENTERPRISE,3906,3906 #3906,1315 PARK AVE,AL,36331-3940
Valero Energy,CRAWFORDVILLE,3908,3908 #3908,979 WOODVILLE HWY,FL,32327-0706
Valero Energy,NAPLES,3919,3919 #3919,1000 WHIPPOORWILL LAND,FL,34105-3846
Valero Energy,BONITA SPRINGS,3990,3990 #3990,8801 WEST TERRY ST,FL,34135-4381
Valero Energy,NAPLES,3995,3995 #3995,2934 TAMIAMI TRAIL EAST,FL,34112-5712
Valero Energy,MONTGOMERY,3996,3996 #3996,7821 VAUGHN RD,AL,36116-6703
Valero Energy,TOPEKA,4174,4174 #4174,1161 SW GAGE BLVD,KS,66604-1772
Valero Energy,WICHITA,4177,4177 #4177,851 S MERIDIAN AVE,KS,67213-1903
Valero Energy,WICHITA,4183,4183 #4183,731 N RIDGE RD,KS,67212-3324
Valero Energy,WICHITA,4188,4188 #4188,1622 S WEST ST,KS,67213-1104
Valero Energy,JACKSONVILLE,4709,4709 #4709,9900 SHANDS PIER RD,FL,32043-9200
Valero Energy,HAVANA,4712,4712 #4712,208 S MAIN ST,FL,32333-1659
Valero Energy,ORANGE PARK,4713,4713 #4713,695 KINGSLEY AVE,FL,32073-5468
Valero Energy,JACKSONVILLE,4730,4730 #4730,10870 HARTS RD,FL,32218-3773
Valero Energy,KISSIMMEE,4733,4733 #4733,1400 OSCEOLA PARKWAY,FL,34744-1600
Valero Energy,LONGWOOD,4734,4734 #4734,2095 COUNTY RD 427 N,FL,32750-3506
Valero Energy,ORANGE PARK,6016,6016 #6016,1890 KINGSLEY AVE,FL,32073-4493
Valero Energy,GREEN COVE SPRINGS,6019,6019 #6019,2000 STATE ROAD 16W,FL,32043-8526
Valero Energy,JACKSONVILLE,6039,6039 #6039,4024 SOUTHSIDE BLVD,FL,32216-6624
Valero Energy,JACKSONVILLE,6049,6049 #6049,2511 NEW BERLIN RD,FL,32226-5301
Valero Energy,Melrose,6051,6051 #6051,2652 S E State Rd 21,FL,32666-5301
Valero Energy,ALACHUA,6058,6058 #6058,5420 SR-235,FL,32615-6394
Valero Energy,MIDDLEBURG,6065,6065 #6065,3895 OLD JENNINGS RD,FL,32068-3730
Valero Energy,SILVER SPRINGS,6070,6070 #6070,16991 E HWY 40,FL,34488-5479
Valero Energy,JACKSONVILLE,6073,6073 #6073,8181 103RD ST,FL,32210-6635
Valero Energy,PONTE VEDRA BEACH,6075,6075 #6075,158 SR A1A N,FL,32082
Valero Energy,ORANGE PARK,6078,6078 #6078,4305 HIGHWAY 17,FL,32073-7899
Valero Energy,PORT ORANGE,6081,6081 #6081,4622 S CLYDE MORRIS BLVD,FL,32129-4065
Valero Energy,JACKSONVILLE,6084,6084 #6084,1790 SR 13,FL,32259-9253
Valero Energy,MERRITT ISLAND,6092,6092 #6092,150 NEWFOUND HARBOR DR,FL,32952-2672
Valero Energy,SATELLITE BEACH,6093,6093 #6093,255 OCEAN BLVD,FL,32937-3755
Valero Energy,MIMS,6094,6094 #6094,3164 W MAIN ST,FL,32754-3824
Valero Energy,YULEE,6095,6095 #6095,850378 US HWY 17,FL,32097-9037
Valero Energy,JACKSONVILLE,6101,6101 #6101,13967 MT PLEASANT RD,FL,32225-2505
Valero Energy,CALLAHAN,6109,6109 #6109,540251 US HIGHWAY 1,FL,32011-4191
Valero Energy,MERRITT ISLAND,6128,6128 #6128,6155 N COURTENAY,FL,32953-7006
Valero Energy,PALM BAY,6142,6142 #6142,5881 BABCOCK ST NE,FL,32907-2400
Valero Energy,JACKSONVILLE,6147,6147 #6147,6003-5 ROOSEVELT BLVD,FL,32244-3373
Valero Energy,ORMOND BEACH,6150,6150 #6150,2460 OCEAN SHORE BLVD,FL,32176-2419
Valero Energy,JACKSONVILLE,6152,6152 #6152,1092 S MCDUFF AVENUE,FL,32205-5342
Valero Energy,COCOA,6156,6156 #6156,3990 LAKE DRIVE,FL,32926-4274
Valero Energy,JACKSONVILLE BEACH,6160,6160 #6160,1310 S 3RD ST,FL,32250-3745
Valero Energy,GAINESVILLE,6162,6162 #6162,7302 SW ARCHER RD,FL,32608-4610
Valero Energy,DAYTONA BEACH,6168,6168 #6168,2625 BEVILLE RD,FL,32119-1384
Valero Energy,JACKSONVILLE,6169,6169 #6169,14376 BEACH BLVD,FL,32250-1548
Valero Energy,JACKSONVILLE,6182,6182 #6182,12020 FT CAROLINE RD,FL,32225-1611
Valero Energy,JACKSONVILLE,6186,6186 #6186,5111 BAYMEADOWS RD,FL,32217-4803
Valero Energy,ORLANDO,6189,6189 #6189,7661 MAGNOLIA HOMES RD,FL,32810-2864
Valero Energy,JACKSONVILLE,6198,6198 #6198,6621 ARGYLE FOREST BLVD,FL,32244-5728
Valero Energy,JACKSONVILLE,6199,6199 #6199,2952 DUNN AVENNUE,FL,32218-4663
Valero Energy,PALM BAY,6210,6210 #6210,1060 EMERSON DR NE,FL,32907-5542
Valero Energy,KEYSTONE HEIGHTS,6211,6211 #6211,8090 STATE ROAD 100,FL,32656-9415
Valero Energy,DAVENPORT,6216,6216 #6216,123 W BAY ST,FL,33837-4201
Valero Energy,LAKE HAMILTON,6219,6219 #6219,207 SR 17,FL,33851
Valero Energy,LAKE WALES,6220,6220 #6220,14581 US HWY 27,FL,33853-2251
Valero Energy,MIDDLEBURG,6234,6234 #6234,3137 CR 220,FL,32068-4355
Valero Energy,ORANGE PARK,6267,6267 #6267,338 COLLEGE DR,FL,32065-7604
Valero Energy,PORT RICHEY,6283,6283 #6283,6618 EMBASSY BLVD,FL,34668-4736
Valero Energy,FERNANDINA BEACH,6284,6284 #6284,941268 OLD NASSAUVILLE RD,FL,32034-7316
Valero Energy,Middleburg,6286,6286 #6286,"4486 CR 218, W",FL,32068-3730
Valero Energy,SATSUMA,6289,6289 #6289,744 S HWY 17,FL,32189
Valero Energy,OCOEE,6294,6294 #6294,1515 WURST RD,FL,34761-1676
Valero Energy,ORANGE PARK,6295,6295 #6295,1091 BLANDING BLVD,FL,32065-6701
Valero Energy,MASCOTTE,6298,6298 #6298,451 W MYERS,FL,34753-8893
Valero Energy,EDGEWATER,6504,6504 #6504,807 INDIAN RIVER BLVD,FL,32132-3408
Valero Energy,DAYTONA BEACH,6511,6511 #6511,799 BILL FRANCE DRIVE,FL,32114-7496
Valero Energy,JACKSONVILLE,6517,6517 #6517,3051 MONUMENT RD,FL,32225-1706
Valero Energy,ORANGE PARK,6519,6519 #6519,804 BLANDING BLVD,FL,32065-6204
Valero Energy,JACKSONVILLE,6523,6523 #6523,8840 PHILLIPS HWY,FL,32256-1227
Valero Energy,OCALA,6524,6524 #6524,3873 SW COLLEGE RD,FL,34474-5713
Valero Energy,GAINESVILLE,6527,6527 #6527,9404 NW 39TH AVE,FL,32606-7333
Valero Energy,ORLANDO,6532,6532 #6532,9988 S ORANGE AVE,FL,32824-8465
Valero Energy,JACKSONVILLE,6534,6534 #6534,4856 PARK STREET,FL,32205-7331
Valero Energy,TAMPA,6539,6539 #6539,14611 BRUCE B DOWNS BLVD,FL,33613-2731
Valero Energy,HAINES CITY,6547,6547 #6547,1013 E HINSON AVENUE,FL,33844-5331
Valero Energy,ROCKLEDGE,6549,6549 #6549,2200 S FISKE BOULEVARD,FL,32955-3402
Valero Energy,FOSTER CITY,7044,7044 #7044,501 FOSTER CITY BLVD,CA,94404-1602
Valero Energy,HAYWARD,7105,7105 #7105,193 WINTON AVE,CA,94544-1450
Valero Energy,NEWARK,7117,7117 #7117,5835 THORNTON AVE,CA,94560-3827
Valero Energy,FREMONT,7214,7214 #7214,4004 MOWRY AVE,CA,94538-1340
Valero Energy,HAYWARD,7217,7217 #7217,26978 HESPERIAN BLVD,CA,94545-3540
Valero Energy,OAKLAND,7238,7238 #7238,2200 E 12TH ST,CA,94606-5010
Valero Energy,REDWOOD CITY,7245,7245 #7245,503 WHIPPLE AVE,CA,94063-1123
Valero Energy,LOS GATOS,7561,7561 #7561,14000 BLOSSOM HILL RD,CA,95032-5117
Valero Energy,FREMONT,7599,7599 #7599,39990 FREMONT BLVD,CA,94538-2662
Valero Energy,SAN JOSE,7704,7704 #7704,1610 TULLY RD,CA,95122-2532
Valero Energy,SANTA CLARA,7850,7850 #7850,3725 EL CAMINO REAL,CA,95051-2614
Valero Energy,SANTA CLARA,7960,7960 #7960,36 WASHINGTON ST,CA,95050-6139
