keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Value Village,Burien,1003,1003,131 SW 157th St,WA,98166
Value Village,Seattle,1004,1004,12548 Lake City Way NE,WA,98125
Value Village,Portland,1006,1006,5050 SE 82nd Ave,OR,97266
Value Village,Lynnwood,1011,1011,17216 Hwy 99,WA,98037
Value Village,Union Gap,1013,1013,2503 Main St,WA,98903
Value Village,Spokane,1014,1014,W 708 Boone,WA,99201
Value Village,Tigard,1015,1015,12060 SW Main,OR,97223
Value Village,Puyallup,1019,1019,1124 River Rd,WA,98371
Value Village,Redmond,1020,1020,16771 Redmond Way,WA,98052
Value Village,Everett,1021,1021,6220 Evergreen Way,WA,98203
Value Village,Seattle,1023,1023,8532 15th Ave NW,WA,98117
Value Village,Mt. Vernon,1024,1024,525 E College Way,WA,98273
Value Village,Anchorage,1025,1025,5437 E Northern Lights Blvd,AK,99508
Value Village,Salem,1028,1028,2460 Mission SE,OR,97302
Value Village,Bellingham,1031,1031,150 East Bellis Fair Parkway,WA,98226
Value Village,Fairbanks,1042,1042,3027 Airport Way,AK,99701
Value Village,Vancouver,1043,1043,7110 NE Fourth Plain Rd,WA,98661
Value Village,Spokane,1049,1049,12205 E Sprague Ave,WA,99206
Value Village,Anchorage,1069,1069,501 E Dimond Blvd,AK,99515
Value Village,Seattle,1072,1072,1525 11th Ave,WA,98122
Value Village,Springfield,1079,1079,555 W Centennial Blvd,OR,97477
Value Village,Lacey,1100,1100,604 Sleater-Kinney Rd SE,WA,98503
Value Village,Kennewick,1102,1102,731 N Columbia Center Blvd,WA,99336
Value Village,University Place,1110,1110,6802 19th St W,WA,98466
Value Village,Edmonds,1111,1111,21558 Highway 99,WA,98020
Value Village,Kent,1113,1113,24034 104th Ave SE,WA,98030
Value Village,Marysville,1115,1115,1334 State Ave,WA,98270
Value Village,Kirkland,1125,1125,12515 116th Ave NE,WA,98034
Value Village,Tukwila,1173,1173,16700 Southcenter Parkway,WA,98188
Value Village,Wasilla,1174,1174,503 West Parks Highway,AK,99654-6922
Value Village,Woodinville,1201,1201,14160 NE Woodinville Duvall Rd,WA,98072
Value Village,Vancouver,2001,2001,1820 E Hastings St,BC,V5L 1T2
Value Village,Surrey,2002,2002,10642 King George Hwy,BC,V3T 2X3
Value Village,Kelowna,2004,2004,190 Aurora Crescent,BC,V1X 7M3
Value Village,Langley,2005,2005,20501 56th Ave,BC,V3A 4H8
Value Village,Edmonton,2006,2006,8930-82nd Ave NW,AB,T6C 0Z3
Value Village,Vancouver,2007,2007,6415 Victoria Dr,BC,V5P 3X5
Value Village,Edmonton,2008,2008,204 Mayfield Common NW,AB,T5P 4B3
Value Village,Calgary,2009,2009,104-58th Ave SE,AB,T2H 0N7
Value Village,Victoria,2010,2010,1810 Store St,BC,V8T 4R4
Value Village,Coquitlam,2011,2011,552 Clarke Rd Suite 301,BC,V3J 3X5
Value Village,Montreal,2012,2012,4906 W Jean Talon St,QC,H4P 1W9
Value Village,Winnipeg,2013,2013,1560 Regent Ave,MB,R2C 3B4
Value Village,Abbotsford,2014,2014,31970 S Fraserway,BC,V2T 1V6
Value Village,Montreal,2015,2015,2033 Pie IX,QC,H1V 2C9
Value Village,Winnipeg,2016,2016,942 Jefferson Ave,MB,R2P 1W1
Value Village,Regina,2017,2017,1230 Broad St,SK,S4R 1Y3
Value Village,Edmonton,2018,2018,11850-103rd,AB,T5G 2J2
Value Village,Calgary,2019,2019,3405-34th St NE,AB,T1Y 6J6
Value Village,Saskatoon,2020,2020,2115 Faithful Ave,SK,S7K 1T8
Value Village,Montreal,2021,2021,6779 Jean Talon E,QC,H1S 1N2
Value Village,Greenfield Prk,2023,2023,3860 Blvd Taschereau,QC,J4V 2H9
Value Village,Burnaby,2024,2024,7350 Edmonds St,BC,V3N 1A8
Value Village,Stoney Creek,2025,2025,840 Queenston Rd,ON,L8G 4A8
Value Village,Red Deer,2028,2028,2235-50th Ave,AB,T4R 1L2
Value Village,Winnipeg,2029,2029,1729 Pembina Hwy,MB,R3T 2G6
Value Village,Brampton,2030,2030,"150 West Dr, #12",ON,L6T 4P9
Value Village,Sudbury,2032,2032,799 Notre Dame Ave,ON,P3A 2T2
Value Village,Toronto,2034,2034,"3701 Lawrence Ave E, #1",ON,M1G 1P7
Value Village,Quebec City,2036,2036,2555 Blvd Montmorency,QC,G1J 5J3
Value Village,Kingston,2037,2037,"1300 Bath Rd, Unit A1C",ON,K7M 2E9
Value Village,Toronto,2038,2038,1319 Bloor St W,ON,M6H 1P3
Value Village,Ottawa,2039,2039,1221 Cyrville Road,ON,K1J 7S8
Value Village,Toronto,2040,2040,2119 Danforth Ave,ON,M4C 1J9
Value Village,Toronto,2041,2041,45 Woodbine Downs Blvd,ON,M9W 6N5
Value Village,Sault Ste Marie,2042,2042,248 Northern Ave E,ON,P6B 4H1
Value Village,Nanaimo,2043,2043,"530-5th St, Ste 101",BC,V9R 1P2
Value Village,St Catharines,2044,2044,360 Ontario St E,ON,L2R 5L8
Value Village,Hamilton,2045,2045,530 Fennell Ave,ON,L8V 1S9
Value Village,Halifax,2046,2046,165 Chain Lake Drive,NS,B3S 1B3
Value Village,Toronto,2047,2047,924 Queen St E,ON,M4M 1J5
Value Village,Ottawa,2048,2048,1824 Bank St,ON,K1Z 7Y6
Value Village,Lethbridge,2049,2049,1708 Mayor Magrath Dr S,AB,T1K 2R5
Value Village,Toronto,2050,2050,"605 Rogers Rd, #C1",ON,M6M 1B9
Value Village,Kamloops,2051,2051,444 Seymour St,BC,V2C 2G6
Value Village,Winnipeg,2053,2053,1695 Ellice Ave,MB,R3H 0A9
Value Village,Dartmouth,2054,2054,"375 Pleasant Street, Unit 101",NS,B2Y 4N4
Value Village,St Johns,2055,2055,161 Kenmount Rd,NF,A1B 3P9
Value Village,Richmond Hill,2056,2056,10620 Yonge St,ON,L4C 3C8
Value Village,Trois Rivieres,2057,2057,6055 Blvd Jean XXIII,QC,G8Z 4N8
Value Village,Saint John,2060,2060,212 McAllister Dr,NB,E2L 3S2
Value Village,Burlington,2061,2061,2340 Fairview St,ON,L7R 2E3
Value Village,Laval,2062,2062,875 Cure Labelle,QC,H7V 2V2
Value Village,Brantford,2063,2063,595 West St,ON,N3S 7P2
Value Village,Sarnia,2064,2064,1379 London Rd,ON,N7S 1P6
Value Village,Concord,2066,2066,1520 Steeles Ave W,ON,L4K 3B9
Value Village,Ste Foy,2067,2067,3355 de la Perade,QC,G1X 3V3
Value Village,Prince George,2068,2068,1666 Spruce St,BC,V2L 2R2
Value Village,Montreal Nord,2069,2069,5630 Blvd Henri Bourassa Est,QC,H1G 2T2
Value Village,Gatineau,2070,2070,361 Maloney Blvd W,QC,J8P 3W1
Value Village,Longueuil,2071,2071,"1401 Chemin Chambly, Ste 31 A",QC,J4J 3X6
Value Village,Whitby,2072,2072,1801 Dundas St E,ON,L1N 7C5
Value Village,North York,2073,2073,2776 Victoria Park Ave,ON,M2J 4A8
Value Village,Barrie,2074,2074,165 Wellington W,ON,L4N 1L7
