Keywords,city,Agg store_number,store_number,address,state,zip_code
Walgreens,GUAYNABO,13,#13 13 #0013 #013,NEC Juan Carlos & Las Cumbres,PR,969
Walgreens,JUNCOS,14,#14 14 #0014 #014,SWC Juncos Plaza & Rd 31,PR,777
Walgreens,ALBUQUERQUE,23,#23 23 #0023 #023,San Mateo & Montgomery,NM,87109
Walgreens,CUPEY,30,#30 30 #0030 #030,SWC Of Lasierra Ave & Road,PR,926
Walgreens,GUAYAMA,31,#31 31 #0031 #031,SWC Of Municipal Street & Ro,PR,784
Walgreens,VEGA BAJA,37,#37 37 #0037 #037,Road #2 Intersection Road #155,PR,693
Walgreens,ARLINGTON HEIGHTS,39,#39 39 #0039 #039,Palatine & Arlington Heights Road or Palatine & Rand,IL,60004
Walgreens,SAN LORENZO,53,#53 53 #0053 #053,NWC Of Road 181 & Road 183,PR,754
Walgreens,GUAYNABO,55,#55 55 #0055 #055,SEC Of Ave Venus & Ave. Lom,PR,969
Walgreens,BELMONT,63,#63 63 #0063 #063,Ralston & El Camino Real,CA,94002
Walgreens,BOYNTON BEACH,74,#74 74 #0074 #074,Woolbright & Federal Highway,FL,33435
Walgreens,TOA BAJA,82,#82 82 #0082 #082,SWC of Los Dominicos & Sabana Seca Ave.,PR,949
Walgreens,BRIDGEVIEW,89,#89 89 #0089 #089,87th & Harlem Avenue,IL,60455
Walgreens,CASTRO VALLEY,101,#101 101 #00101 #0101,CASTRO VALLEY BOULEVARD & REDWOOD,CA,94546
Walgreens,TOA BAJA,105,#105 105 #00105 #0105,NWC of Los Colinas & Pr 2,PR,949
Walgreens,MADISON,111,#111 111 #00111 #0111,STATE STREET & LAKE STREET,WI,53703
Walgreens,TRUJILLO ALTO,117,#117 117 #00117 #0117,NWC OF P.R. 181 & P.R. 850,PR,976
Walgreens,CHICAGO,118,#118 118 #00118 #0118,BELMONT & CENTRAL,IL,60634
Walgreens,COAMO,121,#121 121 #00121 #0121,NEC of Pr 139 & Pr 14,PR,769
Walgreens,METAIRIE,143,#143 143 #00143 #0143,Veterans & Power Boulevard,LA,70003
