keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Walmart,Rogers,1,#01 #1 1 #001 #01,2110 W Walnut St,AR,72756
Walmart,Harrison,2,#02 #2 2 #002 #02,161 N. Walmart Drive,AR,72601
Walmart,Commerce,3,#03 #3 3 #003 #03,30983 Highway 441 S,GA,30529
Walmart,Siloam Springs,4,#04 #4 4 #004 #04,2901 Highway 412 E,AR,72761
Walmart,Conway,5,#05 #5 5 #005 #05,1155 Hwy 65 North,AR,72032
Walmart,Sherwood,7,#07 #7 7 #007 #07,9053 Highway 107,AR,72120
Walmart,Morrilton,8,#08 #8 8 #008 #08,1621 North Business 9,AR,72110
Walmart,Sikeston,9,#09 #9 9 #009 #09,1303 S Main St,MO,63801
Walmart,Tahlequah,10,#010 #10 10 #0010 #010,2020 S Muskogee Ave,OK,74464
Walmart,Mountain Home,11,#011 #11 11 #0011 #011,65 Wal Mart Dr,AR,72653
Walmart,Claremore,12,#012 #12 12 #0012 #012,1500 S Lynn Riggs Blvd,OK,74017
Walmart,Carthage,13,#013 #13 13 #0013 #013,2705 Grand Ave,MO,64836
Walmart,Lebanon,14,#014 #14 14 #0014 #014,1800 S Jefferson Ave,MO,65536
Walmart,West Plains,15,#015 #15 15 #0015 #015,1310 Preacher Roe Blvd,MO,65775
Walmart,Van Buren,16,#016 #16 16 #0016 #016,2214 Fayetteville Rd,AR,72956
Walmart,Neosho,17,#017 #17 17 #0017 #017,3200 Lusk Dr,MO,64850
Walmart,Newport,18,#018 #18 18 #0018 #018,1211 Highway 367 N,AR,72112
Walmart,Poplar Bluff,19,#019 #19 19 #0019 #019,333 S Westwood Blvd,MO,63901
Walmart,Clinton,20,#020 #20 20 #0020 #020,1712 E Ohio St,MO,64735
Walmart,Saint Robert,21,#021 #21 21 #0021 #021,185 Saint Robert Blvd,MO,65584
Walmart,Pryor,22,#022 #22 22 #0022 #022,4901 S Mill St,OK,74361
Walmart,Ruston,23,#023 #23 23 #0023 #023,1201 N Service Rd E,LA,71270
Walmart,Jacksonville,24,#024 #24 24 #0024 #024,2000 John Harden Dr,AR,72076
Walmart,Mexico,25,#025 #25 25 #0025 #025,4820 S Clark St,MO,65265
Walmart,Leavenworth,26,#026 #26 26 #0026 #026,5000 10Th Ave,KS,66048
Walmart,Salem,27,#027 #27 27 #0027 #027,1101 W Highway 32,MO,65560
Walmart,Miami,28,#028 #28 28 #0028 #028,2415 N Main St,OK,74354
Walmart,Jefferson City,29,#029 #29 29 #0029 #029,724 Stadium West Blv,MO,65109
Walmart,Dexter,30,#030 #30 30 #0030 #030,2025 W Business Us Highway 60,MO,63841
Walmart,Poteau,31,#031 #31 31 #0031 #031,3108 N Broadway St,OK,74953
Walmart,Branson,32,#032 #32 32 #0032 #032,2050 West Hwy 76,MO,65616
Walmart,Nashville,33,#033 #33 33 #0033 #033,1710 S 4Th St,AR,71852
Walmart,Nevada,34,#034 #34 34 #0034 #034,2250 Lincoln Ave,MO,64772
Walmart,Manhattan,35,#035 #35 35 #0035 #035,101 Bluemont Ave,KS,66502
Walmart,Paragould,36,#036 #36 36 #0036 #036,2802 W Kingshighway,AR,72450
Walmart,Farmington,37,#037 #37 37 #0037 #037,707 Walton Dr,MO,63640
Walmart,Idabel,38,#038 #38 38 #0038 #038,1907 Se Washington St,OK,74745
Walmart,Fort Scott,39,#039 #39 39 #0039 #039,2500 S Main St,KS,66701
Walmart,Moberly,40,#040 #40 40 #0040 #040,1301 E Highway 24,MO,65270
Walmart,Bartlesville,41,#041 #41 41 #0041 #041,4000 Se Green Country Rd,OK,74006
Walmart,Coffeyville,42,#042 #42 42 #0042 #042,1863 Cr 5300,KS,67337
Walmart,Junction City,43,#043 #43 43 #0043 #043,521 E Chestnut St,KS,66441
Walmart,Eldon,44,#044 #44 44 #0044 #044,1802 S Business 54,MO,65026
