keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Wendy's,COLUMBUS,2,02 #2 2,2226 W. HENDERSON ROAD,OH,43220
Wendy's,COLUMBUS,3,03 #3 3,4049 E. LIVINGSTON AVE.,OH,43227
Wendy's,COLUMBUS,4,04 #4 4,3055 SULLIVANT AVE.,OH,43204
Wendy's,COLUMBUS,6,06 #6 6,799 S. HIGH STREET,OH,43206
Wendy's,MARION,7,07 #7 7,1165 MOUNT VERNON,OH,43302
Wendy's,NEWARK,9,09 #9 9,10 S.SECOND ST,OH,43055
Wendy's,DAYTON,10,010 #10 10,7435 BRANDT PIKE,OH,45424
Wendy's,DAYTON,11,011 #11 11,3420 SALEM AVENUE,OH,45406
Wendy's,INDIANAPOLIS,14,014 #14 14,5509 N. KEYSTONE,IN,46220
Wendy's,DAYTON,16,016 #16 16,1880 EAST DOROTHY LANE,OH,45429
Wendy's,GAHANNA,18,018 #18 18,77 GRANVILLE STREET,OH,43230
Wendy's,COLUMBUS,22,022 #22 22,3592 N. HIGH STREET,OH,43214
Wendy's,COLUMBUS,23,023 #23 23,1460 HARRISBURG PIKE,OH,43223
Wendy's,HAMILTON,25,025 #25 25,816 N HIGH STREET,OH,45011
Wendy's,CINCINNATI,27,027 #27 27,912 WEST GALBRAITH ROAD,OH,45231
Wendy's,DALLAS,30,030 #30 30,4018 LEMMON AVE.,TX,75219
Wendy's,MIDWEST CITY,32,032 #32 32,409 S. AIR DEPOT,OK,73110
Wendy's,MORROW,34,034 #34 34,6241 JONESBORO RD,GA,30260
Wendy's,MEMPHIS,35,035 #35 35,1725 WINCHESTER RD,TN,38116
Wendy's,DALLAS,36,036 #36 36,1910 S. BUCKNER AVE.,TX,75217
Wendy's,CINCINNATI,38,038 #38 38,5066 DELHI PIKE,OH,45238
Wendy's,MARIETTA,41,041 #41 41,1123 ROSWELL STREET,GA,30062
Wendy's,MEMPHIS,44,044 #44 44,2554 MT. MORIAH,TN,38118
Wendy's,DECATUR,46,046 #46 46,1705 SCOTT BLVD,GA,30033
Wendy's,PASADENA,47,047 #47 47,7444 SPENCER HIGHWAY,TX,77505
Wendy's,BECKLEY,51,051 #51 51,3066 ROBERT C. BYRD DRIVE,WV,25801
Wendy's,INDIANAPOLIS,54,054 #54 54,1007 E. 86TH STREET,IN,46240
Wendy's,LOUISVILLE,55,055 #55 55,4041 TAYLORSVILLE RD,KY,40220
Wendy's,DAYTON,56,056 #56 56,1507 WAYNE AVENUE,OH,45410
Wendy's,TULSA,59,059 #59 59,6148 E. 51ST STREET,OK,74135
Wendy's,ATLANTA,60,060 #60 60,3383 S. BUFORD HWY.,GA,30329
Wendy's,HOUSTON,61,061 #61 61,7215 FONDREN,TX,77036
Wendy's,CINCINNATI,62,062 #62 62,7893 BEECHMONT AVE.,OH,45230
Wendy's,TOLEDO,64,064 #64 64,4277 MONROE STREET,OH,43606
Wendy's,CHARLESTON,65,065 #65 65,121 VIRGINIA STREET E.,WV,25301
Wendy's,HOUSTON,69,069 #69 69,14602 PERTHSHIRE,TX,77079
Wendy's,TOLEDO,70,070 #70 70,5166 AIRPORT HIGHWAY,OH,43615
Wendy's,MARIETTA,71,071 #71 71,105 PIKE STREET,OH,45750
Wendy's,CLARKSVILLE,72,072 #72 72,830 E. LEWIS AND CLARK PKWY,IN,47129
Wendy's,MEMPHIS,75,075 #75 75,1593 UNION AVENUE,TN,38104
Wendy's,SYLVANIA,76,076 #76 76,5802 MONROE STREET,OH,43560
Wendy's,CINCINNATI,78,078 #78 78,7289 KENWOOD RD.,OH,45236
Wendy's,WHITEHALL,79,079 #79 79,3747 E.BROAD ST,OH,43213
Wendy's,MEMPHIS,80,080 #80 80,3196 AUSTIN-PEAY HWY,TN,38128
Wendy's,STONE MOUNTAIN,83,083 #83 83,5653 MEMORIAL DR,GA,30083
Wendy's,TAMPA,85,085 #85 85,1507 E. FOWLER,FL,33612
Wendy's,REYNOLDSBURG,86,086 #86 86,6781 E. MAIN STREET,OH,43068
Wendy's,SPRINGFIELD,88,088 #88 88,2040 S. LIMESTONE,OH,45505
Wendy's,FAIRBORN,89,089 #89 89,393 NORTH BROAD STREET,OH,45324
Wendy's,ATLANTA,90,090 #90 90,2818 NEW SPRING RD,GA,30339
Wendy's,INDIANAPOLIS,94,094 #94 94,7802 U.S 31,IN,46227
Wendy's,TOLEDO,95,095 #95 95,5560 W. CENTRAL AVENUE,OH,43615
Wendy's,HOUSTON,96,096 #96 96,1225 GESSNER,TX,77055
Wendy's,WESTERVILLE,97,097 #97 97,589 S. STATE STREET,OH,43081
Wendy's,COLUMBUS,100,0100 #100 100,3545 S. HIGH STREET,OH,43207
Wendy's,TOLEDO,101,0101 #101 101,108 E. MAIN STREET,OH,43605
Wendy's,CHAMBLEE,103,0103 #103 103,2159 SAVOY DRIVE,GA,30341
Wendy's,CHARLESTON,104,0104 #104 104,3515 MAC CORKLE AVE.S.E.,WV,25304
Wendy's,NEWPORT,105,0105 #105 105,57 CAROTHERS RD,KY,41071
Wendy's,MILLINGTON,108,0108 #108 108,4761 NAVY ROAD,TN,38053
Wendy's,COLUMBUS,109,0109 #109 109,2133 E. LIVINGSTON AVE.,OH,43209
Wendy's,ATLANTA,111,0111 #111 111,3146 PEACHTREE RD.NW,GA,30305
Wendy's,CHEVIOT,112,0112 #112 112,3640 HARRISON AVE.,OH,45211
Wendy's,BRADENTON,113,0113 #113 113,5411 14TH STREET,FL,34207
Wendy's,NEW PORT RICHEY,114,0114 #114 114,4240 U.S. HWY 19 SOUTH,FL,34652
Wendy's,ATLANTA,115,0115 #115 115,3990 MARTIN L. KING DR.,GA,30336
Wendy's,MEMPHIS,118,0118 #118 118,2811 GETWELL,TN,38118
Wendy's,HUNTINGTON,119,0119 #119 119,2130 E. FIFTH AVE.,WV,25703
Wendy's,TARPON SPRINGS,120,0120 #120 120,912 E. TARPON AVE,FL,34689
Wendy's,ATHENS,121,0121 #121 121,380 RICHLAND AVE,OH,45701
Wendy's,PINELLAS PARK,122,0122 #122 122,7621 66TH STREET,FL,33781
Wendy's,CLEARWATER,125,0125 #125 125,2290 GULF TO BAY,FL,33765
Wendy's,JONESBORO,126,0126 #126 126,8543 TARA BLVD,GA,30236
Wendy's,TULSA,127,0127 #127 127,7221 E. ADMIRAL,OK,74115
Wendy's,MIDDLETOWN,131,0131 #131 131,1312 BRIEL BLVD,OH,45042
Wendy's,S.PASADENA,132,0132 #132 132,1452 SOUTH PASADENA AVE,FL,33707
Wendy's,SPRINGFIELD,133,0133 #133 133,2411 E. MAIN STREET,OH,45503
Wendy's,JACKSON,136,0136 #136 136,480 E MAIN STREET,OH,45640
Wendy's,GALLIPOLIS,141,0141 #141 141,390 SILVER BRIDGE PLAZA,OH,45631
Wendy's,NORMAN,142,0142 #142 142,1908 W. MAIN STREET,OK,73069
Wendy's,ENDICOTT,147,0147 #147 147,217 WASHINGTON AVE,NY,13760
Wendy's,ST.ALBANS,148,0148 #148 148,313 6TH AVE.,WV,25177
Wendy's,BINGHAMTON,152,0152 #152 152,1251 FRONT STREET,NY,13905
Wendy's,MAUMEE,153,0153 #153 153,914 CONANT STREET,OH,43537
Wendy's,ARLINGTON,155,0155 #155 155,409 WEST ABRAM,TX,76010
Wendy's,FT.MYERS,159,0159 #159 159,3783 CLEVELAND AVENUE,FL,33901
Wendy's,VESTAL,160,0160 #160 160,3737 VESTAL PKWY,NY,13850
Wendy's,MEMPHIS,163,0163 #163 163,5541 POPLAR AVE,TN,38119
Wendy's,CARROLLTON,164,0164 #164 164,2003 BELTLINE ROAD,TX,75006
Wendy's,SIDNEY,165,0165 #165 165,1326 WEST MICHIGAN STREET,OH,45365
Wendy's,BINGHAMTON,167,0167 #167 167,170 MAIN STREET,NY,13905
Wendy's,PLANO,168,0168 #168 168,603 E. 15TH,TX,75074
Wendy's,CHARLESTON,170,0170 #170 170,1617 WASHINGTON STREET E.,WV,25311
Wendy's,BLUEFIELD,171,0171 #171 171,3301 E CUMBERLAND RD,WV,24701
Wendy's,CLEARWATER,174,0174 #174 174,4960 E. BAY DRIVE,FL,33764
Wendy's,SPRINGFIELD,176,0176 #176 176,2214 N. LIMESTONE,OH,45503
Wendy's,TULSA,177,0177 #177 177,3341 E. 31ST STREET,OK,74135
Wendy's,ENGLEWOOD,178,0178 #178 178,606 SOUTH MAIN STREET,OH,45322
Wendy's,ASHLAND,179,0179 #179 179,711 MARTIN LUTHER KING JR BLVD,KY,41101
Wendy's,RONCEVERTE,180,0180 #180 180,1 RED OAKS SHOPPING CTR,WV,24970
Wendy's,MT.VERNON,181,0181 #181 181,994 COSHOCTON AVENUE,OH,43050
Wendy's,W.MEMPHIS,182,0182 #182 182,1223 MISSOURI STREET,AR,72301
Wendy's,TROY,184,0184 #184 184,825 W MAIN STREET,OH,45373
Wendy's,MIDDLETOWN,185,0185 #185 185,2131 N VERITY PARKWAY,OH,45042
Wendy's,MARMET,186,0186 #186 186,9015 MAC CORKLE AVE,WV,25315
Wendy's,PIQUA,189,0189 #189 189,1221 EAST ASH STREET,OH,45356
Wendy's,MEMPHIS,191,0191 #191 191,3275 THOMAS STREET,TN,38127
Wendy's,ATLANTA,192,0192 #192 192,6240 ROSWELL RD NE,GA,30328
Wendy's,DAYTON,193,0193 #193 193,2948 MIAMISBURG CENTERVILLE RD,OH,45459
Wendy's,IRONTON,194,0194 #194 194,100 N 4TH ST,OH,45638
Wendy's,HOUSTON,195,0195 #195 195,1829 MANGUM ROAD,TX,77092
Wendy's,WINTERSVILLE,196,0196 #196 196,100 MAIN STREET,OH,43952
Wendy's,DAYTON,197,0197 #197 197,4873 AIRWAY ROAD,OH,45431
Wendy's,COLUMBUS,198,0198 #198 198,2061 E. DUBLIN-GRANVILLE,OH,43229
Wendy's,CINCINNATI,199,0199 #199 199,5330 RIDGE AVE.,OH,45213
Wendy's,BEDFORD,200,0200 #200 200,1509 BROWN TRAIL,TX,76022
