Keywords,city,Agg store_number,store_number,address,state,zip_code
Bed Bath & Beyond,Springfield,1,#1 #01 BEDBATH&BEYOND#001 BEDBATH&BEYOND#01 BEDBATH&BEYOND#1 BEDBATH&BEYOND01,715 Morris Turnpike,NJ,7081
Bed Bath & Beyond,Lawrence,2,#2 #02 BEDBATH&BEYOND#002 BEDBATH&BEYOND#02 BEDBATH&BEYOND#2 BEDBATH&BEYOND02,"365 Rockaway Turnpike, Unit 40",NY,11559
Bed Bath & Beyond,Huntington Station,3,#3 #03 BEDBATH&BEYOND#003 BEDBATH&BEYOND#03 BEDBATH&BEYOND#3 BEDBATH&BEYOND03,340 Walt Whitman Road,NY,11746
Bed Bath & Beyond,Danbury,5,#5 #05 BEDBATH&BEYOND#005 BEDBATH&BEYOND#05 BEDBATH&BEYOND#5 BEDBATH&BEYOND05,13 Sugar Hollow Road,CT,6810
Bed Bath & Beyond,Huntington Beach,23,#23 #023 BEDBATH&BEYOND#0023 BEDBATH&BEYOND#023 BEDBATH&BEYOND#23 BEDBATH&BEYOND023,7777 Edinger Avenue,CA,92648
Bed Bath & Beyond,Lawrenceville,7,#7 #07 BEDBATH&BEYOND#007 BEDBATH&BEYOND#07 BEDBATH&BEYOND#7 BEDBATH&BEYOND07,3371 U.S. Highway 1,NJ,8648
Bed Bath & Beyond,Canoga Park,8,#8 #08 BEDBATH&BEYOND#008 BEDBATH&BEYOND#08 BEDBATH&BEYOND#8 BEDBATH&BEYOND08,6530 Canoga Avenue,CA,91303
Bed Bath & Beyond,Paramus,9,#9 #09 BEDBATH&BEYOND#009 BEDBATH&BEYOND#09 BEDBATH&BEYOND#9 BEDBATH&BEYOND09,Route 17 North and Ridgewood Avenue,NJ,7652
Bed Bath & Beyond,Norwalk,12,#12 #012 BEDBATH&BEYOND#0012 BEDBATH&BEYOND#012 BEDBATH&BEYOND#12 BEDBATH&BEYOND012,542 Westport Avenue,CT,6851
Bed Bath & Beyond,West Nyack,16,#16 #016 BEDBATH&BEYOND#0016 BEDBATH&BEYOND#016 BEDBATH&BEYOND#16 BEDBATH&BEYOND016,1406 Palisades Center Drive,NY,10994
Bed Bath & Beyond,Los Angeles,20,#20 #020 BEDBATH&BEYOND#0020 BEDBATH&BEYOND#020 BEDBATH&BEYOND#20 BEDBATH&BEYOND020,11854 West Olympic Boulevard,CA,90064
Bed Bath & Beyond,Falls Church,29,#29 #029 BEDBATH&BEYOND#0029 BEDBATH&BEYOND#029 BEDBATH&BEYOND#29 BEDBATH&BEYOND029,5810 Crossroads Center Way,VA,22041
Bed Bath & Beyond,Santa Rosa,24,#24 #024 BEDBATH&BEYOND#0024 BEDBATH&BEYOND#024 BEDBATH&BEYOND#24 BEDBATH&BEYOND024,2785 Santa Rosa Avenue,CA,95407
Bed Bath & Beyond,Studio City,25,#25 #025 BEDBATH&BEYOND#0025 BEDBATH&BEYOND#025 BEDBATH&BEYOND#25 BEDBATH&BEYOND025,12555 Ventura Boulevard,CA,91604
Bed Bath & Beyond,Oakland,26,#26 #026 BEDBATH&BEYOND#0026 BEDBATH&BEYOND#026 BEDBATH&BEYOND#26 BEDBATH&BEYOND026,590 2nd Street,CA,94607
Bed Bath & Beyond,Philadelphia,30,#30 #030 BEDBATH&BEYOND#0030 BEDBATH&BEYOND#030 BEDBATH&BEYOND#30 BEDBATH&BEYOND030,1417 Franklin Mills Circle,PA,19154
Bed Bath & Beyond,Plano,61,#61 #061 BEDBATH&BEYOND#0061 BEDBATH&BEYOND#061 BEDBATH&BEYOND#61 BEDBATH&BEYOND061,801 West 15th Street,TX,75075
Bed Bath & Beyond,Fairfax,65,#65 #065 BEDBATH&BEYOND#0065 BEDBATH&BEYOND#065 BEDBATH&BEYOND#65 BEDBATH&BEYOND065,12100 Fairfax Towne Center,VA,22033
Bed Bath & Beyond,Stamford,6,#6 #06 BEDBATH&BEYOND#006 BEDBATH&BEYOND#06 BEDBATH&BEYOND#6 BEDBATH&BEYOND06,2275 Summer Street,CT,6905
Bed Bath & Beyond,Deerfield,32,#32 #032 BEDBATH&BEYOND#0032 BEDBATH&BEYOND#032 BEDBATH&BEYOND#32 BEDBATH&BEYOND032,96 S. Waukegan Road,IL,60015
Bed Bath & Beyond,Cherry Hill,27,#27 #027 BEDBATH&BEYOND#0027 BEDBATH&BEYOND#027 BEDBATH&BEYOND#27 BEDBATH&BEYOND027,2130 Marlton Pike West,NJ,8002
Bed Bath & Beyond,San Diego,31,#31 #031 BEDBATH&BEYOND#0031 BEDBATH&BEYOND#031 BEDBATH&BEYOND#31 BEDBATH&BEYOND031,1750 Camino Del Rio North,CA,92108
Bed Bath & Beyond,Rockville,33,#33 #033 BEDBATH&BEYOND#0033 BEDBATH&BEYOND#033 BEDBATH&BEYOND#33 BEDBATH&BEYOND033,1519 Rockville Pike,MD,20852
Bed Bath & Beyond,Gurnee,36,#36 #036 BEDBATH&BEYOND#0036 BEDBATH&BEYOND#036 BEDBATH&BEYOND#36 BEDBATH&BEYOND036,6132 Grand Avenue,IL,60031
Bed Bath & Beyond,Lake Grove,37,#37 #037 BEDBATH&BEYOND#0037 BEDBATH&BEYOND#037 BEDBATH&BEYOND#37 BEDBATH&BEYOND037,2045 Smith Haven Plaza,NY,11755
Bed Bath & Beyond,San Francisco,38,#38 #038 BEDBATH&BEYOND#0038 BEDBATH&BEYOND#038 BEDBATH&BEYOND#38 BEDBATH&BEYOND038,555 9th Street,CA,94103
Bed Bath & Beyond,Schaumburg,39,#39 #039 BEDBATH&BEYOND#0039 BEDBATH&BEYOND#039 BEDBATH&BEYOND#39 BEDBATH&BEYOND039,915 East Golf Road,IL,60173
Bed Bath & Beyond,Albany,40,#40 #040 BEDBATH&BEYOND#0040 BEDBATH&BEYOND#040 BEDBATH&BEYOND#40 BEDBATH&BEYOND040,32 Wolf Road,NY,12205
Bed Bath & Beyond,Casselberry,41,#41 #041 BEDBATH&BEYOND#0041 BEDBATH&BEYOND#041 BEDBATH&BEYOND#41 BEDBATH&BEYOND041,5803 South U.S. 17/92,FL,32707
