keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Benihana,Anchorage,11,11,1100 W. 8th Ave.,AK,99501
Benihana,Chandler,60,60,3025 W.Chandler Blvd.,AZ,85226
Benihana,Scottsdale,61,61,16403 N. Scottsdale Road,AZ,85254
Benihana,North Little Rock,63,63,2 Riverfront Place,AR,72114
Benihana,Anaheim,64,64,2100 E. Ball Road,CA,92806
Benihana,Beverly Hills,65,65,38 N. La Cienega Blvd.,CA,90211
Benihana,Burlingame,66,66,1496 Old Bayshore Highway,CA,94010
Benihana,Carlsbad,67,67,"755 Raintree Drive, Suite 100",CA,92011
Benihana,Concord,68,68,1989 Diamond Blvd.,CA,94520
Benihana,Cupertino,69,69,2074 Vallco Fashion Park,CA,95014
Benihana,Encino,70,70,16226 Ventura Blvd.,CA,91436
Benihana,Ontario,71,71,3760 E. Inland Empire Blvd.,CA,91764
Benihana,City of Industry,72,72,17877 Gale Avenue,CA,91748
Benihana,Citrus Heights,73,73,5489 Sunrise Blvd.,CA,95610
Benihana,San Diego,74,74,477 Camino Del Rio South,CA,92108
Benihana,San Francisco,75,75,1737 Post Street,CA,94115
Benihana,Santa Monica,76,76,1447 4th Street,CA,90401
Benihana,Torrance,77,77,21327 Hawthorne Blvd.,CA,90503
Benihana,Broomfield,78,78,515 Zang St,CO,80021
Benihana,Denver,79,79,3295 S. Tamarac Drive,CO,80231
Benihana,Coral Gables,80,80,242 Miracle Mile,FL,33134
Benihana,Lauderdale-by-the-Sea,81,81,276 Commercial Blvd.,FL,33308
Benihana,Key West,82,82,3591 S. Roosevelt Blvd.,FL,33040
Benihana,Miami,83,83,8717 SW 136th Street,FL,33176
Benihana,Miami Beach,84,84,1665 NE 79 Street Causeway,FL,33141
Benihana,Miramar,85,85,3261 SW 160th Avenue,FL,33027
Benihana,Orlando,86,86,1751 Hotel Plaza Blvd.,FL,32830
Benihana,Stuart,87,87,3602 S.E. Ocean Boulevard,FL,34996
Benihana,Alpharetta,88,88,2365 Mansell Rd.,GA,30022
Benihana,Atlanta,89,89,2143 Peachtree Rd.,GA,30309
Benihana,Atlanta,90,90,"229 Peachtree St. N.E. Level A, ENTRANCE ON PEACHTREE CENTER AVE.",GA,30303
Benihana,Honolulu,91,91,2005 Kalia Road,HI,96815
Benihana,Lombard,92,92,747 East Butterfield Road,IL,60148-5614
Benihana,Schaumburg,93,93,1200 E. Higgins Road,IL,60173
Benihana,Wheeling,94,94,150 N. Milwaukee Ave.,IL,60090
Benihana,Indianapolis,95,95,8830 Keystone Crossing,IN,46240
Benihana,Bethesda,96,96,7935 Wisconsin Avenue,MD,20814
Benihana,Dearborn,97,97,18601 Hubbard Drive,MI,48126
Benihana,Farmington Hills,98,98,21150 Haggerty Road,MI,48167
Benihana,Troy,99,99,1985 W. Big Beaver Road,MI,48084
Benihana,Maple Grove,100,100,11840 Fountains Way,MN,55369
Benihana,Golden Valley,101,101,850 Louisiana Avenue,MN,55426
Benihana,Las Vegas,102,102,3000 Paradise Rd.,NV,89109
Benihana,Pennsauken,103,103,5255 Route 70,NJ,8109
Benihana,Edison,104,104,60 Parsonage Rd.,NJ,8837
Benihana,Short Hills,105,105,840 Morris Turnpike,NJ,7078
Benihana,Manhasset,106,106,2105 Northern Blvd.,NY,11030
Benihana,New York,107,107,47 West 56th Street,NY,10019
Benihana,Westbury,108,108,920 Merchants Concourse,NY,11590
Benihana,Cincinnati,109,109,50 Tri-County Parkway,OH,45246
Benihana,Cincinnati,110,110,126 East 6th Street,OH,45202
Benihana,Cleveland,111,111,23611 Chagrin Blvd.,OH,44122
Benihana,Beaverton,112,112,9205 SW Cascade Ave.,OR,97008
Benihana,Harrisburg,113,113,2517 Paxton St.,PA,17111
Benihana,Pittsburgh,114,114,2100 Greentree Road,PA,15220
Benihana,Memphis,115,115,912 Ridgelake Boulevard,TN,38120
Benihana,Dallas,117,117,7775 Banner Drive,TX,75251
Benihana,Houston,118,118,9707 Westheimer Rd,TX,77042
Benihana,Houston,119,119,1318 Louisiana St.,TX,77002
Benihana,Las Colinas,120,120,5400 Whitehall St.,TX,75038
Benihana,Sugar Land,122,122,2579 Town Center Blvd.,TX,77479
Benihana,The Woodlands,123,123,1720 Lake Woodlands Dr.,TX,77380
Benihana,Salt Lake City,124,124,165 S West Temple,UT,84101
Benihana,Dulles,125,125,"21089 Dulles Town Circle, Located at the Dulles Town Center Mall",VA,20166
Benihana,Seattle,126,126,1200 Fifth Ave.,WA,98101
Benihana,Milwaukee,128,128,850 N. Plankinton Ave.,WI,53203
Benihana,Panama City,129,129,Centro Comercial Multiplaza Pacific,PA,
Benihana,San Salvador,130,130,"Centro Comercial La Gran Via, carretera Panamericana",SV,
Benihana,Palm Beach,131,131,"South Beach Mall, J.E. Irausquin Blvd 350 - A",AW,
Benihana,CLOSED - Caracas,134,134,"Aeropuerto International, Simon Boliva",VE,
Benihana,Caracas,135,135,"Final Calle La Guairita, Radisson Hotel & Suites",VE,
Benihana,Newport Beach,224,224,4250 Birch Street,CA,92660
Benihana,Port of Spain,275,275,Port of Spain,TT,
Benihana,Plymouth Meeting,276,276,"508  W. Germantown Pike, Located at the Plymouth Meeting Mall next to the AMC movie theater",PA,19462
Benihana,Plano,277,277,5840 Legacy Circle,TX,75024
Benihana,Coral Springs,278,278,1695 N. University Drive,FL,33071
Benihana,Columbus,279,279,8781 Lyra Drive,OH,43240
Benihana,Monterey,309,309,136 Olivier Street,CA,93940
Benihana,Orlando,522,522,12690 International Drive,FL,32821
Benihana,Buenos Aires,700,700,Arenales 3310,AR,
Benihana,Sao Paulo,1268,1268,"Rau Amauri, 517 - Itaim",SP - CEP,01448-000
