keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Big 5 Sporting Goods,Inglewood,3,03 3,301 S. Market Street,CA,90301
Big 5 Sporting Goods,Chula Vista,6,06 6,364 East 'h' Street,CA,91910
Big 5 Sporting Goods,Las Vegas,9,09 9,2797 S. Maryland Parkway,NV,89109
Big 5 Sporting Goods,Las Vegas,12,012 12,1140 S. Decatur Blvd.,NV,89102
Big 5 Sporting Goods,Torrance,18,018 18,18308 Hawthorne Blvd.,CA,90504
Big 5 Sporting Goods,Tacoma,21,021 21,"2505 S. 38th St., Suite F",WA,98409
Big 5 Sporting Goods,Los Angeles,24,024 24,6601 Wilshire Blvd.,CA,90048
Big 5 Sporting Goods,Canoga Park,27,027 27,7000 Topanga Canyon Blvd.,CA,91303
Big 5 Sporting Goods,Lakewood,30,030 30,5247 Lakewood Blvd.,CA,90712
Big 5 Sporting Goods,Pomona,33,033 33,696 West Holt,CA,91768
Big 5 Sporting Goods,Culver City,36,036 36,4343 Sepulveda Blvd,CA,90230
Big 5 Sporting Goods,Costa Mesa,39,039 39,2324 Harbor Blvd.,CA,92626
Big 5 Sporting Goods,Tustin,42,042 42,520 E First Street,CA,92780
Big 5 Sporting Goods,El Monte,45,045 45,3600 Peck Road,CA,91731
Big 5 Sporting Goods,Downey,48,048 48,9100 E. Firestone Blvd.,CA,90241
Big 5 Sporting Goods,San Diego,51,051 51,4838 Convoy Street,CA,92111
Big 5 Sporting Goods,Corte Madera,54,054 54,110 Nellen Avenue,CA,94925
Big 5 Sporting Goods,San Jose,57,057 57,3132 Steven'S Creek Blvd.,CA,95117
Big 5 Sporting Goods,San Jose,60,060 60,946 Blossom Hill Road,CA,95123
Big 5 Sporting Goods,San Diego,63,063 63,3729 Rosecrans Street,CA,92110
Big 5 Sporting Goods,Fresno,66,066 66,5488 N. Blackstone Avenue,CA,93710
Big 5 Sporting Goods,San Bernardino,69,069 69,245 North E St,CA,92401
Big 5 Sporting Goods,Orange,72,072 72,2445 N. Tustin Avenue,CA,92865
Big 5 Sporting Goods,El Cajon,78,078 78,666 Fletcher Parkway,CA,92020
Big 5 Sporting Goods,San Jose,81,081 81,2249 Tully Road,CA,95122
Big 5 Sporting Goods,Bakersfield,84,084 84,3214 Ming Avenue,CA,93304
Big 5 Sporting Goods,Riverside,87,087 87,6491 Magnolia Avenue,CA,92506
Big 5 Sporting Goods,Sacramento,90,090 90,3420 Arden Way,CA,95825
Big 5 Sporting Goods,Daly City,93,093 93,314 Gellert Blvd. Street,CA,94015
Big 5 Sporting Goods,Westminster,96,096 96,14970 Golden West Street,CA,92683
Big 5 Sporting Goods,Sunnyvale,99,099 99,721 Sunnyvale-Saratoga Road,CA,94087
Big 5 Sporting Goods,Stockton,102,0102 102,1053 March Lane,CA,95207
Big 5 Sporting Goods,Visalia,105,0105 105,1430 S. Mooney Lane,CA,93277
Big 5 Sporting Goods,Reno,108,0108 108,4986 S. Virginia,NV,89502
Big 5 Sporting Goods,San Lorenzo,111,0111 111,15556 Hesperian,CA,94580
Big 5 Sporting Goods,Fremont,114,0114 114,3820 Mowry Avenue,CA,94538
Big 5 Sporting Goods,Citrus Heights,117,0117 117,7833 Greenback Lane,CA,95610
Big 5 Sporting Goods,Modesto,120,0120 120,"3250 Dale Road, Suite K",CA,95350
Big 5 Sporting Goods,El Toro,123,0123 123,24314 Swartz Drive,CA,92630
Big 5 Sporting Goods,Anaheim,126,0126 126,2320 Harbor Blvd.,CA,92802
Big 5 Sporting Goods,Redwood City,129,0129 129,242 Walnut Street,CA,94064
Big 5 Sporting Goods,Simi Valley,132,0132 132,1203 Los Angeles Avenue,CA,93065
Big 5 Sporting Goods,Granada Hills,135,0135 135,16900 San Fernando Mission,CA,91344
Big 5 Sporting Goods,Santa Monica,138,0138 138,3121 Wilshire Blvd.,CA,90403
Big 5 Sporting Goods,Pinole,141,0141 141,1572 Fitzgerald Drive,CA,94564
Big 5 Sporting Goods,Santa Rosa,144,0144 144,360 Coddingtown Center,CA,95401
Big 5 Sporting Goods,Santa Barbara,147,0147 147,3935 State Street,CA,93105
Big 5 Sporting Goods,Sacramento,150,0150 150,6251 Mack Road,CA,95823
Big 5 Sporting Goods,Van Nuys,153,0153 153,7250 Van Nuys Blvd.,CA,91405
Big 5 Sporting Goods,Merced,156,0156 156,760 Merced Mall,CA,95340
Big 5 Sporting Goods,Fairfield,162,0162 162,1902 N. Texas Street,CA,94533
Big 5 Sporting Goods,La Habra,165,0165 165,1610 Whittier Blvd.,CA,90631
Big 5 Sporting Goods,San Ramon,168,0168 168,3209 Crow Canyon Place,CA,94583
Big 5 Sporting Goods,Oceanside,171,0171 171,2301 Vista Way,CA,92054
Big 5 Sporting Goods,San Luis Obispo,174,0174 174,281-c Madonna Road,CA,93405
Big 5 Sporting Goods,Rowland Heights,177,0177 177,17390 Colima Road,CA,91748
Big 5 Sporting Goods,Pasadena,180,0180 180,3719 E. Colorado Blvd.,CA,91107
Big 5 Sporting Goods,Salinas,183,0183 183,1000 Northridge Shopping Ctr.,CA,93906
Big 5 Sporting Goods,Seattle,186,0186 186,2500 S.W. Barton,WA,98126
Big 5 Sporting Goods,Seattle,189,0189 189,125 S.W. 148th,WA,98166
Big 5 Sporting Goods,Federal Way,192,0192 192,1916 S. 320th,WA,98003
Big 5 Sporting Goods,Bellevue,195,0195 195,4055 Factoria Blvd. S.E.,WA,98006
Big 5 Sporting Goods,Kirkland,198,0198 198,12520-120th N.E.,WA,98034
Big 5 Sporting Goods,Lynwood,201,0201 201,"18600-a 33rd Ave., West",WA,98037
Big 5 Sporting Goods,Escondido,204,0204 204,1253 E. Valley Parkway,CA,92027
Big 5 Sporting Goods,Cerritos,207,0207 207,11310 183rd Street,CA,90701
Big 5 Sporting Goods,San Mateo,210,0210 210,2825 S. El Camino Real,CA,94403
Big 5 Sporting Goods,Redding,213,0213 213,2500 Hilltop Drive,CA,96002
Big 5 Sporting Goods,Torrance,216,0216 216,2745 Pacific Coast Highway,CA,90505
Big 5 Sporting Goods,Everett,219,0219 219,1201 S.E. Everett Mall Way,WA,98208
Big 5 Sporting Goods,Chico,222,0222 222,"1717 Mangrove Ave., Suite C",CA,95926
Big 5 Sporting Goods,Studio City,225,0225 225,12033 Ventura Place,CA,91604
Big 5 Sporting Goods,Yuba City,228,0228 228,1252 Colusa Avenue,CA,95991
Big 5 Sporting Goods,Clovis,231,0231 231,480 East Shaw Avenue,CA,93612
Big 5 Sporting Goods,San Rafael,234,0234 234,160 Northgate One,CA,94903
Big 5 Sporting Goods,Santa Clarita,237,0237 237,24329 Magic Mountain Pkwy,CA,91355
Big 5 Sporting Goods,Buena Park,240,0240 240,8990 Knott Avenue,CA,90620
Big 5 Sporting Goods,Victorville,243,0243 243,14390 Bear Valley Road,CA,92392
Big 5 Sporting Goods,Vallejo,246,0246 246,3485 Sonoma Blvd. Larwin Plaza,CA,94590
Big 5 Sporting Goods,Anaheim,249,0249 249,96 E. Orangethorpe Avenue,CA,92801
Big 5 Sporting Goods,Burbank,252,0252 252,510 North Victory Blvd.,CA,91502
Big 5 Sporting Goods,Chino,255,0255 255,"5250 Philadelphia St., Suite A",CA,91710
Big 5 Sporting Goods,Riverside,258,0258 258,10251 Magnolia Avenue,CA,92503
Big 5 Sporting Goods,Lancaster,261,0261 261,43521 13th Street,CA,93534
Big 5 Sporting Goods,Pittsburg,264,0264 264,4701 Century Blvd.,CA,94565
Big 5 Sporting Goods,Santa Maria,267,0267 267,305 Towne Center West,CA,93454
Big 5 Sporting Goods,San Dimas,270,0270 270,1073 West Arrow Highway,CA,91773
Big 5 Sporting Goods,Pico Rivera,273,0273 273,9426 Whittier Blvd.,CA,90660
Big 5 Sporting Goods,Las Vegas,276,0276 276,4275 E. Charleston Blvd.,NV,89104
Big 5 Sporting Goods,Alhambra,282,0282 282,620 E. Valley Blvd.,CA,91801
Big 5 Sporting Goods,San Diego,285,0285 285,8145 Mira Mesa,CA,92126
Big 5 Sporting Goods,Napa,288,0288 288,1305 Trancas Street,CA,94558
Big 5 Sporting Goods,Milpitas,291,0291 291,757 E. Calavera Blvd.,CA,95035
Big 5 Sporting Goods,Eureka,294,0294 294,3240 Broadway,CA,95501
Big 5 Sporting Goods,San Diego,297,0297 297,6061A El Cajon Blvd,CA,92115
Big 5 Sporting Goods,Kent,300,0300 300,24216 104th Avenue S.E.,WA,98031
Big 5 Sporting Goods,Davis,303,0303 303,1301 W. Covell Blvd.,CA,95616
Big 5 Sporting Goods,Turlock,306,0306 306,599 N. Golden State Blvd.,CA,95380
Big 5 Sporting Goods,Northridge,309,0309 309,9120-b Reseda Blvd.,CA,91324
Big 5 Sporting Goods,Walnut Creek,312,0312 312,1630 Mt. Diablo Blvd.,CA,94596
Big 5 Sporting Goods,Irvine,315,0315 315,"3831 Alton Parkway, Suite A",CA,92606
Big 5 Sporting Goods,Bell Gardens,318,0318 318,7111 Eastern Avenue,CA,90201
Big 5 Sporting Goods,Alameda,321,0321 321,325 Park Street,CA,94501
Big 5 Sporting Goods,Seattle,324,0324 324,4315 University Way N.E.,WA,98105
Big 5 Sporting Goods,El Segundo,327,0327 327,2515 E. El Segundo Blvd.,CA,90245
Big 5 Sporting Goods,San Pedro,330,0330 330,529 S. Gaffey,CA,90731
Big 5 Sporting Goods,Menlo Park,333,0333 333,700 El Camino Real,CA,94025
Big 5 Sporting Goods,Roseville,336,0336 336,1909 Douglas Blvd.,CA,95661
Big 5 Sporting Goods,San Bernardino,339,0339 339,2150 East Highland,CA,92404
Big 5 Sporting Goods,Fresno,342,0342 342,3022 West Shaw Avenue,CA,93711
Big 5 Sporting Goods,Rancho Cucamonga,345,0345 345,"10570 Foothill Blvd 'a', Ste. #140",CA,91730
Big 5 Sporting Goods,Moreno Valley,348,0348 348,23901-a Sunnymead Blvd.,CA,92553
Big 5 Sporting Goods,Fontana,351,0351 351,16873 Valley Blvd.,CA,92335
Big 5 Sporting Goods,Brea,354,0354 354,"705 East Birch St., Suite A",CA,92821
Big 5 Sporting Goods,Thousand Oaks,357,0357 357,43 W. Thousand Oaks Blvd.,CA,91360
Big 5 Sporting Goods,Morgan Hill,360,0360 360,150 Cochrane Road,CA,95037
Big 5 Sporting Goods,Monterey Park,363,0363 363,2062 S. Atlantic Blvd.,CA,91754
Big 5 Sporting Goods,Olympia,366,0366 366,909 Cooper Point Road S.W.,WA,98502
Big 5 Sporting Goods,Petaluma,369,0369 369,105 N. Mc Dowell Road,CA,94954
Big 5 Sporting Goods,Ukiah,372,0372 372,540 E. Perkins Street,CA,95482
Big 5 Sporting Goods,Vacaville,375,0375 375,2030 Harbison Drive,CA,95687
Big 5 Sporting Goods,Manteca,378,0378 378,1011 S. Main Street,CA,95337
Big 5 Sporting Goods,San Francisco,381,0381 381,1533 Sloat Blvd.,CA,94132
Big 5 Sporting Goods,Dana Point,384,0384 384,34101 Doheny Park Road,CA,92624
Big 5 Sporting Goods,Porterville,387,0387 387,1287 W. Henderson Avenue,CA,93257
Big 5 Sporting Goods,Hanford,390,0390 390,"1675 W. Lacey Blvd., Space #e-1",CA,93230
Big 5 Sporting Goods,Livermore,393,0393 393,4514 Las Positas Road,CA,94550
Big 5 Sporting Goods,Yuma,396,0396 396,505 Catalina Drive,AZ,85364
Big 5 Sporting Goods,El Centro,399,0399 399,905 N. Imperial Avenue,CA,92243
Big 5 Sporting Goods,Tempe,402,0402 402,921 E. Southern Avenue,AZ,85282
Big 5 Sporting Goods,Phoenix,405,0405 405,4623 E. Cactus Road,AZ,85032
Big 5 Sporting Goods,Spokane,408,0408 408,North 7501 Division Street,WA,99208
Big 5 Sporting Goods,Spokane,411,0411 411,East 5725 Sprague Street,WA,99212
Big 5 Sporting Goods,Yakima,414,0414 414,2801 W. Nob Hill Blvd.,WA,98902
Big 5 Sporting Goods,Kennewick,417,0417 417,812 Vineyard Drive,WA,99336
Big 5 Sporting Goods,Long Beach,420,0420 420,4780 E. Pacific Coast Highway,CA,90804
Big 5 Sporting Goods,Puyallup,423,0423 423,17014 Meridian E,WA,98375
Big 5 Sporting Goods,Redlands,426,0426 426,1573 W. Redlands Blvd.,CA,92373
Big 5 Sporting Goods,Shoreline,429,0429 429,1133 N. 205th Street,WA,98133
Big 5 Sporting Goods,Watsonville,432,0432 432,1083 S. Green Valley Road,CA,95076
Big 5 Sporting Goods,Phoenix,435,0435 435,1919 W. Bell Road,AZ,85023
Big 5 Sporting Goods,Phoenix,438,0438 438,3560 E. Thomas Road,AZ,85018
Big 5 Sporting Goods,El Cerrito,441,0441 441,11060 San Pablo Avenue,CA,94530
Big 5 Sporting Goods,Auburn,444,0444 444,2556 Grass Valley Highway,CA,95603
Big 5 Sporting Goods,Lompoc,447,0447 447,"1512 N. 'h' Street, Suite H",CA,93436
Big 5 Sporting Goods,Capitola,450,0450 450,1600 41st Avenue,CA,95010
Big 5 Sporting Goods,Burlington,453,0453 453,910 S. Burlington Blvd.,WA,98233
Big 5 Sporting Goods,Coeur D'Alene,456,0456 456,101 Best Avenue,ID,83814
Big 5 Sporting Goods,Wenatchee,459,0459 459,144 Easy Way,WA,98801
Big 5 Sporting Goods,Murrieta,462,0462 462,25274 Madison Avenue,CA,92562
Big 5 Sporting Goods,Lodi,465,0465 465,2411 W. Kettleman Lane,CA,95242
Big 5 Sporting Goods,Chandler,468,0468 468,2000 N. Arizona Avenue,AZ,85225
Big 5 Sporting Goods,Encino,471,0471 471,17019 Ventura Blvd.,CA,91316
Big 5 Sporting Goods,Fresno,474,0474 474,4902 E. Kings Canyon Road,CA,93727
Big 5 Sporting Goods,Corona,477,0477 477,320 N. Mckinley Street,CA,92879
Big 5 Sporting Goods,Portland,480,0480 480,12339 S.E. Stark Street,OR,97233
Big 5 Sporting Goods,Medford,483,0483 483,65 E. Stewart Avenue,OR,97501
Big 5 Sporting Goods,El Paso,486,0486 486,8900 Viscount Blvd.,TX,79925
Big 5 Sporting Goods,Albuquerque,489,0489 489,2720 San Mateo Blvd.,NM,87110
Big 5 Sporting Goods,Albuquerque,492,0492 492,1915 Juan Tabo N.E.,NM,87112
