Keywords,city,Agg store_number,store_number,address,state,zip_code
Big Lots,Columbus,1,1 #001 #01 #1 01,2837 Winchester Pike,OH,43232
Big Lots,Augusta,3,3 #003 #03 #3 03,2708 Peach Orchard Road,GA,30906
Big Lots,Englewood,21,21 #0021 #021 #21 021,606 Taywood Road,OH,45322
Big Lots,Athens,29,29 #0029 #029 #29 029,918 East State Street,OH,45701
Big Lots,Bowling Green,30,30 #0030 #030 #30 030,818 South Main Street,OH,43402
Big Lots,Kettering,32,32 #0032 #032 #32 032,2800 Wilmington Pike,OH,45419
Big Lots,Marietta,37,37 #0037 #037 #37 037,13 Acme Street,OH,45750
Big Lots,Portsmouth,42,42 #0042 #042 #42 042,2523 Gallia Street,OH,45662
Big Lots,Toledo,43,43 #0043 #043 #43 043,3410 Glendale Avenue,OH,43614
Big Lots,Oregon,45,45 #0045 #045 #45 045,3365 Navarre Avenue,OH,43616
Big Lots,Milford,49,49 #0049 #049 #49 049,825 Main Street,OH,45150
Big Lots,Winchester,51,51 #0051 #051 #51 051,1090 Millwood Pike,VA,22602
Big Lots,Richmond,57,57 #0057 #057 #57 057,3041 Mechanicsville Pike,VA,23223
Big Lots,Morehead,58,58 #0058 #058 #58 058,370 Kroger Center,KY,40351
Big Lots,Huntington,61,61 #0061 #061 #61 061,800 14th Street West,WV,25704
Big Lots,Fairmont,62,62 #0062 #062 #62 062,1228 Country Club Road,WV,26554
Big Lots,La Grange,64,64 #0064 #064 #64 064,127 Commerce Avenue,GA,30241
Big Lots,Peoria,72,72 #0072 #072 #72 072,3013 North Sterling Avenue,IL,61604
Big Lots,Marion,77,77 #0077 #077 #77 077,1615 Marion Mount Gilead Road,OH,43302
Big Lots,Princeton,82,82 #0082 #082 #82 082,1350 Stafford Drive,WV,24740
Big Lots,Lorain,83,83 #0083 #083 #83 083,1211 Tower Boulevard,OH,44053
Big Lots,Alton,86,86 #0086 #086 #86 086,1751 Homer Adams Parkway,IL,62002
Big Lots,Indianapolis,91,91 #0091 #091 #91 091,5520 Madison Avenue,IN,46227
Big Lots,Reynoldsburg,97,97 #0097 #097 #97 097,1900 Brice Road,OH,43068
Big Lots,Wintersville,98,98 #0098 #098 #98 098,498 Cadiz Road,OH,43953
Big Lots,Bellevue,109,109 #00109 #0109 #109 0109,15 East 6th Street,KY,41073
Big Lots,Waterford,111,111 #00111 #0111 #111 0111,5640 Dixie Highway,MI,48329
Big Lots,Charleston,117,117 #00117 #0117 #117 0117,1401 Sam Rittenberg Boulevard,SC,29407
Big Lots,Bellefontaine,122,122 #00122 #0122 #122 0122,1760 South Main Street,OH,43311
Big Lots,Lafayette,132,132 #00132 #0132 #132 0132,2050 South 22nd Street,IN,47905
Big Lots,Wilmington,134,134 #00134 #0134 #134 0134,1334 Rombach Avenue,OH,45177
Big Lots,Elizabethtown,135,135 #00135 #0135 #135 0135,Sycamore & West Dixie,KY,42701
Big Lots,New Albany,137,137 #00137 #0137 #137 0137,440 New Albany Plaza,IN,47150
Big Lots,Indianapolis,138,138 #00138 #0138 #138 0138,3415 English Avenue,IN,46201
Big Lots,Indianapolis,139,139 #00139 #0139 #139 0139,4711 West 30th Street,IN,46222
Big Lots,Mount Pleasant,141,141 #00141 #0141 #141 0141,Route 7,PA,15666
Big Lots,Sterling Heights,152,152 #00152 #0152 #152 0152,33100 Schoenherr Road,MI,48312
Big Lots,Harrison,153,153 #00153 #0153 #153 0153,10939 New Haven Road,OH,45030
Big Lots,New Castle,157,157 #00157 #0157 #157 0157,2611 Ellwood Road,PA,16101
Big Lots,Mckees Rocks,164,164 #00164 #0164 #164 0164,Chartiers Avenue,PA,15136
Big Lots,Huntington,172,172 #00172 #0172 #172 0172,101 Eastern Heights,WV,25705
Big Lots,Louisville,175,175 #00175 #0175 #175 0175,5318 Bardstown Road,KY,40291
Big Lots,Bowling Green,180,180 #00180 #0180 #180 0180,2445 Nashville Road,KY,42101
Big Lots,Owensboro,182,182 #00182 #0182 #182 0182,4010 Frederica Street,KY,42301
Big Lots,Parkersburg,186,186 #00186 #0186 #186 0186,2107 Pike Street,WV,26101
Big Lots,New Haven,188,188 #00188 #0188 #188 0188,918 Lincoln Highway West,IN,46774
Big Lots,Henderson,190,190 #00190 #0190 #190 0190,1321 2nd Street,KY,42420
Big Lots,Corbin,198,198 #00198 #0198 #198 0198,Highway 25 East,KY,40701
Big Lots,Leechburg,200,200 #00200 #0200 #200 0200,500 Hyde Park Road,PA,15656
