keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Caribou Coffee,Richfield,1278,1278 #1278 AP1278 AR1278 BK1278,Best Buy Corporate Headquarters 2 (not open to the public),MN,55423
Caribou Coffee,Topeka,8080,8080 #8080 AP8080 AR8080 BK8080,2951 SW Wanamaker Road,KS,66614
Caribou Coffee,Indianapolis,8082,8082 #8082 AP8082 AR8082 BK8082,980 West Walnut Street,IN,46202
Caribou Coffee,New Richmond,8119,8119 #8119 AP8119 AR8119 BK8119,110 West 4th Street,WI,54017
Caribou Coffee,Madison,8135,8135 #8135 AP8135 AR8135 BK8135,3801 East Washington Av,WI,53704
Caribou Coffee,Peoria,8155,8155 #8155 AP8155 AR8155 BK8155,4125 Sheridan Road,IL,61614
Caribou Coffee,Iowa City,8174,8174 #8174 AP8174 AR8174 BK8174,1720 Waterfront Dr,IA,52240
Caribou Coffee,Shakopee,8239,8239 #8239 AP8239 AR8239 BK8239,1 Valleyfair Drive,MN,55379
Caribou Coffee,Kansas City,8240,8240 #8240 AP8240 AR8240 BK8240,4545 Northeast Worlds of Fun Drive,MO,64161
Caribou Coffee,Charlotte,8258,8258 #8258 AP8258 AR8258 BK8258,1021 Morehead Medical Drive,NC,28204
Caribou Coffee,Cedar Rapids,8259,8259 #8259 AP8259 AR8259 BK8259,3235 Oakland Road NE,IA,52403
Caribou Coffee,Waukee,8293,8293 #8293 AP8293 AR8293 BK8293,1025 E Hickman Rd,IA,50263
Caribou Coffee,Edina,101,101 #101 AP101 AR101 BK101,4408 France Avenue South,MN,55424
Caribou Coffee,Wayzata,103,103 #103 AP103 AR103 BK103,609 East Lake Street,MN,55391
Caribou Coffee,Minneapolis,104,104 #104 AP104 AR104 BK104,651 Nicollet Mall,MN,55402
Caribou Coffee,Minneapolis,106,106 #106 AP106 AR106 BK106,222 South 9th Street,MN,55402
Caribou Coffee,St. Paul,108,108 #108 AP108 AR108 BK108,2134 Ford Parkway,MN,55116
Caribou Coffee,St. Paul,110,110 #110 AP110 AR110 BK110,1055 Grand Avenue,MN,55105
Caribou Coffee,Minneapolis,111,111 #111 AP111 AR111 BK111,1116 Nicollet Mall,MN,55402
Caribou Coffee,St. Paul,112,112 #112 AP112 AR112 BK112,757 Grand Avenue,MN,55105
Caribou Coffee,Minnetonka,114,114 #114 AP114 AR114 BK114,13081 Ridgedale Drive,MN,55305
Caribou Coffee,St. Louis Park,115,115 #115 AP115 AR115 BK115,3777 Park Center Blvd,MN,55416
Caribou Coffee,Chanhassen,116,116 #116 AP116 AR116 BK116,800 West 78th Street,MN,55317
Caribou Coffee,Edina,117,117 #117 AP117 AR117 BK117,Byerly's,MN,55435
Caribou Coffee,Eden Prairie,118,118 #118 AP118 AR118 BK118,16506 West 78th Street,MN,55344
Caribou Coffee,Roseville,119,119 #119 AP119 AR119 BK119,1601 West County Road C,MN,55113
Caribou Coffee,Burnsville,120,120 #120 AP120 AR120 BK120,Byerly's,MN,55337
Caribou Coffee,St. Louis Park,121,121 #121 AP121 AR121 BK121,5350 Excelsior Boulevard,MN,55416
Caribou Coffee,North Oaks,124,124 #124 AP124 AR124 BK124,113 Village Center Drive,MN,55127
Caribou Coffee,Woodbury,125,125 #125 AP125 AR125 BK125,8320 City Center Drive,MN,55125
Caribou Coffee,Roseville,126,126 #126 AP126 AR126 BK126,2714 Lincoln Drive,MN,55113
Caribou Coffee,Minnetonka,127,127 #127 AP127 AR127 BK127,1808 South Plymouth Road,MN,55305
Caribou Coffee,Edina,128,128 #128 AP128 AR128 BK128,7101 France Avenue,MN,55435
Caribou Coffee,Eagan,129,129 #129 AP129 AR129 BK129,2149 Cliff Road,MN,55122
Caribou Coffee,Minnetonka,130,130 #130 AP130 AR130 BK130,10997 Red Circle Drive,MN,55343
Caribou Coffee,Golden Valley,131,131 #131 AP131 AR131 BK131,5725 Duluth Street,MN,55422
Caribou Coffee,Eagan,132,132 #132 AP132 AR132 BK132,1299 Promenade Place,MN,55121
Caribou Coffee,Maple Grove,133,133 #133 AP133 AR133 BK133,8073 Wedgewood Lane North,MN,55369
Caribou Coffee,St. Louis Park,134,134 #134 AP134 AR134 BK134,1650 Park Place Boulevard,MN,55416
Caribou Coffee,St. Paul,135,135 #135 AP135 AR135 BK135,1959 Suburban Avenue,MN,55119
Caribou Coffee,Edina,136,136 #136 AP136 AR136 BK136,5195 Southdale Center,MN,55435
Caribou Coffee,White Bear Lake,138,138 #138 AP138 AR138 BK138,4733 Highway 61,MN,55110
Caribou Coffee,Coon Rapids,139,139 #139 AP139 AR139 BK139,3536 Main Street,MN,55448
Caribou Coffee,Eagan,141,141 #141 AP141 AR141 BK141,1380 Duckwood Drive #101,MN,55123
Caribou Coffee,Roseville,142,142 #142 AP142 AR142 BK142,Rosedale Center,MN,55113
Caribou Coffee,St. Paul,143,143 #143 AP143 AR143 BK143,444 Cedar Street,MN,55101
Caribou Coffee,Minneapolis,144,144 #144 AP144 AR144 BK144,1450 West Lake Street,MN,55408
Caribou Coffee,Wayzata,145,145 #145 AP145 AR145 BK145,1151 East Wayzata Blvd,MN,55391
Caribou Coffee,Bloomington,146,146 #146 AP146 AR146 BK146,5159 West 98th Street,MN,55437
Caribou Coffee,Plymouth,147,147 #147 AP147 AR147 BK147,3500 Vicksburg Lane,MN,55447
Caribou Coffee,Burnsville,148,148 #148 AP148 AR148 BK148,1100 East County Road 42,MN,55337
Caribou Coffee,Plymouth,150,150 #150 AP150 AR150 BK150,4130 Berkshire Lane,MN,55446
