keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Church's Chicken,San Antonio,2,#2,350 Valley Hi Drive,TX,78227
Church's Chicken,San Antonio,8,#8,1923 Goliad Rd,TX,78223
Church's Chicken,San Antonio,9,#9,3119 SW Military Drive,TX,78224
Church's Chicken,San Antonio,11,#11,219 Zarzamora Street South,TX,78207
Church's Chicken,El Paso,23,#23,5328 Will Ruth Ave,TX,79924
Church's Chicken,Austin,25,#25,1150 Airport Blvd.,TX,78702
Church's Chicken,El Paso,29,#29,812 North Copia Street,TX,79903
Church's Chicken,Port Arthur,30,#30,2000 Gulfway Drive,TX,77640
Church's Chicken,Irving,31,#31,501 N. O'Connor Road,TX,75061
Church's Chicken,Dallas,34,#34,2019 Singleton Blvd,TX,75212
Church's Chicken,Dallas,35,#35,4656 Scyene Road,TX,75210
Church's Chicken,Dallas,36,#36,9116 Bruton Rd,TX,75217
Church's Chicken,Dallas,39,#39,606 N. Hampton Road,TX,75208
Church's Chicken,Beaumont,41,#41,2999 Magnolia,TX,77703
Church's Chicken,Beaumont,43,#43,615 Washington Blvd.,TX,77705
Church's Chicken,Ft. Worth,51,#51,1301 N. W. 28Th,TX,76164
Church's Chicken,Ft. Worth,53,#53,3800 E. Rosedale,TX,76105
Church's Chicken,Ft. Worth,55,#55,2120 W. Seminary,TX,76115
Church's Chicken,Kansas City,57,#57,11500 Blue Ridge Blvd.,MO,64134
Church's Chicken,Montgomery,59,#59,1144 Adams Avenue,AL,36104
Church's Chicken,Ft. Worth,62,#62,1201 E. Berry Street,TX,76110
Church's Chicken,Arlington,68,#68,1000 East Abrams Street,TX,76010
Church's Chicken,Abilene,69,#69,4026 North First,TX,79603
Church's Chicken,San Antonio,73,#73,1318 S. WW White Rd,TX,78220
Church's Chicken,Dallas,80,#80,3605 S. Lancaster Rd,TX,75216
Church's Chicken,Dallas,83,#83,2509 S. Westmoreland Rd.,TX,75211
Church's Chicken,Atlanta,87,#87,200 Cleveland Ave SW,GA,30315
Church's Chicken,Texarkana,91,#91,1700 N. State Line,AR,71854
Church's Chicken,New Orleans,96,#96,2506 St Bernard Ave.,LA,70119
Church's Chicken,Atlanta,98,#98,860 Bankhead Hwy,GA,30318
Church's Chicken,Waco,112,#112,1325 E. Waco Drive,TX,76704
Church's Chicken,Compton,114,#114,217 North Central,CA,90220
Church's Chicken,Irving,115,#115,2530 N. Story Rd,TX,75062
Church's Chicken,Dallas,119,#119,5503 E. Grand Avenue,TX,75223
Church's Chicken,Dayton,121,#121,529 N. Broadway,OH,45402
Church's Chicken,Gadsden,122,#122,300 N. 12th Street,AL,35901
Church's Chicken,Waco,127,#127,1515 S. Valley Mills Drive,TX,76711
Church's Chicken,Los Angeles,128,#128,261 E. Vernon Avenue,CA,90011
Church's Chicken,Kansas City,129,#129,2515 East 12th Street,MO,64127
Church's Chicken,Columbus,130,#130,1406 Main Street,MS,39701
Church's Chicken,Kansas City,131,#131,3900 Indiana Street,MO,64130
Church's Chicken,Austin,134,#134,1623 East 7Th Street,TX,78702
Church's Chicken,Kansas City,136,#136,5500 Prospect Avenue,MO,64130
Church's Chicken,Birmingham,142,#142,"3052 Jefferson Avenue, Sw",AL,35211
Church's Chicken,Durham,143,#143,3400 Roxboro Street,NC,27704
Church's Chicken,Tucson,145,#145,402 W. Valencia,AZ,85706
Church's Chicken,Tuscaloosa,146,#146,1801 Greensboro,AL,35401
Church's Chicken,Los Angeles,147,#147,1811 W. Jefferson Blvd.,CA,90018
Church's Chicken,Anderson,148,#148,102 W Shockley Ferry Rd.,SC,29624
Church's Chicken,San Marcos,149,#149,656 East Hopkins Street,TX,78666
Church's Chicken,Memphis,150,#150,3077 Thomas Street,TN,38127
Church's Chicken,Kansas City,152,#152,2401 Van Brunt Blvd.,MO,64127
Church's Chicken,Dayton,158,#158,2443 N. Gettysburg,OH,45406
Church's Chicken,Birmingham,160,#160,"1136 25Th Street, North",AL,35234
Church's Chicken,St. Louis,161,#161,2615 N. Florissant Avenue,MO,63106
Church's Chicken,Shreveport,164,#164,1612 North Market Street,LA,71107
Church's Chicken,Lake Charles,165,#165,1220 Hwy 171 North,LA,70601
Church's Chicken,Atlanta,168,#168,1405 Moreland Ave SE,GA,30316
Church's Chicken,Long Beach,171,#171,1199 East Anaheim,CA,90813
Church's Chicken,Dayton,174,#174,1113 N. Gettysburg,OH,45417
Church's Chicken,Dayton,175,#175,2131 W. 3rd Street,OH,45417
Church's Chicken,Oakland,181,#181,4155 Telegraph Avenue,CA,94609
Church's Chicken,Oakland,182,#182,7301 Bancroft Avenue,CA,94605
Church's Chicken,Berkeley,184,#184,1200 San Pablo Avenue,CA,94706
Church's Chicken,El Cerrito,185,#185,11575 San Pablo Avenue,CA,94530
Church's Chicken,Seaside,187,#187,1390 Fremont Blvd.,CA,93955
Church's Chicken,Oakland,188,#188,345 East 18th Street,CA,94606
Church's Chicken,Ft. Worth,190,#190,3344 Lackland Road,TX,76116
Church's Chicken,Weslaco,197,#197,205 West Business. Hwy 83 (South Texas),TX,78596
Church's Chicken,Dallas,201,#201,10295 Ferguson Rd,TX,75228
Church's Chicken,Independence,212,#212,701 N. Noland,MO,64050
Church's Chicken,Birmingham,215,#215,7529 1st Ave. N,AL,35206
Church's Chicken,Birmingham,217,#217,2501 East Ensley Avenue,AL,35218
Church's Chicken,Orange,218,#218,1322 N. 16Th Street,TX,77630
Church's Chicken,Dallas,224,#224,2410 S. Zang Blvd,TX,75224
Church's Chicken,Kansas City,225,#225,4601 Ne Vivion Rd.,MO,64119
Church's Chicken,Beaumont,228,#228,2780 Washington Blvd.,TX,77705
Church's Chicken,Austin,231,#231,6425 Burnet Rd.,TX,78757
Church's Chicken,Birmingham,233,#233,"9929 Parkway, East",AL,35215
Church's Chicken,Beaumont,235,#235,3095 Calder Avenue,TX,77702
Church's Chicken,Kansas City,236,#236,1222 Central Avenue,KS,66102
Church's Chicken,Bessemer,237,#237,1801 Carolina Ave.,AL,35020
Church's Chicken,Indianapolis,238,#238,2501 N. Keystone,IN,46218
Church's Chicken,Haltom City,239,#239,3900 NE 28th Street,TX,76111
Church's Chicken,El Paso,245,#245,338 North Zaragosa,TX,79907
Church's Chicken,Indianapolis,250,#250,5443 East 21st Street,IN,46218
Church's Chicken,Little Rock,254,#254,1401 Dr Martin Luther King Dr.,AR,72202
Church's Chicken,Chicago,259,#259,200 East 103rd Street,IL,60628
Church's Chicken,Indianapolis,261,#261,3860 North College,IN,46205
Church's Chicken,Indianapolis,262,#262,2502 Martin Luther King,IN,46208
Church's Chicken,Indianapolis,265,#265,3863 North Post Road,IN,46226
Church's Chicken,Akron,269,#269,1261 Copley,OH,44320
Church's Chicken,Indianapolis,274,#274,2964 S. Shelby,IN,46203
