Keywords,city,Agg store_number,store_number,address,state,zip_code
Dairy Queen,BUFFALO,10001,10001 #010001 #10001,912 S ASH ST,MO,65622-9317
Dairy Queen,BLOOMINGTON,10002,10002 #010002 #10002,1718 S MAIN ST,IL,61701-6766
Dairy Queen,ARCOLA,10003,10003 #010003 #10003,601 E SPRINGFIELD RD,IL,61910-1804
Dairy Queen,COLUMBIA CITY,10005,10005 #010005 #10005,409 N MAIN ST,IN,46725-1311
Dairy Queen,BRAZIL,10006,10006 #010006 #10006,20 S UNION ST,IN,47834-2454
Dairy Queen,DENISON,10008,10008 #010008 #10008,1015 4TH AVE S,IA,51442-2429
Dairy Queen,DODGE CITY,10009,10009 #010009 #10009,1700 W WYATT EARP BLVD,KS,67801-3256
Dairy Queen,FARMINGTON,10010,10010 #010010 #10010,705 WILLOW ST,MN,55024-1147
Dairy Queen,ELY,10011,10011 #010011 #10011,1441 E SHERIDAN ST,MN,55731-1744
Dairy Queen,FARIBAULT,10012,10012 #010012 #10012,309 LYNDALE AVE N,MN,55021-4851
Dairy Queen,LAKE GENEVA,10017,10017 #010017 #10017,836 S WELLS ST,WI,53147-2446
Dairy Queen,KITTERY,10019,10019 #010019 #10019,174 STATE RD,ME,03904-1536
Dairy Queen,PEMBROKE,10020,10020 #010020 #10020,412 NW RAILROAD ST (HWY 280),GA,31321
Dairy Queen,ONAWAY,10021,10021 #010021 #10021,20560 STATE ST,MI,49765-8665
Dairy Queen,EASTPOINTE,10022,10022 #010022 #10022,17207 E 9 MILE RD,MI,48021-2554
Dairy Queen,SEYMOUR,10028,10028 #010028 #10028,321 E STATE HIGHWAY 54,WI,54165-1905
Dairy Queen,ROMNEY,10029,10029 #010029 #10029,450 W MAIN ST,WV,26757-1537
Dairy Queen,EVANSVILLE,10030,10030 #010030 #10030,4830 UNIVERSITY DR,IN,47712-6584
Dairy Queen,DYERSVILLE,10031,10031 #010031 #10031,640 16TH AVE SE,IA,52040-2049
Dairy Queen,UNION CITY,10034,10034 #010034 #10034,6627 ROOSEVELT HWY,GA,30291-1640
Dairy Queen,PEACHTREE CITY,10036,10036 #010036 #10036,300 PETROL POINTE,GA,30269-1551
Dairy Queen,DANVILLE,10037,10037 #010037 #10037,135 JANE TR,KY,40422-9403
Dairy Queen,MISSOURI CITY,10039,10039 #010039 #10039,5801 HWY 6 S,TX,77459-4065
Dairy Queen,BRENHAM,10041,10041 #010041 #10041,2254 HWY 290 W,TX,77833-9139
Dairy Queen,BRIDGEPORT,10047,10047 #010047 #10047,949 HUNTINGTON RD,CT,06610-1716
Dairy Queen,CHESHIRE,10049,10049 #010049 #10049,1062 S MAIN ST,CT,06410-3444
Dairy Queen,CLIO,10050,10050 #010050 #10050,3450 W VIENNA RD,MI,48420-1373
Dairy Queen,FAIRFIELD,10053,10053 #010053 #10053,1902 POST RD,CT,06824-5720
Dairy Queen,KENSINGTON,10056,10056 #010056 #10056,806 FARMINGTON AVE,CT,06037-1303
Dairy Queen,MANCHESTER,10057,10057 #010057 #10057,684 HARTFORD RD,CT,06040-4722
Dairy Queen,MERIDEN,10059,10059 #010059 #10059,956 BROAD ST,CT,06450-3471
Dairy Queen,PORTLAND,10061,10061 #010061 #10061,870 PORTLAND COBALT RD,CT,06480-1731
Dairy Queen,WESTMINSTER,10062,10062 #010062 #10062,774 W 120TH AVE,CO,80234-2706
Dairy Queen,CAMBRIDGE,10063,10063 #010063 #10063,RTE 50 320 SUNBURST,MD,21613-2506
