keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Dickey's Barbecue Pit,Dallas,1,1 XX-1 XX1 XX-001 XX001 XX01 XX01X XX-1XXX,4610 N. Central Expressway,TX,75206
Dickey's Barbecue Pit,Plano,2,2 XX-2 XX2 XX-002 XX002 XX02 XX02X XX-2XXX,1211 14th Street,TX,75074
Dickey's Barbecue Pit,Grand Prairie,3,3 XX-3 XX3 XX-003 XX003 XX03 XX03X XX-3XXX,2469 Dalworth Street,TX,75050
Dickey's Barbecue Pit,Dallas,4,4 XX-4 XX4 XX-004 XX004 XX04 XX04X XX-4XXX,7770 Forest Lane,TX,75230
Dickey's Barbecue Pit,Dallas,5,5 XX-5 XX5 XX-005 XX005 XX05 XX05X XX-5XXX,2445 W. Northwest Highway Ste 106,TX,75220
Dickey's Barbecue Pit,Plano,6,6 XX-6 XX6 XX-006 XX006 XX06 XX06X XX-6XXX,1441 Coit Road,TX,75075
Dickey's Barbecue Pit,Dallas,7,7 XX-7 XX7 XX-007 XX007 XX07 XX07X XX-7XXX,2919 Forest Lane,TX,75234
Dickey's Barbecue Pit,Dallas,8,8 XX-8 XX8 XX-008 XX008 XX08 XX08X XX-8XXX,14999 Preston Road Ste 100C,TX,75254
Dickey's Barbecue Pit,Mesquite,9,9 XX-9 XX9 XX-009 XX009 XX09 XX09X XX-9XXX,3700 Gus Thomasson,TX,75150
Dickey's Barbecue Pit,Irving,10,10 XX-10 XX10 XX-0010 XX0010 XX010 XX010X XX-10XXX,5330 N. MacArthur Boulevard,TX,75038
Dickey's Barbecue Pit,Richardson,11,11 XX-11 XX11 XX-0011 XX0011 XX011 XX011X XX-11XXX,1150 North Plano Road,TX,75081
Dickey's Barbecue Pit,DFW Airport,12,12 XX-12 XX12 XX-0012 XX0012 XX012 XX012X XX-12XXX,"D/FW Airport, Terminal A, Gate 19",TX,75261
Dickey's Barbecue Pit,DFW Airport,13,13 XX-13 XX13 XX-0013 XX0013 XX013 XX013X XX-13XXX,"D/FW Airport, Terminal C, Gate 6",TX,75261
Dickey's Barbecue Pit,DFW Airport,14,14 XX-14 XX14 XX-0014 XX0014 XX014 XX014X XX-14XXX,"D/FW Airport, Terminal E, Gate 12",TX,75261
Dickey's Barbecue Pit,Centennial,15,15 XX-15 XX15 XX-0015 XX0015 XX015 XX015X XX-15XXX,10230 E. Arapahoe Road,CO,80112
Dickey's Barbecue Pit,Plano,16,16 XX-16 XX16 XX-0016 XX0016 XX016 XX016X XX-16XXX,4032 Preston Road,TX,75093
Dickey's Barbecue Pit,Dallas,17,17 XX-17 XX17 XX-0017 XX0017 XX017 XX017X XX-17XXX,726 N. Harwood,TX,75201
Dickey's Barbecue Pit,Dallas,18,18 XX-18 XX18 XX-0018 XX0018 XX018 XX018X XX-18XXX,2324 McKinney Avenue,TX,75201
Dickey's Barbecue Pit,DeSoto,19,19 XX-19 XX19 XX-0019 XX0019 XX019 XX019X XX-19XXX,1001 N. Beckley Ste 116A,TX,75115
Dickey's Barbecue Pit,Coppell,20,20 XX-20 XX20 XX-0020 XX0020 XX020 XX020X XX-20XXX,801 South Denton Tap Road,TX,75019
Dickey's Barbecue Pit,Allen,21,21 XX-21 XX21 XX-0021 XX0021 XX021 XX021X XX-21XXX,405 Central Expressway South,TX,75013
Dickey's Barbecue Pit,Rowlett,22,22 XX-22 XX22 XX-0022 XX0022 XX022 XX022X XX-22XXX,1700 Dalrock Road,TX,75088
Dickey's Barbecue Pit,The Colony,23,23 XX-23 XX23 XX-0023 XX0023 XX023 XX023X XX-23XXX,5745 E. TX-121,TX,75056
Dickey's Barbecue Pit,Arlington,24,24 XX-24 XX24 XX-0024 XX0024 XX024 XX024X XX-24XXX,5530 S. Cooper,TX,76017
Dickey's Barbecue Pit,Arlington,25,25 XX-25 XX25 XX-0025 XX0025 XX025 XX025X XX-25XXX,1801 Ballpark Way,TX,76006
Dickey's Barbecue Pit,Fort Worth,26,26 XX-26 XX26 XX-0026 XX0026 XX026 XX026X XX-26XXX,1989 Colonial Parkway,TX,76110
Dickey's Barbecue Pit,Fort Worth,27,27 XX-27 XX27 XX-0027 XX0027 XX027 XX027X XX-27XXX,451 University Drive,TX,76107
Dickey's Barbecue Pit,Keller,28,28 XX-28 XX28 XX-0028 XX0028 XX028 XX028X XX-28XXX,711 Keller Parkway,TX,76248
Dickey's Barbecue Pit,Dallas,29,29 XX-29 XX29 XX-0029 XX0029 XX029 XX029X XX-29XXX,1201 Elm Street Ste LL5,TX,75270
Dickey's Barbecue Pit,Sherman,31,31 XX-31 XX31 XX-0031 XX0031 XX031 XX031X XX-31XXX,529 W. Lamar Street,TX,75090
Dickey's Barbecue Pit,Frisco,32,32 XX-32 XX32 XX-0032 XX0032 XX032 XX032X XX-32XXX,7070 Preston Rd.,TX,75034
Dickey's Barbecue Pit,Forney,33,33 XX-33 XX33 XX-0033 XX0033 XX033 XX033X XX-33XXX,120 E. Highway 80,TX,75126
Dickey's Barbecue Pit,McKinney,34,34 XX-34 XX34 XX-0034 XX0034 XX034 XX034X XX-34XXX,600 N. Central Expressway,TX,75070
Dickey's Barbecue Pit,Waxahachie,35,35 XX-35 XX35 XX-0035 XX0035 XX035 XX035X XX-35XXX,1009 Highway 77 North,TX,75165
Dickey's Barbecue Pit,Dallas,37,37 XX-37 XX37 XX-0037 XX0037 XX037 XX037X XX-37XXX,3254 Irving Blvd.,TX,75247
