keywords,city,Aggdata Store Number,store_number,address,state,zip_code
El Pollo Loco,Santa Maria,3629,#3629 #3629QPS 3629 000003629,305 E. Betteravia Rd.,CA,93454
El Pollo Loco,Inglewood,3214,#3214 #3214QPS 3214 000003214,3125 W Century Blvd,CA,90303
El Pollo Loco,Tustin,3227,#3227 #3227QPS 3227 000003227,3002 El Camino Real,CA,92782
El Pollo Loco,Buena Park,3228,#3228 #3228QPS 3228 000003228,6041 La Palma,CA,90620
El Pollo Loco,Laguna Niguel,3235,#3235 #3235QPS 3235 000003235,28261 Crown Valley Pkwy,CA,92677
El Pollo Loco,Buena Park,3260,#3260 #3260QPS 3260 000003260,5251 Beach Blvd,CA,90621
El Pollo Loco,Los Angeles,3262,#3262 #3262QPS 3262 000003262,2201 North Broadway,CA,90031
El Pollo Loco,Norwalk,3294,#3294 #3294QPS 3294 000003294,11473-75 Rosecrans Ave,CA,90650
El Pollo Loco,Hollywood,3295,#3295 #3295QPS 3295 000003295,8154 Sunset Blvd,CA,90046
El Pollo Loco,Los Angeles,3301,#3301 #3301QPS 3301 000003301,1833 S La Cienega Blvd A,CA,90035
El Pollo Loco,Pico Rivera,3303,#3303 #3303QPS 3303 000003303,9431 Slauson Ave,CA,90660
El Pollo Loco,Baldwin Park,3305,#3305 #3305QPS 3305 000003305,14455 Ramona Blvd,CA,91706
El Pollo Loco,Indio,3314,#3314 #3314QPS 3314 000003314,81901 Highway 111,CA,92201
El Pollo Loco,San Jose,3323,#3323 #3323QPS 3323 000003323,1299 S Winchester,CA,95128
El Pollo Loco,Anaheim,3324,#3324 #3324QPS 3324 000003324,2671 W. La Palma Ave.,CA,92801
El Pollo Loco,San Diego,3328,#3328 #3328QPS 3328 000003328,5415 El Cajon Blvd,CA,92115
El Pollo Loco,Whittier,3332,#3332 #3332QPS 3332 000003332,14227 E Whittier Blvd,CA,90605
El Pollo Loco,Chula Vista,3335,#3335 #3335QPS 3335 000003335,666 H St,CA,91945
El Pollo Loco,Hawthorne,3341,#3341 #3341QPS 3341 000003341,14308-14312 Ocean Gate Dr,CA,90250
El Pollo Loco,El Monte,3344,#3344 #3344QPS 3344 000003344,4794 Peck Rd,CA,91732
El Pollo Loco,Los Angeles,3348,#3348 #3348QPS 3348 000003348,2000 Cesar E Chavez Ave,CA,90033
El Pollo Loco,Rowland Heights,3359,#3359 #3359QPS 3359 000003359,1343 Nogales St,CA,91748
El Pollo Loco,Los Angeles,3364,#3364 #3364QPS 3364 000003364,12860 Washington Blvd,CA,90066
El Pollo Loco,Pico Rivera,3365,#3365 #3365QPS 3365 000003365,5090 Rosemead Blvd,CA,90660
El Pollo Loco,Los Angeles,3369,#3369 #3369QPS 3369 000003369,912 North Vermont,CA,90027
El Pollo Loco,Sunland,3374,#3374 #3374QPS 3374 000003374,7851 Foothill Blvd,CA,91040
El Pollo Loco,Whittier,3375,#3375 #3375QPS 3375 000003375,10100 Carmenita Rd,CA,90605
El Pollo Loco,Woodland Hills,3380,#3380 #3380QPS 3380 000003380,19762 Ventura Blvd,CA,91364
El Pollo Loco,Costa Mesa,3391,#3391 #3391QPS 3391 000003391,3131 Harbor Blvd,CA,92626
El Pollo Loco,Long Beach,3392,#3392 #3392QPS 3392 000003392,2200 Clark Ave,CA,90815
El Pollo Loco,Agoura Hills,3394,#3394 #3394QPS 3394 000003394,5050 Kanan Rd,CA,91301
El Pollo Loco,Oxnard,3401,#3401 #3401QPS 3401 000003401,3750 W 5th St,CA,93030
El Pollo Loco,Salinas,3404,#3404 #3404QPS 3404 000003404,1259 N Davis Rd,CA,93907
El Pollo Loco,Venice,3409,#3409 #3409QPS 3409 000003409,1411 Lincoln Blvd,CA,90291
El Pollo Loco,San Bernardino,3413,#3413 #3413QPS 3413 000003413,1998 E Highland Ave,CA,92404
El Pollo Loco,Pasadena,3414,#3414 #3414QPS 3414 000003414,1449 E Colorado Blvd,CA,91106
El Pollo Loco,Chino Hills,3417,#3417 #3417QPS 3417 000003417,4200 Chino Hills Pkwy,CA,91709
El Pollo Loco,Fullerton,3420,#3420 #3420QPS 3420 000003420,200 E Orangethorpe Ave,CA,92832
El Pollo Loco,Lakewood,3421,#3421 #3421QPS 3421 000003421,5935 South St,CA,90713
El Pollo Loco,Merced,3424,#3424 #3424QPS 3424 000003424,613 W Olive Ave,CA,95348
El Pollo Loco,Reseda,3425,#3425 #3425QPS 3425 000003425,6752 Reseda Blvd,CA,91335
El Pollo Loco,Lemon Grove,3429,#3429 #3429QPS 3429 000003429,7087 Broadway,CA,91945
El Pollo Loco,National City,3430,#3430 #3430QPS 3430 000003430,1710 Highland Ave,CA,91950
El Pollo Loco,Encinitas,3431,#3431 #3431QPS 3431 000003431,1002 N El Camino Real,CA,92024
El Pollo Loco,Reno,3439,#3439 #3439QPS 3439 000003439,10320 N Mccarran Blvd,NV,89503
El Pollo Loco,Paramount,3441,#3441 #3441QPS 3441 000003441,6833 E Alondra Blvd,CA,90723
El Pollo Loco,Lake Forest,3442,#3442 #3442QPS 3442 000003442,20163 Lake Forest Dr,CA,92630
El Pollo Loco,Artesia,3448,#3448 #3448QPS 3448 000003448,16707 Pioneer Blvd,CA,90701
El Pollo Loco,Temple City,3449,#3449 #3449QPS 3449 000003449,9974 Las Tunas Dr,CA,91780
El Pollo Loco,Anaheim,3450,#3450 #3450QPS 3450 000003450,969 S Euclid St,CA,92802
El Pollo Loco,Ventura,3451,#3451 #3451QPS 3451 000003451,1722 S Victoria,CA,93003
El Pollo Loco,Bellflower,3454,#3454 #3454QPS 3454 000003454,10200 Alondra Blvd,CA,90706
El Pollo Loco,San Juan Capistrano,3456,#3456 #3456QPS 3456 000003456,33953 Doheny Park Rd,CA,92675
El Pollo Loco,Van Nuys,3457,#3457 #3457QPS 3457 000003457,17240 Saticoy St,CA,91406
El Pollo Loco,Newport Beach,3458,#3458 #3458QPS 3458 000003458,2232 S Bristol St,CA,92660
El Pollo Loco,Upland,3459,#3459 #3459QPS 3459 000003459,760 E Foothill Blvd,CA,91786
El Pollo Loco,La Mirada,3460,#3460 #3460QPS 3460 000003460,16410 S Valley View Ave,CA,90638
El Pollo Loco,Mcallen,3463,#3463 #3463QPS 3463 000003463,601 Nolana Loop,TX,78501
El Pollo Loco,Arcadia,3465,#3465 #3465QPS 3465 000003465,1 W Duarte Rd,CA,91007
El Pollo Loco,Victorville,3468,#3468 #3468QPS 3468 000003468,14401 Bear Valley Rd,CA,92392
El Pollo Loco,Anaheim,3470,#3470 #3470QPS 3470 000003470,1076 N Tustin Ave,CA,92807
El Pollo Loco,Cypress,3471,#3471 #3471QPS 3471 000003471,5959 Cerritos Blvd,CA,90630
El Pollo Loco,Richmond,3472,#3472 #3472QPS 3472 000003472,13139 San Pablo Ave,CA,94805
El Pollo Loco,Bakersfield,3475,#3475 #3475QPS 3475 000003475,3701 California Ave,CA,93309
El Pollo Loco,Bakersfield,3476,#3476 #3476QPS 3476 000003476,2000 White Ln,CA,93304
El Pollo Loco,Lake Elsinore,3477,#3477 #3477QPS 3477 000003477,31550 Grape St,CA,92532
El Pollo Loco,Oakland,3480,#3480 #3480QPS 3480 000003480,2506 International Blvd,CA,94601
El Pollo Loco,Concord,3481,#3481 #3481QPS 3481 000003481,4401 Clayton Rd,CA,94521
El Pollo Loco,San Jose,3482,#3482 #3482QPS 3482 000003482,1090 S White Rd,CA,95127
El Pollo Loco,San Diego,3483,#3483 #3483QPS 3483 000003483,11895 Carmel Mountain Rd,CA,92128
El Pollo Loco,San Diego,3484,#3484 #3484QPS 3484 000003484,10715 Scripps Poway Pkwy,CA,92131
El Pollo Loco,Ontario,3489,#3489 #3489QPS 3489 000003489,4290 E 4th St,CA,91764
El Pollo Loco,Vista,3492,#3492 #3492QPS 3492 000003492,495 S Melrose Dr,CA,92081
El Pollo Loco,San Diego,3493,#3493 #3493QPS 3493 000003493,12847 El Camino Real,CA,92130
El Pollo Loco,Murrieta,3494,#3494 #3494QPS 3494 000003494,40468 Murrieta Hot Springs Rd,CA,92563
El Pollo Loco,Costa Mesa,3497,#3497 #3497QPS 3497 000003497,1941 Harbor Blvd,CA,92627
El Pollo Loco,Yucaipa,3499,#3499 #3499QPS 3499 000003499,33478 Yucaipa Blvd,CA,92399
