Keywords,city,agg store_number,store_number,address,state,zip_code
Fuddruckers,San Antonio,1,1 #1 X1 XX1,8602 Botts Lane,TX,78217
Fuddruckers,San Antonio,3,3 #3 X3 XX3,9845 IH-10 West,TX,78230
Fuddruckers,Spring,4,4 #4 X4 XX4,7724 Louetta Road,TX,77379
Fuddruckers,Houston,5,5 #5 X5 XX5,7511 FM 1960 West,TX,77070
Fuddruckers,San Antonio,6,6 #6 X6 XX6,"11654 Bandera Road, Suite 114",TX,78250
Fuddruckers,Houston,7,7 #7 X7 XX7,Northwood 403 Greens Road,TX,77060
Fuddruckers,Houston,8,8 #8 X8 XX8,2040 Nasa Road One,TX,77058
Fuddruckers,Houston,9,9 #9 X9 XX9,855 Normandy,TX,77015
Fuddruckers,Houston,13,13 #13 X13 XX13,2475 Kirkwood,TX,77077
Fuddruckers,Houston,14,14 #14 X14 XX14,10101 South Post Oak Rd.,TX,77096
Fuddruckers,Phoenix,23,23 #23 X23 XX23,8941 North Black Canyon Hwy.,AZ,85021
Fuddruckers,Woodlands,24,24 #24 X24 XX24,2290 Buckthorn Place,TX,77381
Fuddruckers,Galveston,25,25 #25 X25 XX25,111 23rd St.,TX,77550
Fuddruckers,Houston,26,26 #26 X26 XX26,11950 Kurland,TX,77034
Fuddruckers,Lake Forest,32,32 #32 X32 XX32,23621 El Toro Road,CA,92630
Fuddruckers,Billings,39,39 #39 X39 XX39,Homestead Business Park 2011 Overland Ave,MT,59106
Fuddruckers,Bloomington,43,43 #43 X43 XX43,3801 Minnesota Dr.,MN,55435
Fuddruckers,Marietta,47,47 #47 X47 XX47,3000 Windy Hill Road,GA,30067
Fuddruckers,Brookfield,53,53 #53 X53 XX53,16065 West Bluemound,WI,53005
Fuddruckers,Chula Vista,55,55 #55 X55 XX55,340 3rd Ave.,CA,91910
Fuddruckers,Highland Park,57,57 #57 X57 XX57,1538 Clavey Road,IL,60035
Fuddruckers,Waco,58,58 #58 X58 XX58,1411-A North Valley Mills Dr.,TX,76710
Fuddruckers,Midland,61,61 #61 X61 XX61,4511 North Midkiff Rd #C-22,TX,79705
Fuddruckers,La Mesa,62,62 #62 X62 XX62,"5500 Grossmont Center Dr., Ste 418",CA,91942
Fuddruckers,Downers Grove North,67,67 #67 X67 XX67,1500 Branding Lane,IL,60515
Fuddruckers,Annapolis,68,68 #68 X68 XX68,175 Jennifer Road,MD,21401
Fuddruckers,Lakewood,78,78 #78 X78 XX78,5229 Clark Ave,CA,90712
Fuddruckers,San Diego,81,81 #81 X81 XX81,8285 Mira Mesa Blvd.-Mira Mesa Shopping Ctr,CA,92126
Fuddruckers,San Antonio,84,84 #84 X84 XX84,115 Alamo Plaza,TX,78205
Fuddruckers,Spartanburg,87,87 #87 X87 XX87,1509 John B White Sr. Blvd.,SC,29301
Fuddruckers,Matteson,90,90 #90 X90 XX90,300 Town Center,IL,60443
Fuddruckers,Wayne,93,93 #93 X93 XX93,1813 Route 23 S.,NJ,7470
Fuddruckers,Columbia,97,97 #97 X97 XX97,1801 Bush River Road,SC,29210
Fuddruckers,Flint,99,99 #99 X99 XX99,2373 Austin Parkway,MI,48504
Fuddruckers,Tucson,103,103 #103 X103 XX103,6118 East Speedway Blvd,AZ,85712
Fuddruckers,Sterling Heights,104,104 #104 X104 XX104,40955 Van Dyke,MI,48313
Fuddruckers,Calumet City,105,105 #105 X105 XX105,1990 River Oaks Dr.,IL,60409
Fuddruckers,San Antonio,106,106 #106 X106 XX106,6759 Northwest Loop 410,TX,78238
Fuddruckers,Asheville,116,116 #116 X116 XX116,(Asheville)130 Charlotte Street,NC,28801
Fuddruckers,Plano,118,118 #118 X118 XX118,"741 N. Central Expressway,Suite 100",TX,75075
Fuddruckers,Lake Oswego,122,122 #122 X122 XX122,(Lake Oswego)17815 S. W. 65th,OR,97034
Fuddruckers,Schaumburg,126,126 #126 X126 XX126,436 East Golf Road,IL,60173
Fuddruckers,Saint Louis,132,132 #132 X132 XX132,10752 Sunset Plaza,MO,63127
Fuddruckers,Burbank,136,136 #136 X136 XX136,221 North San Fernando Blvd.,CA,91502
Fuddruckers,Omaha,139,139 #139 X139 XX139,7059 Dodge Street,NE,68132
Fuddruckers,Buena Park,143,143 #143 X143 XX143,7802 Orangethorpe Ave.,CA,90621
Fuddruckers,Saugus,151,151 #151 X151 XX151,"900 Broadway, Rt 1 North",MA,1906
Fuddruckers,Concord,161,161 #161 X161 XX161,"1975 Diamond Blvd, E-260",CA,94520
Fuddruckers,Rockville,174,174 #174 X174 XX174,1592A Rockville Pike,MD,20852
Fuddruckers,Sioux Falls,183,183 #183 X183 XX183,3101 West 41st Street,SD,57105
Fuddruckers,Greenville,184,184 #184 X184 XX184,1147 Woodruff Road,SC,29607
Fuddruckers,Fairfax,199,199 #199 X199 XX199,3575 Chain Bridge Road,VA,22030
Fuddruckers,Parsippany,204,204 #204 X204 XX204,3159 Route 46 East,NJ,7054
Fuddruckers,Myrtle Beach,215,215 #215 X215 XX215,2101 N. King's Hwy.,SC,29577
Fuddruckers,Kennesaw,223,223 #223 X223 XX223,2708 Town Center Dr.,GA,30144
Fuddruckers,Houston,231,231 #231 X231 XX231,10500 Town and Country Way,TX,77024
Fuddruckers,Kingwood,232,232 #232 X232 XX232,4360 Kingwood Dr.,TX,77339
Fuddruckers,Alpharetta,233,233 #233 X233 XX233,6360 Northpoint Parkway,GA,30022
Fuddruckers,Temple,234,234 #234 X234 XX234,3111 South 31st Street #3321,TX,76502
Fuddruckers,Tempe,235,235 #235 X235 XX235,7470 South Priest Dr.,AZ,85283
Fuddruckers,Laredo,241,241 #241 X241 XX241,711 West Hillside,TX,78041
Fuddruckers,Houston,246,246 #246 X246 XX246,13010 North West Freeway,TX,77040
Fuddruckers,McAllen,254,254 #254 X254 XX254,111 East Nolana,TX,78501
Fuddruckers,Glendale,256,256 #256 X256 XX256,7704 West Bell Road,AZ,85308
Fuddruckers,Pearland,258,258 #258 X258 XX258,11023 Shadow Creek Parkway,TX,77584
Fuddruckers,Katy,259,259 #259 X259 XX259,24033 Cinco Ranch Blvd.,TX,77494
Fuddruckers,Austin,261,261 #261 X261 XX261,409 W. Slaughter Lane,TX,78748
Fuddruckers,Missoula,265,265 #265 X265 XX265,2805 North Reserve,MT,59808
Fuddruckers,Matthews,267,267 #267 X267 XX267,(Matthews)1643 Matthews-Township Pkwy,NC,28105
Fuddruckers,Caguas,268,268 #268 X268 XX268,"Rafael Cordero Avenue, Street #30",PR,725
Fuddruckers,Houston,269,269 #269 X269 XX269,7250 Hwy. 6 North,TX,77095
Fuddruckers,Mesa,278,278 #278 X278 XX278,6455 East Southern Ave.,AZ,85206
Fuddruckers,Owings Mills,281,281 #281 X281 XX281,11515 Reisterstown Road,MD,21117
Fuddruckers,North Andover,284,284 #284 X284 XX284,"550 Turnpike Street, Rt 114",MA,1845
Fuddruckers,Houston,286,286 #286 X286 XX286,3929 Southwest Freeway,TX,77027
Fuddruckers,Greensboro,299,299 #299 X299 XX299,4411 West Wendover Ave.,NC,27407
Fuddruckers,Stafford,302,302 #302 X302 XX302,11445 Fountain Lake Dr.,TX,77477
Fuddruckers,Beaumont,307,307 #307 X307 XX307,4545 Dowlen Rd,TX,77708
Fuddruckers,Killeen,309,309 #309 X309 XX309,"2301 East Central TX Expwy, Ste 106",TX,76543
Fuddruckers,Jacksonville,310,310 #310 X310 XX310,253 Western Ave.,NC,28546
Fuddruckers,Walnut Creek,311,311 #311 X311 XX311,1940 North Main Street,CA,94526
Fuddruckers,Dallas,314,314 #314 X314 XX314,"5500 Greenville Ave., Suite 505",TX,75206
Fuddruckers,Carolina,315,315 #315 X315 XX315,"Interstate PR-3, Canovanillas",PR,987
Fuddruckers,Sevierville,320,320 #320 X320 XX320,168 Collier Dr.,TN,37862
Fuddruckers,Albuquerque,324,324 #324 X324 XX324,4855 Pan American Freeway,NM,87109
Fuddruckers,Dallas,325,325 #325 X325 XX325,"4520 Frankford Road, Suite #1200",TX,75287
Fuddruckers,Great Falls,326,326 #326 X326 XX326,3315 10th Ave. South,MT,59405
Fuddruckers,Bozeman,327,327 #327 X327 XX327,2905 West Main St.,MT,59718
Fuddruckers,Hummelstown,332,332 #332 X332 XX332,(Hershey)1221 West Chocolate,PA,17036
Fuddruckers,Johnson City,333,333 #333 X333 XX333,2519 Knob Creek Road,TN,37604
Fuddruckers,Billings,336,336 #336 X336 XX336,300 South 24th Street West,MT,59102
Fuddruckers,San Juan,337,337 #337 X337 XX337,"Ashford Avenue, #1451, Condado",PR,907
Fuddruckers,Grapevine,340,340 #340 X340 XX340,2001 N. Highway 121,TX,76501
Fuddruckers,Myrtle Beach,343,343 #343 X343 XX343,10435 North King's Hwy.,SC,29572
Fuddruckers,Albuquerque,344,344 #344 X344 XX344,2120 Yale Blvd.,NM,87106
Fuddruckers,Union City,347,347 #347 X347 XX347,32175 Union Landing Blvd,CA,94587
Fuddruckers,Ft Worth,348,348 #348 X348 XX348,5601 Southwest Loop 820,TX,76132
Fuddruckers,Washington,350,350 #350 X350 XX350,734 7th Street NW,DC,20001
Fuddruckers,Columbia,353,353 #353 X353 XX353,6486 Dobbin Way,MD,21045
Fuddruckers,Bee Cave,356,356 #356 X356 XX356,"12815 Shops Parkway, Suite 100",TX,78738
Fuddruckers,Round Rock,357,357 #357 X357 XX357,"2111 N. IH 35, Suite 380",TX,78664
Fuddruckers,Cedar Park,359,359 #359 X359 XX359,11023 Pecan Park Blvd,TX,78613
Fuddruckers,Sherman Oaks,368,368 #368 X368 XX368,15301 Ventura Blvd,CA,91423
Fuddruckers,Springfield,369,369 #369 X369 XX369,2920 South Lone Pine,MO,65804
Fuddruckers,Bloomfield Township,370,370 #370 X370 XX370,42757 Woodward Ave.,MI,48302
Fuddruckers,Dublin,371,371 #371 X371 XX371,4910 Dublin Blvd,CA,94568
Fuddruckers,Billings,374,374 #374 X374 XX374,875 Main Street,MT,59105
Fuddruckers,Tulsa,376,376 #376 X376 XX376,10825 East 71st Street,OK,74133
Fuddruckers,Albuquerque,377,377 #377 X377 XX377,6600 Menaul NE Suite N1A,NM,87110
Fuddruckers,Lubbock,378,378 #378 X378 XX378,5501 Slide Road,TX,79414
Fuddruckers,Anderson,379,379 #379 X379 XX379,100 Destination Blvd,SC,29621
Fuddruckers,Bedford,384,384 #384 X384 XX384,1612 Airport Freeway,TX,76002
Fuddruckers,Emeryville,388,388 #388 X388 XX388,5614 Bay Street #232,CA,94608
Fuddruckers,College Station,401,401 #401 X401 XX401,1704 George Bush Dr. E.,TX,77840
Fuddruckers,Rome,402,402 #402 X402 XX402,595 Riverside Pkwy,GA,30165
Fuddruckers,Knoxville,405,405 #405 X405 XX405,8851 Towne & Country Circle,TN,37923
Fuddruckers,Janesville,408,408 #408 X408 XX408,3136 E. US Hwy. 14,WI,53546
Fuddruckers,Miami,409,409 #409 X409 XX409,10680 NW 19th Street,FL,33172
Fuddruckers,Rapid City,421,421 #421 X421 XX421,2200 North Maple,SD,57701
Fuddruckers,Orlando,422,422 #422 X422 XX422,"5250 International Dr., Ste E1",FL,32819
Fuddruckers,New Orleans,423,423 #423 X423 XX423,4 Canal Street,LA,70130
Fuddruckers,Branson,424,424 #424 X424 XX424,"1615 Hwy 76, Bldg A",MO,65616
Fuddruckers,Corpus Christi,429,429 #429 X429 XX429,1949 South Padre Island Dr.,TX,78416
Fuddruckers,San Diego,433,433 #433 X433 XX433,891 Camino de la Reina,CA,92108
Fuddruckers,Frisco,438,438 #438 X438 XX438,2947 Preston Rd.,TX,75034
Fuddruckers,East Boston,442,442 #442 X442 XX442,"300 Terminal Rd, Term'l A Gate 19",MA,2128
Fuddruckers,DFW Airport,445,445 #445 X445 XX445,"2333 South Int'l Parkway, Terminal D, Space SV109, DFW Airpo",TX,75261
Fuddruckers,Taylors,446,446 #446 X446 XX446,6100 Wade Hampton Blvd.,SC,29687
Fuddruckers,Dulles,447,447 #447 X447 XX447,"Terminal B Washington Dulles Airport Dulles, VA 20166",VA,20166
Fuddruckers,Eagle Pass,449,449 #449 X449 XX449,406 S. Bibb Ave.,TX,78853
Fuddruckers,Detroit,450,450 #450 X450 XX450,"McNamara Terminal, Concourse C, Gate 25",MI,48242
