keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Golfsmith,Austin,1,#1,11000 Middle Fiskville,TX,78753-3152
Golfsmith,Spring,5,#5,25415 N. IH-45 Ste #B,TX,77380-3648
Golfsmith,Dallas,6,#6,4141 LBJ (US 635) Frwy,TX,75244-5704
Golfsmith,Westminster,7,#7,9440 Sheridan Blvd.,CO,80031-6305
Golfsmith,Peoria,9,#9,7765 West Bell Road,AZ,85382-3804
Golfsmith,Englewood,10,#10,9657 E. County Line Rd.,CO,80112-3502
Golfsmith,Schaumburg,11,#11,905 E. Golf Road,IL,60173-4503
Golfsmith,Houston,12,#12,10885 Westheimer,TX,77042-3201
Golfsmith,Arlington,15,#15,1001 W. Interstate 20,TX,76017-5855
Golfsmith,Minnetonka,16,#16,14200 Wayzata Boulevard,MN,55305-1746
Golfsmith,Columbus,17,#17,3695 Easton Market,OH,43219-6033
Golfsmith,Highland Park,18,#18,135 Skokie Valley Road,IL,60035-4403
Golfsmith,Plano,22,#22,900 Central Expressway,TX,75074-6737
Golfsmith,Duluth,23,#23,3960 Venture Dr.,GA,30096-5077
Golfsmith,Downers Grove,24,#24,2020 Butterfield Rd.,IL,60515-1055
Golfsmith,Austin,25,#25,10001 Research Blvd.,TX,78759-5689
Golfsmith,Chandler,26,#26,880 N 54th St.,AZ,85226-1504
Golfsmith,Troy,27,#27,790 E. Big Beaver Road,MI,48083-1407
Golfsmith,Upland,30,#30,1221 E. 19th St.,CA,91784-9285
Golfsmith,Novi,31,#31,43135 Crescent Blvd.,MI,48375-1206
Golfsmith,Woodland Hills,32,#32,21494 Victory Blvd.,CA,91367-2422
Golfsmith,Chicago,33,#33,"2782 N. Clybourn Ave., Bldg. C",IL,60614-1006
Golfsmith,Pasadena,34,#34,3635 East Foothill Blvd.,CA,91107-3121
Golfsmith,Webster,38,#38,19431 Gulf Fwy,TX,77598-2804
Golfsmith,El Segundo,39,#39,2041 Rosecrans Ave Ste 100,CA,90245-4788
Golfsmith,Scarsdale,40,#40,1019 Central Park Ave,NY,10583-3202
Golfsmith,Oxnard,41,#41,441 W Esplanade Dr,CA,93036-1298
Golfsmith,San Francisco,42,#42,735 Market St.,CA,94103-2026
Golfsmith,Pleasant Hill,43,#43,120 Crescent Drive,CA,94523-5502
Golfsmith,Pleasanton,44,#44,4200 Rosewood Dr.,CA,94588-3000
Golfsmith,San Jose,45,#45,4070 Stevens Creek Blvd.,CA,95129-1334
Golfsmith,East Northport,48,#48,4097 E Jericho Tpke Ste 1,NY,11731-6211
Golfsmith,Norwalk,49,#49,595 Connecticut Ave,CT,06854-1711
Golfsmith,Scottsdale,50,#50,15452 N Pima Road,AZ,85260-1910
Golfsmith,Plano,51,#51,1701 Preston Rd Ste B,TX,75093-5146
Golfsmith,Golden,52,#52,17120 W Colfax Ave. Ste 108,CO,80401-5660
Golfsmith,Livingston,54,#54,464 W Mount Pleasant Ave (Route 10 West),NJ,07039-1701
Golfsmith,Orlando,55,#55,4656 Millenia Plaza Way,FL,32839-2434
Golfsmith,San Diego,56,#56,824 Camino Del Rio N,CA,92108-3208
Golfsmith,San Carlos,57,#57,1125 Industrial Rd Suite G,CA,94070-4106
Golfsmith,Carle Place,58,#58,"192 Glen Cove Rd, Suite 280",NY,11514
Golfsmith,West Palm Beach,59,#59,785 West Executive Center Dr,FL,33401-4893
Golfsmith,Bridgewater,60,#60,315 Promenade Blvd,NJ,08807-3457
Golfsmith,Hollywood,61,#61,3300 Oakwood Blvd,FL,33020-7104
Golfsmith,Altamonte Springs,63,#63,297 W SR 436,FL,32714-4228
Golfsmith,Moorestown,64,#64,401 Route 38 @ Lenola Rd Ste. 12B,NJ,08057-3235
Golfsmith,Columbus,65,#65,7649 New Market Center Way,OH,43235-1979
Golfsmith,Clearwater,66,#66,2753 Gulf to Bay BLVD.,FL,33759-3945
Golfsmith,Memphis,67,#67,7741 Winchester Rd,TN,38125-2304
Golfsmith,Richfield,68,#68,2940 W 66th St,MN,55423-1939
Golfsmith,Birmingham,69,#69,4604 Hwy 280 East,AL,35242-5028
Golfsmith,Manhattan,70,#70,641 Lexington Ave,NY,10022-4503
Golfsmith,Richland Hills,71,#71,8701 Airport Fwy,TX,76180-7603
Golfsmith,Tucson,72,#72,4439 N Oracle Rd,AZ,85705-1635
Golfsmith,Aurora,73,#73,4302 East New York St,IL,60504-4121
Golfsmith,Houston,74,#74,"3005 W Loop South, Ste #160",TX,77027-6110
Golfsmith,Roseville,75,#75,1800 Highway 36 West,MN,55113-4030
Golfsmith,Lutz,77,#77,17649 Dale Mabry Hwy N,FL,33548-4535
Golfsmith,Tualatin,78,#78,7059 SW Nyberg St,OR,97062-6241
Golfsmith,West Paterson,79,#79,1750 Route 46 West,NJ,07424-1716
Golfsmith,Portland,80,#80,10263 NE Cascades Pkwy,OR,97220-6816
Golfsmith,East Brunswick,81,#81,678 Route 18 North,NJ,08816-3722
Golfsmith,Indianapolis,82,#82,8310 Castleton Corner Dr,IN,46250-3577
Golfsmith,Lake Grove,83,#83,3220 Middle Country Rd,NY,11755-2237
Golfsmith,Willow Grove,84,#84,3975 Welsh Rd,PA,19090-2909
Golfsmith,Clinton Township,86,#86,15300 Hall Rd,MI,48038-1034
Golfsmith,Raleigh,87,#87,6254 Glenwood Ave,NC,27612-2616
Golfsmith,Palm Desert,88,#88,72-700 Dinah Shore STE#200,CA,92211-0810
Golfsmith,Irvine,90,#90,16181 Lake Forest Dr.,CA,92618-4301
Golfsmith,Brookfield,91,#91,16130 W Bluemound Rd,WI,53005-6009
Golfsmith,Brea,92,#92,835 E. Birch St.,CA,92821-5765
Golfsmith,Overland Park,93,#93,12020 Metcalf Ave,KS,66213-1122
Golfsmith,Naples,94,#94,6428 Hollywood Blvd,FL,34109-2038
Golfsmith,Boca Raton,95,#95,20415 State Road 7 Suite A,FL,33498-6741
Golfsmith,Saint Louis,96,#96,11955 Manchester Rd,MO,63131-4502
Golfsmith,Vienna,97,#97,8459 Leesburg Pike,VA,22182-2404
Golfsmith,Sarasota,98,#98,143 N Cattlemen Rd,FL,34243-4700
Golfsmith,Warrensville Heights,100,#100,4063 Richmond Rd,OH,44122-6048
Golfsmith,Sterling,101,#101,46301 Potomac Run Plaza #100,VA,20164-6614
Golfsmith,Woodbridge,102,#102,15201 Potomac Town Place Suite #150,VA,22191-6593
Golfsmith,Chattanooga,103,#103,2100 Hamilton Place Blvd,TN,37421-6017
Golfsmith,Brentwood,104,#104,330 Franklin Road,TN,37027-3280
Golfsmith,Atlanta,105,#105,2997 Cobb Pkwy SE,GA,30339-3508
Golfsmith,Timonium,106,#106,130 W Ridgely Rd,MD,21093-5114
Golfsmith,Newark,107,#107,60 Geoffrey Drive,DE,19713-3603
Golfsmith,Fairfax,108,#108,11052 Lee Highway,VA,22030-5014
Golfsmith,San Antonio,109,#109,1211 N Loop 1604 West,TX,78258-4596
Golfsmith,Bellingham,110,#110,251 Hartford Ave Ste A-195,MA,02019-3007
Golfsmith,Watertown,111,#111,615 Arsenal St Unit B,MA,02472-5015
Golfsmith,Reading,112,#112,40 Walkers Brook Dr,MA,01867-3224
Golfsmith,Seekonk,113,#113,45 Highland Ave,MA,02771-5805
Golfsmith,Avon,114,#114,75 Stockwell Dr,MA,02322-1170
Golfsmith,Northborough,115,#115,6104 Shops Way,MA,01532-3301
Golfsmith,Natick,116,#116,1398 Worcester St,MA,01760-1514
Golfsmith,Greensboro,117,#117,4217 W Wendover Ave Ste F,NC,27407-1925
Golfsmith,Myrtle Beach,118,#118,1080 Oak Forest Lane,SC,29577
Golfsmith,Charlotte,119,#119,9571-A South Blvd,NC,28273-7095
Golfsmith,Houston,120,#120,1210 Fry Rd,TX,77084-5807
Golfsmith,Oklahoma City,121,#121,2120 W Memorial Rd,OK,73134-8014
