keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Harris Teeter,CHARLOTTE,9700004,#04 #4 9700004 970004 97004,7823 Colony Road,NC,28226
Harris Teeter,NEWPORT NEWS,9700006,#06 #6 9700006 970006 97006,12404 Warwick Boulevard,VA,75759
Harris Teeter,CHARLOTTE,9700011,#011 #11 97000011 9700011 970011,15007 John J. Delaney Drive,NC,28277
Harris Teeter,MT. PLEASANT,9700019,#019 #19 97000019 9700019 970019,920 Houston Northcutt Boulevard Suite N,SC,29464
Harris Teeter,RALEIGH,9700021,#021 #21 97000021 9700021 970021,501 Oberlin Road,NC,27605
Harris Teeter,ARLINGTON,9700023,#023 #23 97000023 9700023 970023,2425 North Harrison Street,VA,22207
Harris Teeter,FAYETTEVILLE,9700025,#025 #25 97000025 9700025 970025,2800 Raeford Road,NC,28303
Harris Teeter,RALEIGH,9700026,#026 #26 97000026 9700026 970026,7400 Creedmoor Road,NC,27612
Harris Teeter,CHARLOTTE,9700027,#027 #27 97000027 9700027 970027,9720 Rea Road,NC,28277
Harris Teeter,CHARLESTON,9700028,#028 #28 97000028 9700028 970028,675 Folly Road,SC,29412
Harris Teeter,ABERDEEN,9700029,#029 #29 97000029 9700029 970029,11109 US 15-501 Hwy Unit 1804,NC,28315
Harris Teeter,CHARLOTTE,9700030,#030 #30 97000030 9700030 970030,3333 Pineville-Matthews Road,NC,28226
Harris Teeter,GREENSBORO,9700033,#033 #33 97000033 9700033 970033,701 Francis King Street,NC,27410
Harris Teeter,FERNANDINA BEACH,9700034,#034 #34 97000034 9700034 970034,4800 First Coast Highway,FL,32034
Harris Teeter,CHARLOTTE,9700035,#035 #35 97000035 9700035 970035,5030 Park Road,NC,28209
Harris Teeter,WINSTON-SALEM,9700037,#037 #37 97000037 9700037 970037,150 Grant Hill Lane,NC,27104
Harris Teeter,RALEIGH,9700038,#038 #38 97000038 9700038 970038,5563 Western Boulevard  Suite 6A,NC,27606
Harris Teeter,STALLINGS,9700039,#039 #39 97000039 9700039 970039,7800-J Stevens Mill Rd,NC,28104
Harris Teeter,CHARLOTTE,9700040,#040 #40 97000040 9700040 970040,11516 Providence Road,NC,28277
Harris Teeter,WAKE FOREST,9700043,#043 #43 97000043 9700043 970043,3638 Rogers Road,NC,27587
Harris Teeter,CHARLOTTE,9700045,#045 #45 97000045 9700045 970045,10616 Providence Road,NC,28277
Harris Teeter,CHARLOTTE,9700046,#046 #46 97000046 9700046 970046,9641 Brookdale Drive,NC,28215
Harris Teeter,CHESAPEAKE,9700051,#051 #51 97000051 9700051 970051,237 Hanbury Road East,VA,23322
Harris Teeter,APEX,9700058,#058 #58 97000058 9700058 970058,750 W. Williams Street,NC,27539
Harris Teeter,MONROE,9700060,#060 #60 97000060 9700060 970060,1817 Dickerson Boulevard,NC,28110
Harris Teeter,CHARLOTTE,9700061,#061 #61 97000061 9700061 970061,1227 East Boulevard,NC,28203
Harris Teeter,ROCKY MOUNT,9700063,#063 #63 97000063 9700063 970063,3679 Sunset Avenue,NC,27801
Harris Teeter,GREENSBORO,9700064,#064 #64 97000064 9700064 970064,5710 High Point Road,NC,27407
Harris Teeter,CHARLOTTE,9700066,#066 #66 97000066 9700066 970066,7852 Rea Road,NC,28277
Harris Teeter,CONCORD,9700068,#068 #68 97000068 9700068 970068,358 George W Lyles Pkwy NW,NC,28027
Harris Teeter,RALEIGH,9700069,#069 #69 97000069 9700069 970069,3201-123 Edwards Mill Road,NC,27612
Harris Teeter,NASHVILLE,9700071,#071 #71 97000071 9700071 970071,6002 Highway 100,TN,37205
Harris Teeter,ALBEMARLE,9700078,#078 #78 97000078 9700078 970078,817 North First Street,NC,28001
Harris Teeter,RESTON,9700081,#081 #81 97000081 9700081 970081,11806 Spectrum Center,VA,20190
Harris Teeter,FORT MILL,9700082,#082 #82 97000082 9700082 970082,1754 West Highway 160,SC,29708
Harris Teeter,ARLINGTON,9700083,#083 #83 97000083 9700083 970083,900 Army-Navy Drive,VA,22202
Harris Teeter,HERNDON,9700085,#085 #85 97000085 9700085 970085,12960 Highland Crossing Drive,VA,20171
Harris Teeter,ARLINGTON,9700086,#086 #86 97000086 9700086 970086,600 North Glebe Road,VA,22203
