keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Hooters,Dallas,2,202 #2 002,5005 Belt Line Road,TX,75254
Hooters,Albuquerque,4,204 #4 004,4601 San Mateo,NM,87109
Hooters,Amarillo,5,205 #5 005,8101 I-40 West,TX,79121
Hooters,Arlington,7,207 #7 007,1151 North Collins,TX,76011
Hooters,Atlantic City,9,209 #9 009,2821 Boardwalk,NJ,8401
Hooters,Augusta,10,2010 #10 0010,2834 Washington Road,GA,30909
Hooters,Austin,12,2012 #12 0012,425 W. Riverside,TX,78704
Hooters,Phoenix,14,2014 #14 0014,455 North 3rd   190 Arizona Center,AZ,85004
Hooters,Baton Rouge,15,2015 #15 0015,5120 Corporate Blvd,LA,70806
Hooters,Miami,17,2017 #17 0017,401 Biscayne Blvd Ste. 225,FL,33132
Hooters,Ft. Lauderdale,18,2018 #18 0018,17 S. Atlantic Blvd Unit 304,FL,33316
Hooters,Phoenix,19,2019 #19 0019,10223 North Metro Parkway,AZ,85021
Hooters,Philadelphia,21,2021 #21 0021,9183 Roosevelt Boulevard,PA,19114
Hooters,Bloomington,25,2025 #25 0025,404 E. Broadway,MN,55425
Hooters,Bloomington,26,2026 #26 0026,409 N. Hershey Road,IL,61701
Hooters,Tampa,30,2030 #30 0030,10023 E. Adamo Dr.,FL,33619
Hooters,Cape Coral,35,2035 #35 0035,3120 Del Prado,FL,33904
Hooters,Casselberry,36,2036 #36 0036,2699 Cassel Creek Blvd.,FL,32707
Hooters,Champaign,37,2037 #37 0037,1706 State Street,IL,61820
Hooters,Charleston,38,2038 #38 0038,5615 Macorkle Ave. S.E.,WV,25304
Hooters,Chattanooga,41,2041 #41 0041,5912 Brainerd Rd.,TN,37421
Hooters,Chesapeake,42,2042 #42 0042,1105 Merchants Wat,VA,23320
Hooters,Chicago,43,2043 #43 0043,660 N. Wells St.,IL,60610
Hooters,Clarksville,45,2045 #45 0045,941 E. Highway 131,IN,47130
Hooters,Clearwater,46,2046 #46 0046,2800 Gulf-To-Bay Blvd.,FL,33519
Hooters,Colorado Springs,50,2050 #50 0050,750 Citadel Dr. East. Ste. 1012,CO,80909
Hooters,Conyers,54,2054 #54 0054,"1099 Iris Drive, SE",GA,30012
Hooters,Corpus Christi,55,2055 #55 0055,4551 South Padre island Drive,TX,78411
Hooters,Atlanta,56,2056 #56 0056,"2977 Cobb Parkway, SE",GA,30339
Hooters,Dallas,57,2057 #57 0057,2201 North Lamar,TX,75202
Hooters,Davenport,58,2058 #58 0058,110 E. Kimberly Rd.,IA,58206
Hooters,Destin,61,2061 #61 0061,15015 Emerald Coast Parkway,FL,32541
Hooters,Miami,62,2062 #62 0062,8695 N.W. 13th Terrace,FL,33126
Hooters,Dothan,63,2063 #63 0063,3385 Ross Clark Circle,AL,36303
Hooters,Daytona Beach,64,2064 #64 0064,2100 International Speedway Drive,FL,32114
Hooters,Downers Grove,66,2066 #66 0066,1303 Butterfield Rd.,IL,60515
Hooters,Louisville,67,2067 #67 0067,4120 Dutchman's Lane,KY,40207
Hooters,El Paso,71,2071 #71 0071,1170 Sunmount,TX,79925
Hooters,Evansville,73,2073 #73 0073,4620 Lincoln Ave.,IN,47715
Hooters,Fairfax,74,2074 #74 0074,10334 Lee Highway,VA,22030
Hooters,Fairview Heights,75,2075 #75 0075,"301 Market Place, Suite C",IL,62208
Hooters,Fargo,76,2076 #76 0076,3434 Fiechtner Drive. S,ND,58103
Hooters,Fayetteville,78,2078 #78 0078,516 North McPherson Church Road,NC,28303
Hooters,Flint,79,2079 #79 0079,3415 Miller Road,MI,48507
Hooters,Ft. Lauderdale,82,2082 #82 0082,6345 N. Andrews Avenue,FL,33309
Hooters,Ft. Lauderdale,83,2083 #83 0083,3805 N. University Blvd.,FL,33351
Hooters,Ft. Myers,84,2084 #84 0084,4411 Cleveland Ave.,FL,33901
Hooters,Ft. Myers,85,2085 #85 0085,1600 Estero Beach Blvd.,FL,33931
Hooters,Ft. Worth,87,2087 #87 0087,"5340 S. W. Blvd.,",TX,76109
Hooters,Gastonia,89,2089 #89 0089,3725 East Franklin Blvd,NC,28054
