keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Jack in the box,National City,3,3 #0003 #003 #03 #03QPS #3QPS #3,1745 Highland Ave,CA,91950
Jack in the box,La Mesa,4,4 #0004 #004 #04 #04QPS #4QPS #4,6987 University Ave,CA,91941
Jack in the box,Chula Vista,6,6 #0006 #006 #06 #06QPS #6QPS #6,486 Broadway,CA,91910
Jack in the box,El Cajon,7,7 #0007 #007 #07 #07QPS #7QPS #7,393 W Main St,CA,92020
Jack in the box,San Diego,8,8 #0008 #008 #08 #08QPS #8QPS #8,4815 Voltaire St,CA,92107
Jack in the box,Lemon Grove,10,10 #00010 #0010 #010 #010QPS #10QPS #10,7979 Broadway,CA,91945
Jack in the box,Imperial Beach,12,12 #00012 #0012 #012 #012QPS #12QPS #12,890 Palm Ave,CA,91932
Jack in the box,San Diego,13,13 #00013 #0013 #013 #013QPS #13QPS #13,3850 Clairemont Mesa Blvd,CA,92117
Jack in the box,San Diego,14,14 #00014 #0014 #014 #014QPS #14QPS #14,6080 Mission Gorge Rd,CA,92120
Jack in the box,Chula Vista,15,15 #00015 #0015 #015 #015QPS #15QPS #15,802 3rd Ave,CA,91911
Jack in the box,San Diego,18,18 #00018 #0018 #018 #018QPS #18QPS #18,2886 El Cajon Blvd,CA,92104
Jack in the box,Santee,20,20 #00020 #0020 #020 #020QPS #20QPS #20,9337 Mission Gorge Rd,CA,92071
Jack in the box,San Diego,21,21 #00021 #0021 #021 #021QPS #21QPS #21,4751 El Cajon Blvd,CA,92115
Jack in the box,San Diego,22,22 #00022 #0022 #022 #022QPS #22QPS #22,1340 Rosecrans St,CA,92106
Jack in the box,San Diego,23,23 #00023 #0023 #023 #023QPS #23QPS #23,2959 Upas St,CA,92104
Jack in the box,La Mesa,25,25 #00025 #0025 #025 #025QPS #25QPS #25,6140 Lake Murray Blvd,CA,91942
Jack in the box,San Diego,26,26 #00026 #0026 #026 #026QPS #26QPS #26,3838 Midway Dr,CA,92110
Jack in the box,San Diego,29,29 #00029 #0029 #029 #029QPS #29QPS #29,5155 College Ave,CA,92115
Jack in the box,San Diego,31,31 #00031 #0031 #031 #031QPS #31QPS #31,1110 C St,CA,92101
Jack in the box,El Cajon,32,32 #00032 #0032 #032 #032QPS #32QPS #32,495 N 2nd St,CA,92021
Jack in the box,San Diego,33,33 #00033 #0033 #033 #033QPS #33QPS #33,220 W Washington St,CA,92103
Jack in the box,San Diego,34,34 #00034 #0034 #034 #034QPS #34QPS #34,1636 Euclid Ave,CA,92105
Jack in the box,La Mesa,35,35 #00035 #0035 #035 #035QPS #35QPS #35,5141 Jackson Dr,CA,91941
Jack in the box,Carlsbad,36,36 #00036 #0036 #036 #036QPS #36QPS #36,901 Carlsbad Village Dr,CA,92008
Jack in the box,San Diego,37,37 #00037 #0037 #037 #037QPS #37QPS #37,7170 Linda Vista Rd,CA,92111
Jack in the box,Escondido,38,38 #00038 #0038 #038 #038QPS #38QPS #38,1430 E Valley Pkwy,CA,92027
Jack in the box,Cardiff By The Sea,42,42 #00042 #0042 #042 #042QPS #42QPS #42,1967 San Elijo Ave,CA,92007
Jack in the box,San Diego,44,44 #00044 #0044 #044 #044QPS #44QPS #44,1905 Garnet Ave,CA,92109
Jack in the box,El Centro,47,47 #00047 #0047 #047 #047QPS #47QPS #47,666 N Imperial Ave,CA,92243
Jack in the box,Temecula,48,48 #00048 #0048 #048 #048QPS #48QPS #48,27410 Jefferson Ave,CA,92590
Jack in the box,Poway,51,51 #00051 #0051 #051 #051QPS #51QPS #51,12424 Poway Rd,CA,92064
Jack in the box,El Centro,52,52 #00052 #0052 #052 #052QPS #52QPS #52,2100 S 4th St,CA,92243
Jack in the box,El Cajon,54,54 #00054 #0054 #054 #054QPS #54QPS #54,2733 Navajo Rd,CA,92020
Jack in the box,Vista,55,55 #00055 #0055 #055 #055QPS #55QPS #55,815 E Vista Way,CA,92084
Jack in the box,La Jolla,57,57 #00057 #0057 #057 #057QPS #57QPS #57,564 Pearl St,CA,92037
