keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Jiffy Lubee,OGDEN,1,#1,192 36TH ST ,UT,84405-7121
Jiffy Lubee,SALT LAKE CITY,3,#3,9 W 3300 S  ,UT,84115-3711
Jiffy Lubee,OMAHA,6,#6,8008 W DODGE RD,NE,68114-3414
Jiffy Lubee,POCATELLO  ,11,#11,588 YELLOWSTONE AVE ,ID,83201-4534
Jiffy Lubee,SALT LAKE CITY,14,#14,1850 W 4100 S  ,UT,84119-4752
Jiffy Lubee,FORT COLLINS  ,17,#17,2549 S COLLEGE AVE  ,CO,80525-1725
Jiffy Lubee,EAST LONGMEADOW    ,18,#18,475 N MAIN ST  ,MA,01028-1806
Jiffy Lubee,COUNCIL BLUFFS,19,#19,2312 W BROADWAY,IA,51501-3614
Jiffy Lubee,LINCOLN    ,20,#20,880 N 27TH ST  ,NE,68503-2522
Jiffy Lubee,BALTIMORE  ,23,#23,1704 WOODLAWN DR    ,MD,21207-4005
Jiffy Lubee,SIOUX CITY ,24,#24,1219 TRI VIEW AVE   ,IA,51103-4911
Jiffy Lubee,FARGO,25,#25,11 10TH ST N,ND,58102-4611
Jiffy Lubee,BALTIMORE  ,27,#27,4112 W NORTHERN PKWY,MD,21215-4325
Jiffy Lubee,FAYETTEVILLE  ,28,#28,3816 RAEFORD RD,NC,28304-3354
Jiffy Lubee,GRAND ISLAND  ,29,#29,3423 W STATE ST,NE,68803-2304
Jiffy Lubee,KEARNEY    ,30,#30,1204 2ND AVE,NE,68847-6704
Jiffy Lubee,OKLAHOMA CITY ,32,#32,2400 N MERIDIAN AVE ,OK,73107-1033
Jiffy Lubee,FREDERICK  ,33,#33,1210 W PATRICK ST   ,MD,21703-3961
Jiffy Lubee,BALTIMORE  ,35,#35,8114 LIBERTY RD,MD,21244-3040
Jiffy Lubee,ANNANDALE  ,36,#36,4301 BACKLICK RD    ,VA,22003-3141
Jiffy Lubee,PHILADELPHIA  ,37,#37,3658 ARAMINGO AVE   ,PA,19134-4608
Jiffy Lubee,CHARLOTTE  ,40,#40,6324 SOUTH BLVD,NC,28217-4443
Jiffy Lubee,CHARLOTTE  ,41,#41,216 EASTWAY DR ,NC,28213-7104
Jiffy Lubee,OMAHA,42,#42,4740 LEAVENWORTH ST ,NE,68106-1422
Jiffy Lubee,BENSALEM   ,43,#43,2266 STREET RD ,PA,19020-3568
Jiffy Lubee,RICHMOND   ,45,#45,11135 MIDLOTHIAN TPKE     ,VA,23235-4711
Jiffy Lubee,SAINT PAUL ,47,#47,650 SNELLING AVE N  ,MN,55104-1834
Jiffy Lubee,LAUREL     ,49,#49,301 2ND ST  ,MD,20707-4603
Jiffy Lubee,WICHITA    ,52,#52,1624 E PAWNEE ST    ,KS,67211-5243
Jiffy Lubee,WICHITA    ,53,#53,2902 W 13TH ST N    ,KS,67203-6617
Jiffy Lubee,WICHITA    ,54,#54,6025 E 21ST ST N    ,KS,67208-1806
Jiffy Lubee,WICHITA    ,55,#55,7406 W CENTRAL AVE  ,KS,67212-3515
Jiffy Lubee,WICHITA    ,56,#56,7718 E HARRY ST,KS,67207-3130
Jiffy Lubee,WICHITA    ,57,#57,3066 S SENECA ST    ,KS,67217-3210
Jiffy Lubee,NEWPORT NEWS  ,59,#59,14626 WARWICK BLVD  ,VA,23608-3734
Jiffy Lubee,VIRGINIA BEACH,60,#60,348 NEWTOWN RD ,VA,23462-1718
Jiffy Lubee,MARIETTA   ,61,#61,1755 COBB PKWY S    ,GA,30060-9288
Jiffy Lubee,ATLANTA    ,62,#62,1343 DUNWOODY VILLAGE PKWY,GA,30338-4124
Jiffy Lubee,TAMPA,63,#63,8303 N DALE MABRY HWY     ,FL,33614-2603
Jiffy Lubee,VIRGINIA BEACH,65,#65,1353 N GREAT NECK RD,VA,23454-2201
Jiffy Lubee,VIRGINIA BEACH,66,#66,473 S INDEPENDENCE BLVD   ,VA,23452-1105
Jiffy Lubee,MEMPHIS    ,73,#73,2911 POPLAR AVE,TN,38111-2703
Jiffy Lubee,SEMINOLE   ,74,#74,7025 SEMINOLE BLVD  ,FL,33772-5932
Jiffy Lubee,LAKELAND   ,75,#75,3365 S FLORIDA AVE  ,FL,33803-4764
Jiffy Lubee,ALTAMONTE SPRINGS  ,76,#76,420 N STATE ROAD 434,FL,32714-2130
Jiffy Lubee,ORLANDO    ,77,#77,1355 S SEMORAN BLVD ,FL,32807-2915
Jiffy Lubee,BURLINGTON ,80,#80,2205 MOUNT HOLLY RD ,NJ,08016-4135
Jiffy Lubee,EDINA,81,#81,5000 VERNON AVE S   ,MN,55436-2103
Jiffy Lubee,FAIRFAX    ,83,#83,10535 FAIRFAX BOULEVARD   ,VA,22030-3103
Jiffy Lubee,BALTIMORE  ,84,#84,1316 MERRITT BLVD   ,MD,21222-2108
Jiffy Lubee,MANASSAS   ,85,#85,8786 CENTREVILLE RD ,VA,20110-5267
Jiffy Lubee,LOVELAND   ,86,#86,1644 W EISENHOWER BLVD    ,CO,80537-3120
Jiffy Lubee,LANDOVER HILLS,87,#87,7571 ANNAPOLIS RD   ,MD,20784-1701
Jiffy Lubee,ANNAPOLIS  ,88,#88,1980 WEST ST,MD,21401-3931
Jiffy Lubee,CHERRY HILL,89,#89,2023 MARLTON PIKE W ,NJ,08002-2728
Jiffy Lubee,HERNDON    ,92,#92,604 ELDEN ST,VA,20170-4721
Jiffy Lubee,WOODBURY   ,93,#93,342 S BROAD ST ,NJ,08096-2432
Jiffy Lubee,FORESTVILLE,94,#94,5917 SILVER HILL RD ,MD,20747-1106
Jiffy Lubee,BALTIMORE  ,98,#98,608 FREDERICK RD    ,MD,21228-4625
Jiffy Lubee,FEASTERVILLE TREVOSE     ,99,#99,2 W STREET RD  ,PA,19053-6003
Jiffy Lubee,BALTIMORE  ,100,#100,213 EASTERN BLVD    ,MD,21221-6906
Jiffy Lubee,BALTIMORE  ,101,#101,8626 BELAIR RD ,MD,21236-2704
Jiffy Lubee,COLUMBIA   ,103,#103,4414 DEVINE ST ,SC,29205-3612
Jiffy Lubee,CAYCE,104,#104,1139 KNOX ABBOTT DR ,SC,29033-3323
Jiffy Lubee,FREDERICKSBURG,107,#107,3300 PLANK RD  ,VA,22407-4958
Jiffy Lubee,ALEXANDRIA ,110,#110,511 S VAN DORN ST   ,VA,22304-4611
Jiffy Lubee,ALEXANDRIA ,111,#111,2950 SOUTHGATE DR   ,VA,22306-6609
Jiffy Lubee,BALTIMORE  ,112,#112,5701 HARFORD RD,MD,21214-2234
Jiffy Lubee,SPRINGFIELD,113,#113,225 BALTIMORE PIKE  ,PA,19064-3745
Jiffy Lubee,AUDUBON    ,114,#114,55 N WHITE HORSE PIKE     ,NJ,08106-1302
Jiffy Lubee,BALTIMORE  ,115,#115,2105 E JOPPA RD,MD,21234-2839
Jiffy Lubee,BEL AIR    ,116,#116,106 N TOLLGATE RD   ,MD,21014-4204
Jiffy Lubee,RIVERHEAD  ,118,#118,995 OLD COUNTRY RD  ,NY,11901-2106
Jiffy Lubee,CHICOPEE   ,119,#119,2017 MEMORIAL DR    ,MA,01020-4322
Jiffy Lubee,VINELAND   ,120,#120,400 N DELSEA DR,NJ,08360-3500
Jiffy Lubee,MAULDIN    ,123,#123,109 N MAIN ST  ,SC,29662-2509
Jiffy Lubee,RICHMOND   ,126,#126,8025 W BROAD ST,VA,23294-4219
Jiffy Lubee,CHARLESTON ,128,#128,7601 RIVERS AVE,SC,29406-4011
Jiffy Lubee,OXON HILL  ,129,#129,5518 SAINT BARNABAS RD    ,MD,20745-3624
Jiffy Lubee,NORFOLK    ,131,#131,2463 E LITTLE CREEK RD    ,VA,23518-3207
