keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Jo-ann fabric,Falls Church,102,102 #102,6320 Seven Corners Ctr,VA,22044-2409
Jo-ann fabric,Gaithersburg,106,106 #106,2A Bureau Dr,MD,20878-1402
Jo-ann fabric,Middleton,107,107 #107,230 S Main St,MA,01949-2449
Jo-ann fabric,Corte Madera,112,112 #112,245 Tamal Vista Blvd,CA,94925-1110
Jo-ann fabric,Sterling,115,115 #115,46301 Potomac Run Plz Ste 160,VA,20164-6619
Jo-ann fabric,Holbrook,120,120 #120,5705 Sunrise Hwy,NY,11741-4801
Jo-ann fabric,Greenbelt,123,123 #123,6200 Greenbelt Rd,MD,20770-1021
Jo-ann fabric,Hooksett,132,132 #132,1328 Hooksett Rd,NH,03106-1815
Jo-ann fabric,Miami,135,135 #135,8257 W Flagler St,FL,33144-2060
Jo-ann fabric,Crestwood,138,138 #138,4917 Cal Sag Rd,IL,60445-4416
Jo-ann fabric,Wheaton,140,140 #140,36 Danada Sq W,IL,60187-1000
Jo-ann fabric,Whitehall,145,145 #145,2570 Macarthur Rd Ste 12,PA,18052-3815
Jo-ann fabric,Westbury,153,153 #153,580 Old Country Rd,NY,11590-4512
Jo-ann fabric,Santa Rosa,154,154 #154,3620 Industrial Dr,CA,95403-2031
Jo-ann fabric,Tyngsboro,159,159 #159,440 Middlesex Rd,MA,01879-1070
Jo-ann fabric,Great Falls,163,163 #163,2515 10Th Ave S,MT,59405-3236
Jo-ann fabric,Wasilla,168,168 #168,1830 E Parks Hwy Ste A122,AK,99654-7375
Jo-ann fabric,Hudson,171,171 #171,5381 Darrow Rd,OH,44236-4007
Jo-ann fabric,Minot,172,172 #172,1015 S Broadway,ND,58701-4667
Jo-ann fabric,Fort Myers,173,173 #173,15201 N Cleveland Ave Ste 400,FL,33903-2715
Jo-ann fabric,Ann Arbor,176,176 #176,2897 Oak Valley Dr,MI,48103-9243
Jo-ann fabric,North Dartmouth,177,177 #177,454 State Rd,MA,02747-4308
Jo-ann fabric,Lancaster,181,181 #181,838 Plaza Blvd,PA,17601-2738
Jo-ann fabric,Lake Zurich,186,186 #186,696 S Rand Rd,IL,60047-3409
Jo-ann fabric,Nashua,189,189 #189,10 Northwest Blvd,NH,03063-4066
Jo-ann fabric,Williamsport,200,200 #200,1746 E 3Rd St,PA,17701-3848
Jo-ann fabric,Queensbury,206,206 #206,756 Upper Glen St Ste 15,NY,12804-2029
Jo-ann fabric,Sandusky,211,211 #211,320 E Perkins Ave,OH,44870-4906
Jo-ann fabric,Ashtabula,212,212 #212,3315 N Ridge E Ste 140,OH,44004-4347
Jo-ann fabric,Bridgeville,221,221 #221,1155 Washington Pike,PA,15017-2827
Jo-ann fabric,Butler,224,224 #224,160 Pullman Sq,PA,16001-5640
Jo-ann fabric,Cranberry,225,225 #225,6945 US 322,PA,16319-3108
Jo-ann fabric,Lima,227,227 #227,2720 Elida Rd,OH,45805-1231
Jo-ann fabric,Cockeysville,231,231 #231,9978 York Rd,MD,21030-3401
Jo-ann fabric,Hermitage,235,235 #235,2481 E State St,PA,16148-2723
Jo-ann fabric,State College,236,236 #236,505 Benner Pike,PA,16801-7309
Jo-ann fabric,Washington,241,241 #241,301 Oak Spring Rd,PA,15301-2966
Jo-ann fabric,Annapolis,245,245 #245,150 Jennifer Rd Ste C,MD,21401-3044
Jo-ann fabric,Centereach,246,246 #246,191 Centereach Mall,NY,11720-2751
Jo-ann fabric,Columbus,250,250 #250,3060 Columbus Ctr,IN,47203-3415
Jo-ann fabric,Marlton,251,251 #251,515 Route 73 S Ste 12,NJ,08053-9661
Jo-ann fabric,Waterbury,254,254 #254,861 Wolcott St,CT,06705-1301
Jo-ann fabric,W Babylon,257,257 #257,735 W Montauk Hwy,NY,11704-8219
Jo-ann fabric,Rochester,259,259 #259,5154 Highway 52 Ne Frontage Rd,MN,55901-0168
Jo-ann fabric,Newington,266,266 #266,2064 Woodbury Ave Ste 302,NH,03801-7800
Jo-ann fabric,Adrian,279,279 #279,2576 S Main St,MI,49221-4305
Jo-ann fabric,East Liverpool,284,284 #284,"15765 State Route 170, Ste 1",OH,43920-9600
Jo-ann fabric,Findlay,286,286 #286,1800 Tiffin Ave,OH,45840-6789
Jo-ann fabric,Rutland,289,289 #289,308 Us Route 7 S,VT,05701-4725
Jo-ann fabric,Pittsfield,292,292 #292,457 Dalton Ave,MA,01201-2912
Jo-ann fabric,Midland,294,294 #294,1910 N Saginaw Rd,MI,48640-6613
Jo-ann fabric,Lakewood,301,301 #301,318 E Fairmount Ave Rm 106,NY,14750-2007
Jo-ann fabric,Niles,304,304 #304,5555 Youngstown Warren Rd,OH,44446-4804
Jo-ann fabric,Holland,305,305 #305,12635 Felch St Ste 60,MI,49424-8275
Jo-ann fabric,Grosse Pointe,306,306 #306,18850 Mack Ave,MI,48236-2925
Jo-ann fabric,West Palm Beach,307,307 #307,9810 Alternate A1A,FL,33410-4902
Jo-ann fabric,Springfield,308,308 #308,1608J Upper Valley Pike Ste C9,OH,45504-4065
Jo-ann fabric,Fremont,309,309 #309,1212 Oak Harbor Rd,OH,43420-1021
Jo-ann fabric,Beckley,310,310 #310,307 Beckley Plz,WV,25801-2215
Jo-ann fabric,Swansea,311,311 #311,207 Swansea Mall Dr Ste 100,MA,02777-4120
Jo-ann fabric,Lakeland,312,312 #312,4241 Us Highway 98 N,FL,33809-3817
Jo-ann fabric,Bluefield,313,313 #313,531 Commerce Dr,VA,24605-9697
Jo-ann fabric,Madison,319,319 #319,2021 Zeier Rd,WI,53704-7419
Jo-ann fabric,Lexington,322,322 #322,"125 E Reynolds Rd, Ste 160",KY,40517-9002
Jo-ann fabric,Pewaukee,324,324 #324,2020 Silvernail Rd,WI,53072-5524
Jo-ann fabric,Marion,328,328 #328,1129 N Baldwin Ave Ste 32,IN,46952-2564
Jo-ann fabric,Topsham,329,329 #329,"49 Topsham Fair Mall Road, Ste 17",ME,04086-1736
Jo-ann fabric,Spring Hill,333,333 #333,4387 Commercial Way,FL,34606-1963
Jo-ann fabric,Solon,340,340 #340,33615 Aurora Rd,OH,44139-3707
Jo-ann fabric,Decatur,344,344 #344,4298 N Prospect St,IL,62526-6100
Jo-ann fabric,Alpena,348,348 #348,2686 Us Highway 23 S,MI,49707-4620
Jo-ann fabric,Fort Gratiot,351,351 #351,4405 24Th Ave,MI,48059-3808
Jo-ann fabric,Kent,354,354 #354,25810 104Th Ave Se,WA,98030-7608
Jo-ann fabric,Cortland,358,358 #358,162 Clinton St # 2,NY,13045-1343
Jo-ann fabric,Parkersburg,363,363 #363,2311 Ohio Ave Unit C,WV,26101-2559
Jo-ann fabric,Marion,366,366 #366,1471A Marion Waldo Rd,OH,43302-7421
Jo-ann fabric,Meadville,372,372 #372,18921 Park Avenue Plz,PA,16335-4015
Jo-ann fabric,Atlantic  Beach,377,377 #377,977 Atlantic  Blvd,FL,32233-3311
Jo-ann fabric,Steubenville,378,378 #378,282 S Hollywood Blvd,OH,43952-2422
Jo-ann fabric,Toledo,379,379 #379,2559 S Reynolds Rd,OH,43614-1434
Jo-ann fabric,Chillicothe,384,384 #384,1080 N Bridge St,OH,45601-1789
Jo-ann fabric,Du Bois,387,387 #387,5456 Shaffer Rd,PA,15801-3313
Jo-ann fabric,Westminster,395,395 #395,20 Englar Rd,MD,21157-4842
Jo-ann fabric,Beloit,396,396 #396,2759 Prairie Ave,WI,53511-2246
Jo-ann fabric,Hanover,403,403 #403,1302 Washington St,MA,02339-1631
Jo-ann fabric,Carlisle,404,404 #404,East 800 High St  Suite 400,PA,17013-3017
Jo-ann fabric,Natick,408,408 #408,244 Worcester Rd,MA,01760-1825
Jo-ann fabric,Waterville,410,410 #410,180 Jkf Plaza,ME,04901-5015
Jo-ann fabric,Batavia,412,412 #412,4152 W Main St Ste 12,NY,14020-1235
Jo-ann fabric,Traverse City,414,414 #414,724 Munson Ave,MI,49686-3525
Jo-ann fabric,Akron,417,417 #417,1500 Canton Rd,OH,44312-4067
Jo-ann fabric,Milford,418,418 #418,"91 Medway Rd, Ste 3",MA,01757-2923
Jo-ann fabric,Janesville,421,421 #421,1335 Creston Park Dr,WI,53545-1126
Jo-ann fabric,Vestal,425,425 #425,736 Vestal Pkwy E,NY,13850-1683
Jo-ann fabric,Owosso,426,426 #426,210 N Washington St,MI,48867-2821
Jo-ann fabric,Portland,429,429 #429,1064 Brighton Ave,ME,04102-1030
Jo-ann fabric,California,431,431 #431,22576 Macarthur Blvd Ste 300,MD,20619-3088
Jo-ann fabric,W Roxbury,438,438 #438,1580 Vfw Pkwy # 1600,MA,02132-5500
Jo-ann fabric,Deptford,445,445 #445,1800 Clements Bridge Rd Ste 18,NJ,08096-2022
Jo-ann fabric,Niagara Falls,455,455 #455,2429 Military Rd,NY,14304-1551
Jo-ann fabric,Lower Burrell,457,457 #457,155 Hillcrest Shopping Ctr,PA,15068-3504
Jo-ann fabric,Amsterdam,461,461 #461,"4908 St Hwy 30, Ste 8",NY,12010-6414
