keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kum & Go,Hampton,1,#1 #01 1,609 Central Ave W,IA,50441
Kum & Go,Lamoni,4,#4 #04 4,2091 E Main St,IA,50140
Kum & Go,Mason City,6,#6 #06 6,1920 S Federal Ave,IA,50401
Kum & Go,West Des Moines,8,#8 #08 8,1293 8th St,IA,50265
Kum & Go,Grinnell,22,#22 #022 22,715 Lang Creek Ave,IA,50112
Kum & Go,Neola,23,#23 #023 23,29356 298th St,IA,51559
Kum & Go,Pleasant Hill,24,#24 #024 24,5970 Morning Star Ct,IA,50317
Kum & Go,Adrian,26,#26 #026 26,305 N Maine Ave,MN,56110
Kum & Go,Norwalk,28,#28 #028 28,2991 Sunset Dr,IA,50211
Kum & Go,Sarcoxie,29,#29 #029 29,2577 High St,MO,64862
Kum & Go,Colfax,32,#32 #032 32,1200 N Walnut St,IA,50054
Kum & Go,Ottumwa,37,#37 #037 37,2508 N Court St,IA,52501
Kum & Go,Ottumwa,38,#38 #038 38,534 Church St,IA,52501
Kum & Go,Ottumwa,40,#40 #040 40,502 2nd St W,IA,52501
Kum & Go,New Virginia,43,#43 #043 43,1453 County Highway G76,IA,50210
Kum & Go,Walnut,46,#46 #046 46,1709 Antique City Dr,IA,51577
Kum & Go,Newton,47,#47 #047 47,1708 S 8th Ave E,IA,50208
Kum & Go,West Des Moines,50,#50 #050 50,745 S 51st St,IA,50265
Kum & Go,Iowa City,51,#51 #051 51,323 E Burlington St,IA,52240-1606
Kum & Go,Iowa City,52,#52 #052 52,25 W Burlington St,IA,52240-3812
Kum & Go,Iowa City,53,#53 #053 53,955 Morman Trek Blvd,IA,52246-4410
Kum & Go,Bevington,56,#56 #056 56,101 E IA Highway 92,IA,50033
Kum & Go,Waukee,59,#59 #059 59,400 Prairie Bluff Dr,IA,50263
Kum & Go,Johnston,62,#62 #062 62,6130 NW 86th St,IA,50131
Kum & Go,West Des Moines,66,#66 #066 66,5308 University Ave,IA,50266
Kum & Go,West Des Moines,74,#74 #074 74,141 S Jordan Creek Pkwy,IA,50266
Kum & Go,Waukee,75,#75 #075 75,350 SE University Ave,IA,50263
Kum & Go,Adair,76,#76 #076 76,109 S 5th St,IA,50002
Kum & Go,Riverside,80,#80 #080 80,1178 Enterprise Dr,IA,52327
Kum & Go,Casey,83,#83 #083 83,501 McPherson St,IA,50048
Kum & Go,Fort Dodge,87,#87 #087 87,1601 5th Ave,IA,50501-5030
Kum & Go,Fort Dodge,89,#89 #089 89,115 N 22nd St,IA,50501-3526
Kum & Go,Boone,90,#90 #090 90,1704 S Story St,IA,50036
Kum & Go,Ankeny,92,#92 #092 92,1025 E 1st St,IA,50021
Kum & Go,De Soto,95,#95 #095 95,1203 Guthrie St,IA,50069
Kum & Go,Webster City,96,#96 #096 96,1803 Superior St,IA,50595
Kum & Go,West Des Moines,97,#97 #097 97,196 S 50th St,IA,50265
Kum & Go,Truro,101,#101 #0101 101,318 E North St,IA,50257
Kum & Go,Mason City,109,#109 #0109 109,1224 N Federal Ave,IA,50401
Kum & Go,Ames,113,#113 #0113 113,2801 E 13th St,IA,50010
Kum & Go,Perry,115,#115 #0115 115,1115 IA Highway 141,IA,50220
Kum & Go,Willmar,116,#116 #0116 116,2550 US Highway 12 E,MN,56201
Kum & Go,Spirit Lake,117,#117 #0117 117,300 18th St,IA,51360
Kum & Go,Des Moines,120,#120 #0120 120,101 SW Army Post Rd,IA,50315
Kum & Go,Urbandale,121,#121 #0121 121,12041 Douglas Pkwy,IA,50322
Kum & Go,Story City,124,#124 #0124 124,1554 Broad St,IA,50248
Kum & Go,Story City,125,#125 #0125 125,527 Park Ave,IA,50248
Kum & Go,Johnston,129,#129 #0129 129,5225 NW 86th St,IA,50131
Kum & Go,Des Moines,130,#130 #0130 130,2930 Hickman Rd,IA,50310
Kum & Go,Ellsworth,133,#133 #0133 133,1111 IA Highway 175,IA,50075
Kum & Go,Fairfield,134,#134 #0134 134,1601 W Burlington Ave,IA,52556
Kum & Go,Polk City,135,#135 #0135 135,303 W Broadway St,IA,50226
Kum & Go,Tiffin,137,#137 #0137 137,101 Village Dr,IA,52340
Kum & Go,Little Rock,140,#140 #0140 140,6201 Colonel Glenn Rd,AR,72204
Kum & Go,Grimes,141,#141 #0141 141,1880 SE Princeton Dr,IA,50111
Kum & Go,Cabot,143,#143 #0143 143,1303 S Pine St,AR,72023
Kum & Go,North Little Rock,144,#144 #0144 144,5216 JFK Blvd,AR,72116
Kum & Go,Little Rock,146,#146 #0146 146,7620 Baseline Rd,AR,72209
Kum & Go,Bryant,147,#147 #0147 147,1709 N Reynolds Rd,AR,72022
Kum & Go,Sherwood,150,#150 #0150 150,3400 E Kiehl Ave,AR,72120
Kum & Go,North Little Rock,152,#152 #0152 152,3220 Springhill Dr,AR,72117
Kum & Go,North Little Rock,153,#153 #0153 153,8801 Maumelle Blvd,AR,72113
Kum & Go,Maumelle,155,#155 #0155 155,21510 Hwy 365 N,AR,72113
Kum & Go,Clive,156,#156 #0156 156,15600 Hickman Rd,IA,50325
Kum & Go,Urbandale,157,#157 #0157 157,4585 156th St,IA,50323
Kum & Go,Conway,158,#158 #0158 158,2050 Dave Ward Dr,AR,72032
Kum & Go,Conway,159,#159 #0159 159,4095 Prince St,AR,72034
Kum & Go,Urbandale,170,#170 #0170 170,6990 Douglas Ave,IA,50322
Kum & Go,Sherburn,187,#187 #0187 187,600 MN Highway 4,MN,56171
Kum & Go,Des Moines,194,#194 #0194 194,4001 SW 9th St,IA,50315
Kum & Go,Webster City,196,#196 #0196 196,1102 2nd St,IA,50595
Kum & Go,Ames,200,#200 #0200 200,4510 Mortensen Rd,IA,50014
Kum & Go,Coralville,201,#201 #0201 201,822 1st Ave,IA,52241-2106
