keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Kwik Trip,Plover,202,2020000202X 20200202X 0000202XXXX,5339 Harding Ave,WI,54467
Kwik Trip,Wausau,204,2040000204X 20400204X 0000204XXXX,4701 Rib Mountain Dr,WI,54401
Kwik Trip,Maquoketa,212,2120000212X 21200212X 0000212XXXX,102 David Street,IA,52060
Kwik Trip,River Falls,301,3010000301X 30100301X 0000301XXXX,1200 South Main Street,WI,54022
Kwik Trip,Oregon,302,3020000302X 30200302X 0000302XXXX,856 North Main,WI,53575
Kwik Trip,Brooklyn,303,3030000303X 30300303X 0000303XXXX,4183 Hwy 21,IA,52211
Kwik Trip,Red Wing,305,3050000305X 30500305X 0000305XXXX,915 Main St.,MN,55066
Kwik Trip,Lake Mills,306,3060000306X 30600306X 0000306XXXX,105 West Tyranena Park Road,WI,53551
Kwik Trip,Prairie Du Chien,307,3070000307X 30700307X 0000307XXXX,1000 S Marquette Rd,WI,53821
Kwik Trip,Stoddard,308,3080000308X 30800308X 0000308XXXX,202 Main St  Po Box 268,WI,54658
Kwik Trip,Burnsville,309,3090000309X 30900309X 0000309XXXX,501 Crystal Lake Rd West,MN,55306
Kwik Trip,Wisconsin Rapids,310,3100000310X 31000310X 0000310XXXX,2520 West Grand Ave,WI,54495
Kwik Trip,Holmen,311,3110000311X 31100311X 0000311XXXX,1550 South Holmen Drive,WI,54636
Kwik Trip,Kenosha,312,3120000312X 31200312X 0000312XXXX,3920 Washington Rd,WI,53144
Kwik Trip,Neillsville,313,3130000313X 31300313X 0000313XXXX,110 East Division Street,WI,54456
Kwik Trip,Pardeeville,314,3140000314X 31400314X 0000314XXXX,108 N Main St  Po Box 706,WI,53954
Kwik Trip,Greenwood,315,3150000315X 31500315X 0000315XXXX,206 S. Main Street,WI,54437
Kwik Trip,Hutchinson,316,3160000316X 31600316X 0000316XXXX,10 Denver Avenue Se,MN,55350
Kwik Trip,Sparta,317,3170000317X 31700317X 0000317XXXX,10219 State Hwy 16,WI,54656
Kwik Trip,Sparta,318,3180000318X 31800318X 0000318XXXX,630 So Black River Dr,WI,54656
Kwik Trip,Spencer,319,3190000319X 31900319X 0000319XXXX,404 S Pacific Hwy 13,WI,54479
Kwik Trip,Elroy,320,3200000320X 32000320X 0000320XXXX,1003 Academy,WI,53929
Kwik Trip,Rochester,321,3210000321X 32100321X 0000321XXXX,1350 Salem Road Sw,MN,55902
Kwik Trip,Wausau,322,3220000322X 32200322X 0000322XXXX,1440 W Campus Drive,WI,54401
Kwik Trip,Verona,323,3230000323X 32300323X 0000323XXXX,7583 Mineral Point Rd,WI,53593
Kwik Trip,Juneau,324,3240000324X 32400324X 0000324XXXX,210 South Main,WI,53039
Kwik Trip,Mequon,325,3250000325X 32500325X 0000325XXXX,10360 Cedarburg Rd,WI,53092
Kwik Trip,Janesville,326,3260000326X 32600326X 0000326XXXX,3123 South Hwy 51,WI,53546
Kwik Trip,Hayward,327,3270000327X 32700327X 0000327XXXX,15831 Us Hwy 63,WI,54843
Kwik Trip,Blair,328,3280000328X 32800328X 0000328XXXX,511 W. 4th Street,WI,54616
Kwik Trip,Spooner,329,3290000329X 32900329X 0000329XXXX,201 West Maple Street,WI,54801
Kwik Trip,Belle Plaine,330,3300000330X 33000330X 0000330XXXX,104 Aspen Lane,MN,56011
Kwik Trip,Wisconsin Rapids,331,3310000331X 33100331X 0000331XXXX,3030 Plover Rd,WI,54494
Kwik Trip,Horicon,332,3320000332X 33200332X 0000332XXXX,305 Barstow St,WI,53032
Kwik Trip,Mankato,334,3340000334X 33400334X 0000334XXXX,1271 North River Drive,MN,56001
Kwik Trip,Rochester,335,3350000335X 33500335X 0000335XXXX,2335 26th Street Ne,MN,55906
Kwik Trip,Mayville,336,3360000336X 33600336X 0000336XXXX,121 N Main St,WI,53050
Kwik Trip,New Richmond,337,3370000337X 33700337X 0000337XXXX,124 Paperjack Dr.,WI,54017
Kwik Trip,Plover,338,3380000338X 33800338X 0000338XXXX,1900 Post Rd,WI,54467
Kwik Trip,Cuba City,339,3390000339X 33900339X 0000339XXXX,212 S Main St,WI,53807
Kwik Trip,Dodgeville,340,3400000340X 34000340X 0000340XXXX,1122 North Bequette Street,WI,53533
Kwik Trip,Rochester,341,3410000341X 34100341X 0000341XXXX,315 12th St S.e.,MN,55904
Kwik Trip,Stevens Point,342,3420000342X 34200342X 0000342XXXX,3533 Stanley Street,WI,54481
Kwik Trip,Lakeville,343,3430000343X 34300343X 0000343XXXX,17388 Glacier Way,MN,55044
Kwik Trip,Mankato,344,3440000344X 34400344X 0000344XXXX,1549 Madison Ave,MN,56001
Kwik Trip,Monticello,345,3450000345X 34500345X 0000345XXXX,9440 State Hwy 25,MN,55362
Kwik Trip,Beaver Dam,346,3460000346X 34600346X 0000346XXXX,W9153 Cty Hwy G,WI,53916
Kwik Trip,Wisconsin Rapids,347,3470000347X 34700347X 0000347XXXX,4611 8th Street South,WI,54494
Kwik Trip,Clinton,348,3480000348X 34800348X 0000348XXXX,2321 Lincoln Way St,IA,52732
Kwik Trip,Onalaska,350,3500000350X 35000350X 0000350XXXX,9421 Hwy 16,WI,54650
Kwik Trip,Medford,351,3510000351X 35100351X 0000351XXXX,177 South 8th St,WI,54451
Kwik Trip,Chippewa Falls,352,3520000352X 35200352X 0000352XXXX,2997 Commercial Boulevard,WI,54729
Kwik Trip,Watertown,354,3540000354X 35400354X 0000354XXXX,1731 S Church St,WI,53094
Kwik Trip,Weston,356,3560000356X 35600356X 0000356XXXX,5603 Business Hwy 51,WI,54476
Kwik Trip,Rochester,357,3570000357X 35700357X 0000357XXXX,1221 Marion Rd Se,MN,55904
Kwik Trip,Wales,358,3580000358X 35800358X 0000358XXXX,230 W. Summit,WI,53183
Kwik Trip,Appleton,359,3590000359X 35900359X 0000359XXXX,650 West Northland Ave,WI,54911
Kwik Trip,Oconomowoc,360,3600000360X 36000360X 0000360XXXX,N56 W39345 Wisconsin Ave,WI,53066
Kwik Trip,Sheboygan,361,3610000361X 36100361X 0000361XXXX,1618 Calumet Drive,WI,53081
Kwik Trip,Richland Center,363,3630000363X 36300363X 0000363XXXX,2393 Hwy 14 E,WI,53581
Kwik Trip,Rochester,364,3640000364X 36400364X 0000364XXXX,3490 55th St Nw,MN,55901
Kwik Trip,Green Bay,365,3650000365X 36500365X 0000365XXXX,2498 Lineville Road,WI,54313
Kwik Trip,Waterloo,366,3660000366X 36600366X 0000366XXXX,115 Portland Rd,WI,53594
Kwik Trip,Fox Lake,367,3670000367X 36700367X 0000367XXXX,701 W State St,WI,53933
Kwik Trip,Kenosha,371,3710000371X 37100371X 0000371XXXX,6300 52nd Street,WI,53140
Kwik Trip,Oregon,372,3720000372X 37200372X 0000372XXXX,916 Janesville St,WI,53575
