keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Loaf 'N Jug,Fowler,67300001,#001 #1 #0001 01 #01 67300001,2Nd. & Cranston,CO,81039
Loaf 'N Jug,Pueblo,67300002,#002 #2 #0002 02 #02 67300002,2050 Lake Ave,CO,81004
Loaf 'N Jug,Walsenburg,67300003,#003 #3 #0003 03 #03 67300003,200 Main St,CO,81089
Loaf 'N Jug,Boise City,67300004,#004 #4 #0004 04 #04 67300004,323 Main St.,OK,73933
Loaf 'N Jug,Springfield,67300005,#005 #5 #0005 05 #05 67300005,1101 Main St,CO,81073
Loaf 'N Jug,Colorado Springs,67300006,#006 #6 #0006 06 #06 67300006,4770 Drennan Rd,CO,80916
Loaf 'N Jug,Parker,67300007,#007 #7 #0007 07 #07 67300007,9028 S Woodman Way,CO,80134
Loaf 'N Jug,Pueblo,67300008,#008 #8 #0008 08 #08 67300008,2610 Santa Fe Dr,CO,81006
Loaf 'N Jug,Buena Vista,67300009,#009 #9 #0009 09 #09 67300009,610 Us Highway 24 S,CO,81211
Loaf 'N Jug,Alamosa,67300010,#0010 #10 #00010 010 #010 67300010,102 Highway 160 East,CO,81101
Loaf 'N Jug,Castle Rock,67300011,#0011 #11 #00011 011 #011 67300011,4901 Castleton Dr,CO,80109
Loaf 'N Jug,Berthoud,67300012,#0012 #12 #00012 012 #012 67300012,67 Gateway Cir,CO,80513
Loaf 'N Jug,La Junta,67300013,#0013 #13 #00013 013 #013 67300013,918 W 3Rd St,CO,81050
Loaf 'N Jug,Pueblo,67300014,#0014 #14 #00014 014 #014 67300014,1201 W Pueblo Blvd,CO,81004
Loaf 'N Jug,Avondale,67300015,#0015 #15 #00015 015 #015 67300015,243 E Us Highway 50,CO,81022
Loaf 'N Jug,La Junta,67300016,#0016 #16 #00016 016 #016 67300016,101 N Main St,CO,81050
Loaf 'N Jug,Centennial,67300018,#0018 #18 #00018 018 #018 67300018,19853 E Smoky Hill Rd,CO,80015
Loaf 'N Jug,Fort Collins,67300019,#0019 #19 #00019 019 #019 67300019,150 W. Drake Rd.,CO,80525
Loaf 'N Jug,Littleton,67300020,#0020 #20 #00020 020 #020 67300020,5091 S Jellison Way,CO,80123
Loaf 'N Jug,Greenwood Village,67300022,#0022 #22 #00022 022 #022 67300022,5950 S Holly St,CO,80111
Loaf 'N Jug,Colorado City,67300024,#0024 #24 #00024 024 #024 67300024,4401 Hwy 165,CO,81019
Loaf 'N Jug,Pueblo,67300025,#0025 #25 #00025 025 #025 67300025,4800 Thatcher Ave,CO,81005
Loaf 'N Jug,Woodland Park,67300026,#0026 #26 #00026 026 #026 67300026,260 E. Hwy 24,CO,80863
Loaf 'N Jug,Raton,67300027,#0027 #27 #00027 027 #027 67300027,1262 S 2Nd St,NM,87740
Loaf 'N Jug,Pueblo,67300028,#0028 #28 #00028 028 #028 67300028,120 S Santa Fe Ave,CO,81003
Loaf 'N Jug,Colorado Springs,67300033,#0033 #33 #00033 033 #033 67300033,2802 E Pikes Peak Ave,CO,80909
