keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Marshall's,Danvers,1,1 #001 #0001 #01 #1 0000001 M1,100 Independence Way,MA,1923
Marshall's,Bedford,2,2 #002 #0002 #02 #2 0000002 M2,160 Great Road (RTE 4),MA,1730
Marshall's,Lowell,3,3 #003 #0003 #03 #3 0000003 M3,211 Plain Street,MA,1852
Marshall's,Hyannis,4,4 #004 #0004 #04 #4 0000004 M4,65 Indepenence Drive,MA,2601
Marshall's,Baltimore,5,5 #005 #0005 #05 #5 0000005 M5,6700 Reistertown Road,MD,21215
Marshall's,Leominster,7,7 #007 #0007 #07 #7 0000007 M7,510 N. Main Street (Rte. 12),MA,1453
Marshall's,Canton,8,8 #008 #0008 #08 #8 0000008 M8,95 Washington Street,MA,2021
Marshall's,Newton,9,9 #009 #0009 #09 #9 0000009 M9,275 Needham Street,MA,2464
Marshall's,S. Weymouth,10,10 #0010 #00010 #010 #10 00000010 M10,50 Pleasant Street,MA,2190
Marshall's,Springfield,11,11 #0011 #00011 #011 #11 00000011 M11,1400 Boston Rd.,MA,1119
Marshall's,Wethersfield,12,12 #0012 #00012 #012 #12 00000012 M12,1130 Silas Deane Highway,CT,6109
Marshall's,New London,13,13 #0013 #00013 #013 #13 00000013 M13,351 North Frontage Rd,CT,6320
Marshall's,La Quinta,14,14 #0014 #00014 #014 #14 00000014 M14,79395 Highway 111,CA,92253
Marshall's,Cheshire,15,15 #0015 #00015 #015 #15 00000015 M15,199 Highland Avenue,CT,6410
Marshall's,Danbury,17,17 #0017 #00017 #017 #17 00000017 M17,79 Newtown Road,CT,6810
Marshall's,North Reading,18,18 #0018 #00018 #018 #18 00000018 M18,80 Main Street,MA,1867
Marshall's,Hamden,19,19 #0019 #00019 #019 #19 00000019 M19,2100 Dixwell Avenue,CT,6514
Marshall's,Covington,20,20 #0020 #00020 #020 #20 00000020 M20,69324 Highway 21,LA,70433
Marshall's,Marlborough,21,21 #0021 #00021 #021 #21 00000021 M21,230 East Main St.,MA,1752
Marshall's,Marshfield,22,22 #0022 #00022 #022 #22 00000022 M22,1 Snow Rd,MA,2050
Marshall's,Salem,23,23 #0023 #00023 #023 #23 00000023 M23,265 S. Broadway,NH,3079
Marshall's,Bronx,24,24 #0024 #00024 #024 #24 00000024 M24,50 W. 225th Street,NY,10463
Marshall's,Nashua,25,25 #0025 #00025 #025 #25 00000025 M25,Daniel Webster Highway,NH,3060
Marshall's,Avon,26,26 #0026 #00026 #026 #26 00000026 M26,315 West Main Street,CT,6001
Marshall's,Hingham,27,27 #0027 #00027 #027 #27 00000027 M27,400 Lincoln Street (Rte. 3A),MA,2043
Marshall's,Watertown,28,28 #0028 #00028 #028 #28 00000028 M28,1141 Main St. (RTE. 63),CT,6795
Marshall's,Stonybrook,29,29 #0029 #00029 #029 #29 00000029 M29,2200 Neconset Hwy,NY,11790
Marshall's,Port Chester,30,30 #0030 #00030 #030 #30 00000030 M30,20 Waterfront Place,NY,10573
Marshall's,Nanuet,31,31 #0031 #00031 #031 #31 00000031 M31,76 Rockland Plaza,NY,10954
Marshall's,Swampscott,32,32 #0032 #00032 #032 #32 00000032 M32,1005 Paradise Road (Rte. 1A),MA,1907
Marshall's,Poughkeepsie,33,33 #0033 #00033 #033 #33 00000033 M33,Rte.9 South,NY,12601
Marshall's,E. Islip,34,34 #0034 #00034 #034 #34 00000034 M34,2650 Sunrise Hgwy.(Rte. 27),NY,11730
Marshall's,W. Caldwell,35,35 #0035 #00035 #035 #35 00000035 M35,901 Bloomfield Avenue,NJ,7006
Marshall's,Shrewsbury,36,36 #0036 #00036 #036 #36 00000036 M36,270 Route 35 South,NJ,7702
Marshall's,Mt Prospect,37,37 #0037 #00037 #037 #37 00000037 M37,1127 E. Rand Road,IL,60056
Marshall's,Springfield,39,39 #0039 #00039 #039 #39 00000039 M39,400 South State Rd,PA,19064
Marshall's,Moorestown,40,40 #0040 #00040 #040 #40 00000040 M40,401 Route 38 Suite A-5,NJ,8057
Marshall's,Lombard,41,41 #0041 #00041 #041 #41 00000041 M41,102 Yorktown Shopping Center Rd,IL,60148
Marshall's,Alexandria,42,42 #0042 #00042 #042 #42 00000042 M42,6200 Little River Turnpike (Rte. 236),VA,22312
Marshall's,Carle Place (Westbury),43,43 #0043 #00043 #043 #43 00000043 M43,1240 Old Country Road,NY,11514
Marshall's,Langhorne,44,44 #0044 #00044 #044 #44 00000044 M44,Highland Parkway At Us 1,PA,19056
Marshall's,Ballwin,45,45 #0045 #00045 #045 #45 00000045 M45,14890 Manchester Road,MO,63011
Marshall's,Willow Grove,46,46 #0046 #00046 #046 #46 00000046 M46,122 Park Avenue,PA,19090
Marshall's,Williamsburg,47,47 #0047 #00047 #047 #47 00000047 M47,163A Monticello Avenue,VA,23185
Marshall's,Sunset Hills,48,48 #0048 #00048 #048 #48 00000048 M48,10780 Sunset Hill Plaza,MO,63127
Marshall's,Atlanta (Brookhaven),49,49 #0049 #00049 #049 #49 00000049 M49,150 Brookhaven Ave,GA,30319
Marshall's,Oaklawn,50,50 #0050 #00050 #050 #50 00000050 M50,9601 Cicero Avenue,IL,60453
Marshall's,Houma,51,51 #0051 #00051 #051 #51 00000051 M51,Martin Luther King Jr Blvd and Enterprise Dr,LA,70360
Marshall's,Towson,52,52 #0052 #00052 #052 #52 00000052 M52,1238 Putty Hill Avenue,MD,21204
Marshall's,Wayne,53,53 #0053 #00053 #053 #53 00000053 M53,1139 Hamburg Turnpike,NJ,7470
Marshall's,Matteson,54,54 #0054 #00054 #054 #54 00000054 M54,4808 Lincoln Highway (Rte. 30),IL,60443
Marshall's,Houston,55,55 #0055 #00055 #055 #55 00000055 M55,8100 South Gessner Blvd,TX,77036
Marshall's,Westminster,57,57 #0057 #00057 #057 #57 00000057 M57,200 Clifton Boulevard,MD,21157
Marshall's,North Brunswick,58,58 #0058 #00058 #058 #58 00000058 M58,979 US Route 1,NJ,8902
Marshall's,Houston,59,59 #0059 #00059 #059 #59 00000059 M59,9425 Katy Freeway,TX,77024
Marshall's,Countryside,60,60 #0060 #00060 #060 #60 00000060 M60,5555 Brainard Avenue,IL,60525
Marshall's,Medford,61,61 #0061 #00061 #061 #61 00000061 M61,3850 Mystic Valley Parkway (Rte. 16),MA,2155
Marshall's,Portsmouth,62,62 #0062 #00062 #062 #62 00000062 M62,1465 Woodbury Avenue,NH,3801
Marshall's,Sandy Springs,63,63 #0063 #00063 #063 #63 00000063 M63,6337 Roswell Road,GA,30328
Marshall's,Salisbury,65,65 #0065 #00065 #065 #65 00000065 M65,2641 N Salisbury Blvd,MD,21804
Marshall's,Altamonte Springs,67,67 #0067 #00067 #067 #67 00000067 M67,293 E. Altamonte Drive,FL,32701
Marshall's,Marietta,68,68 #0068 #00068 #068 #68 00000068 M68,2203 Roswell Road,GA,30062
Marshall's,Bedford,69,69 #0069 #00069 #069 #69 00000069 M69,75 South River Rd,NH,3110
Marshall's,Fullerton,70,70 #0070 #00070 #070 #70 00000070 M70,1400 S. Harbor Boulevard,CA,92832
Marshall's,Canoga Park,71,71 #0071 #00071 #071 #71 00000071 M71,19731 Vanowen Street,CA,91306
Marshall's,Hartford,72,72 #0072 #00072 #072 #72 00000072 M72,280 Newfield Ave,CT,6106
Marshall's,La Mirada,73,73 #0073 #00073 #073 #73 00000073 M73,15906 Imperial Highway,CA,90638
Marshall's,San Jose - Stevens Creek Blvd.,74,74 #0074 #00074 #074 #74 00000074 M74,5160 Stevens Creek Boulevard,CA,95129
Marshall's,North Hampton,75,75 #0075 #00075 #075 #75 00000075 M75,Route 1 & Route 101,NH,3862
Marshall's,Huntington Beach,76,76 #0076 #00076 #076 #76 00000076 M76,16672 Beach Boulevard,CA,92647
Marshall's,Yuma,78,78 #0078 #00078 #078 #78 00000078 M78,1394 S. Yuma Palms Parkway,AZ,85365
Marshall's,Sacramento - Howe Ave.,79,79 #0079 #00079 #079 #79 00000079 M79,1250 Howe Ave.,CA,95825
Marshall's,Watertown,100,100 #00100 #000100 #0100 #100 000000100 M100,455 Arsenal Street,MA,2474
Marshall's,East Rutherford,101,101 #00101 #000101 #0101 #101 000000101 M101,65 Route 17 South,NJ,7073
Marshall's,Cranston,102,102 #00102 #000102 #0102 #102 000000102 M102,1355 Oaklawn Avenue,RI,2910
Marshall's,Hartsdale,103,103 #00103 #000103 #0103 #103 000000103 M103,221 N. Central Park Ave.,NY,10530
Marshall's,Niles,104,104 #00104 #000104 #0104 #104 000000104 M104,8249 W Golf Rd,IL,60714
Marshall's,North Dallas,105,105 #00105 #000105 #0105 #105 000000105 M105,7609 Campbell Road,TX,75248
Marshall's,Valparaiso,106,106 #00106 #000106 #0106 #106 000000106 M106,"91 Silhavy Road, Suite 131",IN,46383
Marshall's,Huntington,107,107 #00107 #000107 #0107 #107 000000107 M107,839 New York Avenue,NY,11743
Marshall's,Sarasota,108,108 #00108 #000108 #0108 #108 000000108 M108,RTE. 41,FL,34231
Marshall's,Osage Beach,109,109 #00109 #000109 #0109 #109 000000109 M109,3942 Jr Prewitt Parkway (Hwy 54 & Hwy 42),MO,65065
Marshall's,Charlotte,110,110 #00110 #000110 #0110 #110 000000110 M110,118 S. Sharon-Amity Road,NC,28211
Marshall's,Greensboro,111,111 #00111 #000111 #0111 #111 000000111 M111,1583-B New Garden Road,NC,27410
Marshall's,Kansas City,112,112 #00112 #000112 #0112 #112 000000112 M112,8690 N Dixon Ave,MO,64153
Marshall's,Laguna Hills,113,113 #00113 #000113 #0113 #113 000000113 M113,24271 Avenida de la Carlota,CA,92653
Marshall's,Torrance,114,114 #00114 #000114 #0114 #114 000000114 M114,19800 Hawthorne Boulevard,CA,90503
Marshall's,Sacramento - Florin Rd.,115,115 #00115 #000115 #0115 #115 000000115 M115,1000 Florin,CA,95831
Marshall's,Canton,116,116 #00116 #000116 #0116 #116 000000116 M116,41920 Ford Road,MI,48187
Marshall's,North Wales,117,117 #00117 #000117 #0117 #117 000000117 M117,16 Airport Square,PA,19454
Marshall's,Indianapolis,118,118 #00118 #000118 #0118 #118 000000118 M118,9981 E Washington St,IN,46229
Marshall's,Fairfax,119,119 #00119 #000119 #0119 #119 000000119 M119,9640 Main Street,VA,22031
Marshall's,Greenbelt,120,120 #00120 #000120 #0120 #120 000000120 M120,6000 Greenbelt Road,MD,20770
Marshall's,Phoenix - E. Camelback,121,121 #00121 #000121 #0121 #121 000000121 M121,1801 E. Camelback,AZ,85016
Marshall's,Stockton,122,122 #00122 #000122 #0122 #122 000000122 M122,2203 Grand Canal Boulevard,CA,95207
Marshall's,Berwyn,123,123 #00123 #000123 #0123 #123 000000123 M123,7163 Cermak Road,IL,60402
Marshall's,Kissimmee,124,124 #00124 #000124 #0124 #124 000000124 M124,4799 W. Irlo Bronson Hwy,FL,34746
Marshall's,N.E. Philadelphia,125,125 #00125 #000125 #0125 #125 000000125 M125,9169 Roosevelt Blvd.,PA,19114
Marshall's,Brighton,126,126 #00126 #000126 #0126 #126 000000126 M126,8483 West Grand River Avenue,MI,48116
Marshall's,Charleston,128,128 #00128 #000128 #0128 #128 000000128 M128,2245 Ashley Crossing,SC,29414
Marshall's,Harwood Heights,129,129 #00129 #000129 #0129 #129 000000129 M129,4725 N. Harlem Avenue,IL,60656
Marshall's,Lakeville,130,130 #00130 #000130 #0130 #130 000000130 M130,18307 Kenrick Ave,MN,55044
Marshall's,Middletown,131,131 #00131 #000131 #0131 #131 000000131 M131,416 East Main St,CT,6457
Marshall's,St. Louis (Creve Ceour),132,132 #00132 #000132 #0132 #132 000000132 M132,12555 Olive Blvd.,MO,63141
Marshall's,Myrtle Beach,133,133 #00133 #000133 #0133 #133 000000133 M133,10816 Kings Road,SC,29572
Marshall's,Williston,136,136 #00136 #000136 #0136 #136 000000136 M136,194 Retail Way,VT,5495
Marshall's,Vienna,139,139 #00139 #000139 #0139 #139 000000139 M139,8353 Leesburg Pike,VA,22182
Marshall's,Columbus - Bethel Rd.,140,140 #00140 #000140 #0140 #140 000000140 M140,805 Bethel Road,OH,43214
Marshall's,New Orleans,141,141 #00141 #000141 #0141 #141 000000141 M141,1200 S. Clearview Parkway,LA,70123
Marshall's,Richmond - W. Broad St.,143,143 #00143 #000143 #0143 #143 000000143 M143,7506 W. Broad Street,VA,23294
Marshall's,Midlothian,144,144 #00144 #000144 #0144 #144 000000144 M144,9748 Midlothian Tpk,VA,23235
Marshall's,South Dade,145,145 #00145 #000145 #0145 #145 000000145 M145,16051 S. Dixie Highway,FL,33157
Marshall's,Hialeah,146,146 #00146 #000146 #0146 #146 000000146 M146,1700 W. 49th Street,FL,33012
Marshall's,West Palm Beach,149,149 #00149 #000149 #0149 #149 000000149 M149,1801 N. Military Trail,FL,33409
Marshall's,Raleigh Springs,150,150 #00150 #000150 #0150 #150 000000150 M150,3001 Covington Pike,TN,38128
Marshall's,Rochester,152,152 #00152 #000152 #0152 #152 000000152 M152,480 Greece Ridge Center Drive,NY,14626
Marshall's,Sanford,153,153 #00153 #000153 #0153 #153 000000153 M153,1551 WP Ball Blvd.,FL,32771
Marshall's,Pittsford (Rochester),154,154 #00154 #000154 #0154 #154 000000154 M154,3340 Monroe Avenue,NY,14534
Marshall's,Kenosha,155,155 #00155 #000155 #0155 #155 000000155 M155,5914 75th St,WI,53142
Marshall's,San Antonio,156,156 #00156 #000156 #0156 #156 000000156 M156,8505 Blanco Road,TX,78216
Marshall's,Yuba City,157,157 #00157 #000157 #0157 #157 000000157 M157,1130 Harter Rd,CA,95993
Marshall's,Thousand Oaks,158,158 #00158 #000158 #0158 #158 000000158 M158,225 N. Moorpark Road,CA,91360
Marshall's,Roseville,161,161 #00161 #000161 #0161 #161 000000161 M161,2100 N. Snelling Avenue,MN,55113
Marshall's,Richfield,162,162 #00162 #000162 #0162 #162 000000162 M162,36 W. 66th Street,MN,55423
Marshall's,E. Providence,163,163 #00163 #000163 #0163 #163 000000163 M163,1925 Pawtucket Avenue,RI,2914
Marshall's,Commack,164,164 #00164 #000164 #0164 #164 000000164 M164,6A Henry St,NY,11725
Marshall's,Evansville,166,166 #00166 #000166 #0166 #166 000000166 M166,306 N. Green River Road,IN,47715
Marshall's,Pompano Beach,167,167 #00167 #000167 #0167 #167 000000167 M167,1401 S. Federal Highway,FL,33060
Marshall's,Fort Myers,168,168 #00168 #000168 #0168 #168 000000168 M168,4995 S Cleveland Avenue,FL,33907
Marshall's,Downey,169,169 #00169 #000169 #0169 #169 000000169 M169,12106 Lakewood Blvd.,CA,90241
Marshall's,Pleasant Hill,170,170 #00170 #000170 #0170 #170 000000170 M170,2310 Monument Blvd,CA,94523
