keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Navy Exchange,Newport News,7,0007 00007,"3100 Huntington Hall Avenue , Building No (633)",VA,23607-2787
Navy Exchange,Norfolk,10,00010 000010,"1560 Mall Drive , Building No (CD-13)",VA,23511-3893
Navy Exchange,Va Beach,16,00016 000016,"1170 Amphibious Drive , Building No (3443)",VA,23459-2315
Navy Exchange,Chesapeake,17,00017 000017,"1441 Northwest Blvd  , Building No (NW4)",VA,23322-5000
Navy Exchange,Wallops Island,18,00018 000018,"North ByPass Rd. , Building No (V10)",VA,23337
Navy Exchange,Newport News,20,00020 000020,"Naval Weapons Station , Building No (2027)",VA,23603
Navy Exchange,Williamsburg,21,00021 000021,"130 Sanda Ave , Building No (130)",VA,23185
Navy Exchange,Norfolk,24,00024 000024,"1467 Ingram Ave. , Building No (NH18)",VA,23511
Navy Exchange,Norfolk,25,00025 000025,"7800 Hampton Blvd. , Building No (SC 400)",VA,23511
Navy Exchange,Sugar Grove,26,00026 000026,"Naval Security Group Activity , Building No (30)",WV,26815
Navy Exchange,Portsmouth,28,00028 000028,"1560 Cluverus St. , Building No (1560)",VA,23709
Navy Exchange,Portsmouth,29,00029 000029,"620 John Paul Jones Circle , Building No (3)",VA,23708
Navy Exchange,Virginia Beach,34,00034 000034,"Naval Air Station , Building No (#292)",VA,23460
Navy Exchange,Virginia Beach,37,00037 000037,"1977 Terrier Ave.  , Building No (524)",VA,23461-1997
Navy Exchange,NEWPORT,55,00055 000055,"1250 HACKER AVE. , Building No (1250)",RI,2841
Navy Exchange,Garden City,57,00057 000057,"Naval Station New York , Building No (16)",NY,11530-6795
Navy Exchange,Groton,67,00067 000067,"Naval Submarine Base  , Building No (484)",CT,6349
Navy Exchange,Saratoga Springs,69,00069 000069,"19 JF King Drive , Building No (118)",NY,12866
Navy Exchange,Kittery,77,00077 000077,"Portsmouth Naval Shipyard , Building No (168,Code 805)",ME,3904
Navy Exchange,Philadelphia,78,00078 000078,"700 Robbins Avenue , Building No (5)",PA,19111-5098
Navy Exchange,Mechanicsburg,79,00079 000079,"Naval Support Activity , Building No (214)",PA,17055
Navy Exchange,Lakehurst,80,00080 000080,"Naval Air Engineering Station , Building No (485)",NJ,8733
Navy Exchange,Colts Neck,82,00082 000082,"Highway 34 South , Building No (C-29)",NJ,7722
Navy Exchange,Washington Navy Yard,87,00087 000087,"1334 Parsons Ave. SE Ste 100 , Building No (184)",DC,20374-5082
Navy Exchange,Arlington,90,00090 000090,"1555 S. Gate Rd, MCCSHenderson , Building No (PT Field)",VA,22204
