keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Panda Express,Glendale,100,#100 100,3214 Glendale Galleria,CA,91210
Panda Express,Los Angeles,101,#101 101,10800 West Pico Blvd. #310,CA,90064
Panda Express,Redondo Beach,102,#102 102,1815 Hawthrone Bl. #312,CA,90278
Panda Express,Escondido,103,#103 103,200 E. Via Rancho Pkwy,CA,92025
Panda Express,Honolulu,106,#106 106,1450 Ala Moana Bl. #fc 1160-n,HI,96814
Panda Express,Santa Ana,108,#108 108,2800 N. Main St. #912,CA,92701
Panda Express,Victorville,109,#109 109,"14400 Bear Valley Road, #713",CA,92392
Panda Express,Jersey City,110,#110 110,30-303 Mall Drive W.,NJ,7310
Panda Express,San Francisco,112,#112 112,3251 20th Ave. #250h,CA,94132
Panda Express,Bakersfield,113,#113 113,2701 Ming Ave. Space # F-3,CA,93304
Panda Express,Arcadia,114,#114 114,745 W. Naomi Avenue,CA,91006
Panda Express,Westminster,117,#117 117,2105 Westminster Mall,CA,92683
Panda Express,Glendale,118,#118 118,1134 Glendale Galleria,CA,91210
Panda Express,Los Angeles,119,#119 119,3650 M.l.king Jr. Blvd #137,CA,90008
Panda Express,Brea,125,#125 125,2158 Brea Mall,CA,92821
Panda Express,Aiea,127,#127 127,98-1005 Moanalua Rd,HI,96701
Panda Express,Arlington,128,#128 128,1100 S. Hayes St. #m126,VA,22202
Panda Express,Culver City,129,#129 129,11030 W. Jefferson Blvd.,CA,90230
Panda Express,San Diego,131,#131 131,11986 Bernardo Plaza Drive,CA,92128
Panda Express,West Covina,132,#132 132,811 Plaza Drive,CA,91790
Panda Express,Rolling Hills,133,#133 133,#7 Peninsula Center,CA,90274
Panda Express,El Cajon,138,#138 138,705 Fletcher Parkway,CA,92020
Panda Express,Mesa,139,#139 139,6555-2506 East Southern Ave.,AZ,85206
Panda Express,Sherman Oaks,140,#140 140,14006 Riverside Dr. #254,CA,91423
Panda Express,Long Beach,143,#143 143,5945 E. Spring St.,CA,90808
Panda Express,Scottsdale,144,#144 144,7014 E. Camelback #569,AZ,85251
Panda Express,San Francisco,145,#145 145,865 Market Street,CA,94103
Panda Express,San Diego,147,#147 147,3850 Valley Ctr. Dr.,CA,92130
Panda Express,Baltimore,151,#151 151,825 Dulaney Valley R Rd. #362,MD,21204
Panda Express,Burbank,154,#154 154,1110 W. Alameda Ave.,CA,91506
Panda Express,Kihei,157,#157 157,1279 S. Kihei Road #102,HI,96753
Panda Express,Bloomington,158,#158 158,350 N. Garden,MN,55425
Panda Express,Bloomington,159,#159 159,374 South Ave.,MN,55425
Panda Express,West Hills,163,#163 163,6534 Platt Ave.,CA,91304
Panda Express,Albuquerque,170,#170 170,6600 Menaul Blvd. N.e. #40-1,NM,87110
Panda Express,Marina Del Rey,171,#171 171,4325 Glencoe Ave #c4,CA,90292
Panda Express,Los Angeles,175,#175 175,308 Westwood Plaza,CA,90024
Panda Express,Anaheim,178,#178 178,8010 Santa Ana Canyon Rd.,CA,92808
Panda Express,Rancho Mirage,179,#179 179,36101 Bob Hope,CA,92270
Panda Express,Santa Rosa,183,#183 183,2107 Santa Rosa Plaza,CA,95401
Panda Express,Honolulu,186,#186 186,333 Keahole St. #2c1,HI,96825
Panda Express,Santa Monica,187,#187 187,804 Montana Ave.,CA,90403
Panda Express,Mclean,190,#190 190,7941 L Tyson Comer Center,VA,22102
Panda Express,Tucson,191,#191 191,4500 N Oracle Box 454,AZ,85705
Panda Express,Pasadena,192,#192 192,218 S Lake Ave,CA,91101
