Keyword,city,Agg store_number,Store Number,address,state,zip_code
Pathmark,Jersey City,586,#586,420 Grand Street,NJ,7302
Pathmark,Belleville,587,#587,115 Belmont Ave.,NJ,7109
Pathmark,Hackensack,588,#588,405 State Route 17 South,NJ,7601
Pathmark,Staten Island,589,#589,2660 Hylan Blvd,NY,10306
Pathmark,Berwyn,600,#600,450 W Swedesford Rd,PA,19312
Pathmark,Jersey City,585,#585,321 Stadium Plaza,NJ,7305
Pathmark,Clifton,590,#590,85 Ackerman Ave.,NJ,7011
Pathmark,Weehawken,591,#591,4100 Park Ave.,NJ,7087
Pathmark,Elmwood Park,592,#592,58 Broadway,NJ,7407
Pathmark,Clifton,593,#593,895 Paulison Ave.,NY,7011
Pathmark,Newark,594,#594,281-295 Ferry St.,NJ,7105
Pathmark,Edgewater,595,#595,481 River Rd.,NJ,7020
Pathmark,Bergenfield,596,#596,80 New Bridge Rd.,NJ,7621
Pathmark,Fairlawn,597,#597,22-00 Maple Ave.,NJ,7410
Pathmark,Newark,598,#598,167 Bergen St.,NJ,7103
Pathmark,Irvington,599,#599,474-79 Lyons Ave.,NJ,7111
Pathmark,Landing,601,#601,175 Lakeside Blvd.,NJ,7850
Pathmark,South Orange,602,#602,407 Valley St.,NJ,7079
Pathmark,Montclair,603,#603,35 Lackawanna Plaza,NJ,7042
Pathmark,Parsippany,604,#604,1157 Rt. 46,NJ,7054
Pathmark,Kinnelon,605,#605,25 Kinnelon Rd.,NJ,7405
Pathmark,Lake Hopatcong,606,#606,757 Rt. 15,NJ,7849
Pathmark,Elizabeth,607,#607,211 Elmora Ave.,NJ,7202
Pathmark,Nanuet,608,#608,195 Rockland Center E. Rt 59,NY,10954
Pathmark,Yonkers,609,#609,1757 Central Park Ave.,NY,10710
Pathmark,Port Chester,610,#610,130 Midland Ave.,NY,10573
Pathmark,Yonkers,611,#611,2540 Central Park Ave.,NY,10710
Pathmark,Ramsey,612,#612,10 Triangle Plaza,NJ,7446
Pathmark,Walnutport,613,#613,300 S Best Ave,PA,18088
Pathmark,Middlesex,614,#614,242 Lincoln Blvd.,NJ,8846
Pathmark,Garwood,615,#615,10 South Ave.,NJ,7027
Pathmark,Linden,616,#616,651 No. Stiles St.,NJ,7036
Pathmark,Philadelphia,617,#617,3399 Aramingo Ave.,PA,19134
Pathmark,Perth Amboy,619,#619,95-101 New Brunswick Ave.,NJ,8861
Pathmark,Wyncote,620,#620,1000 Easton Rd.,PA,19095
Pathmark,Fairless Hills,621,#621,500 Lincoln Hwy.,PA,19030
Pathmark,Philadelphia,622,#622,3021 Grays Ferry Ave.,PA,19146
Pathmark,Edison,623,#623,561 Rt. 1,NJ,8817
Pathmark,East Brunswick,624,#624,50 Race Track Rd.,NJ,8816
Pathmark,Philadelphia,626,#626,176-82 West Chelten Ave,PA,19144
Pathmark,Philadelphia,627,#627,330 Oregon Ave.,PA,19148
Pathmark,Philadelphia,628,#628,8700 Frankford Ave.,PA,19136
Pathmark,Philadelphia,629,#629,4160 Monument Ave.,PA,19131
Pathmark,Philadelphia,630,#630,2900 North Broad St.,PA,19132
Pathmark,Brookhaven,631,#631,5005 Edgmont Avenue,PA,19015
Pathmark,Philadelphia,632,#632,840 Cottman Ave.,PA,19111
Pathmark,Folsom,633,#633,420 MacDade Blvd.,PA,19033
Pathmark,Upper Darby,634,#634,421 S. 69th St.,PA,19082
Pathmark,Glenolden,635,#635,140 N. MacDade Blvd.,PA,19036
Pathmark,Hazlet,636,#636,3020 Hwy. 35,NJ,7730
Pathmark,Bricktown,638,#638,1930 Route 88,NJ,8724
Pathmark,Avenel,639,#639,1600 St. Georges Ave.,NJ,7001
Pathmark,Old Bridge,640,#640,1043 Rt. 9,NJ,8859
Pathmark,Toms River,641,#641,1256 Indian Head Rd.,NJ,8755
Pathmark,Boothwyn Pa,642,#642,643 Conchester Hwy,PA,19061
Pathmark,Wilmington,643,#643,4365 Kirkwood Hwy.,DE,19808
Pathmark,Ventnor,644,#644,5100 Wellington Ave.,NJ,8406
Pathmark,Wilmington,645,#645,3901 Lancaster Pike,DE,19805
Pathmark,Newark,646,#646,100 College Sq.,DE,19711
Pathmark,New Castle,648,#648,148 Sunset Blvd.,DE,19720
Pathmark,Brentwood,649,#649,101 Wicks Rd.,NY,11717
Pathmark,Bay Shore,650,#650,2060 Sunrise Hwy.,NY,11706
Pathmark,New York,651,#651,300 W. 145th St.,NY,10039
Pathmark,Port Jefferson Station,652,#652,5145 Nesconset Hwy.,NY,11776
Pathmark,Greenvale,653,#653,130 Wheatley Plaza,NY,11548
Pathmark,Harlem,654,#654,160 E. 125th St.,NY,10035
Pathmark,New York,655,#655,410 W. 207th St.,NY,10034
Pathmark,East Rockaway,656,#656,492 E. Atlantic Ave.,NY,11518
Pathmark,Bronx,657,#657,1851 Bruckner Blvd.,NY,10472
Pathmark,Patchogue,658,#658,399 Rt. 112,NY,11772
Pathmark,North Babylon,659,#659,1251 Deer Park Ave.,NY,11703
Pathmark,Jamaica,660,#660,134-40 Springfield Blvd.,NY,11413
Pathmark,Brooklyn,661,#661,625 Atlantic Ave.,NY,11217
Pathmark,Flushing,662,#662,31-06 Farrington St.,NY,11354
Pathmark,Baldwin,663,#663,1764 Grand Ave.,NY,11510
Pathmark,Brooklyn,664,#664,1260 60th St.,NY,11219
Pathmark,Seaford,665,#665,4055 Merrick Rd.,NY,11783
Pathmark,Ozone Park,666,#666,92-10 Atlantic Ave.,NY,11417
Pathmark,Franklin Square,667,#667,460 Franklin Ave.,NY,11010
Pathmark,Brooklyn,668,#668,111-10 Flatlands Avenue,NY,11207
Pathmark,Brooklyn,669,#669,1525 Albany Ave.,NY,11210
Pathmark,Brooklyn,670,#670,2965 Cropsey Ave.,NY,11214
Pathmark,Islip,671,#671,155 Islip Ave.,NY,11751
Pathmark,Holbrook,672,#672,5801 Sunrise Hwy.,NY,11741
Pathmark,Brooklyn,673,#673,1-37 12th St.,NY,11215
Pathmark,West Babylon,674,#674,531 Montauk Hwy.,NY,11704
Pathmark,Shirley,675,#675,800 Montauk Hwy.,NY,11967
Pathmark,Bronx,676,#676,2136 Bartow Ave.,NY,10475
Pathmark,New Hyde Park,677,#677,2335 New Hyde Park Rd.,NY,11040
Pathmark,Massapequa,678,#678,941 Carmans Rd.,NY,11758
Pathmark,Bethpage,679,#679,3901 Hempstead Tpke.,NY,11714
Pathmark,Bronx,680,#680,961 East 174th St.,NY,10460
Pathmark,Centereach,681,#681,2150 Middle Country Rd.,NY,11720
Pathmark,Dix Hills,682,#682,683 Old Country Rd.,NY,11746
Pathmark,Bronx,684,#684,1720 Eastchester Rd.,NY,10461
Pathmark,Staten Island,685,#685,2730 Arthur Kill Rd.,NY,10309
Pathmark,Staten Island,686,#686,3501 Amboy Rd.,NY,10308
Pathmark,Staten Island,687,#687,2875 Richmond Ave.,NY,10314
Pathmark,Staten Island,688,#688,1351 Forest Ave.,NY,10302
Pathmark,Philadelphia,689,#689,2101-41 Cottman Ave,PA,19149
Pathmark,Philadelphia,690,#690,85 Franklin Mills Blvd,PA,19154
Pathmark,Philadelphia,691,#691,7700 Crittenden St.,PA,19118
