keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Payless,TOPEKA,1,PAYLESSSHOESOU0001 PAYLESSSHOESOU000001 PAYLESSSHOESOU00001,3215 SW TOPEKA BLVD,KS,66611-2234
Payless,MIAMI,2,PAYLESSSHOESOU0002 PAYLESSSHOESOU000002 PAYLESSSHOESOU00002,"3401 N MIAMI AVE, SUITE 120",FL,33127-3537
Payless,MESQUITE,4,PAYLESSSHOESOU0004 PAYLESSSHOESOU000004 PAYLESSSHOESOU00004,500 N GALLOWAY AVE SUITE 124,TX,75149-4398
Payless,LUBBOCK,5,PAYLESSSHOESOU0005 PAYLESSSHOESOU000005 PAYLESSSHOESOU00005,5709 4TH STREET,TX,79416-4241
Payless,EL PASO,10,PAYLESSSHOESOU00010 PAYLESSSHOESOU0000010 PAYLESSSHOESOU000010,725 SUNLAND PARK DR,TX,79912-6701
Payless,LUBBOCK,11,PAYLESSSHOESOU00011 PAYLESSSHOESOU0000011 PAYLESSSHOESOU000011,"1803 7TH ST, SUITE 1101",TX,79401-2325
Payless,AMARILLO,12,PAYLESSSHOESOU00012 PAYLESSSHOESOU0000012 PAYLESSSHOESOU000012,"5722 W AMARILLO BLVD, SUITE 5",TX,79106-4004
Payless,PARIS,13,PAYLESSSHOESOU00013 PAYLESSSHOESOU0000013 PAYLESSSHOESOU000013,3562 LAMAR AVE,TX,75460-5026
Payless,LAWTON,15,PAYLESSSHOESOU00015 PAYLESSSHOESOU0000015 PAYLESSSHOESOU000015,1202 NW SHERIDAN,OK,73505-5210
Payless,ODESSA,16,PAYLESSSHOESOU00016 PAYLESSSHOESOU0000016 PAYLESSSHOESOU000016,1001 E 8TH ST,TX,79761-4633
Payless,MIDWEST CITY,21,PAYLESSSHOESOU00021 PAYLESSSHOESOU0000021 PAYLESSSHOESOU000021,7201 SE 29TH ST STE 210,OK,73110-6092
Payless,MOORE,23,PAYLESSSHOESOU00023 PAYLESSSHOESOU0000023 PAYLESSSHOESOU000023,2724 S TELEPHONE RD,OK,73160-2909
