keywords,city,Aggdata Store Number,store_number,address,state,zip_code
P F Changs,Newport Beach,1200,#1200,1145 Newport Center Dr.,CA,92660
P F Changs,San Diego,1300,#1300,4540 La Jolla Village Dr.,CA,92122
P F Changs,Irvine,1400,#1400,61 Fortune Dr.,CA,92618
P F Changs,Las Vegas,1500,#1500,4165 S Paradise Rd.,NV,89169
P F Changs,Houston,1600,#1600,4094 Westheimer Rd.,TX,77027
P F Changs,Lone Tree,1700,#1700,8315 S  Park Meadows Center Dr.,CO,80124
P F Changs,Austin,1800,#1800,10114 Jollyville Rd.,TX,78759
P F Changs,Metairie,1900,#1900,3301 Veterans Memorial Blvd. Unit #63,LA,70002
P F Changs,N. Miami Beach,2000,#2000,17455 Biscayne Blvd.,FL,33160
P F Changs,Denver,2100,#2100,1415 15th St.,CO,80202
P F Changs,Miami,2200,#2200,8888 SW 136th St. Suite 100,FL,33176
P F Changs,Charlotte,2600,#2600,6809-F Phillips Place Court,NC,28210
P F Changs,Tempe,2800,#2800,740 S Mill Ave. #140,AZ,85281
P F Changs,Dallas,2900,#2900,18323 N Dallas Pkwy.,TX,75287
P F Changs,McLean,3000,#3000,1716M International Dr.,VA,22102
P F Changs,Boca Raton,3400,#3400,1400 Glades Rd. Bay 220,FL,33431
P F Changs,Atlanta,3500,#3500,500 Ashwood Pkwy.,GA,30338
P F Changs,Birmingham,3600,#3600,233 Summit Blvd.,AL,35243
P F Changs,Bellevue,3700,#3700,525 Bellevue Square,WA,98004
P F Changs,El Segundo,3800,#3800,2041 Rosecrans Ave. Suite #120,CA,90245
P F Changs,Dallas,3900,#3900,"8687 North Central Expressway, Ste 225",TX,75225
P F Changs,Woodland Hills,4200,#4200,21821 Oxnard St.,CA,91367
P F Changs,Troy,4300,#4300,2801 W Big Beaver Rd. Space D112,MI,48084
P F Changs,Northbrook,4400,#4400,1819 Lake Cook Rd.,IL,60062
P F Changs,Walnut Creek,4500,#4500,1205 Broadway Plaza,CA,94596
P F Changs,Raleigh,4600,#4600,4325 Glenwood Ave. #2089,NC,27612
P F Changs,Los Angeles,4700,#4700,121 N La Cienega Blvd. #117,CA,90048
P F Changs,Westbury,4800,#4800,1504 Old Country Rd. #B9A,NY,11590
