keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Pick Up Stix,Rancho Santa Margarita,101,101,30461 Avenida De Las Flores,CA,92688
Pick Up Stix,Irvine,102,102,5365 Alton Parkway,CA,92604
Pick Up Stix,San Clemente,104,104,415 Avenida Pico,CA,92672
Pick Up Stix,Laguna Niguel,105,105,27000 Alicia Pkwy,CA,92677
Pick Up Stix,Tustin,106,106,13289 Jamboree Road,CA,92782
Pick Up Stix,Santa Ana,107,107,2801 W. MacArthur Blvd.,CA,92704
Pick Up Stix,Huntington Beach,108,108,5145 Warner Avenue,CA,92649
Pick Up Stix,Mission Viejo,110,110,26861 Trabuco Road,CA,92691
Pick Up Stix,La Habra,111,111,1331 W. Imperial Hwy,CA,90631
Pick Up Stix,Irvine,114,114,16163 Lake Forest Drive,CA,92618
Pick Up Stix,Rancho Santa Margarita,115,115,28562 Oso Parkway,CA,92688
Pick Up Stix,Huntington Beach,116,116,7041 Yorktown Avenue,CA,92648
Pick Up Stix,Dana Point,117,117,32525 Golden Lantern Street,CA,92629
Pick Up Stix,Lake Forest,118,118,26696 Portola Pkwy.,CA,92610
Pick Up Stix,Seal Beach,119,119,12430 Seal Beach Blvd.,CA,90740
Pick Up Stix,Newport Beach,120,120,1614 San Miguel Drive,CA,92660
Pick Up Stix,Newport Beach,121,121,1112 Irvine Avenue,CA,92660
Pick Up Stix,Costa Mesa,122,122,2701 Harbor Blvd.,CA,92626
Pick Up Stix,Fullerton,123,123,1034 East Bastanchury Road,CA,92835
Pick Up Stix,San Juan Capistrano,124,124,32341 Camino Capistrano,CA,92624
Pick Up Stix,Laguna Niguel,126,126,30065 Alicia Pkwy.,CA,92677
Pick Up Stix,Fullerton,127,127,501 North State College,CA,92831
Pick Up Stix,Del Mar,201,201,2710 Via De La Valle,CA,92014
Pick Up Stix,San Diego,203,203,1040 University Avenue,CA,92103
Pick Up Stix,La Jolla,204,204,8707 Villa La Jolla Drive,CA,92037
Pick Up Stix,La Mesa,206,206,8025 Fletcher Parkway,CA,91942
Pick Up Stix,San Diego,207,207,2019 Camino Del Este,CA,92108
Pick Up Stix,San Diego,208,208,10755 Scripps Poway Pkwy,CA,92131
Pick Up Stix,San Diego,209,209,1975 Garnet Avenue,CA,92109
Pick Up Stix,El Cajon,210,210,2504 Jamacha Road,CA,92019
Pick Up Stix,San Diego,212,212,3737 Murphy Canyon Road,CA,92123
Pick Up Stix,Vista,214,214,251 South Melrose Drive,CA,92081
Pick Up Stix,Carlsbad,215,215,7750 Rancho Santa Fe Road,CA,92009
Pick Up Stix,San Diego,216,216,3365 Rosecrans St.,CA,92110
Pick Up Stix,Escondido,217,217,1875 South Centre City Pkwy.,CA,92025
Pick Up Stix,San Diego,219,219,10712 Westview Pkwy.,CA,92126
Pick Up Stix,San Diego,220,220,7825 Highlands Village Place,CA,92129
Pick Up Stix,Chula Vista,221,221,2127 Olympic Pkwy,CA,91914
Pick Up Stix,San Diego,222,222,4961 Clairemont Drive,CA,92117
Pick Up Stix,Oceanside,223,223,125 Old Grove Road,CA,92054
Pick Up Stix,Carlsbad,224,224,7150 Avenida Encinas,CA,92009
Pick Up Stix,San Diego,226,226,4645 Carmel Mountain Road,CA,92130
Pick Up Stix,Long Beach,301,301,2090 Bellflower Blvd.,CA,90815
Pick Up Stix,Granada Hills,302,302,18101 Chatsworth Street,CA,91344
Pick Up Stix,Studio City,304,304,3960 Laurel Canyon Blvd,CA,91604
Pick Up Stix,Valencia,305,305,25960 The Old Road,CA,91381
Pick Up Stix,Calabasas,306,306,4799 Commons Way,CA,91302
Pick Up Stix,San Pedro,307,307,970 N. Western Avenue,CA,90732
Pick Up Stix,Hermosa Beach,308,308,703 Pier Avenue,CA,90254
Pick Up Stix,Northridge,309,309,19751 Rinaldi Street,CA,91326
Pick Up Stix,Torrance,310,310,24231 Crenshaw Blvd.,CA,90505
Pick Up Stix,Long Beach,311,311,6451 E. Pacific Coast Hwy.,CA,90803
Pick Up Stix,La Verne,312,312,1335 Foothill Blvd.,CA,91750
Pick Up Stix,Alhambra,315,315,1129 S. Fremont Street,CA,91803
Pick Up Stix,Lakewood,317,317,5105 Candlewood Street,CA,90712
Pick Up Stix,Palmdale,326,326,39604 10th Street West,CA,93551
Pick Up Stix,Thousand Oaks,401,401,180 Promenade Way,CA,91362
Pick Up Stix,Simi Valley,405,405,2902 Tapo Canyon Road,CA,93063
Pick Up Stix,Oxnard,407,407,369 W. Esplanade Drive,CA,93030
Pick Up Stix,South Corona,501,501,360 W. Foothill Parkway,CA,92882
Pick Up Stix,Temecula,502,502,32240 State Highway 79,CA,92592
Pick Up Stix,Temecula,503,503,40315 Winchester Road,CA,92590
Pick Up Stix,Mira Loma,507,507,12571 Limonite Avenue,CA,91752
Pick Up Stix,Riverside,508,508,3540 Riverside Plaza Drive,CA,92506
Pick Up Stix,Murrieta,509,509,24635 Madison Avenue,CA,92562
Pick Up Stix,Chino Hills,701,701,3410 Grand Avenue,CA,91709
Pick Up Stix,Upland,702,702,131 W. Foothill Blvd,CA,91786
Pick Up Stix,San Bernardino,703,703,1060 E. Harriman Place,CA,92408
Pick Up Stix,Fontana,704,704,16125 Sierra Lakes Pkwy.,CA,92336
Pick Up Stix,Placentia,801,801,187 E. Yorba Linda Blvd,CA,92870
Pick Up Stix,Fountain Valley,802,802,18030 Brookhurst,CA,92708
Pick Up Stix,Anaheim Hills,803,803,5576 E. Santa Ana Canyon Road,CA,92807
Pick Up Stix,Rancho Cucamonga,804,804,10990 Foothill Blvd.,CA,91730
