keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Price Chopper,Schenectady,2917,17 #17 #017 2917,1640 Eastern Parkway,NY,12309
Price Chopper,Troy,2918,18 #18 #018 2918,716 Hoosick Road,NY,12180
Price Chopper,Lincoln,2919,19 #19 #019 2919,10 Lumberyard Rd,NH,3251
Price Chopper,Glens Falls,2920,20 #20 #020 2920,84 Cooper St,NY,12801
Price Chopper,Lee,2921,21 #21 #021 2921,88 West Park Street,MA,1238
Price Chopper,Troy,2922,22 #22 #022 2922,865 2nd Ave.,NY,12182
Price Chopper,Johnstown,2923,23 #23 #023 2923,North Comrie Ave.,NY,12095
Price Chopper,Clifton Park,2924,24 #24 #024 2924,Routes 146 & 146A,NY,12065
Price Chopper,Watervliet,2925,25 #25 #025 2925,1804 Second Ave.,NY,12189
Price Chopper,Albany,2926,26 #26 #026 2926,1060 Madison Ave.,NY,12208
Price Chopper,West Carthage,2927,27 #27 #027 2927,60 High St.,NY,13619
Price Chopper,Utica,2928,28 #28 #028 2928,1917 Genesee Street,NY,13501
Price Chopper,Guilderland,2929,29 #29 #029 2929,Routes 20 and 155,NY,12084
Price Chopper,Potsdam,2930,30 #30 #030 2930,201 Market St.,NY,13676
Price Chopper,Ogdensburg,2931,31 #31 #031 2931,2981 Ford St. Extention #9,NY,13669
Price Chopper,Massena,2932,32 #32 #032 2932,152 Harte Haven Plaza,NY,13662
Price Chopper,North Adams,2933,33 #33 #033 2933,245 State Road,MA,1247
Price Chopper,Saratoga Springs,2934,34 #34 #034 2934,55 Railroad Place,NY,12866
Price Chopper,Cohoes,2935,35 #35 #035 2935,240 Congress Street,NY,12047
Price Chopper,Gouverneur,2936,36 #36 #036 2936,389 East Main St.,NY,13642
Price Chopper,Scotia,2937,37 #37 #037 2937,290 Saratoga Road,NY,12302
Price Chopper,Saratoga Springs,2938,38 #38 #038 2938,3045 Route 50,NY,12866
Price Chopper,Queensbury,2939,39 #39 #039 2939,677 Upper Glen Street,NY,12804
Price Chopper,Catskill,2940,40 #40 #040 2940,320 West Bridge St,NY,12414
Price Chopper,Utica,2941,41 #41 #041 2941,Auert Ave.,NY,13501
Price Chopper,Albany,2942,42 #42 #042 2942,40 Delaware Ave.,NY,12210
Price Chopper,Canton,2943,43 #43 #043 2943,111 East Main St.,NY,13617
Price Chopper,Menands,2944,44 #44 #044 2944,444 Broadway,NY,12204
Price Chopper,Mechanicville,2945,45 #45 #045 2945,One Price Chopper Plaza,NY,12118
Price Chopper,Watertown,2946,46 #46 #046 2946,1283 Arsenal St.,NY,13601
Price Chopper,Rensselaer,2948,48 #48 #048 2948,501 Columbia Turnpike,NY,12144
Price Chopper,Clifton Park,2949,49 #49 #049 2949,Route 146 and Plank Road,NY,12065
Price Chopper,Middletown,2950,50 #50 #050 2950,511 Schutt Road Ext.,NY,10940
Price Chopper,Cobleskill,2951,51 #51 #051 2951,105 Plaza Lane,NY,12043
Price Chopper,West Rutland,2952,52 #52 #052 2952,"Rte. 4A, Westway Mall",VT,5777
Price Chopper,Barre,2953,53 #53 #053 2953,168 Ames Drive,VT,5641
Price Chopper,Manchester Center,2954,54 #54 #054 2954,Routes 11 and 30,VT,5255
Price Chopper,St. Albans,2955,55 #55 #055 2955,170 Swanton Rd. Rte. 7,VT,5478
Price Chopper,Poughkeepsie,2956,56 #56 #056 2956,2585 South Road,NY,12601
Price Chopper,Endicott,2957,57 #57 #057 2957,1001 North Street,NY,13760
Price Chopper,Rutland,2958,58 #58 #058 2958,38 Rutland Shopping Plaza,VT,5701
Price Chopper,Hudson,2959,59 #59 #059 2959,351 Fairview Ave.,NY,12534
Price Chopper,Albany,2960,60 #60 #060 2960,911 Central Ave.,NY,12206
Price Chopper,Oneonta,2961,61 #61 #061 2961,1000 Main Street,NY,13820
Price Chopper,Dunmore,2962,62 #62 #062 2962,1228 O'Neill Highway,PA,18512
Price Chopper,Brattleboro,2963,63 #63 #063 2963,499 Canal Street,VT,5301
Price Chopper,Morrisville,2964,64 #64 #064 2964,Rt. 15 and Munson Ave.,VT,5661
