keywords,city,Aggdata Store Number,store_number,address,state,zip_code
QuikTrip,TULSA,1,1,4970 S PEORIA AVE,OK,74105
QuikTrip,OWASSO,2,2,11502 E 76TH ST N,OK,74055
QuikTrip,COLLINSVILLE,3,3,5020 E 146TH ST N,OK,74021
QuikTrip,TULSA,5,5,10310 E 11TH ST,OK,74128
QuikTrip,BROKEN ARROW,6,6,2400 N ASPEN AVE,OK,74012
QuikTrip,TULSA,7,7,4903 E. ADMIRAL PL.,OK,74115
QuikTrip,TULSA,9,9,1617 W 51ST ST,OK,74107
QuikTrip,TULSA,10,10,7626 E. 61ST ST.,OK,74133
QuikTrip,TULSA,11,11,4545 N. LEWIS AVE.,OK,74110
QuikTrip,SAND SPRINGS,12,12,2 E. 41ST ST. S.,OK,74063
QuikTrip,TULSA,13,13,3050 S SHERIDAN RD,OK,74129
QuikTrip,TULSA,14,14,1014 S SHERIDAN RD,OK,74112
QuikTrip,TULSA,16,16,3008 E 11TH ST,OK,74104
QuikTrip,TULSA,17,17,1202 W 23RD ST S,OK,74107
QuikTrip,TULSA,18,18,3304 W. 42ND PL.,OK,74107
QuikTrip,TULSA,19,19,8105 E 21ST ST,OK,74129
QuikTrip,CLAREMORE,20,20,520 S. J.M. DAVIS BLVD.,OK,74017
QuikTrip,TULSA,21,21,3108 S. 129TH E. AVE.,OK,74134
QuikTrip,OWASSO,22,22,12902 E 86TH ST N,OK,74055
QuikTrip,SAND SPRINGS,23,23,200 S HWY 97,OK,74063
QuikTrip,TULSA,24,24,18 S 193RD EAST AVE,OK,74108
QuikTrip,TULSA,25,25,4795 S. YALE AVE,OK,74135
QuikTrip,TULSA,26,26,12910 E. 21ST ST.,OK,74134
QuikTrip,TULSA,27,27,1946 S HARVARD AVE,OK,74112
QuikTrip,TULSA,28,28,5104 S MINGO RD,OK,74146
QuikTrip,TULSA,29,29,5955 S LEWIS AVE,OK,74105
QuikTrip,TULSA,31,31,5116 S SHERIDAN RD,OK,74145
QuikTrip,BARTLESVILLE,32,32,102 S.E. WASHINGTON BLVD.,OK,74006
QuikTrip,BROKEN ARROW,33,33,2400 E KENOSHA ST,OK,74014
QuikTrip,SAPULPA,36,36,1040 E TAFT AVE,OK,74066
QuikTrip,BARTLESVILLE,37,37,1835 S.E. WASHINGTON BLVD.,OK,74006
QuikTrip,CLAREMORE,40,40,151 S FRED SWAN LN,OK,74017
QuikTrip,OWASSO,42,42,9600 N GARNETT RD,OK,74055
QuikTrip,TULSA,44,44,519 N. SHERIDAN RD.,OK,74115
QuikTrip,TULSA,45,45,1415 E. 71ST ST. S.,OK,74136
QuikTrip,BROKEN ARROW,50,50,8100 E. HIGHWAY 51,OK,74014
QuikTrip,BIXBY,51,51,15102 S MEMORIAL DR,OK,74008
QuikTrip,TULSA,53,53,1443 S DENVER AVE,OK,74119
QuikTrip,TULSA,55,55,12880 E 51st St S,OK,74134
QuikTrip,TULSA,56,56,9621 E PINE ST,OK,74115
QuikTrip,TULSA,57,57,3606 S PEORIA AVE,OK,74105
QuikTrip,TULSA,59,59,220 N GILCREASE MUSEUM RD,OK,74127
QuikTrip,OWASSO,62,62,11590 N. 140TH EAST AVE.,OK,74055
QuikTrip,CLAREMORE,66,66,24985 S HWY 66,OK,74019
QuikTrip,TULSA,69,69,10220 E. 31ST ST.,OK,74146
QuikTrip,TULSA,71,71,16505 E. ADMIRAL PL.,OK,74116
QuikTrip,TULSA,74,74,1302 S GARNETT RD,OK,74128
QuikTrip,TULSA,75,75,2749 E. ADMIRAL PL.,OK,74110
QuikTrip,TULSA,77,77,215 N GARNETT RD,OK,74116
QuikTrip,TULSA,78,78,9037 S YALE AVE,OK,74137
QuikTrip,TULSA,79,79,8081 S MEMORIAL DR,OK,74133
QuikTrip,BROKEN ARROW,80,80,501 W KENOSHA ST,OK,74012
QuikTrip,BROKEN ARROW,81,81,4705 S ELM PL,OK,74011
QuikTrip,BROKEN ARROW,82,82,1820 S ASPEN AVE,OK,74012
QuikTrip,TULSA,83,83,10738 E. 61ST ST.,OK,74133
QuikTrip,TULSA,84,84,4106 S. GARNETT RD.,OK,74146
QuikTrip,TULSA,85,85,28 N HARVARD AVE,OK,74115
QuikTrip,TULSA,90,90,1022 S UTICA AVE,OK,74104
QuikTrip,TULSA,93,93,5151 E 71ST ST,OK,74136
QuikTrip,BROKEN ARROW,94,94,4901 W HOUSTON ST,OK,74012
QuikTrip,BROKEN ARROW,95,95,3502 W KENOSHA ST,OK,74012
QuikTrip,TULSA,96,96,9555 RIVERSIDE DR.,OK,74137
QuikTrip,TULSA,97,97,10028 S MEMORIAL DR,OK,74133
QuikTrip,TULSA,99,99,7103 S 92ND EAST AVE,OK,74133
QuikTrip,JENKS,101,101,712 S ELM ST,OK,74037
QuikTrip,TULSA,102,102,6008 S. 49TH W. AVE.,OK,74107
QuikTrip,GLENPOOL,106,106,91 W. 141ST ST.,OK,74033
QuikTrip,TULSA,107,107,807 W 71ST ST,OK,74132
QuikTrip,SAPULPA,121,121,12100 S WACO AVE,OK,74066
QuikTrip,OAK GROVE,150,150,309 S. BROADWAY,MO,64075
QuikTrip,LIBERTY,151,151,655 S. 291 HWY.,MO,64068
QuikTrip,NORTH KANSAS CITY,153,153,1010 ARMOUR RD.,MO,64116
QuikTrip,INDEPENDENCE,155,155,201 E 23RD ST,MO,64055
QuikTrip,RAYTOWN,156,156,8733 E 63RD ST,MO,64133
QuikTrip,OVERLAND PARK,157,157,7400 SHAWNEE MISSION PKWY,KS,66202
QuikTrip,KANSAS CITY,159,159,10150 NE COOKINGHAM DR,MO,64157
QuikTrip,MERRIAM,160,160,9025 JOHNSON DR,KS,66202
QuikTrip,INDEPENDENCE,161,161,2601 S. 291 HWY.,MO,64057
