keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Red Robin Gourmet Burgers,Seattle,6178,178 #178 0178 6178,401 NE Northgate Way,WA,98125
Red Robin Gourmet Burgers,Colorado Springs,6179,179 #179 0179 6179,2230 Southgate Rd.,CO,80906
Red Robin Gourmet Burgers,Lynnwood,6180,180 #180 0180 6180,18410 33rd Avenue W.,WA,98036
Red Robin Gourmet Burgers,Redmond,6181,181 #181 0181 6181,2390 148th Ave. N.E.,WA,98052
Red Robin Gourmet Burgers,Broomfield,6182,182 #182 0182 6182,1 West FlatIron Circle,CO,80021
Red Robin Gourmet Burgers,Santa Ana,6183,183 #183 0183 6183,1307 W. Sunflower,CA,92704
Red Robin Gourmet Burgers,Dulles,6184,184 #184 0184 6184,21045 Dulles Town Circle,VA,20166
Red Robin Gourmet Burgers,Redondo Beach,6185,185 #185 0185 6185,1815 Hawthorne Blvd.,CA,90278
Red Robin Gourmet Burgers,Wenatchee,6186,186 #186 0186 6186,1306 N. Miller Avenue,WA,98801
Red Robin Gourmet Burgers,Annapolis,6187,187 #187 0187 6187,1073 Annapolis Mall,MD,21401
Red Robin Gourmet Burgers,Gaithersburg,6188,188 #188 0188 6188,701 Russell Avenue #F241,MD,20877
Red Robin Gourmet Burgers,Escondido,6190,190 #190 0190 6190,200 E. Via Rancho Pkwy,CA,92025
Red Robin Gourmet Burgers,San Diego,6191,191 #191 0191 6191,4373 La Jolla Village Drive,CA,92122
Red Robin Gourmet Burgers,Cerritos,6192,192 #192 0192 6192,360 Los Cerritos Mall,CA,90701
Red Robin Gourmet Burgers,Beaverton,6193,193 #193 0193 6193,"4105 SW 117th, Ste. F",OR,97005
Red Robin Gourmet Burgers,Clackamas,6194,194 #194 0194 6194,12530 SE 93rd Street,OR,97015
Red Robin Gourmet Burgers,Everett,6195,195 #195 0195 6195,1305 SE Everett Mall Way,WA,98208
Red Robin Gourmet Burgers,Orange,6196,196 #196 0196 6196,2199 N. Orange Mall,CA,92865
Red Robin Gourmet Burgers,San Dimas,6197,197 #197 0197 6197,565 W. Arrow Highway,CA,91773
Red Robin Gourmet Burgers,Brea,6198,198 #198 0198 6198,1080 Brea Mall,CA,92821
Red Robin Gourmet Burgers,Parker,6199,199 #199 0199 6199,9130 Crown Crest Blvd.,CO,80138
Red Robin Gourmet Burgers,Roseville,6200,200 #200 0200 6200,1184 Galleria Blvd.,CA,95678
Red Robin Gourmet Burgers,Salem,6201,201 #201 0201 6201,3760 Center Street NE,OR,97301
Red Robin Gourmet Burgers,Eugene,6203,203 #203 0203 6203,1221 Executive Pkwy.,OR,97401
Red Robin Gourmet Burgers,La Habra,6204,204 #204 0204 6204,1631 W. Imperial Hwy.,CA,90633
Red Robin Gourmet Burgers,Colorado Springs,6206,206 #206 0206 6206,3770 Bloomington Street,CO,80922
Red Robin Gourmet Burgers,Prescott,6209,209 #209 0209 6209,3055 Gateway Blvd,AZ,86303
Red Robin Gourmet Burgers,Longmont,6210,210 #210 0210 6210,2331 Clover Basin Drive,CO,80501
Red Robin Gourmet Burgers,Irvine,6211,211 #211 0211 6211,83 Fortune Drive,CA,92618
Red Robin Gourmet Burgers,Redding,6212,212 #212 0212 6212,1035 Dana Drive,CA,96003
Red Robin Gourmet Burgers,Victorville,6213,213 #213 0213 6213,14400 Bear Valley Rd. #405,CA,92392
Red Robin Gourmet Burgers,Spokane,6214,214 #214 0214 6214,9904 N. Newport Hwy.,WA,99218
Red Robin Gourmet Burgers,St. Peters,6215,215 #215 0215 6215,317 Mid Rivers Mall Drive,MO,63376
Red Robin Gourmet Burgers,Columbia,6216,216 #216 0216 6216,8640 Snowden River Pkwy,MD,21045
Red Robin Gourmet Burgers,Portland,6217,217 #217 0217 6217,10100 SW Washington Square Rd.,OR,97223
Red Robin Gourmet Burgers,Yuba City,6218,218 #218 0218 6218,1208 Colusa Avenue,CA,95991
Red Robin Gourmet Burgers,Peoria,6219,219 #219 0219 6219,16233 N. 83rd Avenue,AZ,85382
Red Robin Gourmet Burgers,Hillsboro,6220,220 #220 0220 6220,2405 SE Tualatin Hwy.,OR,97123
Red Robin Gourmet Burgers,Folsom,6221,221 #221 0221 6221,360 Palladio Parkway; #401,CA,95630
Red Robin Gourmet Burgers,Bellevue,6222,222 #222 0222 6222,408 Bellevue Square,WA,98004
