keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Safeway,Reston,1,100001 10001 1 #01 #1 0001 001 01 STORE0001 STORE00001,11120 S. Lakes Dr.,VA,20191
Safeway,Englewood,2,100002 10002 2 #02 #2 0002 002 02 STORE0002 STORE00002,7375 Arapahoe Rd.,CO,80112
Safeway,Evergreen,5,100005 10005 5 #05 #5 0005 005 05 STORE0005 STORE00005,3851 So. Hwy 74,CO,80439
Safeway,Englewood,7,100007 10007 7 #07 #7 0007 007 07 STORE0007 STORE00007,201 E. Jefferson,CO,80110
Safeway,Littleton,8,100008 10008 8 #08 #8 0008 008 08 STORE0008 STORE00008,5025 S. Kipling,CO,80127
Safeway,Denver,10,1000010 100010 10 #010 #10 00010 0010 010 STORE00010 STORE000010,4950 E. Hampden Ave.,CO,80222
Safeway,Lakewood,14,1000014 100014 14 #014 #14 00014 0014 014 STORE00014 STORE000014,13111 W. Alameda Pkwy.,CO,80228
Safeway,Longview,17,1000017 100017 17 #017 #17 00017 0017 017 STORE00017 STORE000017,1227 15Th Ave.,WA,98632
Safeway,Denver,20,1000020 100020 20 #020 #20 00020 0020 020 STORE00020 STORE000020,3110 East First Ave.,CO,80206
Safeway,Waldorf,23,1000023 100023 23 #023 #23 00023 0023 023 STORE00023 STORE000023,10 King St.,MD,20601
Safeway,Greenbelt,24,1000024 100024 24 #024 #24 00024 0024 024 STORE00024 STORE000024,7595 Greenbelt Rd,MD,20770
Safeway,Grass Valley,27,1000027 100027 27 #027 #27 00027 0027 027 STORE00027 STORE000027,105 Neal St,CA,95945
Safeway,Seat Pleasant,29,1000029 100029 29 #029 #29 00029 0029 029 STORE00029 STORE000029,6300 Central Ave,MD,20743
Safeway,Walkersville,33,1000033 100033 33 #033 #33 00033 0033 033 STORE00033 STORE000033,151 Walkers Village Way,MD,21793
Safeway,Aurora,36,1000036 100036 36 #036 #36 00036 0036 036 STORE00036 STORE000036,12200 E. Mississippi,CO,80014
Safeway,Aurora,38,1000038 100038 38 #038 #38 00038 0038 038 STORE00038 STORE000038,16921 E. Quincy Ave.,CO,80010
Safeway,Denver,41,1000041 100041 41 #041 #41 00041 0041 041 STORE00041 STORE000041,4884 Chambers Rd.,CO,80239
Safeway,Phoenix,42,1000042 100042 42 #042 #42 00042 0042 042 STORE00042 STORE000042,520 W. Osborn Rd.,AZ,85013
Safeway,Sacramento,43,1000043 100043 43 #043 #43 00043 0043 043 STORE00043 STORE000043,424 Howe Ave,CA,95825
Safeway,Honolulu,44,1000044 100044 44 #044 #44 00044 0044 044 STORE00044 STORE000044,1360 Pali Hwy,HI,96813
Safeway,Honolulu,47,1000047 100047 47 #047 #47 00047 0047 047 STORE00047 STORE000047,2855 E Manoa Rd,HI,96822
Safeway,Kailua,56,1000056 100056 56 #056 #56 00056 0056 056 STORE00056 STORE000056,1060 Keolu Dr.,HI,96734
Safeway,Kaneohe,58,1000058 100058 58 #058 #58 00058 0058 058 STORE00058 STORE000058,46065 Kamehameha Hwy,HI,96744
Safeway,Honolulu,59,1000059 100059 59 #059 #59 00059 0059 059 STORE00059 STORE000059,848 Ala Lilikoi St,HI,96818
Safeway,Aiea,60,1000060 100060 60 #060 #60 00060 0060 060 STORE00060 STORE000060,98-1277 Kaahumanu St,HI,96701
Safeway,Honolulu,61,1000061 100061 61 #061 #61 00061 0061 061 STORE00061 STORE000061,377 Keahole St,HI,96825
Safeway,Lake Havasu,62,1000062 100062 62 #062 #62 00062 0062 062 STORE00062 STORE000062,1650 Mcculloch Blvd N,AZ,86403
Safeway,Seattle,69,1000069 100069 69 #069 #69 00069 0069 069 STORE00069 STORE000069,3900 S. Othello St.,WA,98118
Safeway,Kahului,70,1000070 100070 70 #070 #70 00070 0070 070 STORE00070 STORE000070,170 E Kamehameha Ave,HI,96732
