keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Sharky’s Woodfired Mexican Grill,Aliso Viejo,3,#3,26811 Aliso Creek Road,CA,92656
Sharky’s Woodfired Mexican Grill,Beverly Hills,4,#4,435 N. Beverly Dr.,CA,90210
Sharky’s Woodfired Mexican Grill,Burbank,5,#5,1791 North Victory Place,CA,91502
Sharky’s Woodfired Mexican Grill,Calabasas,6,#6,26527 Agoura Road,CA,91302
Sharky’s Woodfired Mexican Grill,Camarillo,7,#7,191 W. Ventura Blvd.,CA,93010
Sharky’s Woodfired Mexican Grill,Hollywood,8,#8,1716 North Cahuenga Blvd,CA,90028
Sharky’s Woodfired Mexican Grill,Irvine,9,#9,6725 Quail Hill Parkway,CA,92603
Sharky’s Woodfired Mexican Grill,Long Beach,10,#10,51 The Paseo,CA,90802
Sharky’s Woodfired Mexican Grill,Newbury Park,11,#11,1930 Newbury Road,CA,91320
Sharky’s Woodfired Mexican Grill,Newport Beach,12,#12,21119 Newport Coast Drive,CA,92657
Sharky’s Woodfired Mexican Grill,Palmdale,13,#13,39532 10th Street West - Suite B,CA,93551
Sharky’s Woodfired Mexican Grill,Pasadena,14,#14,841 Cordova St.,CA,91101
Sharky’s Woodfired Mexican Grill,Sherman Oaks,15,#15,13238 Burbank Blvd.,CA,91401
Sharky’s Woodfired Mexican Grill,Simi Valley,16,#16,2410 Sycamore Drive - Suite B,CA,93065
Sharky’s Woodfired Mexican Grill,Tarzana,17,#17,5511 Reseda Blvd,CA,91356
Sharky’s Woodfired Mexican Grill,Toluca Lake,18,#18,10119 Riverside Drive,CA,91602
Sharky’s Woodfired Mexican Grill,Tustin,19,#19,2463 Park Ave.,CA,92782
Sharky’s Woodfired Mexican Grill,Valencia,20,#20,24201 W. Valencia Blvd.,CA,91355
Sharky’s Woodfired Mexican Grill,Ventura,21,#21,4960 Telephone Road,CA,93003
Sharky’s Woodfired Mexican Grill,Westlake Village,22,#22,"111 S. Westlake Blvd., Suite 102",CA,91362
Sharky’s Woodfired Mexican Grill,Woodland Hills,23,#23,6219 Topanga Canyon Blvd,CA,91367
