keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Sweet Tomatoes,San Diego,1,1 #1 1XX 1XXX,6171 Mission Gorge Rd.,CA,92120
Sweet Tomatoes,San Diego,2,2 #2 2XX 2XXX,3960 West Point Loma Blvd.,CA,92110
Sweet Tomatoes,La Mesa,3,3 #3 3XX 3XXX,9158 Fletcher Pkwy.,CA,91942-3424
Sweet Tomatoes,Tustin,4,4 #4 4XX 4XXX,13681 Newport Ave.,CA,92780-4689
Sweet Tomatoes,Garden Grove,5,5 #5 5XX 5XXX,5939 West Chapman Ave.,CA,92845-1662
Sweet Tomatoes,Lakewood,6,6 #6 6XX 6XXX,4720 Candlewood St.,CA,90712-1831
Sweet Tomatoes,Carlsbad,7,7 #7 7XX 7XXX,1860 Marron Rd.,CA,92008-1172
Sweet Tomatoes,Pasadena,8,8 #8 8XX 8XXX,201 South Lake Ave.,CA,91101
Sweet Tomatoes,San Diego,9,9 #9 9XX 9XXX,8105 Mira Mesa Blvd.,CA,92126-2601
Sweet Tomatoes,Torrance,10,10 #10 10XX 10XXX,21309 S. Hawthorne Blvd.,CA,90503-5602
Sweet Tomatoes,Arcadia,11,11 #11 11XX 11XXX,301 E. Huntington Dr.,CA,91006-3747
Sweet Tomatoes,Brea,12,12 #12 12XX 12XXX,"555 Pointe Dr., Build #2",CA,92821-3672
Sweet Tomatoes,Rancho Cucamonga,13,13 #13 13XX 13XXX,8966 Foothill Blvd.,CA,91730-3447
Sweet Tomatoes,Costa Mesa,14,14 #14 14XX 14XXX,1555 Adams Ave.,CA,92626-3814
Sweet Tomatoes,Alhambra,16,16 #16 16XX 16XXX,2131 W. Commonwealth Ave.,CA,91803-1403
Sweet Tomatoes,Los Angeles,17,17 #17 17XX 17XXX,100 N. La Cienega Blvd.,CA,90048-4124
Sweet Tomatoes,Los Angeles,19,19 #19 19XX 19XXX,11911 San Vicente Blvd.,CA,90049-5086
Sweet Tomatoes,Fountain Valley,20,20 #20 20XX 20XXX,11179 Talbert,CA,92708-5406
Sweet Tomatoes,Palm Harbor,21,21 #21 21XX 21XXX,31151 US Route 19 North,FL,34682
Sweet Tomatoes,Pleasanton,22,22 #22 22XX 22XXX,4501 Hopyard Rd.,CA,94588-2765
Sweet Tomatoes,Sunnyvale,24,24 #24 24XX 24XXX,1210 Kifer Rd.,CA,94086-5324
Sweet Tomatoes,San Bernardino,26,26 #26 26XX 26XXX,228 West Hospitality Lane,CA,92408-3268
Sweet Tomatoes,Largo,27,27 #27 27XX 27XXX,13101 Seminole Blvd.,FL,33778-2127
