keywords,city,Aggdata Store Number,store_number,address,state,zip_code
T.G.I. Friday's,FAIRFAX,60,60 060ESTERO #0060 #060 0000000060 060 C060 C60,12249 FAIR LAKES PROMENADE DR,VA,22033
T.G.I. Friday's,KEY WEST,437,437 0437 #00437 #0437 00000000437 0437 C0437 C437,2710 N ROOSEVELT BLVD,FL,33040
T.G.I. Friday's,ROANOKE,443,443 0443 #00443 #0443 00000000443 0443 C0443 C443,4869 VALLEY VIEW BLVD NW,VA,24012
T.G.I. Friday's,MANAHAWKIN,457,457 0457 #00457 #0457 00000000457 0457 C0457 C457,601 WASHINGTON AVE,NJ,8050
T.G.I. Friday's,ANCHORAGE,463,463 0463 #00463 #0463 00000000463 0463 C0463 C463,190 W TUDOR RD,AK,99503
T.G.I. Friday's,WILKES BARRE,455,455 0455 #00455 #0455 00000000455 0455 C0455 C455,880 KIDDER ST,PA,18702
T.G.I. Friday's,ATLANTA,36,36 036 #0036 #036 0000000036 036 C036 C36,"AIRPORT CONCOURSE E, SPACE F7",GA,30320
T.G.I. Friday's,RIVERDALE,46,46 046 #0046 #046 0000000046 046 C046 C46,4029 RIVERDALE RD,UT,84405
T.G.I. Friday's,CONWAY,47,47 047 #0047 #047 0000000047 047 C047 C47,1105 E OAK ST,AR,72032
T.G.I. Friday's,MANASSAS,52,52 052 #0052 #052 0000000052 052 C052 C52,7401 SUDLEY RD,VA,20109
T.G.I. Friday's,HUMBLE,64,64 064 #0064 #064 0000000064 064 C064 C64,20430 HIGHWAY 59 N,TX,77338
T.G.I. Friday's,KOTELNIKI,843,843 0843 #00843 #0843 00000000843 0843 C0843 C843,"5, MEGA MALL, 2 D FLOOR",RUSSIA,140102
T.G.I. Friday's,ORANGE,1,1 01 #001 #01 000000001 01 C01 C1,3339 OUTLET DRIVE,CA,92668
T.G.I. Friday's,LONE TREE,184,184 0184 #00184 #0184 00000000184 0184 C0184 C184,8334 WILLOW ST,CO,80124
T.G.I. Friday's,CAIRO,787,787 0787 #00787 #0787 00000000787 0787 C0787 C787,T.G.I. FRIDAY`S,EGYPT,
T.G.I. Friday's,EAU CLAIRE,292,292 0292 #00292 #0292 00000000292 0292 C0292 C292,4800 GOLF RD,WI,54701
T.G.I. Friday's,DISTRICT HEIGHTS,56,56 056 #0056 #056 0000000056 056 C056 C56,5740 SILVER HILL ROAD,MD,20747
T.G.I. Friday's,VERNON HILLS,63,63 063 #0063 #063 0000000063 063 C063 C63,151 E TOWNLINE RD,IL,60061
T.G.I. Friday's,FRAMINGHAM,82,82 082 #0082 #082 0000000082 082 C082 C82,1 WORCESTER RD,MA,1701
T.G.I. Friday's,CHATTANOOGA,98,98 098 #0098 #098 0000000098 098 C098 C98,2 BROAD ST,TN,37402
T.G.I. Friday's,GETTYSBURG,193,193 0193 #00193 #0193 00000000193 0193 C0193 C193,1861 GETTYSBURG VILLAGE DRIVE,PA,17325
T.G.I. Friday's,GREELEY,225,225 0225 #00225 #0225 00000000225 0225 C0225 C225,4318 CENTERPLACE DRIVE,CO,80631
T.G.I. Friday's,MILFORD,242,242 0242 #00242 #0242 00000000242 0242 C0242 C242,240 FORTUNE BLVD,MA,1757
T.G.I. Friday's,LAS VEGAS,270,270 0270 #00270 #0270 00000000270 0270 C0270 C270,4000 W FLAMINGO RD,NV,89103
T.G.I. Friday's,GLASGOW,701,701 0701 #00701 #0701 00000000701 0701 C0701 C701,113 BUCHANAN ST,UNITEDKINGDOM,G13HF
T.G.I. Friday's,ONTARIO,2,2 02 #002 #02 000000002 02 C02 C2,3351 CENTRE LAKE DR,CA,91761
T.G.I. Friday's,LAGUNA NIGUEL,3,3 03 #003 #03 000000003 03 C03 C3,28141 CROWN VALLEY PKWY,CA,92677
T.G.I. Friday's,SAN BERNARDINO,4,4 04 #004 #04 000000004 04 C04 C4,390 E HOSPITALITY LN,CA,92408
T.G.I. Friday's,INDIANAPOLIS,5,5 05 #005 #05 000000005 05 C05 C5,501 W WASHINGTON ST,IN,46204
T.G.I. Friday's,BRONX,6,6 06 #006 #06 000000006 06 C06 C6,51780 EAST GUN HILL ROAD,NY,10469
T.G.I. Friday's,EL CAJON,7,7 07 #007 #07 000000007 07 C07 C7,2991 JAMACHA ROAD,CA,92019
T.G.I. Friday's,CITY OF INDUSTRY,8,8 08 #008 #08 000000008 08 C08 C8,17427 COLIMA RD,CA,91748
T.G.I. Friday's,LIVONIA,9,9 09 #009 #09 000000009 09 C09 C9,20120 HAGGERTY RD,MI,48152
T.G.I. Friday's,GRANDVILLE,10,10 010 #0010 #010 0000000010 010 C010 C10,3700 RIVERTOWN PKWY SW,MI,49418
T.G.I. Friday's,MOLINE,11,11 011 #0011 #011 0000000011 011 C011 C11,1425 RIVER DR,IL,61265
T.G.I. Friday's,TAMPA,12,12 012 #0012 #012 0000000012 012 C012 C12,"4100 GEORGE J. BEAN PARKWAY, STE 3143 TAMPA INTERNATIONAL AIRPORT",FL,33607
T.G.I. Friday's,SANDUSKY,13,13 013 #0013 #013 0000000013 013 C013 C13,1 CEDAR POINT DR,OH,44870
T.G.I. Friday's,ATLANTA,14,14 014 #0014 #014 0000000014 014 C014 C14,PO BOX 45166 CONCOURSE B F 10,GA,30320
T.G.I. Friday's,AMARILLO,15,15 015 #0015 #015 0000000015 015 C015 C15,3100 W INTERSTATE 40,TX,79102
T.G.I. Friday's,MEMPHIS,16,16 016 #0016 #016 0000000016 016 C016 C16,185 UNION AVE,TN,38103
T.G.I. Friday's,SAN DIEGO,17,17 017 #0017 #017 0000000017 017 C017 C17,11650 CARMEL MOUNTAIN RD,CA,92128
T.G.I. Friday's,OXNARD,18,18 018 #0018 #018 0000000018 018 C018 C18,2181 N ROSE AVE,CA,93036
T.G.I. Friday's,NORTHRIDGE,20,20 020 #0020 #020 0000000020 020 C020 C20,19855 RINALDI ST,CA,91326
