keywords,city,Aggdata Store Number,store_number,address,state,zip_code
Tom Thumb Food & Pharmacy,Dallas,1540,FUEL1001540 STOR0001540,3757 Forest Ln,TX,75234
Tom Thumb Food & Pharmacy,Keller,1780,FUEL1001780 STOR0001780,1000 Keller Pkwy.,TX,76248
Tom Thumb Food & Pharmacy,Coppell,1781,FUEL1001781 STOR0001781,106 N. Denton Tap Rd,TX,75019
Tom Thumb Food & Pharmacy,Garland,1783,FUEL1001783 STOR0001783,2645 Arapaho,TX,75044
Tom Thumb Food & Pharmacy,Mesquite,1784,FUEL1001784 STOR0001784,1501 Pioneer Rd,TX,75149
Tom Thumb Food & Pharmacy,Lewisville,1785,FUEL1001785 STOR0001785,1075 West F.M. 3040,TX,75067
Tom Thumb Food & Pharmacy,Grand Prairie,1786,FUEL1001786 STOR0001786,4215 S. Carrier Pkwy,TX,75052
Tom Thumb Food & Pharmacy,Plano,1788,FUEL1001788 STOR0001788,7801 Alma Dr,TX,75025
Tom Thumb Food & Pharmacy,Trophy Club,1789,FUEL1001789 STOR0001789,101 Trophy Lake Dr.,TX,76262
Tom Thumb Food & Pharmacy,Flower Mound,1854,FUEL1001854 STOR0001854,4301 Cross Timbers Rd,TX,75028
Tom Thumb Food & Pharmacy,Rowlett,1925,FUEL1001925 STOR0001925,8805 Lakeview Pkwy,TX,75088
Tom Thumb Food & Pharmacy,Mansfield,1972,FUEL1001972 STOR0001972,980 Hwy N. 287,TX,76063
Tom Thumb Food & Pharmacy,University Park,1973,FUEL1001973 STOR0001973,7000 Snider Plaza,TX,75205
Tom Thumb Food & Pharmacy,Dallas,2503,FUEL1002503 STOR0002503,4001 Villanova Dr,TX,75225
Tom Thumb Food & Pharmacy,Richardson,2526,FUEL1002526 STOR0002526,39 Arapaho Village Rd,TX,75080
Tom Thumb Food & Pharmacy,Dallas,2534,FUEL1002534 STOR0002534,6333 E Mockingbird Ln,TX,75214
Tom Thumb Food & Pharmacy,Dallas,2544,FUEL1002544 STOR0002544,10455 N. Central Expwy,TX,75231
Tom Thumb Food & Pharmacy,Plano,2554,FUEL1002554 STOR0002554,3100 Independence Pkwy,TX,75075
Tom Thumb Food & Pharmacy,Gainesville,2557,FUEL1002557 STOR0002557,206 N. Grand Ave,TX,76240
Tom Thumb Food & Pharmacy,Irving,2559,FUEL1002559 STOR0002559,3535 Belt Line Rd,TX,75062
Tom Thumb Food & Pharmacy,Garland,2561,FUEL1002561 STOR0002561,925 N.West Hwy,TX,75041
Tom Thumb Food & Pharmacy,Plano,2568,FUEL1002568 STOR0002568,4836 W. Park Blvd,TX,75093
Tom Thumb Food & Pharmacy,Plano,2570,FUEL1002570 STOR0002570,5968 W. Parker Rd,TX,75093
Tom Thumb Food & Pharmacy,Fort Worth,2574,FUEL1002574 STOR0002574,3000 S. Hulen,TX,76109
Tom Thumb Food & Pharmacy,Garland,2578,FUEL1002578 STOR0002578,2535 Firewheel Pkwy,TX,75040
Tom Thumb Food & Pharmacy,Southlake,2580,FUEL1002580 STOR0002580,100 W. S.Lake Blvd,TX,76092
Tom Thumb Food & Pharmacy,Frisco,2581,FUEL1002581 STOR0002581,4848 Preston Rd.,TX,75034
Tom Thumb Food & Pharmacy,Arlington,2587,FUEL1002587 STOR0002587,5425 S. Cooper,TX,76017
Tom Thumb Food & Pharmacy,Coppell,2588,FUEL1002588 STOR0002588,820 S. Macarthur Blvd,TX,75019
Tom Thumb Food & Pharmacy,Carrollton,2590,FUEL1002590 STOR0002590,4112 N. Josey,TX,75007
Tom Thumb Food & Pharmacy,Plano,2595,FUEL1002595 STOR0002595,3945 Legacy Dr,TX,75023
Tom Thumb Food & Pharmacy,Hurst,2609,FUEL1002609 STOR0002609,612 Grapevine Hwy,TX,76054
Tom Thumb Food & Pharmacy,Dallas,2642,FUEL1002642 STOR0002642,5809 East Lovers Lane,TX,75206
Tom Thumb Food & Pharmacy,Addison,2643,FUEL1002643 STOR0002643,14280 Marsh Ln,TX,75001
Tom Thumb Food & Pharmacy,Arlington,2686,FUEL1002686 STOR0002686,1701 Randol Mill Rd.,TX,76012
Tom Thumb Food & Pharmacy,Frisco,2963,FUEL1002963 STOR0002963,5550 FM 423,TX,75034
Tom Thumb Food & Pharmacy,Rockwall,2964,FUEL1002964 STOR0002964,3070 N. Goliad St,TX,75087
Tom Thumb Food & Pharmacy,Dallas,2990,FUEL1002990 STOR0002990,7117 Inwood Rd.,TX,75209
Tom Thumb Food & Pharmacy,Dallas,3502,FUEL1003502 STOR0003502,9 Highland Park Village,TX,75205
Tom Thumb Food & Pharmacy,Dallas,3522,FUEL1003522 STOR0003522,522 Preston Royal Ctr,TX,75230
Tom Thumb Food & Pharmacy,Bedford,3555,FUEL1003555 STOR0003555,3300 Harwood Rd,TX,76021
Tom Thumb Food & Pharmacy,Dallas,3560,FUEL1003560 STOR0003560,8698 Skillman St,TX,75243
Tom Thumb Food & Pharmacy,Duncanville,3563,FUEL1003563 STOR0003563,633 W. Wheatland Rd,TX,75116
Tom Thumb Food & Pharmacy,Flower Mound,3572,FUEL1003572 STOR0003572,2600 Flower Mound Rd,TX,75028
Tom Thumb Food & Pharmacy,Mckinney,3573,FUEL1003573 STOR0003573,3001 Hardin Blvd,TX,75070
Tom Thumb Food & Pharmacy,Flower Mound,3575,FUEL1003575 STOR0003575,2301 Justin Rd,TX,75028
Tom Thumb Food & Pharmacy,Grapevine,3576,FUEL1003576 STOR0003576,4000 William D. Tate Ave,TX,76051
Tom Thumb Food & Pharmacy,Allen,3579,FUEL1003579 STOR0003579,900 W. Mcdermott Dr.,TX,75013
Tom Thumb Food & Pharmacy,Dallas,3582,FUEL1003582 STOR0003582,18212 Preston Rd.,TX,75252
Tom Thumb Food & Pharmacy,Dallas,3597,FUEL1003597 STOR0003597,11920 Preston Rd,TX,75230
Tom Thumb Food & Pharmacy,Dallas,3608,FUEL1003608 STOR0003608,7700 N.West Hwy,TX,75225
Tom Thumb Food & Pharmacy,Dallas,3614,FUEL1003614 STOR0003614,315 S Hampton Rd,TX,75208
Tom Thumb Food & Pharmacy,Arlington,3617,FUEL1003617 STOR0003617,2611 W. Park Row,TX,76013
Tom Thumb Food & Pharmacy,Irving,3621,FUEL1003621 STOR0003621,4010 N. Macarthur Blvd,TX,75038
Tom Thumb Food & Pharmacy,Fort Worth,3622,FUEL1003622 STOR0003622,6377 Camp Bowie Blvd,TX,76116
Tom Thumb Food & Pharmacy,Desoto,3623,FUEL1003623 STOR0003623,210 E. Pleasant Run Rd,TX,75115
Tom Thumb Food & Pharmacy,Grapevine,3625,FUEL1003625 STOR0003625,302 S. Park Blvd,TX,76051
Tom Thumb Food & Pharmacy,Richardson,3637,FUEL1003637 STOR0003637,1380 West Campbell Rd.,TX,75080
Tom Thumb Food & Pharmacy,Richardson,3641,FUEL1003641 STOR0003641,3411 Custer Pkwy.,TX,75080
Tom Thumb Food & Pharmacy,Plano,3645,FUEL1003645 STOR0003645,2200 E. 14Th St,TX,75074
Tom Thumb Food & Pharmacy,Dallas,3650,FUEL1003650 STOR0003650,14999 Preston Rd,TX,75240
Tom Thumb Food & Pharmacy,Flower Mound,3652,FUEL1003652 STOR0003652,745 Cross Timbers Rd,TX,75028
Tom Thumb Food & Pharmacy,Arlington,3658,FUEL1003658 STOR0003658,2755 N. Collin,TX,76006
